wavelength,Back_DacAlbf,Belly_DacAlbf,Breast_DacAlbf,Crissum_DacAlbf,Crown_DacAlbf,DorTail_DacAlbf,Patch10_DacAlbf,Rump_DacAlbf,Throat_DacAlbf,WingTip_DacAlbf
187.15,-56.9201111111,-98.0506666667,-119.688222222,-131.189111111,-88.206611111,-77.8752222222,-63.9375555555,-92.3976666668,-110.916222222,-140.155666667
187.53,-67.6082222222,-106.968111111,-114.312444445,-134.840111111,-88.6063888888,-74.2938888889,-66.854888889,-99.0584444443,-107.156333334,-136.158111111
187.91,-87.5001111111,-127.083333333,-150.926,-170.602,-113.773,-82.7546666667,-91.2036666668,-125.926,-141.898333334,-167.824222222
188.29,-94.074,-141.234666667,-167.407555555,-194.814888889,-137.530833333,-98.1482222223,-98.7655555554,-141.728444444,-163.703777778,-185.678777778
188.67,-96.5432222222,-144.197555556,-176.543333333,-196.790111111,-150.3705,-109.753333333,-105.926,-153.086333333,-171.111222222,-194.321111111
189.05,-59.4771111111,-102.832111111,-131.808222222,-145.751666667,-110.457388889,-68.3005555556,-72.7668888889,-108.278888889,-129.629666667,-148.366
189.43,-31.6748888889,-61.194,-83.4163333332,-88.2255555557,-68.0764444443,-32.0897777778,-42.786,-66.0031111111,-89.3864444443,-99.170888889
189.81,-42.906,-77.6067777778,-88.8887777779,-100.512777778,-89.5725,-50.0000555556,-61.1965555556,-72.6496666667,-107.179333333,-112.136777778
190.19,-50.1738888889,-88.5417777779,-91.8405555556,-105.902666666,-105.208277778,-66.58,-70.8332222222,-77.0835555557,-118.229111111,-112.326444445
190.57,-60.9258888889,-100.740555555,-98.5185555554,-116.111111111,-120.833333333,-80.1852222222,-78.3334444444,-94.2592222223,-125.185333333,-118.333333333
190.95,-90.3564444443,-133.123777778,-125.786333333,-149.685555555,-154.926555555,-104.193,-104.821888889,-128.301777778,-159.538666667,-149.056555556
191.33,-85.0503333333,-123.232333333,-126.060555556,-133.535222222,-152.020388889,-98.9899999999,-107.474777778,-128.686777778,-151.515111111,-145.454333333
191.71,-84.4444444445,-114.999888889,-129.629666667,-124.629555556,-149.074166667,-98.3332777777,-108.703666667,-124.259333333,-151.666666667,-141.666666667
192.09,-94.5298888889,-119.658111111,-135.555444445,-124.444555556,-148.547055556,-112.222277778,-111.111333333,-128.717888889,-153.162222222,-143.589777778
192.47,-87.2785555555,-110.95,-130.756888889,-110.306,-132.689277778,-109.500722222,-106.28,-120.611888889,-146.054888889,-132.528111111
192.85,-76.0001111111,-95.2591111112,-109.481555556,-92.7407777777,-113.925944444,-94.740888889,-89.1854444446,-101.629666667,-130.962888889,-117.333222222
193.23,-57.7535555556,-77.0452222221,-84.8596666667,-73.9924444444,-91.330888889,-75.519,-70.2075555556,-81.4408888889,-105.006222222,-96.2147777778
193.61,-69.1356666667,-98.9027777777,-101.234555556,-93.69,-111.934222222,-100.068722222,-84.0877777777,-101.920444445,-119.890222222,-111.796777778
193.99,-70.2703333332,-100.901,-106.606555556,-100.000111111,-107.732777778,-103.603777778,-79.5796666665,-108.408333333,-122.522666667,-120.270333333
194.37,-63.5965555556,-91.228111111,-101.754333333,-91.5203333333,-95.0292777776,-96.5643333332,-71.1987777778,-102.777777778,-110.672555556,-113.304222222
194.75,-63.2911111111,-84.1068888888,-108.438888889,-86.0758888887,-95.7102777777,-94.3038333333,-72.2926666668,-96.4837777779,-113.502111111,-112.376888889
195.13,-48.0286666667,-60.2150000001,-83.5124444444,-62.246,-75.2089444445,-72.4612222223,-54.0023333334,-72.6403333333,-86.9772222222,-88.5303333333
195.51,-37.6946666667,-46.2096666667,-67.2895555556,-50.7787777778,-59.9687777778,-57.3210555556,-41.2253333333,-56.4901111111,-66.5628888889,-71.8587777778
195.89,-21.1865555556,-31.3558888889,-51.0356666667,-34.6516666667,-43.3145555555,-42.5613333333,-27.8718888889,-41.8078888889,-49.6232222222,-56.5915555556
196.27,-19.4681111111,-30.9591111111,-44.6343333333,-31.624,-44.6818333333,-42.5927222222,-28.4898888889,-39.8861111111,-48.1481111111,-57.7396666667
196.65,-33.1155555556,-46.9497777778,-57.2985555555,-45.3158888889,-59.5314444444,-57.1894444444,-44.2266666667,-53.9215555556,-62.3093333333,-75.4903333333
197.03,-39.4043333333,-57.3883333332,-70.7904444445,-53.0355555556,-67.0675555556,-68.1556666667,-55.212,-63.2301111111,-72.9667777778,-84.6506666665
197.40,-56.7632222222,-67.633,-83.3334444444,-60.8695555555,-79.7705555556,-86.4732777777,-65.3382222222,-77.173888889,-87.198,-95.8937777777
197.78,-55.0054444444,-56.5458888889,-76.4575555555,-48.6246666667,-70.4621111111,-73.3224444444,-58.6358888889,-65.3464444444,-84.5984444443,-89.1087777779
198.16,-55.1548888889,-56.3563333333,-73.5733333333,-39.2394444444,-70.0700555555,-69.8198888889,-58.6587777777,-58.4584444444,-78.5785555556,-80.981
198.54,-49.6296666667,-51.9444444445,-64.6294444444,-35.5555555556,-66.7591666667,-60.5091666667,-55.0926666667,-54.6296666667,-72.3148888889,-73.6111111111
198.92,-49.6675555556,-56.0302222222,-60.3037777778,-36.3722222222,-67.5687777778,-64.1025555556,-57.5498888889,-61.0635555556,-71.8898888889,-74.4537777778
199.30,-56.5842222222,-64.0945555555,-68.7242222222,-39.4032222222,-76.3373888888,-71.2962777778,-68.7243333333,-72.1193333333,-79.8354444444,-83.9505555558
199.68,-69.5603333333,-77.7776666666,-83.5647777779,-48.264,-91.2614999999,-88.4837777778,-85.5323333332,-89.4675555554,-100.578777778,-101.273111111
200.06,-83.0212222222,-94.3821111112,-97.3782222222,-58.302,-105.805166667,-104.931111111,-103.745222222,-106.991111111,-117.478222222,-114.481777778
200.44,-71.6313333333,-82.5057777779,-89.0072222222,-47.754,-95.0355,-91.7848333333,-95.3901111111,-97.6358888888,-103.309555556,-101.654777778
200.82,-52.0896666667,-60.3466666667,-70.4382222222,-32.8235555556,-77.7267777778,-72.3751666667,-75.0254444446,-78.7971111111,-80.9377777778,-80.7339999999
201.19,-62.8282222222,-69.4950000001,-76.8688888889,-40.8082222222,-87.6768333335,-81.3131666667,-85.3534444446,-88.4848888889,-85.3536666668,-88.1816666668
201.57,-68.9947777778,-79.1534444443,-85.2911111111,-50.2646666667,-100.687777778,-89.5239444443,-98.095111111,-97.9894444443,-97.8834444442,-99.5765555557
201.95,-79.4444444444,-97.5555555554,-96.7777777778,-64.6666666667,-113.611111111,-103.666666667,-112.777777778,-113.555555555,-108.888888889,-112.555555555
202.33,-97.4073333333,-115.432111111,-117.901111111,-86.5432222221,-134.197444444,-124.321,-137.284,-137.284,-129.135888889,-135.432111111
202.71,-111.372333333,-131.372444444,-134.248444444,-101.83,-149.215611111,-144.575222222,-156.732,-154.640444445,-145.228777778,-147.059111111
203.09,-126.64,-144.042666667,-150.870444444,-119.277,-165.461833333,-156.091055556,-175.501888889,-168.540888889,-161.445777778,-162.115333333
203.47,-116.726333333,-129.271333333,-139.068333333,-116.128888889,-147.610444445,-141.816,-159.378666666,-152.807555556,-147.909222222,-148.984444444
203.85,-136.111111111,-150.661444444,-160.053,-137.963,-169.312166667,-162.301722222,-180.026555556,-174.999888889,-168.518444444,-176.455
204.22,-129.069777778,-136.821777778,-153.488555555,-127.648666667,-160.852722222,-153.165555556,-166.020777778,-159.431333333,-158.656111111,-170.800888889
204.60,-139.418,-147.222111111,-173.148111111,-139.682333333,-170.767166667,-166.071388889,-175.926,-169.047666667,-169.180111111,-182.539666667
204.98,-144.722222222,-156.944444444,-187.361111111,-145.972222222,-175.138888889,-175.0,-180.416666667,-175.138888889,-179.166666667,-192.361111111
205.36,-121.693111111,-127.910111111,-164.285666667,-121.692888889,-148.478722222,-147.685277778,-154.100555556,-148.545,-155.026444445,-167.724888889
205.74,-137.387444444,-142.342333333,-188.288444444,-136.036,-167.642555556,-164.789722222,-175.825777778,-171.621555556,-169.519555556,-190.240333333
206.12,-149.51,-148.529555556,-204.738444444,-143.300666667,-181.291055555,-181.862833333,-190.359555555,-186.928222222,-183.169777778,-203.758111111
206.50,-135.159888889,-134.246555555,-185.388222222,-126.027444445,-162.785388889,-167.427888889,-168.645333333,-171.384888889,-167.579777778,-182.496333333
206.87,-129.783888889,-123.611,-180.71,-121.296222222,-153.009388889,-159.105055556,-158.487666667,-165.895,-162.345555555,-183.642
207.25,-101.462111111,-97.076,-156.871111111,-92.5437777778,-120.979555555,-134.722111111,-126.608,-135.526222222,-131.871333333,-152.192888889
207.63,-117.360777778,-118.055222222,-181.423444445,-100.867888889,-139.322777778,-159.808722222,-141.840111111,-156.423444444,-150.173333333,-172.222
208.01,-122.387888889,-117.744555555,-175.621888889,-102.653444444,-134.494222222,-162.686666667,-144.776222222,-160.696555555,-149.087777778,-162.520666667
208.39,-115.740666667,-113.117222222,-162.499888889,-107.099,-125.077222222,-154.0895,-135.031,-157.716111111,-139.043222222,-143.981555556
208.77,-121.095,-121.900222222,-162.479888889,-112.560222222,-133.172222222,-163.526611111,-139.613555555,-167.632888889,-145.410666666,-143.317222222
209.14,-129.841333333,-125.238111111,-163.809444444,-120.0,-139.761833334,-166.587222222,-145.714222222,-171.587222222,-145.555555555,-145.714444444
209.52,-189.090888889,-189.494888889,-232.929111111,-184.242444444,-205.959388889,-234.949555555,-212.929111111,-245.858555556,-213.535444445,-209.090666667
209.90,-220.261333333,-223.747333333,-267.32,-217.865,-229.411666666,-272.113111111,-244.444333333,-267.973888889,-243.137222222,-237.254888889
210.28,-292.506444444,-300.000111111,-348.837333333,-292.248111111,-304.134222222,-351.421222222,-323.514333333,-339.018222222,-311.886222222,-308.527111111
210.66,-359.759555555,-369.669666667,-431.831777778,-368.768888889,-381.081055555,-437.387277778,-408.708777778,-418.918777778,-378.678666667,-377.777666667
211.03,-546.913666667,-557.613111111,-641.152444445,-546.913666667,-583.333444444,-662.963055556,-618.107,-609.465,-565.020666667,-560.082222222
211.41,-979.166666666,-994.444444442,-1107.63888889,-976.38888889,-1054.16666666,-1165.27777778,-1080.55555556,-1077.77777778,-995.138888889,-1005.55555556
211.79,-780.555555556,-787.777777778,-887.777777777,-802.222222222,-845.0,-902.777777777,-865.0,-861.11111111,-806.666666667,-803.888888889
212.17,-1114.52988889,-1182.05144444,-1341.02577778,-1190.59822222,-1278.63233333,-1323.9315,-1291.45311111,-1252.99144444,-1204.27366667,-1159.82911111
212.55,3730.55555556,3963.88888889,4516.66666667,3916.66666666,4329.16666666,4405.55555556,4380.55555556,4088.88888889,3997.22222222,3858.33333333
212.92,922.916666667,956.249999999,1111.11111111,977.083333333,1045.13888889,1077.08333333,1079.16666667,996.527777778,984.722222223,990.277777777
213.30,854.901777778,866.013111111,1007.84322222,903.268,959.150111112,991.503277778,986.274444444,907.843222223,909.80388889,925.490111111
213.68,13977.7777778,13566.6666666,16100.0,14355.5555555,15344.4444445,16127.7777778,15833.3333333,14355.5555556,14233.3333334,15055.5555555
214.06,-2262.96288889,-2157.40744444,-2594.44444445,-2301.85188889,-2534.25927778,-2610.18516667,-2631.48166667,-2337.037,-2327.77788889,-2420.37022222
214.44,-578.333333333,-548.333333333,-682.777777778,-603.888888889,-668.888888889,-677.777777778,-681.666666667,-610.555555555,-603.888888889,-631.111111111
214.81,-236.692444444,-226.098222222,-281.912111111,-252.454777778,-281.524666667,-274.031055556,-282.687444444,-257.881222222,-249.612444445,-263.048888889
215.19,-180.606111111,-170.101111111,-211.515222222,-193.939333333,-206.666777778,-200.707,-209.696888889,-192.525222222,-181.616111111,-197.373777778
215.57,-171.863888889,-158.960444444,-195.878,-178.673777778,-191.308222222,-179.838666667,-191.935666667,-176.702555555,-172.401444444,-183.512444444
215.95,-215.513666667,-198.322888889,-246.960222222,-223.689777778,-246.750444444,-234.696055556,-245.073333333,-226.205333333,-211.111,-226.624666667
216.32,-225.640888889,-204.914555555,-253.846,-231.837666667,-252.136611111,-242.734944444,-256.196555556,-242.521333333,-211.324888889,-241.239333333
216.70,-201.318111111,-182.485888889,-219.397444444,-203.389777778,-217.325666667,-215.348277778,-225.423777778,-222.410444444,-183.804333333,-223.917111111
217.08,-226.389,-211.904777778,-239.285666667,-223.214222222,-244.246111111,-236.408666667,-251.190444444,-252.579222222,-208.134888889,-244.642888889
217.46,-206.451555556,-200.358555555,-221.505444444,-201.612888889,-228.763444444,-216.487444444,-235.125555556,-239.068222222,-196.953444444,-229.211444445
217.83,-221.839111111,-226.436777778,-244.636111111,-218.390777778,-245.881333333,-238.984611111,-257.279555555,-266.666666667,-218.390888889,-254.022888889
218.21,-247.17,-262.683555555,-280.503111111,-247.798666666,-275.0525,-269.287277778,-286.373222222,-305.241,-244.654111111,-290.356444444
218.59,-245.061777778,-262.551444444,-284.156555555,-248.559666667,-272.736555555,-269.444444444,-289.094666667,-306.79,-241.358,-290.740666667
218.97,-346.944444444,-363.055555555,-401.666666666,-349.444444445,-375.277777778,-390.0,-397.222222222,-415.833333333,-337.777777778,-408.888888889
219.34,-433.333333334,-459.375,-510.763888889,-434.027777778,-467.534722222,-496.006944445,-497.222222222,-532.291666667,-442.361111111,-511.805555555
219.72,-389.869111111,-419.281,-462.745111111,-391.830222222,-408.006555556,-457.516333333,-450.653555556,-481.699111111,-401.960666667,-457.843
220.10,-292.506555556,-320.155,-344.444555556,-283.462555555,-298.062222222,-346.899277778,-329.974222222,-352.196444444,-301.033666667,-342.377
220.47,-434.050222222,-466.666777778,-495.698888889,-412.544777778,-438.888833333,-512.723944445,-468.100333333,-489.605666667,-455.555444445,-493.906888889
220.85,-520.94,-574.786333333,-603.846,-506.837444445,-535.042888889,-627.350388889,-563.247888889,-567.521222222,-558.547,-594.017222222
221.23,-363.271666667,-403.395111111,-443.209777778,-363.888777778,-380.864166667,-450.154111111,-402.469111111,-390.123444444,-395.061777778,-418.827111111
221.61,-613.131333333,-678.787777778,-733.333444444,-618.181888889,-627.272666667,-763.383777778,-687.373666667,-640.909111111,-653.030222222,-667.676777778
221.98,-460.919555556,-509.578444445,-556.704777778,-478.544111111,-472.030611111,-573.371722222,-533.716444444,-477.394555556,-492.337222222,-484.291111111
222.36,-286.304777778,-312.403111111,-351.421333333,-296.382555556,-291.860388889,-356.847555555,-334.366888889,-293.798222222,-314.728777778,-297.674222222
222.74,-358.858777778,-379.579555556,-427.327444445,-366.066111111,-359.609555556,-443.994,-406.906888889,-367.867777778,-401.801888889,-379.88
223.11,-338.611111111,-348.333333334,-391.388888889,-335.555555555,-334.861111111,-395.555555555,-381.944444445,-348.611111111,-378.611111111,-357.5
223.49,-264.399222222,-270.068,-308.389888889,-260.090777778,-268.820833333,-307.3695,-309.070111111,-260.317444444,-289.115555556,-286.621222222
223.87,-216.111222222,-223.703666667,-256.851666667,-215.555555555,-228.9815,-251.388888889,-267.407444445,-215.000111111,-239.074,-230.925888889
224.24,-223.518555556,-229.814777778,-265.740888889,-228.703777778,-240.925888889,-257.592722222,-285.370555556,-224.259333333,-249.814777778,-245.370444444
224.62,-139.405777778,-145.736444445,-172.997444445,-146.770222222,-154.651222222,-163.888777778,-190.568555555,-141.343777778,-160.981888889,-158.010222222
225.00,-120.922111111,-123.877111111,-154.728,-126.122888889,-136.643111111,-140.721055556,-171.985888889,-125.532111111,-143.262555556,-135.697444444
225.38,-130.087333334,-133.832666667,-159.051222222,-135.206333333,-141.572944444,-148.127388889,-180.898777778,-134.581666667,-155.180888889,-145.443
225.75,-136.526222222,-142.912,-167.432888889,-144.061444444,-149.616777778,-154.917,-188.378111111,-146.104777778,-162.835222222,-158.876111111
226.13,-153.547444445,-153.145888889,-181.258222222,-154.484666666,-166.599722222,-166.934555556,-200.803222222,-159.705444444,-177.108444445,-171.619888889
226.51,-129.905444445,-132.742222222,-154.610111111,-134.751777778,-143.439833333,-144.562666667,-171.985666667,-134.160777778,-152.955,-142.198666667
226.88,-78.6195555556,-84.0908888889,-98.0641111109,-84.6802222222,-90.6566666668,-91.9191666667,-112.878555555,-81.9024444444,-93.6025555555,-82.7441111111
227.26,-56.4926666667,-62.6505555556,-71.7537777778,-62.9853333333,-66.4992222222,-69.1766666667,-84.8728888889,-58.7684444444,-69.6115555556,-60.1738888889
227.64,-50.669,-55.5557777778,-62.4782222222,-55.9627777778,-57.7952222222,-60.2386111111,-73.5311111111,-52.5307777778,-61.4308888889,-52.7633333333
228.01,-50.7478888889,-53.5792222222,-59.5617777778,-54.0063333333,-54.9413333333,-59.0811111111,-68.9636666667,-50.3741111111,-57.5853333334,-53.2585555556
228.39,-41.2231111111,-42.0635555556,-47.4788888889,-43.0438888889,-42.9271111111,-49.1595555556,-56.4425555556,-39.9625555555,-45.7516666667,-41.5498888889
228.76,-36.6038888889,-38.2388888889,-41.8451111111,-37.8616666667,-38.9518333333,-43.1864444445,-49.0565555555,-35.3878888889,-39.3712222222,-35.8491111111
229.14,-36.0912222222,-38.219,-38.2191111111,-36.1702222222,-36.978,-40.1692777778,-47.2023333333,-33.4908888889,-37.8644444444,-35.2638888889
229.52,-28.1622222222,-29.6994444444,-30.6777777778,-28.8958888889,-29.6121666667,-31.8308888889,-39.1335555556,-26.8692222222,-29.1753333333,-28.7911111111
229.89,-21.0802222222,-20.9257777778,-23.2715555556,-21.1727777778,-22.2685555555,-23.7807777778,-30.895,-19.2285555556,-21.7284444444,-22.5308888889
230.27,-18.8405555556,-20.32,-21.1957777778,-20.3803333333,-19.9275555555,-22.0410555555,-29.0458888889,-18.1763333333,-20.1387777778,-22.5846666667
230.65,-21.2912222222,-21.922,-22.7626666666,-21.4415555555,-21.6816111111,-22.6127222222,-30.9008888889,-20.3303333333,-21.2613333333,-25.2553333333
231.02,-25.6148888889,-23.8717777778,-24.6807777778,-23.2804444444,-23.5606111111,-23.6694444445,-32.5553333333,-23.0003333333,-24.4317777778,-29.5673333333
231.40,-28.7757777778,-27.2454444444,-27.2455555556,-27.3121111111,-27.4117777778,-27.2955,-36.161,-27.0127777778,-29.2414444445,-33.566
231.78,-25.7888888889,-24.4855555556,-24.0055555556,-25.8915555556,-25.2401111111,-24.9828888889,-34.1564444444,-26.406,-27.0234444444,-31.207
232.15,-23.2257777778,-21.6844444444,-21.7922222222,-24.2294444445,-23.4767777778,-21.7740555556,-32.2581111111,-24.8746666667,-25.8424444444,-30.7528888889
232.53,-23.9488888889,-24.8873333333,-25.075,-26.3515555556,-25.8258888889,-22.5225555555,-34.7597777778,-26.6141111111,-30.03,-33.7086666667
232.90,-21.2122222222,-22.8955555555,-23.6437777778,-24.4295555556,-23.7748333333,-20.2395555556,-32.3605555556,-25.0281111111,-28.1706666667,-32.6598888889
233.28,-19.4352222222,-20.5721111111,-23.3224444444,-22.9555555556,-21.8920555556,-19.6552777778,-30.7297777778,-24.019,-26.476,-31.0962222222
233.66,-21.7717777778,-23.0106666667,-24.0992222222,-24.2492222222,-25.6568333333,-21.8843333333,-32.6951111111,-25.7131111111,-30.3304444445,-32.3573333333
234.03,-21.5967777778,-23.6938888889,-24.0986666667,-23.694,-25.0182222222,-20.5297222222,-31.3833333333,-24.2825555556,-29.3965555555,-30.574
234.41,-18.2863333333,-19.7491111111,-20.2715555555,-19.8885555555,-22.0827777778,-18.0425555555,-28.5963333333,-20.0627777778,-26.6805555556,-27.6212222222
234.78,-16.4163333333,-17.3173333333,-18.5185555556,-18.7187777778,-20.6873888889,-17.7511111111,-27.2272222222,-18.0515555555,-24.391,-26.2263333334
235.16,-18.5518888889,-20.2536666667,-21.2212222222,-22.4225555556,-24.0575,-21.3046111111,-31.0308888889,-20.1535555556,-27.6275555556,-28.7622222222
235.54,-17.81,-19.4201111111,-21.2235555556,-20.934,-22.7375,-20.8696666667,-31.2722222222,-18.7761111111,-24.541,-26.57
235.91,-18.9231111111,-20.2302222222,-21.1015555556,-21.5065555556,-23.6850555556,-22.16,-31.4035555556,-18.8607777778,-25.2412222222,-27.1087777778
236.29,-18.7086666667,-19.1591111111,-20.1802222222,-21.2313333333,-23.4534444445,-22.7627777778,-29.94,-18.1982222222,-24.5645555555,-25.4354444445
236.66,-18.4995555556,-17.5757777778,-19.0762222222,-20.3462222222,-22.0922222222,-22.6983333333,-28.0228888889,-18.5282222222,-22.4531111111,-24.762
237.04,-19.7185555555,-17.3558888889,-19.522,-20.9283333333,-22.1377777778,-23.1786666667,-28.3826666667,-19.3248888889,-23.1223333333,-25.1193333333
237.41,-19.4858888889,-17.0813333333,-19.4581111111,-22.3603333333,-22.4296666666,-23.0928333333,-27.7224444445,-19.7345555556,-23.0792222222,-24.7651111111
237.79,-19.1598888889,-17.1544444445,-20.0268888889,-22.1408888889,-21.0976111111,-23.4282777778,-27.317,-19.8915555556,-22.1137777778,-24.1734444444
238.17,-21.5088888889,-19.4788888889,-21.7557777778,-24.5815555556,-23.1275555556,-26.1452777778,-29.6296666667,-22.771,-24.0328888889,-25.9257777778
238.54,-20.6997777778,-19.5245555556,-21.7414444445,-24.3055555555,-22.9566666667,-25.5476666667,-27.7778888889,-23.344,-23.5041111111,-23.8514444444
238.92,-16.7544444445,-16.9803333333,-16.8797777778,-20.8927777778,-18.8989444444,-21.3819444444,-22.222,-20.4164444445,-19.5637777778,-19.8643333333
239.29,-12.7546666667,-13.9814444444,-12.9398888889,-16.9674444444,-15.1852222222,-17.5001111111,-17.5925555556,-16.8981111111,-15.3936666667,-15.9258888889
239.67,-10.4807777778,-11.3631111111,-11.048,-14.7027777778,-12.5393888889,-14.8709444444,-14.0305555556,-14.0936666667,-12.9173333333,-13.6313333333
240.04,-8.64833333332,-9.36255555557,-10.0396666667,-11.9758888889,-10.1052222222,-12.6715555556,-12.3331111111,-11.9758888889,-10.8855555556,-10.7352222222
240.42,-4.90188888889,-6.37244444443,-6.50333333333,-8.00666666667,-6.07838888889,-8.16994444444,-8.93788888888,-7.90844444445,-7.05877777778,-6.81377777778
240.79,-1.16822222222,-2.86322222222,-2.72077777778,-4.11677777778,-2.6425,-3.58972222222,-5.14266666667,-3.50433333333,-3.11977777778,-2.63533333333
241.17,-0.692111111111,-1.461,-1.34555555555,-2.87077777778,-1.78766666667,-2.32611111111,-4.15222222222,-2.28133333333,-1.75566666667,-1.29422222222
241.54,-1.05388888889,-1.134,-1.306,-2.68055555555,-2.23355555556,-2.33088888889,-4.32988888889,-2.22222222222,-1.59233333333,-1.04244444445
241.92,-0.256222222222,-0.0717777777767,-0.522444444444,-1.73088888889,-1.55155555556,-1.19788888889,-3.51244444444,-1.30066666667,-0.573333333334,-0.235555555554
242.29,0.947,1.50966666667,0.581444444445,-0.553222222221,-0.398444444443,0.0561666666667,-2.27855555556,-0.0563333333333,0.731333333333,1.31266666667
242.67,0.658444444447,1.82366666666,0.835999999999,-0.596,-0.467055555557,0.302333333333,-2.233,0.133333333334,0.969666666667,1.468
243.05,-0.129666666667,1.78255555556,0.00855555555567,-0.882777777779,-1.20288888889,-0.0432222222233,-2.93355555556,-0.0864444444433,0.380888888889,1.15088888889
243.42,-0.415222222221,1.56788888889,-0.364333333333,-1.12722222222,-1.64838888889,-0.300833333333,-3.47477777778,-0.457777777778,-0.0764444444423,0.974777777777
243.80,-1.08688888889,1.03611111111,-0.547555555556,-1.71855555555,-2.50622222222,-0.496833333332,-4.153,-1.19633333334,-0.884333333334,0.715888888888
244.17,-1.02233333333,1.07255555555,-0.293222222223,-1.98577777778,-2.37555555556,-0.125777777778,-3.97177777778,-1.17311111111,-0.678777777778,0.728777777779
244.55,-1.78577777778,0.768777777776,-0.75222222222,-2.571,-3.03822222222,-0.636722222221,-4.31544444445,-1.70311111111,-1.02522222222,0.256222222222
244.92,-2.58666666667,0.15122222222,-1.43266666667,-3.39866666667,-4.00755555556,-1.66344444445,-5.28488888889,-2.64255555556,-1.76688888889,-0.485333333333
245.30,-2.36722222222,-0.22388888889,-1.67266666667,-3.45722222222,-4.26361111111,-1.89677777778,-5.65277777778,-2.74033333333,-1.86666666667,-0.769222222221
245.67,-1.27622222222,0.430222222223,-0.887666666667,-2.38566666667,-3.19044444444,-0.825444444443,-4.86188888889,-1.81722222222,-0.978000000001,0.09711111111
246.05,-0.935,0.678777777777,-0.73011111111,-2.03644444444,-2.62894444444,-0.329722222221,-4.50844444444,-1.31933333333,-0.620999999999,0.512444444444
246.42,-0.742,0.836222222222,-0.41811111111,-1.73722222222,-2.32,0.114833333334,-4.05122222222,-0.889111111112,-0.365111111111,0.706666666667
246.79,-0.361666666668,1.18233333333,-0.129555555555,-1.09066666667,-1.76822222222,0.677555555556,-3.62266666667,-0.291666666664,0.313111111111,1.096
