wavelength,Back_ThrBonm,Belly_ThrBonm,Breast_ThrBonm,Crissum_ThrBonm,Crown_ThrBonm,DorTail_ThrBonm,Patch10_ThrBonm,Patch11_ThrBonm,Rump_ThrBonm,Throat_ThrBonm,WingTip_ThrBonm
624.62,9.52866666668,62.9659333333,57.6832,52.0347666667,16.0234,11.4504,15.9618,13.3494,52.7159333333,18.3348666667,12.1442555556
624.95,9.494,62.9376,57.6772,52.0534,16.0101333333,11.4538,15.9858,13.3156666667,52.6990666667,18.3573666667,12.1468444444
625.28,9.37673333335,62.8732,57.6354666667,51.9975333333,15.8868,11.3710666667,15.8402666666,13.1698,52.6867333333,18.2841,12.0421666667
625.61,9.33193333333,62.8397333333,57.6544,51.9529666667,15.8189333333,11.3219333333,15.8004,13.1265333333,52.6536,18.2072,11.9905444445
625.95,9.31433333333,62.7981333333,57.5966,51.8840333333,15.7936666667,11.3251333333,15.7827333333,13.1168,52.6089333333,18.2293333333,11.9575555555
626.28,9.40406666667,62.8853333334,57.6624666667,52.017,15.8139333333,11.3929333333,15.8143333333,13.1814,52.6174666667,18.2861666667,12.0432777778
626.61,9.41533333334,62.8912666667,57.6991333333,52.0392666667,15.8342666667,11.4102666667,15.7858,13.1491333333,52.6405333333,18.3100666667,12.033
626.94,9.43146666667,62.992,57.8326,52.1125666667,15.8912,11.4184,15.8224,13.1926666667,52.7596,18.3566,12.0822333333
627.28,9.47439999999,63.1596,58.0256,52.2721333333,15.9270666667,11.4574666667,15.886,13.2418666667,52.9596,18.4082333333,12.1415888889
627.61,9.54506666667,63.2699333333,58.1349333333,52.3822333333,15.9835333333,11.5056666667,15.9520666667,13.2792666667,53.046,18.4448333333,12.1931777778
627.94,9.56333333335,63.3459333333,58.2431333333,52.4995,16.0118666667,11.5469333334,15.985,13.3001333333,53.1604666667,18.4804,12.2407333333
628.27,9.68059999999,63.4312666667,58.3739333333,52.6062666667,16.0804666667,11.6351333333,16.0868,13.3912,53.3100666667,18.5887333333,12.3570888889
628.61,9.68073333333,63.5352666667,58.4848666667,52.6946333334,16.0526,11.6451333333,16.1010666667,13.3802666667,53.4543333333,18.5642666667,12.3472444444
628.94,9.69019999999,63.5332,58.5394,52.7051666667,16.0669333333,11.6178,16.1050666667,13.3918666667,53.4763333333,18.5399333333,12.3544333333
