wavelength,Back_LanLeum,Belly_LanLeum,Breast_LanLeum,Crissum_LanLeum,Crown_LanLeum,DorTail_LanLeum,Patch10_LanLeum,Rump_LanLeum,Throat_LanLeum,WingTip_LanLeum
213.30,-14.6327,42.0235818182,1.80793333334,23.277,-33.4463047618,-24.9655666667,29.3785333333,-29.6044666667,34.0677,-5.42380000007
213.68,-17.4854333333,39.6597333333,-5.96486666672,16.0818,-41.1444666666,-27.4203592593,24.9122666667,-38.1287333333,27.1930333333,-10.2924666666
214.06,-29.5333333333,30.3030303031,-24.5333333334,4.2666666666,-64.6761904762,-43.7111111111,6.00000000007,-56.9333333333,14.5333333333,-26.5333333333
214.44,-14.4,41.0545454545,-8.93333333328,26.5333333334,-51.1428571429,-32.3037037038,22.1333333333,-42.0,38.1333333333,-11.9333333333
214.81,-32.8068666667,44.218439394,-11.5788666667,10.7893999999,-73.0200428573,-50.6433259259,18.4210666667,-69.6491333333,47.9824666667,-22.2806333333
215.19,-39.5062333333,70.3029666665,8.395,9.1357666666,-84.9205761906,-67.393725926,29.3826000001,-80.4937999999,69.136,-14.0741333333
215.57,-17.8049333333,42.6681454545,15.4472000001,7.23586666668,-51.2891666666,-36.6125814814,20.1625333333,-44.7155333333,49.9188,-4.87800000008
215.95,2.22223333332,47.5884454545,35.9722,23.6806666667,-25.5059047619,-17.3457888889,32.0834,-22.5000666667,59.2362333333,6.18043333334
216.32,-17.2044,59.1397848484,41.0751333333,32.3655,-52.1813857144,-32.9151555555,43.2258,-43.4408666665,87.6344333333,4.83883333334
216.70,-65.3333333334,15.1393939394,8.53333333332,-25.3333333334,-120.0,-94.6814814815,-2.66666666666,-99.7333333335,55.4666666667,-40.4000000001
217.08,-57.9166333334,-5.34104545456,25.0,-14.5834666668,-123.412690476,-74.8302148149,-0.277733333274,-109.444466667,51.3889333333,-35.8334666667
217.46,-183.888866667,-83.6615939393,-29.9999999998,-91.9443333334,-297.023876191,-165.370444444,-51.6668000002,-281.666533333,33.3332000001,-106.388833333
217.83,-134.722266667,-29.4191303029,22.2222,-44.7223333332,-223.373057143,-98.2098185184,6.66673333326,-205.555533333,70.5553333333,-60.8333333333
218.21,-252.222233333,-26.7676272729,97.7777333332,-59.4444000001,-414.126966667,-126.172777778,78.8888666666,-324.4444,171.1111,-103.888933333
218.59,-184.5455,-34.9035272728,5.45453333334,-103.636333333,-238.051919048,-112.053951852,2.42433333334,-210.303066667,11.5152000001,-116.0606
218.97,-66.9446,-7.0075939394,14.4444666667,-19.861,-101.071395238,-56.1573518519,-1.11100000014,-78.8888666667,6.25006666674,-53.7501333333
219.34,-108.2716,-63.6586636364,-46.1728666669,-54.1974333335,-144.550133333,-108.532103704,-56.0493333333,-121.2346,-53.3333333333,-105.061666667
219.72,-198.444466667,-102.646466667,-111.111066667,-110.6667,-265.777885714,-213.086403704,-105.777666667,-251.5556,-122.666766667,-197.333266667
220.10,-225.555533333,-131.030215152,-185.777933333,-159.111033333,-299.206352381,-255.975359259,-145.333333333,-297.7778,-167.7777,-221.333466667
220.47,-139.5238,-77.7056969697,-118.0954,-104.4445,-200.340095238,-181.922251852,-99.6825333334,-212.381,-119.0478,-151.269666667
220.85,-53.0208333333,-18.1723484848,-54.9999999999,-36.0416666666,-100.446428572,-101.469907407,-32.2916666666,-112.708333333,-50.8333333333,-75.5208333333
221.23,-24.3589666667,7.6613030303,-36.0683333333,-5.29913333333,-58.0098476191,-68.4996703703,-6.1539333334,-78.4615333333,-23.5897000001,-40.4272666667
221.61,-3.75000000001,30.6363636364,-9.66666666672,19.1666666667,-32.9523809524,-48.5740740742,15.5000000001,-58.0,-1.58333333334,-27.6666666666
221.98,-8.51843333333,29.3518848486,-15.3704,20.7407,-38.5054142858,-62.7469444445,13.8889333333,-75.9259333334,0.555533333273,-48.4258333333
222.36,25.0641333333,53.0768939393,21.9231333333,44.9999666667,11.2544666667,-14.0954074074,40.6410666667,-22.6924,36.5383,-0.512799999994
222.74,52.9166666667,72.7651515153,33.9999999999,65.0,21.7142857143,-10.2314814815,65.6666666666,-24.0,53.5833333333,14.8333333334
223.11,39.0742333333,60.7744666666,-16.2964,58.7037000002,-27.2221285714,-87.8806074075,80.3704000001,-128.888933333,17.5925666667,-36.6666333333
223.49,54.3211,81.5488484849,29.1356666667,64.8148333334,18.5362285714,-12.9903148147,100.0,-53.8272000001,54.4444333333,2.59266666666
223.87,15.6059999999,57.9889818183,2.4243333332,70.1515,1.29871904763,-38.2827481483,91.2121333333,-77.8787333335,46.3636666667,-33.1818333333
224.24,30.1448000001,74.6377181817,34.2030666669,72.4637666666,17.8674666666,-15.3301740742,100.8696,-41.1594666667,58.6958666666,4.20283333326
224.62,26.6666666667,70.6639787879,20.6348666668,72.0635333332,-3.71880476186,-23.3861703705,100.317533333,-45.0792666668,46.9842666666,-12.6984000001
225.00,35.2778333333,82.2349151516,37.2222666667,96.389,21.7261285715,33.4260148149,113.3334,-5.83339999994,56.5276666667,22.4999666667
225.38,-51.1111333327,474.040339394,144.444333334,427.777766665,-45.7142476192,159.506048147,695.555400001,-171.111000001,228.888799999,62.2224000007
225.75,28.8235666665,108.003636364,50.1960666667,103.3334,22.0168952381,80.5012777778,149.804,15.2940666667,60.9805333333,55.2941333333
226.13,70.6666333333,96.7777333332,75.3333333335,93.0001,56.4603761904,92.1235481482,121.555466667,63.9999999999,88.9998333333,90.4444666666
226.51,60.8823333334,71.9339606062,57.4510666667,70.4901000002,44.299704762,86.2310037037,103.137266667,56.0784666668,79.0196666667,75.4899999999
226.88,43.688,52.0051151515,49.3616666667,47.234,31.3069761905,59.2987148148,74.7517999999,42.9786666667,61.7730666667,54.5388666666
227.26,49.6409666667,56.5594363636,55.6920666667,47.0770666667,40.3809761905,56.7977851852,70.4615333333,48.1026,68.5641333333,59.1282
227.64,59.3719666667,64.6465848485,61.3526666667,61.4976,48.0675523809,69.6402851852,79.1304000001,58.744,79.2270333333,75.8453333333
228.01,67.2941,64.2496090909,67.1374,63.1373333333,52.1119285714,69.8257740741,79.5294666667,60.0783333333,76.4313333333,74.0391666667
228.39,62.6041333333,59.6558666667,61.4584,63.5417,51.0268714286,67.1875333333,74.3749999999,55.2082,72.0833333333,65.9721999999
228.76,60.6853666667,61.3565848485,63.3646,62.8660666667,54.0677190476,68.0894592593,74.5172,56.8223333333,71.7757,68.7850333333
229.14,63.4098333333,67.7360454545,68.8888,60.5747333333,58.0732523809,71.9582740741,83.0652,56.0152666667,77.9309666667,77.0497999999
229.52,57.7550333333,63.0302484848,67.619,57.9591666667,54.4460285714,67.9288666667,79.3197333334,53.0612666667,71.5305,70.3061333334
229.89,55.4211666667,61.3952939394,65.3479333333,58.9745,51.9832904762,64.7457592593,79.8533333333,51.7948666667,71.2455333333,69.8168000001
230.27,42.2745333333,54.0462333333,57.5687333333,55.5294333333,44.5546190476,55.5118962963,74.5097333332,42.5882,64.1174333333,56.4313333333
230.65,34.8420666667,48.7847393939,52.0704,52.1755333333,37.1880333333,47.5047111111,64.7016666666,35.0878,55.5438333333,46.9472666667
231.02,27.6984,44.2315181818,46.4286,53.8095,31.8423952381,47.1429555555,62.8572666666,30.9524,54.3253666667,42.7776333333
231.40,25.7291,42.1621818182,43.611,52.6388666666,28.561452381,47.9631185185,58.4029333333,28.9582666667,46.8055,37.4653
231.78,16.6315333333,30.4912121212,34.6667333333,38.6665333333,18.2205428571,37.7036666667,42.7368666667,15.0176,33.4034,23.1578333333
232.15,4.62366666667,20.5929909091,23.2974666667,24.3368666667,5.91905238094,27.2122148148,30.1792,4.15773333333,22.258,15.7705333333
232.53,-11.8293333333,7.46865757578,10.6504,10.1626666667,-8.87924285714,14.2096333333,21.0568666667,-13.5771333333,10.6503666667,3.0894
232.90,-42.0429666667,-20.7428848485,-16.8817333333,-12.7956666666,-38.6483095238,-8.13036296297,1.1828,-44.8386666667,-13.9785,-27.7956333333
233.28,-22.9386,-8.07024545455,-3.85973333333,2.89473333332,-22.2367904762,4.49821851851,10.3509333333,-21.8421333333,0.7455,-13.2017666667
233.66,-23.5021333333,-11.5610939394,-4.13513333333,0.08446666666,-27.9987619048,0.435996296294,7.76373333333,-22.1940666667,7.67933333334,-16.7932666667
234.03,-22.7272333333,-8.66978181817,-6.83986666665,-2.55410000002,-26.5120857143,6.22907407409,9.69699999999,-23.29,4.8052,-18.2685
234.41,-6.1447,2.63596969697,4.65866666666,7.91156666666,-14.0274285714,20.0803185185,21.5261333334,-11.2450666667,7.99186666667,-3.25293333334
234.78,6.02999999999,14.6748181818,14.3072,18.9513,-0.97375238096,29.5754814815,35.5804,2.09740000001,19.0262333333,12.7714333333
235.16,14.2448666667,23.2055121212,21.0415333333,23.5938,10.0632809524,31.3484148148,36.0416,11.8228,23.724,19.7396666667
235.54,9.39143333333,19.7162030303,17.4602,18.545,5.38548571427,28.4155814815,29.4708666667,8.78306666667,22.7513666667,17.8835
235.91,18.0821666667,24.5849090909,24.2923333333,24.8173666667,13.2942619048,34.2314407407,36.9406666667,18.9954666667,30.3195333333,25.8904
236.29,26.6452333333,33.8170545455,33.1197333333,33.8674,24.0569285714,42.6899444445,46.3675333333,29.0598666667,40.4486666667,35.4273
236.66,30.2995333333,36.2691424242,35.3693333333,36.9461333333,27.6959095238,45.7573518519,47.3452,33.6128,43.1736333333,38.3634333333
237.04,33.3510333333,40.7107515152,38.8652666667,39.7339,32.317652381,49.3912962963,48.1561333333,36.5957333333,46.6490333333,43.4219666667
237.41,33.5406666667,39.6592787879,37.7990666667,39.1866,32.4720333333,47.5349074074,46.252,36.1085333333,44.1307666667,42.5040333333
237.79,35.7926333333,41.520530303,37.5702666667,40.5778333333,35.2488714286,48.6699888889,45.363,36.8592666667,43.6740333333,43.4815333333
238.17,35.2082,40.4949,37.8054666667,40.8749333333,34.9423428571,46.3086037037,44.3610666667,36.7222,42.986,42.0416
238.54,32.9933,38.3128212121,35.1838,38.4353,33.1525714286,43.8095703704,43.3468666667,34.2040666667,43.0885666667,41.2518333333
238.92,29.04,33.4121212121,31.76,33.9466666666,29.4152380952,39.7362962963,39.2266666667,30.8,37.9466666667,35.88
239.29,29.3691,32.5489666667,32.0714,34.2934,29.1925285714,40.573062963,40.4390666667,29.7943333333,36.0494666667,37.0644666667
239.67,30.5099,32.701230303,31.6667333333,33.4949666667,30.8546666667,38.3194925926,41.4926,28.9302666667,35.0996,35.5845333333
240.04,27.5234,31.7711909091,29.5774666667,30.4577,29.3007714286,35.1616592592,40.3989333333,26.1736,32.2769666667,33.2510666667
240.42,23.7474666667,27.9502636364,24.862,27.0061666667,25.4505238095,31.2833481481,36.5816666667,22.8450666667,27.2610666667,28.2483333333
240.79,20.1556666667,23.9451333334,20.9706666667,23.5441,20.9731904762,27.8226,33.1867333333,20.1281333333,22.4908666667,24.8075333333
241.17,16.1442333333,19.6945848485,16.8821333334,19.5521666667,17.6438047619,23.4116777778,30.8622,16.1194666667,18.3582,20.9037333333
241.54,13.7405,17.9480090909,15.3244,17.7073666667,15.6884809524,22.7535259259,29.4571333333,13.5143333333,16.4631,18.4689333333
241.92,13.5241,17.3420424243,15.16,17.4369333333,15.7588904762,22.1003259259,29.7612666667,12.9514,15.8483666667,18.4115666667
242.29,14.1788666667,17.5962606061,15.3431333333,17.4019,15.7773190476,21.9036592593,30.0244,13.2964666667,16.7341333333,19.2157
242.67,13.0716333333,16.3052060606,14.198,16.3139,14.0305571428,20.3324777778,28.1797333333,12.4459333333,14.9260666667,17.5938666667
243.05,12.5551,15.8031969697,13.4436666667,15.4967,13.5769476191,19.8239925926,27.3510666667,11.2362,14.4701666667,17.2790666667
243.42,13.8781333333,16.672430303,14.1132,16.5224333333,14.7694619048,20.1929074074,28.4295333333,12.468,16.2391666667,18.1516666667
243.80,13.9653666667,16.1777757576,14.0704666666,17.3301333333,14.3330857143,20.3060703704,28.2990666667,12.3538,15.8031333333,18.7254333333
244.17,13.7049,15.2204212121,13.0076,17.1909666667,13.5703333333,19.7942111111,27.196,12.0712,14.9059,18.1170666667
244.55,13.5916666667,14.371230303,13.4725333333,16.2394,13.1474285714,18.9920333333,27.0839333333,10.9588,14.4908666667,17.8689
244.92,13.7005,14.6077636364,14.2296666667,16.4187666667,13.6446857143,19.0135,27.382,10.3196,14.9354666667,17.7540333333
245.30,14.1293666667,14.7232939394,14.6878,16.4687666667,13.6229238095,19.1526407407,27.1944,10.8002666667,15.0043666667,17.7176666667
245.67,12.5993,12.801369697,12.9080666667,14.4805666667,11.9334285714,17.7119407407,25.6397333333,9.61886666667,13.8066666667,16.4420333333
246.05,11.1296666667,11.8073909091,11.5332666667,12.7370333333,10.6836333333,16.3411296296,24.637,8.63706666666,12.5407,15.1814666667
246.42,9.97596666667,10.8984484848,10.5048,11.5619666667,9.59596190476,15.1985296296,23.5428666667,7.38753333333,11.1190333333,14.116
246.79,10.2408,11.4548636364,10.9314666667,11.3908,10.3363190476,16.0009037037,24.2522666667,7.61733333333,11.6191,14.5309666667
247.17,10.2685333333,11.6491727273,10.7880666667,11.6258,10.1810095238,16.1997148148,24.5942666667,7.95106666666,11.5965,14.5854666667
247.54,8.61343333333,10.6562181818,9.36126666667,10.2548333333,8.81442380952,15.1152259259,23.4902,6.79553333333,10.0391666667,13.2129333333
247.92,8.04113333333,10.2336787879,8.97560000001,9.35593333333,8.41869047619,14.8246037037,23.1893333333,6.63933333333,9.8586,12.5725666667
248.29,7.74986666667,10.1005878788,8.97386666667,8.9982,8.19930000001,14.5320962963,23.1520666667,6.34713333333,9.65883333333,12.2448666667
248.67,7.30123333333,10.0209969697,8.42039999999,8.87250000001,7.94041904763,14.2939037037,22.9193333333,6.133,9.3737,12.0073
249.04,7.50413333333,10.2855393939,8.66333333333,9.00726666667,8.42488095237,14.3814111111,23.0726666667,6.60006666667,9.9668,12.421
249.42,7.86986666667,10.8183909091,9.00906666666,9.63093333334,8.8238142857,14.8823407407,23.6732,7.06186666667,10.5549333333,12.8103333333
249.79,9.72709999999,12.832030303,11.0389333333,11.2029333333,10.4496714286,15.8660259259,25.4076666667,8.64486666666,12.4278666667,14.6914666667
250.17,10.3296333333,12.896639394,11.2759333333,11.6320666667,10.7056809524,15.8767592592,25.4137333333,8.401,12.7266666667,15.1072333333
250.54,10.4227333333,13.1190212121,11.817,11.8065666667,11.0691333333,16.2357777778,25.7512666666,8.6304,13.1936333333,15.5031666667
250.92,9.43266666666,12.113130303,11.034,11.3699333333,9.87686666667,15.0450703704,24.4644666667,7.78666666667,11.9671333333,14.6658
251.29,8.82153333334,11.3042090909,10.4469333333,10.4784333333,9.30344285715,13.8288333333,23.4876,7.05426666667,11.4392666667,14.1636333333
251.66,9.38663333334,11.2325424242,10.6942,10.6780333333,9.29777142857,13.9134925926,23.4462666667,6.59406666667,11.8522666667,14.3543666667
252.04,8.59269999999,11.089730303,10.3445333333,10.025,8.82998095239,13.4583444444,23.4372,5.88626666667,11.2578666667,13.6861333333
