wavelength,Back_SerAlbm,Belly_SerAlbm,Breast_SerAlbm,Crissum_SerAlbm,Crown_SerAlbm,DorTail_SerAlbm,Patch10_SerAlbm,Rump_SerAlbm,Throat_SerAlbm,WingTip_SerAlbm
197.03,557.142866666,624.2858,594.761866667,452.381066667,351.190366667,540.476066667,754.761933333,648.412733334,508.5714,659.5239
197.40,301.777666667,339.1112,329.777866667,252.222333333,207.5556,290.4444,398.666733334,344.000044445,292.0,350.3334
197.78,255.897466667,290.598333333,276.923066667,210.427466667,192.222266667,240.0,338.119666667,289.971577778,247.179466667,290.427333333
198.16,198.0,224.533333333,219.333333333,169.466666667,154.266666667,189.733333333,265.466666667,222.933333333,191.333333333,221.666666667
198.54,149.178733333,164.6376,166.956466667,131.0144,117.826133333,138.164133333,193.816466667,163.349444445,143.285,166.9564
198.92,168.585866667,181.414133333,189.798,145.7576,144.545533333,148.989933333,212.525333333,185.521955555,163.636333333,183.232266667
199.30,240.289733333,255.5072,274.058066667,212.753533333,217.681266667,205.3624,300.724733333,263.285066667,232.173933334,267.8986
199.68,210.440333333,217.232666667,236.226466667,189.8112,191.320633333,183.6478,263.396333333,228.721266667,199.4968,233.5849
200.06,191.7576,197.939333333,221.090866667,175.1516,179.2121,166.666666667,250.787866667,212.201888889,183.0304,219.212166667
200.44,189.888866666,197.2222,224.444466667,175.444466667,179.333266667,164.7778,249.4444,209.889044444,183.555533333,215.1111
200.82,219.7222,218.611133334,267.083533333,202.6388,206.4584,184.999933333,291.9444,234.027711111,208.889,247.7084
201.19,220.889,217.777733333,284.444533333,203.4074,215.925933333,182.518466667,299.2592,237.9754,211.703666667,251.4816
201.57,247.154533333,244.227733333,322.927,227.479666667,241.9512,206.0162,332.032466667,269.051688889,235.284533333,283.4147
201.95,232.6086,222.463733334,309.2754,222.6088,226.7391,195.072466667,307.536133333,250.338222222,221.739066667,267.318866667
202.33,280.166666667,271.0,371.0,264.333333333,266.25,227.5,364.0,299.722222222,264.666666667,319.666666667
202.71,378.850666667,360.919666667,493.103466667,341.839066667,355.632133333,296.781733333,483.448266667,402.298755556,349.1954,425.287333333
203.09,308.6488,289.910066667,396.2162,281.801666667,270.180166667,239.459466667,392.252266667,313.513688889,278.3784,342.973033333
203.47,201.505333333,193.978533333,258.602133333,185.913933333,174.946166667,156.774266667,254.7312,202.222088889,182.365533333,215.8065
203.85,206.145666667,205.312266667,263.0206,194.687333333,184.479066667,158.749866667,261.978866667,212.187177778,193.958133333,218.1768
204.22,209.619,211.4286,265.4286,201.809533333,190.2857,169.142933334,266.381,215.968244445,200.952466667,223.761966667
204.60,204.504466667,205.855866667,257.027066666,202.792733333,191.1713,168.1982,260.991066667,212.432466667,199.999933334,220.585666667
204.98,183.412733333,184.682533333,229.6032,183.095133333,170.7142,153.650933333,235.793733333,196.058133333,184.444266667,202.222233333
205.36,200.253333333,200.421866667,240.168666667,196.962066667,185.443033333,168.016866667,253.080066667,210.351755556,199.831333333,221.139166667
205.74,182.093,184.031,215.038666667,179.4574,171.007866667,152.480733333,231.860466667,187.726,182.0156,203.992366667
206.12,187.3484,188.106066667,214.166733333,179.394066667,174.469666667,158.787866667,231.590933333,191.161644445,184.469733334,205.947133333
206.50,170.384533333,165.961666667,190.577,157.9486,161.6026,144.102666667,204.294933333,172.414533333,169.423066667,184.9359
206.87,173.8366,167.547333334,192.5158,160.377266667,164.936933333,148.113333333,208.6792,172.431888889,175.471733333,186.069233333
207.25,187.56,182.9554,210.790333333,174.226666666,182.749133333,167.2852,228.4536,190.309222222,193.745666667,205.3952
207.63,203.777733333,195.777866667,226.518533333,186.074066667,199.555566667,182.962933333,245.777733333,208.715955556,209.777866667,220.925933333
208.01,218.9682,209.206466667,241.983933333,195.873066667,213.253966667,196.1112,261.507933333,220.925822222,220.317466667,234.7221
208.39,213.492133333,203.5714,232.777866667,190.317533333,207.023966667,189.9206,252.222333333,213.571333333,214.761866666,226.7064
208.77,237.297266667,221.2612,255.2252,207.2072,226.9821,209.3694,275.045133333,228.708866667,232.7928,250.090333333
209.14,255.362333333,243.864666667,274.589333333,230.627933333,252.802133333,228.502333333,294.492866667,244.734266667,248.7924,266.4733
209.52,276.6122,267.431733333,306.011,252.787,274.152933333,245.792466667,321.7486,268.0874,271.693933333,286.885166667
209.90,366.814666667,352.2962,405.9258,342.814866667,366.518533333,324.7408,423.111066667,356.691333333,360.2962,375.777833333
210.28,437.3334,416.9524,488.381133333,417.143,445.523766667,382.0952,507.4286,419.746,432.1904,453.619066667
210.66,994.222266667,947.555533333,1107.11106667,952.888933333,1013.33333333,878.666600001,1168.4444,952.8888,987.5554,1021.33333333
211.03,722.727266667,699.394066667,805.757599999,709.696999999,740.000066667,661.212133333,841.818133334,725.252533333,724.2424,757.272733333
211.41,641.866666666,610.400000001,703.466666667,630.400000001,645.199999999,567.733333333,736.799999999,640.0,635.466666666,658.133333333
211.79,553.8096,532.618999999,614.285733334,572.619,567.6191,492.142866667,641.428533333,560.9524,559.761866667,583.214266667
212.17,334.1844,321.134733333,374.467933333,349.787133333,344.397166667,297.872333333,385.9574,336.879511111,341.985866666,358.368866667
212.55,327.755066667,311.8368,371.700733333,338.503466667,341.088466666,288.571466667,378.0954,334.013777778,341.4968,350.544233333
212.92,261.612733333,250.645133333,295.053733333,269.032133333,272.957,233.871,304.516133333,273.261755556,280.860133333,276.935366667
213.30,245.603866667,232.560333333,273.140066667,244.347866666,247.6812,219.0338,277.970866667,255.845466667,263.671533333,260.048366667
213.68,183.333466667,173.402866667,201.111133333,183.2638,182.8125,166.249933333,206.4584,188.8194,196.805666667,194.756866667
214.06,146.2086,140.865266667,161.424933333,147.277466667,145.419866667,133.6388,165.8014,150.229066667,156.8448,155.012666667
214.44,148.423733333,144.547866667,165.684866667,152.144733333,148.3722,138.087733333,169.0956,152.110177778,162.273933334,158.785533333
214.81,142.646266666,140.203533333,162.1374,150.737933333,141.882966667,133.231666667,162.493533333,147.582688889,156.997466667,154.147633333
215.19,145.027333333,142.2952,166.994533333,157.759533333,145.3278,133.442666667,167.322333333,147.613933333,161.3114,158.032833333
215.57,149.616466667,150.6194,174.454266667,163.244866666,151.002866667,137.522133333,174.100333333,154.493622222,167.4336,161.740366667
215.95,168.712933333,166.4686,193.597266667,175.907666667,166.402566667,151.353266667,192.805333333,169.504888889,182.1122,177.9208
216.32,180.071,177.730533333,206.453933333,182.695,174.999966667,157.659466667,205.886466667,179.598133333,194.9646,189.042533333
216.70,192.142933333,194.7618,219.682533333,196.508,187.5795,170.952333333,221.904733334,189.894311111,208.412733333,202.8571
217.08,215.7406,218.240666667,249.4444,220.370333333,208.1018,186.4814,250.277666667,212.746888889,232.777733333,227.916666667
217.46,233.1034,230.459733333,279.0804,241.724,227.930833334,197.931066667,282.183866667,229.272066667,256.436733333,249.942666667
217.83,272.0,267.333333333,330.533333333,278.133333333,265.533333333,230.133333333,328.8,271.733333333,299.066666667,291.666666667
218.21,402.828333333,387.8788,485.252533333,403.030466667,383.737333333,336.5656,478.181866667,403.434311111,437.373666667,434.848566667
218.59,464.666533333,446.666733333,548.222266666,450.6668,430.222133333,379.3334,539.999933333,471.407377778,492.000066667,493.3332
218.97,428.541666667,405.625,503.541666667,413.958333333,404.270833334,337.5,498.125,428.472222222,442.916666667,458.229166667
219.34,523.076933333,496.153733333,609.230733334,499.487066666,493.717933333,415.1282,604.871666667,525.640933334,534.8718,552.5641
219.72,653.939466667,585.4546,730.606066667,611.212200001,598.333299999,507.5758,742.121266667,635.454488888,652.121266667,683.787933333
220.10,513.8096,469.0476,577.619066667,492.857133333,472.619033334,411.6666,587.381,512.222266666,529.523866667,547.8571
220.47,726.0,657.333333333,810.333333333,715.333333333,683.166666667,600.0,816.333333334,725.777777777,733.666666667,776.0
220.85,824.313733332,719.215733334,917.254933333,803.529466666,757.8432,659.999866667,905.098066667,818.823422222,805.098066666,865.0979
221.23,1192.7778,1048.8888,1310.55546667,1169.4444,1095.27773333,967.777733333,1289.44426667,1189.07393333,1152.22226667,1250.5555
221.61,1670.37033333,1481.4816,1765.1852,1597.77773333,1519.25936667,1338.5186,1760.74066667,1628.39511111,1570.37053334,1689.99983333
221.98,-900.444400001,-803.999933333,-937.777800001,-871.111133333,-829.333433333,-719.111133334,-965.333333333,-873.629511111,-844.8888,-923.7777
222.36,-411.333333333,-365.333266667,-422.0,-391.555666667,-384.111133333,-313.1112,-440.666666667,-394.814844444,-380.888866667,-421.3332
222.74,-292.991466667,-253.333533334,-298.461533333,-270.5982,-282.307666667,-217.7778,-313.675133333,-279.316355555,-268.717933333,-301.196666667
223.11,-200.5846,-173.099533333,-196.257333333,-176.608133333,-187.0175,-149.824533333,-211.111266667,-186.510733333,-183.3918,-199.064166667
223.49,-183.615733333,-160.226066667,-188.2486,-161.808,-174.2938,-137.401333333,-202.146933333,-175.630911111,-171.751266667,-181.073466667
223.87,-135.333266667,-124.6668,-144.952466667,-123.523933333,-134.999966667,-104.0,-154.095266667,-132.063533333,-131.714266667,-136.2858
224.24,-97.9423333334,-90.0412666667,-108.395133333,-90.6172000001,-98.4774333333,-71.3579999999,-115.555666667,-94.7049777777,-97.6131333333,-98.0658000001
224.62,-72.8259999999,-67.6087333333,-83.6232666667,-65.4347333333,-71.9927333334,-48.4782666667,-90.2172666666,-72.9952666666,-76.6667333333,-69.8913333333
225.00,-65.1484666666,-62.9043333334,-75.5114666666,-60.1320666668,-64.9504999999,-46.7988,-82.5081333335,-66.4246444445,-72.6073333333,-62.9374666667
225.38,-52.3636666667,-50.7879333334,-64.6665999999,-49.8181999999,-52.0606333333,-35.2121333333,-69.0908666668,-52.4847111111,-59.8181999999,-49.7577333333
225.75,-41.9220000001,-47.0270666666,-57.057,-42.6425999999,-45.3454333333,-28.5886,-61.6816000001,-44.5845999999,-53.8737999999,-45.1651666667
226.13,-50.3029333333,-55.697,-65.3938666666,-47.7577333333,-50.2728333333,-32.8484,-67.1516666667,-51.7778666668,-61.091,-50.8182333333
226.51,-57.5975333334,-63.0029999999,-72.7327333334,-51.8317333333,-55.2852666667,-42.3423333333,-76.2161999999,-59.159088889,-68.8287999999,-56.6967
226.88,-59.8275999999,-65.1723999999,-72.5859999999,-55.7471333334,-54.5976666667,-44.4252,-77.7584000001,-60.3065777778,-68.3907333334,-59.3102333333
227.26,-50.7086000001,-59.6324666666,-65.4592666667,-50.8659333334,-48.6876333333,-39.0026666667,-69.7112666666,-54.2956888889,-61.1549333334,-53.2021333333
227.64,-41.1711333333,-49.7297333334,-51.4863999999,-40.0900666667,-36.8242999999,-28.3784666667,-54.8198,-43.5134222223,-47.8376666666,-44.7747333333
228.01,-34.0784666667,-41.0588666667,-43.0196,-31.9607333334,-28.4902333333,-21.3726,-44.3137333334,-36.7582222222,-39.8430666666,-38.0786
228.39,-34.1532666667,-40.2138666666,-40.713,-30.9090666667,-29.0731333333,-19.9288,-42.6024,-36.2447777778,-37.1835333333,-37.3795666667
228.76,-26.9725333334,-32.7216,-32.1408,-23.3639333333,-22.8594333333,-14.5872,-34.1284666667,-28.9296222222,-28.9601333333,-30.8257
229.14,-26.8414,-31.7904,-31.8194666667,-23.1731333333,-22.7073333333,-13.8283333333,-33.7992666667,-29.8594666667,-28.5007333333,-30.3930333333
229.52,-27.2222,-33.0556,-31.8334666667,-23.7499333333,-23.2222333333,-15.4723333333,-34.8055333333,-31.7129777778,-29.9722,-30.6250666667
229.89,-31.44,-35.6,-35.68,-28.5333333333,-26.2,-18.56,-37.92,-35.7155555556,-32.9866666667,-33.7733333333
230.27,-24.2424,-27.3939333333,-27.9757333333,-22.6182,-19.4302333333,-12.2910666667,-29.697,-28.4525111111,-25.8424666667,-26.9333333333
230.65,-20.6206666667,-23.2874,-25.1035333333,-20.5058,-16.5172,-9.19539999999,-26.1149333333,-24.9732,-22.5058,-23.3104333333
231.02,-15.8742,-18.3060666667,-20.7818,-15.8957333333,-11.2594333333,-4.40813333334,-20.4560666667,-20.5431555555,-19.3051333333,-17.0684666667
231.40,-15.9210666667,-16.0745333333,-19.8026,-14.8245333333,-9.89026666667,-3.26753333333,-18.6183333333,-19.5542,-18.2456,-15.9649
231.78,-12.2408,-11.9956666667,-15.8974666667,-10.2786666667,-5.91976666667,0.51286666666,-14.4927333333,-15.0725333333,-14.7602,-10.6912
232.15,-14.1550666667,-13.6386,-17.6056,-11.3616,-8.00483333333,0.070466666674,-15.7512666667,-16.6900666667,-15.8450666667,-11.1620333333
232.53,-15.4922666667,-14.923,-19.2408,-12.6926666667,-9.35939999999,-2.27766666667,-17.0818666667,-17.8805555556,-17.1529333333,-10.8541666667
232.90,-18.2950666667,-17.4045333333,-22.0864,-15.3434666667,-11.3485666667,-4.4528,-18.5750666667,-19.4995777778,-18.0151333333,-12.2264666667
233.28,-15.9164,-14.7355333333,-18.524,-11.7098,-8.90533333334,-2.7798,-15.0307333333,-14.9897333333,-13.8992,-9.7541
233.66,-15.7372666667,-13.7297333333,-17.3234,-11.0284666667,-7.6704,-1.70999999999,-12.6889333333,-13.8785333333,-11.8462666667,-9.24423333333
234.03,-13.0435333333,-9.78273333333,-13.6474,-7.99513333333,-3.84053333333,0.748733333335,-8.55086666667,-10.3946,-6.52166666666,-4.97579999999
234.41,-16.9496,-12.3738666667,-16.6051333333,-10.652,-6.94963333334,-2.1156,-11.3652,-12.9806666667,-8.58553333334,-6.6913
234.78,-13.6679333333,-8.91293333334,-12.1626,-6.834,-2.59253333335,1.19466666666,-6.83406666666,-9.04015555556,-4.22933333334,-2.09090000001
235.16,-15.8844666667,-10.9025333333,-14.4644666667,-9.28986666667,-5.70410000001,-2.11793333333,-10.1564666667,-12.1058444445,-4.95793333333,-4.86163333334
235.54,-15.9274,-12.9454,-15.2484,-8.33946666667,-5.61200000001,-2.86066666667,-11.4424666667,-12.6464444444,-5.38180000001,-5.26056666666
235.91,-18.7324,-15.7981333333,-16.8544666667,-10.7276666667,-8.57976666666,-6.50233333334,-14.4366666667,-14.9999111111,-7.4412,-8.65026666668
236.29,-17.4341333333,-14.7307333333,-15.1660666667,-10.4926,-7.51433333335,-6.094,-14.7994,-13.6387777778,-7.14766666666,-8.46503333333
236.66,-12.8252666667,-9.65073333334,-9.94713333333,-5.50253333332,-2.33853333333,-1.90473333333,-10.3703333333,-8.82542222222,-3.21700000001,-4.91013333333
237.04,-9.42646666666,-6.45293333333,-6.58886666666,-3.09033333335,0.583166666668,0.427533333334,-8.04666666667,-6.55657777779,-1.57440000001,-2.34206666667
237.41,-7.7204,-6.57086666667,-6.36019999999,-2.20299999999,1.67636666665,1.76246666666,-7.45213333334,-6.68577777778,-0.977066666673,-1.14936666667
237.79,-4.73106666667,-3.56619999999,-3.76346666667,1.00340000001,3.0108,3.96060000001,-5.55546666667,-3.7992,1.54120000001,1.37979999999
238.17,-6.01586666668,-5.18919999999,-5.59366666667,-0.246199999994,1.31909999999,2.93759999999,-7.45819999999,-5.33562222222,-0.914666666674,0.54523333334
238.54,-6.31046666667,-6.02193333333,-6.58186666668,-0.135800000008,0.754933333346,1.98466666666,-7.87120000001,-6.24257777779,-1.27226666667,-0.093133333334
238.92,-7.26693333333,-7.20193333333,-7.5264,-1.47620000001,-1.22466666667,0.956933333334,-8.53199999999,-7.94260000001,-2.3356,-1.16796666667
239.29,-6.45006666666,-6.51206666667,-6.07886666667,-0.912533333328,-0.231999999994,2.08819999999,-7.13073333333,-6.95035555556,-1.74793333333,-0.123700000008
239.67,-6.09126666667,-5.44566666667,-5.1228,-1.02446666667,-0.028166666674,2.76493333333,-5.33326666668,-6.43744444445,-0.645733333332,0.743966666668
240.04,-5.52566666667,-4.2052,-4.82046666666,-0.269333333326,0.410233333334,3.91026666667,-3.19233333333,-5.73084444445,0.115200000006,1.51273333333
240.42,-4.58466666667,-3.12859999999,-3.50393333333,0.750866666666,1.2059,4.99433333333,-0.682733333338,-4.59233333334,1.44473333333,2.79299999999
240.79,-4.53246666667,-3.80079999999,-3.7398,-0.203333333328,0.203433333339,4.97966666667,-0.223666666672,-4.53582222222,1.4024,2.88090000001
241.17,-4.26159999999,-3.85913333333,-3.68533333334,-0.347599999994,0.04103333334,4.8834,0.283600000002,-4.39568888888,1.45386666667,3.06350000001
241.54,-4.87133333334,-3.57406666667,-3.68006666666,-0.90573333334,-0.334566666673,4.32466666666,0.726333333334,-4.45531111112,1.24860000001,2.43980000001
241.92,-4.10319999999,-3.0644,-2.96126666666,-0.265266666674,0.25403333334,4.96499999999,1.87106666667,-3.71513333333,1.67953333333,3.03513333334
242.29,-2.28693333333,-1.70353333334,-1.51573333333,1.34146666667,1.48223333333,5.96913333333,3.46093333333,-2.13495555556,3.05826666666,4.175
242.67,-1.63793333333,-1.12813333334,-0.4206,2.0076,2.22746666667,6.51373333333,4.31486666667,-1.2874,3.75406666666,5.24536666666
243.05,-1.51266666667,-0.958599999995,-0.130666666667,2.17233333333,2.72323333333,6.62320000001,4.59373333333,-0.881822222223,4.06466666667,5.0669
243.42,-2.52966666667,-1.97980000001,-1.09373333333,1.47266666667,2.07456666667,5.54853333333,3.77026666667,-1.71095555556,3.38533333333,4.18876666667
243.80,-1.86953333334,-1.76126666667,-0.715466666667,1.56906666667,2.42246666667,5.82506666667,3.90126666667,-1.20228888889,3.61893333333,4.41843333334
244.17,-1.6784,-2.13780000001,-0.865733333333,1.15433333333,2.31736666667,5.40633333333,3.58066666667,-1.35648888888,3.30973333333,4.41419999999
244.55,-1.80906666667,-2.49553333333,-1.2682,0.901733333333,2.26296666667,5.2938,3.28093333333,-1.5377111111,3.07746666667,4.61293333334
244.92,-1.39706666667,-1.95573333333,-0.732066666667,1.54226666667,2.79133333333,5.57133333333,3.74413333333,-1.17726666666,3.6714,4.9456
245.30,-1.33746666667,-1.40486666667,-0.3992,1.5138,2.97043333333,5.858,3.8052,-0.907222222215,3.68073333333,4.99466666667
245.67,-0.636466666672,-0.914733333335,0.0660000000014,1.83886666667,3.305,6.31773333333,3.99813333333,-0.4604,3.984,5.60346666667
246.05,-0.747666666666,-0.982266666667,-0.0348,1.56006666667,3.46366666667,5.993,3.90686666667,-0.531666666669,3.92873333333,5.51933333333
246.42,-0.980000000001,-1.0844,0.0159999999994,1.3936,3.41563333333,5.95973333333,3.87153333333,-0.684088888888,3.78713333333,5.49213333333
246.79,-0.629333333334,-0.710733333331,0.274000000001,1.53986666666,3.70166666667,6.07073333333,4.13113333333,-0.419533333333,3.9644,5.64699999999
247.17,-0.2332,-0.3704,0.524666666668,1.965,4.03963333333,6.4232,4.4444,-0.145222222222,4.15313333333,6.04939999999
247.54,0.828333333332,0.588999999999,1.4854,2.87693333333,4.8981,7.51786666667,5.5728,0.839355555556,5.06146666667,6.99026666666
247.92,0.851866666668,0.842333333331,1.4992,3.11493333333,4.9819,7.792,5.83686666667,1.02668888889,5.27106666667,7.03133333333
248.29,0.849466666668,1.08633333334,1.6096,3.33333333333,5.23856666667,8.07633333333,5.9248,1.08862222222,5.61393333333,6.98993333334
248.67,0.766999999998,1.0998,1.6174,3.22553333333,5.2266,7.8404,5.8504,0.984666666666,5.56073333333,6.68683333333
249.04,1.0134,1.5122,1.97626666667,3.5608,5.85406666667,8.20713333334,6.17733333333,1.23093333333,5.76306666667,6.90510000001
249.42,1.431,1.8728,2.4432,4.19053333333,6.56443333333,8.69426666667,6.83813333333,1.68253333333,6.38966666667,7.48256666667
249.79,1.39793333333,1.8734,2.2814,4.08366666667,6.66316666667,8.7102,6.8618,1.57768888889,6.55666666667,7.51823333333
250.17,1.49386666667,1.78053333333,2.36493333333,4.1338,6.67423333333,9.00106666667,6.88826666667,1.59826666667,6.76986666667,7.7346
250.54,1.71153333333,1.8296,2.4492,4.2746,6.91106666667,9.29906666667,6.90706666667,1.79291111111,7.01313333333,7.85259999999
250.92,1.51853333333,1.31953333333,1.90353333333,3.7506,6.43746666667,9.15420000001,6.38113333333,1.25175555556,6.68833333334,7.39786666667
251.29,1.21626666667,1.10746666667,1.73373333333,3.4716,6.12213333333,8.98566666667,6.3172,1.01211111111,6.69860000001,7.38603333333
251.66,0.996599999998,1.07193333333,1.49506666667,3.2064,6.0249,8.90913333334,5.91933333333,0.985755555554,6.5396,7.24736666667
252.04,1.7544,1.52686666667,2.38493333333,3.75526666667,6.90383333334,9.43106666667,6.38686666667,1.73068888889,6.90386666667,7.82833333333
252.41,2.1048,1.77653333333,2.80473333333,3.83786666667,7.34243333333,9.47646666667,6.62813333333,2.20786666667,7.01419999999,8.37316666667
252.79,2.42246666667,1.97193333333,2.7228,4.13273333333,7.49763333333,9.57373333334,6.40000000001,2.34497777778,7.2432,8.71116666667
253.16,2.29693333333,1.56453333333,2.17726666667,3.72193333333,6.95810000001,9.44193333334,6.08373333333,2.10106666667,7.09526666666,8.44553333333
253.54,2.20873333333,1.41713333333,1.9064,3.41393333333,6.49016666667,8.97133333334,5.6026,1.99711111111,6.76759999999,7.97776666667
253.91,2.60826666667,1.732,2.475,4.06353333333,7.07666666666,9.39806666667,5.91333333333,2.69542222222,6.97406666667,8.32183333333
