wavelength,Back_DigHumf,Belly_DigHumf,Breast_DigHumf,Crissum_DigHumf,Crown_DigHumf,DorTail_DigHumf,Rump_DigHumf,Throat_DigHumf,WingTip_DigHumf
574.19,6.9712,7.39753333333,6.29066666666,8.49619999999,5.6832,7.3565,8.74499999999,6.66103333333,8.59413333333
574.53,6.9613,7.38413333333,6.26575,8.47160000001,5.68626666667,7.3275,8.73160000001,6.6387,8.5764
574.87,7.0067,7.42453333333,6.29616666667,8.5048,5.73213333333,7.3849,8.78773333332,6.6665,8.63166666667
575.21,7.0168,7.43346666667,6.30941666667,8.52386666666,5.7538,7.3771,8.79779999999,6.65136666667,8.62133333333
575.55,7.023,7.4192,6.31591666667,8.51353333334,5.7572,7.37763333333,8.78873333332,6.62426666667,8.61106666667
575.89,6.9452,7.3508,6.219,8.43526666667,5.66286666667,7.28956666667,8.71066666667,6.54956666667,8.51933333333
576.22,6.96296666667,7.39046666667,6.25891666667,8.45353333335,5.68986666667,7.3187,8.74153333333,6.56993333333,8.53206666667
576.56,6.94556666666,7.37626666667,6.27075,8.44093333334,5.71686666667,7.35296666667,8.73360000001,6.55123333333,8.5476
576.90,6.96453333334,7.41226666667,6.2895,8.46793333333,5.761,7.37523333333,8.77926666667,6.59563333333,8.57193333333
577.24,6.88606666667,7.33166666667,6.22,8.39366666668,5.6948,7.29216666667,8.70053333333,6.51823333333,8.5092
577.58,6.82626666667,7.27646666667,6.16141666667,8.34046666667,5.61033333333,7.25036666667,8.65646666667,6.45996666667,8.4804
577.92,6.8432,7.2768,6.13141666667,8.36013333333,5.60886666667,7.24943333333,8.66460000001,6.4723,8.4788
578.26,6.81696666667,7.23553333333,6.10333333333,8.34946666666,5.57586666667,7.24363333333,8.64313333333,6.46986666667,8.47146666667
578.60,6.75353333333,7.19446666667,6.0755,8.28626666667,5.48246666667,7.17033333333,8.55213333333,6.40276666667,8.3798
578.94,6.80346666667,7.2286,6.09283333333,8.31906666665,5.5046,7.21376666667,8.61093333333,6.4588,8.42326666667
579.28,6.78693333333,7.2194,6.08391666667,8.32806666667,5.47606666667,7.20653333333,8.60473333333,6.47266666667,8.4122
579.61,6.8833,7.312,6.1985,8.42193333332,5.59253333333,7.3063,8.69120000001,6.55286666667,8.5172
579.95,6.94563333333,7.34546666667,6.21666666667,8.46940000001,5.66073333333,7.34,8.71180000001,6.60033333333,8.561
580.29,6.95806666667,7.36026666667,6.22875,8.47726666666,5.6392,7.33063333333,8.70860000001,6.61333333333,8.56313333333
580.63,6.91563333333,7.30226666667,6.17891666667,8.42126666667,5.59013333333,7.26553333333,8.65713333334,6.5393,8.49426666667
580.97,6.98723333334,7.4066,6.24975,8.48360000001,5.695,7.3473,8.7398,6.6026,8.57033333333
581.31,7.06546666667,7.489,6.3145,8.58113333333,5.811,7.42446666667,8.80546666667,6.72886666667,8.64806666667
581.65,7.02666666667,7.46393333333,6.30875,8.55353333333,5.78373333333,7.39126666667,8.77199999999,6.6911,8.64886666667
581.98,7.01603333333,7.44926666667,6.297,8.5226,5.75926666667,7.3535,8.74319999999,6.65983333333,8.61813333333
