wavelength,Back_IriPorf,Belly_IriPorf,Breast_IriPorf,Crissum_IriPorf,Crown_IriPorf,DorTail_IriPorf,Patch10_IriPorf,Patch11_IriPorf,Rump_IriPorf,Throat_IriPorf,WingTip_IriPorf
192.85,54.4581111111,93.4157777777,56.1042222222,87.3235098039,106.447222222,96.5705555557,140.054888889,104.115444444,73.6625555554,46.7762222222,78.9438888889
193.23,43.6868888889,86.6162222221,38.6363333333,74.9405490196,93.8132222221,81.3132222222,119.570777778,92.4241111111,56.9444444445,38.005,64.0781111111
193.61,48.5641111111,88.639111111,37.0786666666,80.2674117647,94.2573333332,75.0312222223,115.980111111,91.8851111111,55.4306666667,41.1984444445,66.7291666667
193.99,48.1481111111,81.8517777778,25.5556666667,82.4256535948,90.7408888888,68.6421111111,108.765444444,90.7406666667,54.3207777777,39.753,60.4937777778
194.37,48.1858888889,78.458,27.5511111111,83.0733464052,83.3333333333,63.0386666667,105.555666667,90.5895555556,50.6802222222,42.2902222222,50.4536111111
194.75,37.5285555556,65.7597777778,19.8412222222,71.4419477124,69.9546666667,46.2585555555,95.2381111112,79.7052222222,33.7867777778,34.127,30.3288888889
195.13,31.76,53.9822222222,16.9125555556,57.6609869281,59.6853333333,36.2831111111,82.9892222222,67.1582222222,28.0235555555,26.3517777778,24.0411666667
195.51,22.9357777778,41.2844444444,5.81044444443,47.4425490196,48.726,22.834,76.8603333333,57.3902222222,14.373,17.9407777778,12.8442222222
195.89,24.4647777778,39.4496666667,12.4361111111,47.3825620915,55.7595555555,19.0623333333,76.6565555556,59.5312222222,16.1061111111,20.7951111111,16.7686666667
196.27,23.8684444445,35.6995555556,8.12766666667,46.7197843137,51.749,19.3416666667,78.6008888889,55.1441111111,12.7572222222,17.6953333333,14.0432222222
196.65,11.8116666667,15.8157777778,-1.20099999998,31.6257450981,36.2363333333,6.30622222223,63.964,39.7396666667,-0.600666666677,2.30211111111,-2.30216666667
