wavelength,Back_ChlNitm,Belly_ChlNitm,Breast_ChlNitm,Crissum_ChlNitm,Crown_ChlNitm,DorTail_ChlNitm,Patch10_ChlNitm,Patch11_ChlNitm,Patch12_ChlNitm,Patch13_ChlNitm,Patch14_ChlNitm,Rump_ChlNitm,Throat_ChlNitm,WingTip_ChlNitm
184.11,-2329.16666667,-2261.11111111,-2265.27777778,-2329.16666666,-2265.27777778,-2069.76851852,-2376.38888889,-2383.33333333,-2088.88888889,-2150.0,-2191.66666667,-2436.11111111,-2138.88888889,-2304.16666667
184.49,-644.841333333,-636.904777778,-642.857111111,-657.539666667,-641.269888889,-586.124362963,-659.126944445,-666.468277778,-578.571222222,-595.238111111,-615.476111111,-673.412666667,-592.857,-631.349333333
184.87,-644.444555555,-650.396666667,-667.857111111,-673.809444445,-655.158555556,-593.796296296,-656.349055556,-689.682666667,-594.444555556,-602.380888889,-639.285555556,-684.920666667,-601.984111111,-640.873
185.25,-438.055555555,-428.055555556,-452.777777778,-458.888888889,-434.722222222,-398.759259259,-437.916666667,-462.222222222,-381.388888889,-403.611111111,-426.944444444,-460.277777778,-405.555555556,-426.388888889
185.63,-306.464555556,-297.171666667,-328.080777778,-324.040555555,-298.585777778,-281.050562963,-298.282888889,-324.848444444,-259.192111111,-285.454444444,-295.151555556,-327.070777778,-290.505111111,-296.161666667
186.01,-330.128222222,-322.008555556,-350.427333333,-350.854555556,-329.700666666,-305.455666667,-317.948833333,-337.713611111,-274.359,-304.487222222,-315.812,-359.615222222,-310.897444444,-316.025666667
186.39,-328.511666667,-332.704333334,-354.297555556,-358.071333333,-340.461333333,-311.93562963,-323.480222222,-335.744444445,-288.260111111,-314.884666667,-331.236888889,-358.071222222,-317.61,-316.771555556
186.77,-232.864,-244.444222222,-261.033,-261.345777778,-250.391222222,-225.341722222,-235.915555555,-244.992222222,-215.336444445,-223.004777778,-244.913888889,-258.685444445,-228.012555556,-235.837333333
187.15,-181.395333333,-192.765111111,-203.230111111,-204.005111111,-198.062,-177.368592593,-185.142055556,-187.3385,-170.026,-175.839666667,-197.416,-205.814,-177.132,-188.630555555
187.53,-163.285111111,-177.898666667,-182.729555555,-186.473444444,-182.970888889,-158.341496296,-171.135166667,-168.840666667,-152.777666666,-161.594111111,-174.879333333,-188.526666667,-166.908,-170.169222222
187.91,-140.453111111,-157.065666667,-157.065777778,-162.675333333,-160.949222222,-135.613062963,-151.941722222,-145.954666667,-131.499333333,-139.590222222,-151.887777778,-163.430444444,-142.826222222,-141.639777778
188.29,-153.647444444,-174.859777778,-169.360111111,-173.512777778,-175.757555556,-148.933762963,-166.947111111,-163.973166667,-149.382555555,-157.463555556,-169.809,-180.807888889,-155.780222222,-155.555666667
188.67,-169.038444444,-192.384555556,-187.141,-188.264777778,-193.383111111,-161.889248148,-182.896277778,-181.2735,-164.044666667,-173.283222222,-188.764,-198.876555556,-175.281222222,-173.408222222
189.05,-152.637555556,-174.971777778,-170.258333333,-172.054,-177.104444444,-151.013525926,-170.202111111,-165.880888889,-152.300888889,-157.800222222,-174.186111111,-180.359,-159.371444444,-158.585888889
189.43,-217.105222222,-251.023333333,-240.643333333,-246.344888889,-251.900555556,-217.241774074,-243.713388889,-238.011666667,-230.994222222,-228.508888889,-254.970777778,-255.701888889,-225.584888889,-231.432888889
189.81,-204.115111111,-241.015,-224.005555555,-230.452555556,-240.191888889,-204.042255556,-232.030055556,-223.251055556,-224.691222222,-209.328,-243.621444444,-245.130333333,-215.912333333,-221.124777778
190.19,-200.686,-247.188,-223.594111111,-225.788777778,-238.271666667,-207.119374074,-236.145388889,-222.976833333,-228.395111111,-210.013777778,-248.285444444,-244.581666667,-218.381444444,-220.027555555
190.57,-193.650777778,-236.375666667,-211.375444444,-210.846666667,-223.941888889,-198.712733333,-226.322833333,-211.375611111,-215.740666667,-201.190555556,-233.333444444,-233.597777778,-214.021111111,-209.126888889
190.95,-216.738888889,-268.542666667,-235.064888889,-238.816888889,-253.102555556,-227.388218519,-252.597388889,-237.662277778,-237.662555555,-230.158777778,-259.740222222,-262.337777778,-246.320555556,-232.034666667
191.33,-332.539666667,-399.801666666,-351.587333333,-358.333333333,-377.579444444,-347.004077778,-379.762,-363.492166667,-358.333333333,-352.182444444,-387.698555556,-395.039666666,-379.563555556,-343.849222222
191.71,-321.247555556,-389.473777778,-345.809,-354.580888889,-362.378111111,-340.370240741,-373.684222222,-353.898666667,-359.844111111,-345.418888889,-380.117111111,-389.668555556,-369.785444444,-335.282777778
192.09,-310.370333334,-371.296333333,-335.926,-332.222222222,-349.999777778,-335.024722222,-357.4075,-333.425888889,-354.444444444,-338.333444444,-357.222444444,-370.185111111,-360.370444445,-319.629666667
192.47,-362.179555556,-436.965777778,-396.154,-395.299111111,-411.111222222,-398.240896296,-426.388888889,-388.248055555,-416.239444445,-399.786222222,-416.880333334,-431.410222222,-425.427333333,-379.487222222
192.85,-398.611111111,-487.268444444,-434.259333334,-430.555555556,-453.240888889,-442.098688889,-483.680388889,-430.787055556,-465.740777778,-448.611111111,-464.351777778,-481.25,-468.055555556,-422.685111111
193.23,-421.739111111,-516.183666667,-455.314,-441.546111111,-475.362222222,-464.098407407,-506.280055556,-452.173888889,-501.449333333,-472.463777778,-485.265666667,-505.797,-498.550666667,-450.966222222
193.61,-310.752555556,-384.946111111,-331.899555556,-322.043111111,-350.537777778,-344.384555556,-370.878055556,-330.734833333,-363.440888889,-344.982111111,-347.670333333,-370.071666667,-377.598666667,-331.182888889
193.99,-373.931666667,-456.837777778,-395.299,-389.102333333,-420.726555556,-423.183740741,-451.281888889,-399.358888889,-435.683777778,-422.649666667,-411.111222222,-435.256333333,-450.854555555,-400.213555556
194.37,-395.111111111,-468.666666667,-406.222222222,-406.0,-443.333333333,-440.148148148,-476.444444445,-414.888888889,-452.666666667,-447.555555556,-427.111111111,-448.0,-475.111111111,-419.333333333
194.75,-306.193,-381.420777778,-327.868777778,-321.493555556,-353.916333333,-350.856,-384.517277778,-329.690277778,-358.287777778,-359.562888889,-341.712,-359.016111111,-372.495444444,-336.429888889
195.13,-258.888888889,-322.857111111,-281.111111111,-269.523777778,-295.238222222,-295.650914815,-338.651,-276.746055556,-309.523777778,-310.317444444,-289.841222222,-309.523666667,-312.222222222,-286.349111111
195.51,-250.980444444,-322.712555556,-283.006444444,-266.993555556,-294.281111111,-297.075244445,-341.421333333,-273.366111111,-308.823444445,-310.784333333,-287.581777778,-312.091444445,-303.594888889,-288.398666667
195.89,-316.161555556,-415.959555556,-361.818222222,-341.010111111,-383.838333333,-375.649733333,-432.323277778,-345.858388889,-377.575888889,-394.747444444,-368.888777778,-393.737222222,-391.313111111,-369.090888889
196.27,-292.460333333,-399.206111111,-339.087222222,-325.396777778,-368.651,-351.005218518,-404.761777778,-323.115111111,-351.587222222,-378.372888889,-358.531777778,-378.571333333,-373.015888889,-354.761777778
196.65,-228.240777778,-316.049444445,-267.747,-249.074111111,-290.432111111,-277.186222222,-314.428944444,-255.324222222,-277.469111111,-293.209888889,-280.709888889,-302.932111111,-295.524555556,-278.549444444
197.03,-260.437666667,-348.653,-298.821555555,-281.986444444,-327.104333333,-304.528744444,-347.138,-281.9865,-310.101,-319.360333333,-307.744,-337.710444444,-330.134888889,-307.912333333
197.40,-254.144666667,-345.855333333,-292.592555555,-280.599666667,-325.925777778,-302.539674074,-348.412666667,-276.896,-299.470888889,-313.403888889,-298.765444444,-339.506222222,-327.336777778,-307.231
197.78,-352.415444445,-485.265555556,-410.144888889,-393.719666667,-461.594333333,-427.399285185,-489.7345,-389.251222222,-419.565222222,-439.855111111,-430.193333333,-476.57,-450.241444445,-428.744
198.16,-452.252333333,-624.925,-525.225222222,-506.606555556,-587.987888889,-540.160118519,-629.879833333,-500.150055556,-535.435444444,-557.056888889,-562.462555556,-609.009,-580.780555556,-545.946
198.54,-603.448222222,-826.82,-696.934888889,-681.609333333,-784.674444445,-707.956611111,-830.076722222,-656.8965,-708.812222222,-738.314222222,-731.417777778,-802.298777778,-777.394555556,-730.268222222
198.92,-1067.97377778,-1406.536,-1177.12433333,-1186.27444444,-1370.58822222,-1237.23294815,-1437.58183333,-1136.60127778,-1254.24833334,-1286.92811111,-1293.46411111,-1399.34633334,-1373.85588889,-1269.28111111
199.30,-2626.98411111,-3396.82544444,-2834.92066667,-2896.82522222,-3336.508,-3051.90484815,-3465.87305556,-2763.492,-3079.365,-3109.52366667,-3169.84133333,-3455.55544444,-3430.15866667,-3071.42855556
199.68,-786.473444444,-1010.14466667,-843.478222222,-860.869777778,-996.618333336,-904.991877778,-999.999888887,-826.328388889,-905.797111111,-892.753777778,-941.062666667,-1015.94188889,-1039.13044445,-914.492555556
200.06,-524.509888889,-673.529222222,-548.039222222,-556.535888889,-648.365777778,-599.542633333,-654.902,-547.712555556,-614.705777778,-596.405222222,-620.261444444,-674.509777778,-679.084888889,-606.535888889
200.44,-3300.0,-4116.66666666,-3396.29611111,-3470.37055556,-3931.48133333,-3696.6049037,-4055.55566667,-3462.03705555,-3820.37022222,-3672.22233333,-3761.11122222,-4153.70366667,-4153.70388889,-3794.44433333
200.82,1220.26144444,1476.47044444,1226.79733333,1268.62755555,1443.79088889,1343.02831852,1481.69922222,1261.11116667,1408.49666667,1352.94122222,1357.51622222,1477.77766667,1518.95411111,1375.16344445
201.19,755.555555556,910.714222223,749.206333333,784.127,886.111111111,842.473392593,914.881,775.992166667,891.269777778,849.206555555,857.936444443,891.269777779,934.920555556,854.365111111
201.57,696.774111111,845.519777778,694.265111111,722.222111111,817.562555556,783.440940741,855.018,720.788611111,836.559333333,800.358444444,807.168444444,812.186333333,858.781555556,777.777777778
201.95,1254.24844444,1509.15022222,1233.33333333,1280.39211111,1437.90844445,1407.95181111,1532.67966667,1275.49011111,1516.33977778,1418.30055556,1443.13722222,1451.63388889,1542.48366667,1383.00633333
202.33,1087.13444444,1298.83044445,1076.02333333,1102.92388889,1232.74844445,1229.74672963,1295.02911111,1082.45616667,1329.82455556,1217.54366667,1266.66666667,1257.89477778,1324.56144445,1176.60833333
202.71,2265.432,2730.86411111,2256.79011111,2287.65422222,2529.62944444,2584.81467407,2657.40744444,2248.7655,2764.19755556,2569.13577778,2711.111,2624.69144444,2743.21,2440.74077778
203.09,2026.66666667,2444.44444444,2100.0,2050.0,2266.66666667,2362.37037037,2357.22222222,2015.55555556,2426.66666667,2310.0,2427.77777778,2318.88888889,2433.33333333,2168.88888889
203.47,878.240555555,1058.79622222,909.259333333,873.611111111,991.666777778,1010.64825926,1007.63872222,874.074166668,1047.22233333,1003.24066667,1050.463,974.073999999,1022.68511111,939.814888889
203.85,676.388888889,821.875,707.986111111,683.333333333,765.972222222,780.428240741,793.923611111,674.652777778,825.347222222,806.25,828.819444444,751.736111111,789.930555556,729.861111111
204.22,439.957333333,521.153777778,463.034111111,441.880444445,492.307888889,506.011596296,505.662277778,434.722222222,532.264777778,516.025555556,533.333444445,477.136777778,517.094111111,471.794777778
204.60,492.929222222,595.959666667,528.787888889,505.808111111,563.383777778,581.515244445,572.096055556,494.318222222,615.151666667,593.939333333,616.161555556,536.868555556,587.626333333,541.666555555
204.98,703.968333333,870.635,767.460333333,736.904666667,815.873111111,843.743351852,836.7065,733.333277778,902.777666667,874.206222222,910.317444443,773.412666667,849.999888889,791.666555555
205.36,672.962888889,818.888888889,737.407333333,701.851777778,777.777777778,805.246762963,792.777833333,710.555777778,853.703777778,824.814777778,866.666555556,754.074,813.333333333,750.740666667
205.74,870.048222222,1035.26577778,931.884111111,916.908333333,989.855111111,1012.12551111,1003.14016667,898.067777779,1089.85522222,1049.27544444,1107.24622222,958.937222221,1045.41066667,957.970888888
206.12,675.095888889,790.804666667,727.586222222,716.091777778,769.348444444,782.566951852,774.138111111,695.593944445,846.360222222,836.398444445,860.919555555,725.670333333,806.513444445,752.107222222
206.50,718.93,835.390888889,771.605111111,764.197555556,829.218222222,832.688581481,852.057555555,742.180944445,891.358,904.526666667,906.172777778,763.786,862.962888889,801.646111111
206.87,982.09888889,1154.32111111,1081.48155556,1077.77766667,1145.679,1180.37031481,1199.07405556,1028.39505555,1253.70366667,1257.40755556,1241.97544444,1046.29633333,1225.30866667,1110.49377778
207.25,2083.33333333,2445.83333333,2270.83333333,2313.88888889,2450.0,2422.17592592,2532.63888889,2219.44444445,2772.22222222,2672.22222222,2612.5,2245.83333333,2655.55555555,2390.27777778
207.63,-3020.0,-3560.0,-3268.88888889,-3420.0,-3542.22222222,-3588.51851852,-3682.22222222,-3191.11111111,-4115.55555556,-3955.55555556,-3813.33333333,-3262.22222222,-3913.33333333,-3522.22222222
208.01,-4781.48166667,-5555.55566667,-5022.22211111,-5325.92588889,-5466.66655555,-5595.43190741,-5811.11105555,-5035.18511111,-6477.77788889,-6092.59255555,-5907.40744445,-5148.14822222,-6140.74055556,-5685.18511111
208.39,-820.138888889,-963.194444443,-834.027777778,-943.749999999,-920.138888888,-944.560185185,-1019.09722222,-859.722222222,-1128.47222222,-1063.19444444,-1024.30555555,-880.555555555,-1047.91666667,-972.222222223
208.77,-1454.32111111,-1674.07411111,-1414.81477778,-1659.25922222,-1545.67888889,-1612.79844074,-1795.67905556,-1465.43205556,-1916.04944444,-1812.34577778,-1769.13588889,-1496.29655556,-1835.80244444,-1619.75288889
209.14,1587.65422222,1776.54311111,1558.02466667,1790.12344444,1639.506,1708.68324445,1849.38272222,1557.40733333,2016.04922222,1981.48144444,1918.51844445,1623.45688889,1959.25933334,1727.16055556
209.52,6750.0,7561.11111111,6316.66666667,7650.0,6872.22222222,7194.81481481,8016.66666667,6483.33333333,8505.55555555,8588.88888889,8072.22222222,6483.33333333,8261.11111111,7261.11111111
209.90,974.603222222,1076.98411111,923.809555556,1068.25388889,985.714111112,1048.46565185,1126.98411111,914.285777777,1194.44444444,1192.85711111,1153.96833333,921.428555557,1165.87311111,1044.44455556
210.28,895.555555557,991.111,862.222111111,982.963000002,900.740666668,956.469211111,1049.99994444,838.148222222,1081.48155556,1077.037,1062.22233333,872.592555555,1089.62966667,956.296222221
210.66,1338.88888889,1448.88888889,1234.44444444,1461.11111111,1296.66666667,1371.66666666,1478.33333333,1214.44444444,1607.77777778,1584.44444444,1563.33333333,1274.44444444,1600.0,1400.0
211.03,670.0,692.222222222,584.444444444,700.0,635.555555556,662.666666667,710.277777778,596.666666667,800.0,765.555555555,784.444444444,650.0,757.777777778,668.888888889
211.41,577.314888889,583.796333333,490.277666667,591.666777778,539.814777778,578.642003704,610.4165,504.629555556,682.407555555,666.203555556,693.518333333,553.703777778,631.481444444,562.963111111
211.79,400.300222222,392.792888889,352.853,419.519555556,381.081,412.021970371,415.015055556,361.261166667,469.369444444,462.162111111,492.792666667,390.390333333,445.345555556,380.180222222
212.17,343.719888889,328.985444444,300.966222222,363.043444444,326.570111111,355.821196296,343.236611111,302.536111111,393.478222222,395.410777778,425.121,319.565222222,378.019444444,316.666777778
212.55,344.907333333,327.314888889,306.481444444,357.870444444,327.546333333,360.100233333,334.259166667,306.712888889,392.824222222,393.75,423.842666666,320.138777778,367.592555555,318.287
212.92,452.852666667,426.726666667,400.900888889,468.168333333,433.333333333,482.903037037,430.330333333,396.996944444,510.210222222,513.513555556,553.753888889,424.924888889,475.375222222,424.624555556
213.30,918.055555555,843.055555556,781.944444444,959.027777778,870.833333332,1012.77777778,860.069444444,783.333333333,1048.61111111,1026.38888889,1139.58333334,849.305555554,978.472222221,837.5
213.68,1900.0,1738.09522222,1631.74588889,2011.111,1819.04766666,2129.31218148,1684.12694445,1584.12688889,2198.41288889,2160.31733333,2452.38088889,1804.76188889,2095.23844444,1714.28544444
214.06,1136.111,1053.70366667,978.703777777,1241.66644445,1085.185,1291.88298148,1008.33338889,1017.59261111,1307.40755556,1337.03711111,1479.62977778,1123.14811111,1274.07411111,1034.25933333
214.44,574.074,544.444444444,495.370333334,650.925888889,542.592555556,671.790229629,504.398111111,547.685055556,675.463,690.740555556,756.481333334,575.463,658.796444444,544.444444444
214.81,382.716,372.222222222,339.506111111,438.580222222,357.098666667,455.987488889,338.425944444,375.0,451.543333333,465.123333333,503.395,385.802444444,444.444444445,366.666666667
215.19,445.926111111,429.629666667,398.518444444,519.629777778,407.777777778,518.888925926,379.6295,439.629611111,538.148111111,547.407333333,574.074111111,422.962888889,513.703666667,437.407444444
215.57,404.301111111,397.849555556,360.215,502.150555556,355.197333333,475.579488889,339.784944444,404.121888889,512.903222222,502.867444444,525.448,377.777666667,475.985777778,405.734777778
215.95,481.069888889,471.604777778,416.460777778,585.185444445,399.588555556,536.282566667,407.201722222,464.814888889,600.411444444,580.246888889,589.300333333,425.925888889,531.687333334,482.304666667
216.32,714.583333333,724.305555556,629.166666667,899.999999999,581.25,800.972222222,629.166666667,706.944444445,945.138888889,887.5,884.027777777,647.222222222,784.027777778,745.138888889
216.70,671.111111111,662.222222222,567.407444444,857.777888889,534.814888889,761.308759259,586.666833333,685.925888889,935.555555554,837.777777778,840.000000001,610.370222222,751.851777778,689.629666667
217.08,1295.23822222,1244.44455556,1085.71433333,1684.12688889,953.968333334,1496.03166667,1096.03166667,1372.22227778,1888.88877778,1642.85722222,1684.127,1190.47622222,1476.19044445,1331.74611111
217.46,449.758333333,419.323666667,370.531444444,557.004666667,333.333222222,499.178759259,399.516888889,469.565277778,627.536333333,573.429888889,558.454,422.705333333,479.710111111,465.217333333
217.83,1268.05555556,1118.05555556,1016.66666667,1568.05555556,838.888888888,1348.84259259,1117.36111111,1270.13888889,1738.88888889,1601.38888889,1543.05555556,1148.61111111,1340.27777778,1319.44444444
218.21,-4600.0,-3700.0,-3550.0,-5422.22222222,-2711.11111111,-4528.7037037,-3911.11111111,-4327.77777778,-6444.44444444,-5833.33333333,-5405.55555555,-3633.33333333,-4633.33333333,-4805.55555556
218.59,-561.437888889,-442.483666667,-440.522777778,-632.679555556,-343.790666667,-509.934807407,-469.934555555,-503.267944444,-788.889,-677.777777778,-656.862666667,-426.143666667,-527.451,-539.215777778
218.97,-265.686111111,-214.052222222,-203.268111111,-296.405111111,-164.706,-243.888785185,-225.816944444,-247.712666667,-392.156888889,-329.738666667,-319.934555556,-191.83,-242.156888889,-256.862555555
219.34,-377.366333333,-334.156333333,-308.642111111,-406.996,-260.905444444,-361.920433333,-348.559555556,-363.374277778,-529.629666667,-462.963111111,-458.024666667,-296.707777778,-355.555555556,-354.732444444
219.72,-596.913444444,-543.827222222,-518.518444444,-617.901333333,-435.802333333,-589.917851852,-566.049388889,-580.5555,-785.802555555,-718.518444444,-714.197555555,-485.185333334,-540.740888889,-562.345666667
220.10,-237.777777778,-216.944444444,-220.0,-244.722222222,-167.777777778,-233.574074074,-230.0,-235.972222222,-311.666666667,-286.666666667,-292.5,-196.944444444,-232.5,-221.666666666
220.47,-273.650777778,-233.015888889,-243.174555555,-279.365111111,-183.492111111,-266.444359259,-254.285666667,-270.952333333,-343.492,-310.476111111,-322.857111111,-222.539666667,-279.682666667,-227.936555555
220.85,-258.479666667,-219.883,-230.409444444,-271.637555556,-169.590555556,-245.302318519,-233.333277778,-249.415,-307.017444444,-288.011777778,-291.520333333,-203.801222222,-266.374111111,-217.251666667
221.23,-234.391555555,-198.148222222,-203.174444444,-247.354666667,-155.026333333,-208.08642963,-209.523833333,-219.444444445,-274.603,-253.703777778,-250.529,-168.254,-238.095333333,-186.507777778
221.61,-163.409888889,-142.337111111,-142.912,-172.413888889,-105.747111111,-140.529981481,-136.111111111,-143.9655,-184.482555556,-163.026777778,-171.456,-99.8084444446,-170.115,-124.712555556
221.98,-221.447,-214.728666666,-203.875888889,-239.534888889,-155.297111111,-204.151703704,-180.62,-206.330611111,-252.196444445,-225.839777778,-237.467666667,-134.625333333,-234.883888889,-171.059333333
222.36,-220.413444445,-230.491,-213.695111111,-254.522111111,-167.441888889,-217.846933334,-188.889,-215.762222222,-250.645888889,-236.175777778,-249.871,-145.736555555,-250.387555556,-170.542555556
222.74,-178.014111111,-179.432666667,-166.430222222,-198.581444445,-117.257777778,-173.609059259,-146.572111111,-171.867555555,-182.978777778,-189.834444444,-178.014222222,-102.364111111,-198.108555556,-117.257666667
223.11,-163.829888889,-157.919666667,-163.593444444,-191.489333334,-102.836777778,-166.776962963,-137.470388889,-156.855722222,-165.484888889,-169.739777778,-166.903,-95.7446666668,-185.106333333,-108.037777778
223.49,-136.477888889,-123.689666667,-134.591333334,-161.844888889,-80.503111111,-136.079655555,-107.756722222,-129.874166667,-132.075777778,-136.478,-131.865888889,-76.1006666668,-147.379444444,-90.7756666664
223.87,-101.065444444,-87.2145555555,-91.4763333335,-114.764222222,-59.8172222221,-91.2734592591,-68.4170555556,-90.5631111112,-91.019888889,-94.9771111111,-88.5844444445,-52.0548888889,-105.783777778,-59.8172222223
224.24,-105.470111111,-89.059888889,-85.4701111112,-125.128222222,-64.9572222221,-101.002666667,-67.0087222222,-91.1965555554,-100.171,-98.8033333332,-87.5213333333,-50.2563333333,-106.837444444,-63.7606666667
224.62,-73.2322222222,-56.8182222222,-53.2828888889,-86.1111111111,-44.5708888889,-62.7522518519,-40.9720555556,-58.9645555555,-62.3736666667,-71.5908888889,-60.100888889,-28.6615555556,-70.833,-41.0354444444
225.00,-54.6926666667,-40.2371111111,-38.08,-65.0486666667,-30.5285555555,-48.1696555556,-27.6698888889,-42.287,-44.5525555556,-55.6634444444,-47.2492222222,-16.8285555556,-50.4852222222,-28.1552222222
225.38,-54.4444444444,-40.4444444444,-36.8888888889,-65.1111111111,-32.4444444445,-51.1074074074,-25.3888888889,-42.5555555556,-47.2222222222,-56.3333333333,-46.1111111111,-17.8888888889,-47.5555555556,-26.8888888889
225.75,-70.1233333333,-56.6667777778,-53.8272222222,-82.9627777777,-45.3084444444,-70.888811111,-44.2593888889,-61.79,-64.9382222222,-76.9136666668,-62.963,-38.0248888889,-63.0863333333,-37.6542222222
226.13,-76.2887777778,-58.8774444444,-60.9391111111,-87.9724444445,-49.37,-71.2639777777,-53.6082222222,-66.495,-70.3322222222,-79.1524444444,-68.7285555557,-46.8497777778,-67.583,-43.299
226.51,-70.679,-50.4116666667,-56.9958888889,-80.7614444445,-43.2097777778,-63.9265481483,-45.2673333333,-61.5739444444,-65.3292222222,-67.4895555554,-61.9341111111,-44.5474444444,-64.0946666667,-40.9465555556
226.88,-68.595,-47.9338888889,-56.3818888889,-81.3591111112,-45.3627777778,-61.3867148148,-47.1073888889,-61.5243888889,-65.7483333333,-63.5443333333,-67.7686666667,-46.9238888889,-65.6565555556,-46.5566666667
227.26,-59.338,-40.6618888889,-47.9905555556,-69.4246666667,-39.3222222222,-50.1573888889,-39.2433333333,-53.5066666667,-54.0583333333,-54.6098888889,-56.6587777778,-39.9525555555,-62.3326666667,-40.7406666667
227.64,-46.128,-29.7642222222,-37.441,-55.0167777778,-29.6296666666,-39.1695333333,-30.3703333333,-43.6362777778,-43.9056666667,-42.5591111111,-44.5791111111,-30.1011111111,-52.1211111111,-29.5623333333
228.01,-53.2377777778,-33.9467777778,-43.2855555556,-60.4634444445,-32.1063333333,-47.2777740741,-38.6502777778,-52.2836666667,-50.9883333333,-47.7162222222,-50.1021111111,-36.6052222222,-56.7143333333,-35.242
228.39,-62.6322222222,-43.1878888889,-50.7936666667,-66.0054444444,-38.492,-53.9859407408,-45.7673888889,-59.7223888889,-57.672,-54.9602222222,-57.9363333333,-42.6586666667,-62.5,-40.2116666667
228.76,-73.835,-54.5521111111,-62.6521111111,-77.2042222222,-47.0252222222,-66.8050444444,-56.5588888889,-73.9785,-68.5305555555,-63.656,-68.2437777778,-52.8315555556,-73.3332222222,-50.466
229.14,-77.7097777778,-58.0776666667,-66.871,-82.4812222222,-50.1704444444,-70.5203148148,-63.8721111111,-78.6980555555,-70.893,-66.1214444444,-73.8243333333,-58.6231111111,-77.2323333333,-52.488
229.52,-78.8296666667,-56.739,-70.6115555556,-81.9197777778,-50.756,-70.5477925926,-66.601,-80.9665,-70.94,-68.2444444444,-76.0683333333,-60.355,-78.4353333333,-54.5694444444
229.89,-60.5,-39.1666666666,-51.3888888889,-63.2777777778,-35.8888888889,-53.0388888889,-48.6944444444,-61.2777777778,-53.2222222222,-50.2777777778,-57.5,-44.3888888889,-56.5,-40.0555555556
230.27,-51.2981111111,-31.2564444444,-43.3542222222,-55.8671111111,-31.2564444444,-47.194337037,-41.2255555556,-54.7766666667,-45.2753333333,-43.4058888889,-49.4806666667,-38.5773333333,-48.0271111111,-33.2814444444
