wavelength,Back_PieCinf,Belly_PieCinf,Breast_PieCinf,Crissum_PieCinf,Crown_PieCinf,DorTail_PieCinf,Patch10_PieCinf,Rump_PieCinf,Throat_PieCinf,WingTip_PieCinf
198.54,54.6031333335,169.523866667,68.2538666667,84.7619333332,42.5397333333,57.7778000001,-22.8571333333,-45.7143333333,91.4285333333,114.920666667
198.92,68.4058666667,182.028866667,90.7247333335,93.9130666667,48.9855999999,77.3912666667,-3.76813333334,-13.3333333333,109.275466667,121.739133333
199.30,173.333266667,377.222266667,199.444466667,195.0002,104.4444,217.777733333,19.4444666667,36.6667333333,235.5556,270.5554
199.68,110.107533333,180.000066667,112.043133333,117.419333333,79.5697999999,130.537533333,42.5807333333,61.0752000001,124.301066666,149.247266667
200.06,106.8026,143.673333333,100.000133333,100.952333333,84.2178666667,118.095333333,58.0952,76.1903999999,113.197266667,125.170133333
200.44,106.415066667,138.7422,104.276733333,101.132133333,90.6918,115.849066667,60.3773333333,78.7421333333,109.308133333,118.6162
200.82,92.7111333334,114.311133334,92.0,92.3554666666,80.7999333333,95.8223333334,61.6000666667,74.4889333333,93.0667333334,96.9778
201.19,73.6398666666,92.4137999999,72.3371333334,72.5668666667,65.2107333333,78.0843333334,46.0536,60.1532666667,76.5517333333,80.7662
201.57,65.5422666667,79.2770666665,62.008,62.9718,55.8233333333,65.6224666667,33.9758666667,52.9317333333,60.4015999999,70.5220666666
201.95,65.098,73.2548666667,61.3333333333,55.9216666667,54.0392,62.9803333334,30.1175333333,55.6862666667,53.1763333333,62.4314
202.33,61.5503999999,68.8372,59.8450666667,53.0233333333,52.2481333333,55.0388,28.8372666666,54.5736,46.5114666667,59.7674
202.71,55.6076666667,63.3725333333,54.1961333334,46.1177333334,49.5686,49.1764666666,26.6666,48.0783333333,40.549,50.2745333333
203.09,50.8175333333,57.2956,50.8805333333,42.7044,48.6164,46.2264666666,28.4277333333,46.7294666666,39.0566666667,47.8617333333
203.47,46.3516666667,54.2256666667,46.6142,40.1048666667,45.7742666667,42.9396,27.7691333333,45.1967333333,38.2676,44.8294666667
203.85,43.3333333333,52.4998,43.0392666667,35.5882,41.8627333333,37.2058,25.7844,41.8628,35.5882,40.3431333333
204.22,38.2324666667,47.7274,36.1112666667,28.1313333333,38.9898666667,30.4546,22.5253333333,37.6262666667,29.899,34.6464666667
204.60,39.1795333333,47.641,35.8974,28.8718,37.9487333333,27.7435333333,23.9487333334,41.4872,29.9487333333,36.8205333333
204.98,37.1078666667,41.5686,31.7159333333,23.9215333333,33.6275333333,21.8137333333,19.1176666667,38.5294,25.9314666666,34.0687333333
205.36,44.4443333333,48.1816666667,39.1919333333,27.8788,39.697,24.6465333333,25.1009333333,46.3130666667,31.2626666667,38.8888666667
205.74,48.8372666667,53.7983333333,44.8578666667,31.2144666667,42.1188666667,27.8552,29.1988666667,50.9561333333,37.1576666667,45.5813333333
206.12,46.5632666667,51.1628,46.77,33.1268,38.0877333333,26.2533333333,30.9044,49.8190666667,36.951,44.4444
206.50,48.6153333333,54.359,49.9999333333,37.7949333333,39.9487333333,28.0000666667,33.5384666667,54.1025333333,42.0512666667,48.1026
206.87,49.1452,55.0,49.4018,40.0427333333,40.6837333333,32.4359333333,36.8376666667,55.6410666667,44.1026,50.4700666666
207.25,47.1757333333,52.9264,44.7328666667,36.2849333333,34.2496666667,24.3257333333,32.4173333333,53.9949333333,41.832,46.6667333333
207.63,47.1544666667,50.7858,40.8671333333,31.0027333333,29.214,17.2357333333,28.8345333333,50.569,36.8022,40.0542
208.01,52.4712,52.1838666667,42.0689333333,32.5288,30.862,14.7701333333,28.0458666667,52.6436666667,36.7243333334,40.2298666667
208.39,52.4562,52.3975333333,45.2046666667,33.8596,29.766,12.1637333333,25.965,51.6374,36.3158,41.3449333333
208.77,51.7866666666,53.6,46.4,33.4933333333,32.48,18.1866666666,28.5333333333,49.4933333334,37.28,42.1333333333
209.14,51.1294666667,56.7493333333,48.6501333334,35.3167333333,35.0413333333,19.0632666667,31.0743333333,51.4048666667,39.2286666667,43.361
209.52,51.3332666667,58.6666666667,50.3075333333,40.0,39.5896,22.4102,34.1538,53.3845333333,40.2564666667,43.8462
209.90,55.1421333333,62.9974,54.1084,46.2532,46.5633333333,25.7882,39.0181333333,57.8296,42.4805333333,47.6484666667
210.28,51.3132,60.8081333333,48.2323333333,43.3838666667,47.5756666667,21.0606666667,35.7071333333,53.5353333333,36.9193333333,44.7979333333
210.66,52.6208666667,61.0177333333,48.7532666667,42.7480666667,49.1604,23.1044,39.2874666667,52.9262,36.3358666667,45.9034
211.03,57.7249333333,64.3915333333,52.0106,44.9734666667,52.7512666667,25.6085333333,43.2804666667,54.7618666667,38.6242666667,47.5662666667
211.41,59.3286666667,67.0024,55.2519333333,47.4340666667,56.0670666667,30.5996,45.3716,55.0598666667,40.3837333333,50.5037333333
211.79,63.0838,70.2040000001,60.2721333333,53.7868666667,62.6757333333,37.3242666667,50.9750666667,59.8185333333,46.8026666667,58.3674
212.17,60.3948,69.2104666667,60.7894666667,54.2983333333,62.9824,39.6490666667,53.5966,60.3070666667,46.1403333333,59.0351333333
212.55,57.5097333333,64.4444666667,57.1648666667,51.3028,60.1532666667,40.0384666667,50.4214666667,58.1608666666,44.4444666667,53.7931333333
212.92,52.6983333333,56.7857333333,51.0713333333,44.6428,53.5318666666,32.4999333333,43.8491333333,53.6112,38.8094,46.9046666667
213.30,54.7916666667,58.75,52.2916666667,43.9583333333,53.9166666667,34.875,44.0416666667,56.375,41.125,48.5
213.68,53.1196666666,56.1965333333,48.8888666667,41.4529333333,52.3077333333,34.7862666667,41.8376,53.7607333333,39.4017333333,48.6325333333
214.06,45.8077333333,50.4704,42.2086,34.0695333333,44.9078666667,31.7791333333,36.8916666667,45.6441333333,34.3968,42.4948
214.44,49.1718,53.4949333333,45.7373333333,37.7778,47.7980666667,36.7272666667,40.1617333333,49.7374666667,39.6767333333,46.101
214.81,47.5794,50.5953333333,41.9842,36.7856666666,45.5953333333,35.7936666667,34.8413333333,47.7381333333,36.9444666667,43.7699333333
215.19,40.6098,44.634,35.8944,33.0488,41.7886666667,30.6098,28.2926666667,42.9674666667,32.5204,39.7561333333
215.57,38.1935333333,40.6021333333,33.7205333333,32.301,41.1182666667,29.5914666667,25.9354,43.699,31.6558666667,38.3227333333
215.95,32.7948666666,34.9896666667,27.9088,29.4823333333,37.1428666667,25.5073333333,21.7390666667,38.1366666667,29.0683333333,33.2091333333
216.32,30.0401333333,33.6144,25.9037333333,27.51,33.9758666667,23.2529333333,18.2732666667,35.8634,29.759,31.0442666667
216.70,25.1690666667,29.3238666667,20.5313333333,23.9612666667,27.3428666667,17.4879333333,11.4976666667,31.7392666667,25.797,27.7777333333
217.08,26.6142666667,29.9738,20.2625333333,27.0864666667,28.819,18.6351333333,13.9632666667,34.5406666667,25.9318666667,27.4540666667
217.46,25.4676666667,28.2972666667,21.0071333333,28.7769333333,29.7362,17.7458666667,17.2663333333,34.7722666667,22.3982,25.9952666667
217.83,27.9196,29.2732666667,22.0551333333,30.8771333334,30.376,17.4936666667,18.0450666667,36.9924,24.8622,25.163
218.21,29.8644,29.4308666666,22.0054666666,33.2792,33.0623333333,15.7180666667,18.2654666667,40.7046666667,26.3956666667,26.4499333333
218.59,17.5162666666,18.4966666667,9.67306666667,22.2221333333,22.0262,-1.11106666665,5.22873333332,30.2614,15.7515333333,13.5294
218.97,12.8682666667,16.0466,6.97693333335,17.1318666667,17.0542,-14.2637333333,-0.775266666648,27.4418,12.7132666667,6.89913333332
219.34,13.7898666667,15.7990666667,4.93153333334,14.3378666667,15.0686666667,-21.9178,-6.484,27.4886666667,13.3333333333,3.74419999999
219.72,18.8146666667,18.5186,7.11113333332,16.1482,16.1481333334,-9.5556,0.814866666674,29.6296666667,16.5926,10.2224
220.10,7.64446666667,9.24440000002,-3.46653333333,5.33333333334,3.82226666666,-19.2000666667,-7.46653333333,28.0,3.55566666667,0.711133333338
220.47,9.28973333331,6.33893333334,-10.6011333333,2.73233333334,0.87433333332,-20.9835333333,-5.4644,30.3824666667,-2.73226666666,-1.85793333335
220.85,2.82046666667,1.66673333334,-21.2820666667,-0.512733333327,1.79480000001,-30.8974666667,-10.0002666667,24.7435333333,-11.0256,-11.795
221.23,19.8942666667,24.7619333333,2.22233333335,18.3068666667,24.5502,-6.24346666667,6.45499999999,34.8146666667,14.3914666667,13.2275333333
221.61,26.2746,31.3726,6.66666666667,21.0458,28.6274666667,-7.3202,5.35953333335,35.9477333334,22.4836,17.7778
221.98,35.8453333333,38.0677333333,27.7295333333,30.3381333333,40.3865333333,9.37193333332,22.3188,44.5410666667,30.3381333333,35.5555333333
222.36,36.3965333333,40.6306666666,30.9909333333,33.6938666667,41.4415333333,9.81986666666,23.5135333333,43.3333333333,35.135,33.9638666667
222.74,40.6926666667,41.212,30.1299333333,37.7488666667,42.1645333333,13.2468,22.7706666667,45.801,39.2208,40.2596666667
223.11,35.0618666666,39.1769333333,27.2428666667,39.8354,40.7408,15.6377333333,23.4566666667,40.5760666667,36.4608666667,40.3292
223.49,36.3194666667,39.7223333333,28.9583333333,41.1804,40.7638666667,21.0415333333,24.1665333333,42.5001333333,35.4168,43.4028
223.87,35.7245333333,41.0145333333,28.1884,41.1594,41.9565333333,15.2898666667,25.5797333333,38.2608666667,33.0433333333,45.5073333333
224.24,44.2,50.3333333333,36.8,49.2666666667,48.8666666667,21.2,31.0,42.7333333333,40.7333333333,51.6666666667
224.62,38.1045333333,43.2025333333,33.3334,42.8104,41.7647333333,14.5096666667,20.8497333333,34.2484666667,35.8824,47.4508666667
225.00,33.2737333333,34.7619333333,26.8453333333,36.131,35.7142666667,11.131,15.4762666667,29.5238666667,30.9522666667,43.0357333333
225.38,24.9056666666,29.6226,23.1448,31.761,28.8050666667,7.48439999998,7.48426666667,25.2831333333,24.2137333333,38.6791333333
225.75,16.9333333333,22.3333333333,15.3333333333,26.3333333333,19.1333333333,2.40000000001,-1.06666666667,16.8,15.4666666667,31.9333333333
226.13,6.79733333332,15.1632666667,2.09153333334,21.4378666667,6.536,-2.02606666667,-8.69286666666,7.97386666668,6.86279999999,20.3268666666
226.51,2.27913333332,8.14813333334,-3.41879999999,17.6068666667,-0.0569999999934,-1.48153333331,-9.80059999999,4.95733333332,0.79786666666,16.7521333333
226.88,4.63580000001,9.05066666668,0.220800000006,16.9537333333,3.4878,3.31133333333,-4.81246666667,7.85866666667,3.00213333335,16.2472
227.26,5.4944,7.47266666667,1.57506666666,14.3224,3.07693333333,4.39566666667,-2.7106,9.26733333333,4.57866666667,14.2125333333
227.64,5.44086666667,7.53373333333,3.16899999999,11.8684666667,3.43813333333,4.1854,-0.926666666666,7.50366666667,4.30479999999,11.2406666667
228.01,8.5128,9.64106666667,6.99986666666,12.5898,5.58966666666,7.38459999999,2.4102,9.76926666667,7.71793333335,11.9232
228.39,7.38973333333,7.29939999999,5.76273333333,9.98866666665,3.97739999999,5.44653333335,1.4464,7.48013333332,6.44066666665,9.40119999999
228.76,7.25,8.04146666667,6.14559999999,10.25,4.91646666667,5.77073333333,2.79153333333,8.08319999999,5.85399999999,9.35400000001
229.14,8.47266666667,10.1824666667,8.47266666668,10.9702666667,5.7252,6.609,4.74546666667,9.93273333334,7.01246666667,11.143
229.52,8.69413333333,10.1202,7.61166666667,11.0482,5.92793333333,5.48106666667,5.29213333333,9.75946666666,6.56353333335,10.8075333333
229.89,9.91293333334,10.1029333333,8.20260000001,12.1456,7.52173333333,5.90673333332,5.87493333333,10.4196,7.74333333333,11.9714666667
230.27,10.6427333333,10.284,9.23773333335,11.5546,8.95373333335,5.87453333334,5.65026666667,10.5680666667,8.43053333334,12.2720666667
230.65,11.6012,11.2809333333,10.9460666667,11.0334,10.2765333333,6.78320000001,6.40466666667,11.4119333333,9.08300000001,12.8238666667
231.02,11.8887333333,11.3619333333,11.0306666667,10.6394666667,10.3836,6.742,7.08813333333,10.6394666667,8.41239999999,12.7764666667
231.40,12.5482,11.0547333333,10.3157333333,9.63806666667,9.97693333334,6.38946666666,7.2672,10.3925333333,7.71366666665,12.5789333333
231.78,11.2956,9.55153333333,9.09520000001,8.80186666666,8.6062,4.92246666667,6.56866666667,9.69826666667,6.68280000001,11.9312666667
232.15,9.00166666667,7.14053333333,6.88666666667,6.42973333334,6.14206666667,2.21653333333,3.07946666667,7.64799999999,4.50093333333,9.91540000001
232.53,9.78553333333,8.13533333333,7.45866666666,7.22780000001,6.58413333335,3.31693333333,3.7294,9.14193333333,6.38606666667,11.2706
232.90,11.6628,9.63993333334,9.19533333335,8.70493333333,8.3678,5.77779999999,5.67053333333,11.1722666666,8.9042,12.5363333333
233.28,10.093,8.51166666665,7.41086666667,7.75193333333,7.02333333333,5.1628,4.2946,8.99213333333,7.61233333335,10.7751333333
233.66,11.1788,9.28953333333,8.96166666667,9.47699999999,8.00933333333,6.83833333333,5.0742,9.68006666667,8.66519999999,12.0374666667
234.03,9.50100000001,8.36093333333,7.5218,7.68006666667,6.03333333333,4.9248,3.51526666667,8.53526666665,7.1892,10.3087333333
234.41,8.74293333334,8.4346,6.87753333333,7.88326666665,4.80133333333,4.07139999999,3.16306666667,7.89933333333,7.03973333333,9.63513333333
234.78,7.0844,7.69479999999,5.44573333333,7.79126666665,3.775,3.51793333333,1.62253333333,6.4098,5.91166666665,8.83546666667
235.16,6.33019999999,7.69113333333,5.5352,7.24766666667,3.5322,4.05193333333,1.1008,6.62093333333,6.1162,8.71560000001
235.54,5.05493333333,6.88640000001,5.5384,7.13540000001,3.19413333333,3.76553333333,0.483466666667,5.80213333333,5.59706666666,7.85353333333
235.91,4.97853333333,7.13866666666,5.35033333334,7.26753333333,3.36186666667,4.04853333333,0.829733333333,5.53653333333,5.4648,7.83980000001
236.29,5.2564,7.89166666667,5.09979999999,8.3048,4.00286666667,5.17093333333,1.3532,5.6694,5.4986,8.09126666667
236.66,4.02000000001,6.49506666667,3.648,7.05293333334,2.68966666667,4.10573333333,0.372,4.27753333333,3.24753333333,6.56646666666
237.04,4.50726666667,7.42033333334,3.66666666667,8.17386666666,3.4638,4.7246,1.55066666667,4.76806666667,3.57973333333,6.99993333333
237.41,7.10166666667,9.09473333333,5.30519999999,9.97893333333,5.96486666667,6.87720000001,3.15786666667,7.6632,6.24566666666,8.91220000001
237.79,5.30193333333,7.62933333333,2.47133333333,7.34206666668,4.25286666667,5.12926666667,1.47973333333,5.79033333333,4.72706666667,6.83899999999
238.17,6.72173333333,9.29760000001,3.69146666666,8.44366666667,6.34979999999,7.4794,3.09913333333,6.76306666667,5.90906666667,8.03040000001
238.54,5.18940000001,7.65566666667,2.2736,6.30686666667,4.85546666667,6.52533333333,1.90113333333,5.40786666667,4.00766666667,6.98786666667
238.92,5.75700000001,7.37273333333,2.38173333333,6.30759999999,5.19459999999,5.90073333333,2.4776,5.24226666667,5.0508,7.03766666667
239.29,7.15479999999,8.58573333332,3.58293333333,7.90900000001,6.62220000001,6.7,4.0932,6.37833333333,6.5668,7.9534
239.67,7.4708,9.36373333333,4.46813333333,8.48853333333,7.22653333333,6.97186666667,4.28493333334,6.8702,7.2468,8.86506666666
240.04,7.8932,9.92166666667,5.49566666667,9.138,7.58873333334,7.77313333333,4.52753333333,7.7548,7.90233333333,9.70953333331
240.42,7.59146666667,9.77886666667,5.91066666667,9.05499999999,7.67999999999,7.79253333334,4.84913333333,8.18646666666,8.0578,10.0521333333
240.79,8.01533333333,10.1747333333,7.18373333333,10.0488666667,8.6374,8.79806666666,5.7862,8.97959999999,9.15433333334,10.8734666667
241.17,7.38546666666,9.4564,7.25660000001,9.45606666668,8.31339999999,8.35626666667,5.2288,8.33173333333,9.01373333333,10.3040666667
241.54,6.9148,9.34739999999,7.47573333334,9.25013333333,8.17159999999,8.301,5.35593333333,8.07986666667,8.67853333333,10.2534666667
241.92,7.07053333333,9.04613333333,7.59619999999,9.09486666667,7.83433333333,8.36973333333,5.49886666667,7.90733333333,8.4768,10.2434
242.29,7.19126666667,8.9396,7.79633333333,9.28033333335,7.85473333334,8.545,5.58173333333,8.11026666667,8.63466666667,10.4864
242.67,7.1698,8.81286666667,7.87526666667,9.2558,7.78493333334,8.67086666666,5.4022,8.1076,8.63653333333,10.4989333333
243.05,7.45446666667,9.15553333333,8.25053333334,9.45326666667,7.9196,9.0886,5.58126666667,8.63186666667,8.61513333333,10.6684
243.42,6.88893333333,8.58426666666,7.80660000001,8.79006666667,7.2716,8.4938,4.8354,8.00406666667,7.99593333334,10.1974
243.80,7.06793333333,8.32839999999,7.65953333333,8.84293333334,7.149,8.5552,4.66873333333,8.02033333333,8.1094,10.2450666666
244.17,7.22253333333,8.27466666666,7.79039999999,8.78306666667,7.28206666667,8.79886666666,4.9118,8.19126666667,8.26673333333,10.3634
244.55,6.8308,7.67880000001,7.29966666667,8.20633333333,6.81126666666,8.48366666667,4.4862,7.64366666667,7.69046666667,9.75773333332
244.92,6.32913333333,7.29239999999,6.5832,7.44020000001,6.22313333334,7.99773333334,3.83386666667,6.932,6.84853333333,9.2984
245.30,6.08253333333,7.03493333333,6.047,7.1092,5.70733333333,7.7076,3.54053333334,6.46493333333,6.3162,9.20153333334
245.67,5.6494,6.4494,5.53746666667,6.78193333333,5.13573333333,7.53586666667,3.31193333333,5.9982,5.88326666667,8.99093333334
246.05,5.51626666667,6.455,5.54613333333,6.83653333333,5.18253333333,7.5906,3.20366666666,6.0766,5.9276,9.04486666666
246.42,5.25453333333,6.14953333333,5.31713333333,6.55246666667,4.9224,7.45573333333,3.11573333333,5.766,5.60266666667,8.77566666666
246.79,5.1326,6.034,5.3218,6.61933333333,4.8662,7.59306666667,3.27466666667,5.76266666667,5.4588,8.78346666666
247.17,4.92193333333,5.8382,5.1696,6.4838,4.73693333333,7.59453333333,3.25113333334,5.468,5.4126,8.79086666667
247.54,5.4218,6.29933333333,5.633,6.98986666667,5.27,8.30093333333,3.88,6.08593333333,5.99366666667,9.29733333333
247.92,5.608,6.7112,5.9536,7.24786666667,5.6504,8.623,4.30933333333,6.36546666667,6.20186666667,9.57773333333
248.29,5.59173333333,6.70833333333,5.92986666667,7.36586666666,5.64386666667,8.6036,4.3102,6.29506666667,6.2138,9.53453333334
248.67,5.69273333333,6.8168,6.08693333333,7.55086666666,5.72826666667,8.66033333333,4.44793333333,6.36853333333,6.34346666667,9.7986
249.04,5.69233333333,6.72446666667,6.09693333333,7.67746666667,5.7822,8.68406666666,4.49726666667,6.41606666667,6.4482,9.79553333335
249.42,5.32286666667,6.36293333333,5.84406666667,7.41226666666,5.5518,8.53386666667,4.21473333333,6.22933333333,6.16126666667,9.4788
249.79,5.47886666667,6.6254,6.11273333333,7.58600000001,5.79086666667,8.73239999999,4.38573333333,6.3958,6.3426,9.57426666667
250.17,5.67906666667,6.85893333333,6.47433333333,7.99993333333,6.15726666667,9.0942,4.74326666667,6.63806666667,6.72893333333,9.69986666667
250.54,5.82073333333,7.16806666667,6.69746666667,8.32493333333,6.35,9.22126666666,4.91886666667,6.84026666667,7.12033333333,9.84320000001
250.92,5.59393333333,7.0262,6.32226666667,8.027,6.19333333333,8.67426666667,4.57226666667,6.46586666667,7.03826666666,9.46213333333
251.29,5.58986666667,7.06033333333,6.34546666667,8.02393333333,6.1628,8.38613333333,4.3836,6.5596,7.1234,9.17020000001
251.66,5.09753333333,6.62113333333,5.90646666667,7.57306666666,5.57173333333,7.66093333333,3.746,5.97473333333,6.56266666667,8.57046666666
252.04,4.43666666667,6.094,5.4008,6.91800000001,4.902,7.03166666667,3.0872,5.5116,6.16426666667,7.82846666667
252.41,3.96533333333,5.75026666667,5.0384,6.2954,4.64313333333,6.54406666667,2.589,5.0418,5.9036,7.36493333333
252.79,3.85146666667,5.8656,5.1688,6.3302,4.7424,6.50346666667,2.5376,5.06826666667,6.06666666667,7.176
253.16,3.72473333333,5.97153333333,5.07626666667,6.14346666667,4.57433333333,6.36466666667,2.44693333333,5.03073333333,6.06286666667,7.03513333333
253.54,4.26646666667,6.62426666667,5.6132,6.68426666666,5.1324,6.907,2.91273333333,5.58133333333,6.77626666667,7.69526666667
253.91,4.91293333333,7.20826666667,6.08566666666,7.25839999999,5.67686666667,7.40893333333,3.2886,6.2436,7.33726666667,8.0868
254.28,4.64626666667,6.86726666667,5.61926666667,6.6554,5.18833333333,6.85973333333,2.8932,5.80860000001,6.8784,7.90706666666
