wavelength,Back_TanArgf,Belly_TanArgf,Breast_TanArgf,Crissum_TanArgf,Crown_TanArgf,DorTail_TanArgf,Patch10_TanArgf,Patch11_TanArgf,Rump_TanArgf,Throat_TanArgf,WingTip_TanArgf
379.07,5.26466666667,22.1636666667,8.08533333334,19.8971666667,3.43166666666,5.62303030303,4.99166666667,12.062,8.3345,11.5611666667,3.916
379.44,5.303,22.1358333333,8.115,19.9321666667,3.52833333333,5.62684848485,5.0315,12.0851666667,8.406,11.6561666667,3.938
379.80,5.34416666667,22.1923333333,8.17716666667,19.9525,3.5995,5.65881060606,5.04466666666,12.0681666667,8.45033333333,11.721,3.948
380.16,5.48283333333,22.258,8.29033333333,19.975,3.72866666667,5.74871212121,5.1,12.1356666666,8.49,11.811,3.99816666666
380.52,5.5765,22.4135,8.40116666667,20.0303333333,3.75816666667,5.79740151515,5.11516666666,12.1565,8.5425,11.9628333333,4.07233333333
380.88,5.59466666667,22.4821666666,8.452,20.0986666667,3.73166666667,5.78411363637,5.11533333333,12.1408333334,8.5445,12.0608333334,4.07533333333
381.24,5.71816666667,22.5716666667,8.5735,20.2255,3.813,5.86196212121,5.16316666667,12.1945,8.5915,12.2108333333,4.162
381.61,5.7665,22.6768333334,8.737,20.2931666667,3.8935,5.93637121212,5.21416666667,12.2953333333,8.669,12.4071666667,4.23383333334
381.97,5.74333333333,22.6455,8.70466666667,20.197,3.82266666666,5.90991666666,5.16916666667,12.2091666667,8.609,12.4113333333,4.16366666666
382.33,5.794,22.733,8.80033333334,20.2263333333,3.8275,5.94156818182,5.1555,12.2401666667,8.64716666667,12.5413333333,4.21666666666
382.69,5.80233333333,22.8238333333,8.8665,20.2456666667,3.86716666667,5.92937121212,5.18266666666,12.2203333334,8.67783333334,12.735,4.25366666666
383.05,5.72533333333,22.787,8.87716666667,20.218,3.83133333333,5.86496212121,5.10516666667,12.1801666666,8.63433333334,12.8158333333,4.20866666666
383.41,5.74133333333,22.8458333334,8.93433333334,20.2338333333,3.79983333333,5.8825530303,5.118,12.1785,8.63666666667,12.9383333333,4.22
383.77,5.714,22.8043333333,8.94416666667,20.27,3.76116666666,5.87416666666,5.09116666666,12.2211666666,8.63783333333,13.0468333334,4.20616666667
384.14,5.69583333333,22.8418333333,8.97333333333,20.3613333333,3.83016666666,5.89672727273,5.1135,12.256,8.67666666666,13.2253333334,4.23566666667
384.50,5.58816666667,22.8155,8.93183333333,20.354,3.79883333333,5.83346969697,5.07166666667,12.2228333333,8.64183333333,13.2398333333,4.139
384.86,5.55016666667,22.8691666666,8.9265,20.3833333333,3.791,5.82478030303,5.06066666666,12.2005,8.662,13.3145,4.133
385.22,5.53816666667,22.921,8.94633333333,20.3823333333,3.7615,5.806,5.0505,12.2171666666,8.62983333333,13.409,4.0985
385.58,5.56066666666,22.9741666666,9.0,20.4466666666,3.76483333333,5.81928030303,5.05633333334,12.2486666666,8.686,13.5361666667,4.123
385.94,5.61466666667,23.0426666666,9.14316666667,20.5683333333,3.84,5.91037878788,5.13466666666,12.3315,8.73616666666,13.7018333333,4.21083333333
386.30,5.62216666667,23.1303333333,9.23133333333,20.6533333333,3.8715,5.93953787878,5.21733333334,12.3893333333,8.79366666667,13.863,4.2405
386.66,5.57766666666,23.1231666667,9.26733333333,20.6491666667,3.851,5.93048484848,5.212,12.402,8.775,13.9093333334,4.226
387.03,5.59283333333,23.1916666667,9.26733333333,20.6913333334,3.86316666667,5.97340909092,5.24416666667,12.4093333333,8.80283333334,14.047,4.24583333333
387.39,5.55733333333,23.2623333333,9.30283333334,20.6818333333,3.8435,5.94903787879,5.19583333333,12.4118333333,8.78733333333,14.1563333333,4.21983333333
387.75,5.55766666666,23.334,9.3905,20.7256666666,3.87433333334,5.98395454545,5.22483333333,12.4446666667,8.82116666667,14.3203333333,4.27516666667
388.11,5.54283333334,23.397,9.48066666666,20.6825,3.8265,5.99478787878,5.2775,12.4568333333,8.796,14.3958333333,4.27816666667
388.47,5.6325,23.5181666667,9.61383333335,20.6958333334,3.93316666666,6.08113636363,5.38316666666,12.5075,8.8755,14.6191666666,4.37216666667
388.83,5.63666666667,23.5176666667,9.73483333331,20.6806666667,3.9575,6.10293939393,5.38216666667,12.5076666666,8.8925,14.7305,4.39366666667
389.19,5.6365,23.5895,9.83066666666,20.7313333333,3.97433333334,6.10542424242,5.37966666666,12.5086666667,8.94683333334,14.9158333334,4.38066666667
389.55,5.68833333333,23.6745,9.97233333335,20.7996666667,4.0595,6.16053030303,5.488,12.6106666667,8.99383333334,15.1275,4.446
389.91,5.6645,23.721,10.0231666666,20.7725,4.05683333333,6.13815909091,5.44883333334,12.6365,8.9905,15.2926666666,4.45366666667
390.27,5.68916666666,23.7588333334,10.0845,20.8198333333,4.10683333334,6.15245454545,5.433,12.645,9.01583333333,15.4236666666,4.47666666667
390.63,5.72083333333,23.8198333334,10.18,20.9106666667,4.14916666666,6.20767424241,5.46916666667,12.6725,9.08283333333,15.5991666666,4.50716666667
391.00,5.7155,23.8383333334,10.2566666667,20.9546666666,4.17833333333,6.16473484848,5.49816666666,12.6646666666,9.0825,15.7508333334,4.48983333334
391.36,5.7135,23.8118333334,10.3046666667,20.964,4.20916666667,6.1676969697,5.498,12.6093333334,9.07283333333,15.8773333333,4.47966666667
391.72,5.7605,23.8448333333,10.38,21.0165,4.25283333333,6.20343939393,5.53683333334,12.5903333333,9.06216666667,16.0288333333,4.45066666666
392.08,5.76433333334,23.8523333333,10.4083333333,21.0628333333,4.26116666667,6.18436363637,5.48533333333,12.5525,9.0845,16.1606666667,4.39033333334
392.44,5.705,23.8268333334,10.4005,21.1135,4.17583333333,6.1178939394,5.38233333333,12.4888333333,9.04,16.2436666667,4.30833333333
392.80,5.71016666666,23.8745,10.4443333333,21.1253333333,4.19133333333,6.11940909092,5.39083333333,12.519,9.022,16.3743333334,4.31466666667
393.16,5.751,23.9495,10.5351666666,21.1783333333,4.2535,6.16529545455,5.43816666666,12.5498333333,9.051,16.5031666666,4.37016666666
393.52,5.73333333333,23.9626666667,10.533,21.211,4.2435,6.14734090908,5.33816666666,12.4556666666,8.998,16.5546666667,4.30966666667
393.88,5.74033333334,23.9333333333,10.6075,21.2683333334,4.23183333334,6.12581060607,5.3205,12.3888333334,8.97716666666,16.6658333334,4.271
394.24,5.71316666666,23.936,10.6813333334,21.2441666667,4.22183333334,6.10474242425,5.2775,12.3255,8.89933333334,16.7686666666,4.24866666666
394.60,5.70483333334,23.9116666666,10.7186666666,21.2108333333,4.22616666666,6.0878030303,5.2495,12.247,8.84766666667,16.8561666666,4.23983333334
394.96,5.74316666666,24.0086666667,10.8028333333,21.2136666667,4.28433333333,6.14915909092,5.28383333333,12.2383333333,8.88466666667,17.0238333333,4.28716666666
395.32,5.7545,24.046,10.8963333334,21.2353333333,4.29033333333,6.15098484848,5.28666666667,12.2435,8.86016666667,17.1281666666,4.31083333334
395.68,5.68783333333,24.0651666667,10.8866666667,21.2101666667,4.2665,6.08467424242,5.246,12.1565,8.798,17.2065,4.3085
396.04,5.66466666667,24.065,10.917,21.1875,4.26366666666,6.07428787878,5.21766666667,12.0915,8.731,17.3146666667,4.32683333333
396.40,5.68433333333,24.0775,10.9893333334,21.164,4.3155,6.09693939393,5.24266666667,12.0756666667,8.70216666667,17.4933333333,4.34516666666
396.76,5.62383333333,24.0916666666,11.0398333333,21.1728333333,4.27283333333,6.06402272726,5.1695,11.9765,8.64516666667,17.6323333334,4.292
397.12,5.5475,24.1061666667,11.0386666666,21.195,4.22933333334,6.0339469697,5.09916666667,11.8713333333,8.5665,17.7855,4.2435
397.48,5.48583333334,24.1106666667,11.0731666666,21.1718333334,4.20283333334,6.00913636364,5.13733333334,11.792,8.5045,17.87,4.22083333334
397.84,5.46583333333,24.2078333334,11.1266666666,21.2033333334,4.27583333334,6.0445530303,5.178,11.7766666666,8.48033333334,18.0838333333,4.26683333333
398.20,5.41433333333,24.2081666667,11.163,21.2061666666,4.23516666667,6.00236363637,5.14816666667,11.6953333333,8.44316666667,18.2443333333,4.206
398.56,5.40683333334,24.3248333333,11.201,21.2123333334,4.1975,5.9430530303,5.09133333334,11.6403333334,8.39483333334,18.3895,4.1765
398.92,5.412,24.3316666667,11.2886666667,21.2791666666,4.182,5.9379469697,5.02116666667,11.6066666666,8.35783333333,18.5568333333,4.146
399.28,5.37783333333,24.3573333333,11.3066666666,21.3108333333,4.17883333333,5.90427272726,4.98216666666,11.5513333334,8.34783333334,18.7236666667,4.09533333334
399.64,5.39133333333,24.403,11.4078333334,21.39,4.19216666667,5.90868939394,4.96183333333,11.5513333334,8.36833333333,18.8441666667,4.08716666667
400.00,5.413,24.4548333334,11.4828333333,21.4145,4.22016666667,5.91123484848,4.97483333334,11.521,8.3665,19.036,4.096
400.36,5.4175,24.5326666667,11.5876666666,21.4521666667,4.28466666667,5.96443181818,4.9755,11.519,8.38366666667,19.16,4.12233333333
400.72,5.4815,24.5936666667,11.6678333333,21.5521666667,4.36783333333,6.01458333334,5.03933333333,11.5501666667,8.46566666667,19.4156666666,4.1885
