wavelength,Back_ComLorf,Belly_ComLorf,Breast_ComLorf,Crissum_ComLorf,Crown_ComLorf,DorTail_ComLorf,Rump_ComLorf,Throat_ComLorf,WingTip_ComLorf
225.38,16.461,-1.18337500001,11.1110833333,19.856,27.5720833333,27.4690833333,0.925916666683,-4.83550000001,36.2655416667
225.75,17.57025,-0.752916666658,11.8976666667,18.7750833334,29.2168333333,30.5220833333,2.91150000001,-1.20475000002,31.174625
226.13,21.7948333333,-4.05979166666,12.713875,20.2991666666,24.6795833333,36.7520833333,4.70099999999,-1.49583333333,29.2734583333
226.51,16.9791666667,-8.22916666667,10.5208333333,11.875,14.8958333333,30.2083333333,1.66666666666,-6.25,28.9583333333
226.88,9.21033333332,-11.9516666667,12.3904166667,2.30258333332,8.88150000002,28.9474166666,-3.39924999999,-8.0045,25.9868333333
227.26,14.3848333333,-3.42249999999,14.8809166667,3.17458333333,9.127,35.119,4.06758333334,-1.68658333333,22.0240833333
227.64,11.5740833333,-2.54645833334,12.53875,3.31800000001,5.63283333334,31.1729166667,10.26225,2.08333333335,23.7269583333
228.01,8.25699999998,-5.88683333333,8.52458333334,0.841083333332,0.229416666666,25.0001666667,9.55666666666,-0.764416666675,22.974125
228.39,-4.75,-15.3333333333,-7.49999999998,-14.5,-14.4166666667,10.1666666667,-3.99999999999,-16.1666666667,9.20833333333
228.76,-12.0265833333,-19.2235833333,-19.8390416667,-23.4849166667,-23.2953333334,0.757499999975,-11.7424166667,-27.27275,1.56258333335
229.14,-38.1456666667,-45.5985,-48.4742083333,-54.6950000001,-60.2113333333,-24.648,-37.55875,-62.91075,-25.1759583333
229.52,-45.3571666667,-51.6667083333,-55.1189583333,-61.1904166666,-63.09525,-31.0714166667,-46.6665833333,-73.4523333333,-27.857125
229.89,-79.8850833332,-87.1407916667,-95.8330416665,-98.1321666668,-113.793,-69.9711666667,-86.9253333332,-115.948333333,-58.9800416665
230.27,-50.7693333333,-54.2308333333,-68.3972916667,-71.6666666666,-79.6154166667,-51.9229999999,-56.6666666666,-85.6410833333,-33.782125
230.65,-41.7989166667,-50.793625,-65.2776666666,-72.4866666666,-70.8995000002,-52.2486666666,-49.4708333333,-80.8200000001,-31.5477916667
231.02,-11.9863333333,-29.3949166667,-40.1825833333,-39.0410833333,-40.1825833333,-28.4246666667,-22.2603333333,-49.4291666667,-8.56158333333
231.40,-3.29224999998,-20.6275833333,-32.4074166667,-22.6336666667,-24.5885,-19.0329166667,-12.5515,-35.59675,1.69758333333
231.78,-12.1666666667,-52.5833333333,-74.5833333333,-53.8333333334,-48.6666666667,-46.0000000001,-41.3333333333,-71.0,-24.6666666666
232.15,-27.7083333333,-69.5833333333,-110.729166667,-93.9583333333,-67.2916666667,-65.8333333334,-61.0416666667,-88.5416666668,-49.7916666668
232.53,-30.88225,-73.2842500001,-119.485333333,-105.147,-75.4901666667,-80.6372500001,-65.1959999999,-97.0589166666,-60.9066666667
232.90,-37.1211666666,-65.1515,-91.7614166668,-92.23475,-71.2120833335,-60.038,-50.18925,-72.7273333333,-65.246125
233.28,-35.621,-56.209125,-72.87575,-75.1633333332,-58.49675,-46.7319166667,-41.3398333333,-53.9215833333,-58.9869583334
233.66,-10.22725,-31.1238333333,-36.7422083333,-37.7525,-27.7779166667,-17.0454166667,-12.7525,-18.9393333333,-28.0934583333
234.03,11.52475,-1.41854166668,-6.42733333333,-1.95016666665,2.48225,9.57458333333,13.29775,7.35791666666,-0.886541666667
234.41,12.6844166667,1.58541666667,-3.76104166667,1.18000000001,3.24500000001,15.118,15.19175,11.6519166667,3.02341666667
234.78,12.9385833333,6.50583333334,-1.71795833333,7.01766666667,4.82458333333,19.2253333333,16.1549166667,14.8391666667,4.349625
235.16,12.5,10.5034583334,2.77779166666,7.52341666667,6.25016666667,17.2454166667,14.17825,14.4676666667,7.32070833333
235.54,7.41941666668,6.93554166668,-1.29029166667,-1.55908333333,1.98933333334,11.9893333333,10.6988333333,10.1614166667,3.73675
235.91,1.841,3.34308333334,-3.58520833333,-4.84499999999,-1.55033333332,7.55816666668,6.63758333333,6.83141666669,2.71304166667
236.29,10.2846666667,11.5448333334,7.17483333333,6.30066666668,7.60175,15.6503333333,13.5774166667,13.13,12.947375
236.66,14.5741666667,15.8445,10.519375,9.41683333333,12.1824166667,18.53525,17.1525,17.6756666667,17.1712916667
237.04,17.6653333333,18.922125,13.42975,13.91175,16.2535,20.0411666667,20.3511666667,20.1791666667,18.8705416667
237.41,19.7441666667,21.0234166667,15.6465416667,16.1825,19.0528333334,22.2681666666,22.614,22.13,22.5970416667
237.79,17.8521666667,19.0377083333,13.1973333333,14.9581666667,14.67925,18.9678333334,20.1185833334,19.3165833333,18.305375
238.17,17.3189166667,17.46375,12.1920833333,12.6086666667,13.4418333333,18.587,20.0361666667,18.2608333333,14.2209166667
238.54,17.852,18.7319583333,12.930875,12.64375,13.3980833333,17.52875,18.7500833333,16.7384166667,12.5357916667
238.92,16.0570833333,16.277125,11.3482916667,9.45125000002,10.3996666667,15.6844166667,16.1246666667,14.2276666667,10.2641666667
239.29,12.7514166667,12.5179166667,5.98045833333,4.7055,6.17816666666,12.8590833333,13.5774166667,10.1651666667,6.10629166667
239.67,15.9865,13.1122916667,7.653,9.08183333333,8.80958333332,16.0545,14.8298333333,11.3945,8.46945833333
240.04,21.8194166667,17.779875,13.7085416667,13.2950833333,14.7265,19.9426666667,20.41975,15.6169166666,13.2949583333
240.42,20.4849166667,14.4241666667,11.606125,9.212,11.1211666667,17.5758333333,18.4241666667,13.81825,9.74233333332
240.79,16.2620833333,10.4907916667,8.22558333333,6.2835,7.38933333333,15.588,13.7809166667,9.87041666668,5.97366666668
241.17,14.3463333334,7.94654166668,6.41225000001,4.29133333334,4.36608333333,13.7475,11.2275,7.06083333333,4.81541666667
241.54,12.2715,6.255375,4.84125,2.50225,2.63266666667,11.90175,8.57275,5.76591666667,2.44779166667
241.92,10.49075,5.31475,3.73125,1.24716666667,2.90983333333,11.3221666667,8.07591666666,4.67141666667,2.46445833334
242.29,10.6254166667,7.04508333333,4.86845833333,2.54083333333,4.44191666667,12.1890833333,8.28008333334,5.72133333334,4.92166666667
242.67,6.8575,3.01204166667,1.736125,-1.059,0.659749999999,8.78483333332,4.618,2.29175,0.963541666668
243.05,7.15700000001,3.82341666667,2.39379166666,0.359416666667,1.86275,9.26450000001,5.96408333334,3.0555,1.59316666667
243.42,6.86741666667,3.887875,3.13895833333,1.0995,1.60933333333,9.22575,5.48116666667,3.39375,0.741083333335
243.80,5.45775,3.95795833334,3.21591666666,0.680333333333,0.463833333333,7.96233333334,5.05566666667,2.90666666667,0.239541666675
244.17,4.27841666667,3.12308333333,2.82491666667,0.655749999998,-0.656000000001,7.11100000001,4.15933333333,2.56408333333,-0.909333333332
244.55,1.4185,1.09345833333,0.8865,-0.827666666666,-2.6005,4.62475000001,1.84691666667,-0.162583333333,-2.94762500001
244.92,0.0727499999993,-0.923583333334,-0.676333333333,-2.74858333334,-4.42116666667,2.45791666667,0.712666666667,-1.8325,-3.99220833333
245.30,0.348333333333,-0.864041666667,-0.790458333334,-2.70633333333,-3.84516666667,2.4115,0.723583333331,-1.76841666667,-3.54375
245.67,1.78733333333,0.645958333333,0.259708333333,-1.44916666667,-2.5,3.63533333332,2.35491666666,-0.132833333335,-0.845208333335
246.05,2.3015,0.605416666667,0.452749999998,-1.67975,-2.7595,3.74141666667,2.47608333333,0.152666666668,-0.550875
246.42,3.78783333333,1.64325,1.51016666667,-0.659083333333,-1.44616666667,4.96858333333,4.1125,1.43641666667,1.10691666667
