wavelength,Back_SpoCaef,Belly_SpoCaef,Breast_SpoCaef,Crissum_SpoCaef,Crown_SpoCaef,DorTail_SpoCaef,Rump_SpoCaef,Throat_SpoCaef,WingTip_SpoCaef
192.47,22.0833333333,57.9168666667,62.4999333334,13.3333333333,-31.5278666667,39.5833333334,44.3056666667,57.9861000001,77.9167333333
192.85,37.2789333334,69.5238,83.1292666667,29.3879333334,-10.8843333333,58.6394666667,55.1020666667,74.3536666668,93.7415333335
193.23,39.4871333333,77.7778666667,101.367466667,31.4530000001,-27.3503333333,64.4443333333,68.5470666668,84.7008,109.230733333
193.61,54.7916666667,91.4583333334,135.0,40.0,-35.8333333334,101.875,95.4166666667,97.8125,141.25
193.99,70.9090666668,121.818333333,180.909133333,51.8181999999,-77.8787333333,137.575666667,132.1212,114.999966667,194.848533333
194.37,75.4023333332,128.9656,163.4484,51.7241333333,-37.4712666666,132.643733333,118.850733333,101.379333333,165.287466667
194.75,128.095266667,193.571466667,220.0,104.761733333,8.09533333347,211.428466667,169.523666667,147.976233333,233.5714
195.13,119.999933333,181.290333333,192.688266667,93.5484000001,-0.4300666666,185.161266667,137.8494,120.430066667,207.742
195.51,102.906,153.162333333,156.239333333,75.5555999999,-4.61540000001,143.589866667,116.752133333,96.2393666666,165.128066667
195.89,104.5614,125.380133333,139.766133333,78.2456000001,27.3684,129.590533333,109.122866667,96.9590666667,145.263266667
196.27,110.0482,123.188333333,141.8358,91.0144666667,45.8937333333,132.3672,114.975866667,101.546,143.768066667
196.65,118.2158,132.582066667,151.173866667,98.3098666666,58.9672,142.253533333,126.009333334,111.408433333,148.075066667
197.03,108.648666667,120.720666666,134.234333333,87.5674666668,49.1892,129.4594,113.5134,100.8559,134.774866667
197.40,123.8236,135.392133333,147.646933333,99.3136666668,56.4706666667,146.078466667,123.431466667,113.725566667,146.960733333
197.78,166.666666667,176.666666667,197.2,140.0,76.6666666665,188.666666667,165.733333333,148.933333333,198.8
198.16,149.540333333,160.2298,176.436866667,124.942466667,72.5288,174.597733333,149.6552,138.620766667,182.298866667
198.54,145.1724,152.2988,165.287266666,127.471266667,69.8851333334,167.5862,147.931,140.3448,178.390866667
198.92,133.548466667,137.419466667,155.0538,121.7204,63.0107333333,151.290333333,141.290333333,135.053733333,161.612866667
199.30,133.529466667,134.705866667,156.666666667,121.568666667,68.8235999999,148.2354,144.509733333,139.901966667,163.6274
199.68,127.511666667,128.262866667,149.3898,119.061066667,68.9202,144.601066667,136.807666667,136.244233333,156.150133333
200.06,123.050933333,125.4238,144.858733333,115.254333333,56.0452,143.7288,134.2372,132.146933333,156.1582
200.44,120.6778,122.373,141.581866667,111.0734,46.3276666667,139.774133333,133.2204,127.5142,154.1244
200.82,113.137333333,107.9412,126.764733333,106.372666667,45.4902666667,127.451,126.862666667,120.539266667,140.7842
201.19,137.377066667,129.070933333,152.459,123.388133333,60.1092666666,152.2404,150.0546,142.021833334,168.1966
201.57,122.136733333,112.307733333,132.905933333,106.2392,61.7094666667,130.683733333,129.743666667,125.2992,147.435933333
201.95,109.130333333,103.1884,121.594133333,97.6812666666,62.0291333333,120.652133333,118.985533333,121.159266667,132.826066667
202.33,122.197,114.772866667,137.121333333,113.484866667,77.3484000001,133.333266667,134.0152,140.0379,148.788
202.71,140.0,128.416666667,159.25,130.25,91.4166666666,153.416666667,149.583333333,158.291666667,169.5
203.09,165.396933333,151.217,193.862466667,151.3228,106.8782,183.492066666,176.931133333,187.089966666,205.5026
203.47,188.176133333,169.685533333,217.9874,171.320733333,126.918266667,211.069266667,202.2642,211.069133334,231.823866667
203.85,203.611133333,179.861133333,238.749933333,183.749933333,146.6668,228.194533333,224.305533333,228.4028,253.611066667
204.22,212.8,194.4,246.666666667,190.8,161.2,240.533333333,231.333333333,236.8,254.266666667
204.60,222.963066667,205.036933333,258.666733333,200.888866667,177.629666667,254.666666667,241.925933333,255.481533333,270.074133333
204.98,239.473733333,216.315666667,285.965066667,212.456066667,189.473666667,275.9648,247.5438,266.2281,296.4912
205.36,360.8,315.733333333,432.533333333,324.266666667,281.066666667,410.933333334,365.6,409.466666667,439.2
205.74,545.0,455.416666667,653.75,500.416666667,421.666666667,633.749999999,542.083333334,618.125,645.416666667
206.12,1752.0,1481.33333333,2054.66666667,1598.66666667,1336.0,2070.66666667,1714.66666667,1943.33333333,2048.0
206.50,2221.66666667,1811.66666667,2485.0,1970.0,1636.66666667,2558.33333333,2063.33333334,2362.5,2558.33333333
206.87,2263.33333333,1925.0,2581.66666666,1996.66666667,1736.66666667,2713.33333333,2248.33333333,2372.5,2718.33333333
207.25,719.047599999,610.476133333,803.809466666,609.047666667,580.476066667,828.095199999,691.4286,744.523766667,815.714466667
207.63,1052.59253333,877.7778,1179.2592,883.703733333,828.148133333,1209.62946667,975.555666665,1061.48146667,1175.55546667
208.01,612.549066667,513.333266667,669.019533333,523.921666667,489.019666667,686.666733333,539.215733333,611.9607,665.882266667
208.39,559.2982,463.8596,614.035,483.859733333,449.122866667,613.6842,488.7718,564.034833333,621.052666667
208.77,784.285800001,644.761933334,839.999999999,688.0952,629.523866667,860.476200001,664.7618,783.095133333,861.904666667
209.14,682.592666667,577.7778,713.703733333,605.1852,563.333466667,742.963,588.148066667,675.555633333,731.111133333
209.52,374.7058,322.549066667,389.215666667,332.941133333,324.5098,412.9412,330.588266667,363.725433333,395.098
209.90,358.518533333,308.3334,366.666666666,315.740666667,308.703733333,386.666666667,324.629466667,340.000133333,379.259333333
210.28,264.027866667,216.6666,264.4444,217.083333333,224.444466667,272.0832,229.722133333,242.9862,275.972333333
210.66,281.666866667,237.878733333,287.727266667,235.1514,253.4848,299.090866667,260.151533333,272.4999,298.636466667
211.03,255.066666667,211.2,255.2,208.666666667,226.8,254.533333333,219.333333333,246.733333333,258.666666667
211.41,244.2768,192.327,236.100733333,203.522133333,212.8302,240.251466667,207.547066667,231.760966667,253.584933333
211.79,254.872,196.794733333,244.358933333,218.846133334,229.2308,246.025666667,222.820466667,241.218,264.615466666
212.17,326.491133333,250.5264,314.386,277.894666667,294.386,327.719266667,298.947266667,306.0526,348.070133333
212.55,391.828,303.225866667,373.5484,335.053733333,360.000133333,400.215,368.172,368.602166667,421.0752
212.92,507.575866667,394.242266667,503.939466667,445.4546,476.363666667,530.6062,495.151466667,484.242633333,568.1818
