wavelength,Back_PipMelm,Belly_PipMelm,Breast_PipMelm,Crissum_PipMelm,Crown_PipMelm,DorTail_PipMelm,Patch10_PipMelm,Patch11_PipMelm,Rump_PipMelm,Throat_PipMelm,WingTip_PipMelm
808.35,1.29586666667,36.8074666667,37.5211333333,39.2676666667,10.723,3.65266666667,4.86386666667,0.431866666666,8.94826666667,36.1784666667,5.71839999999
808.66,0.675266666667,36.2911333333,37.5842666667,39.0964666667,9.84306666667,2.9864,4.7076,-0.199666666668,8.67333333332,35.6442,5.088
808.97,-0.704400000001,35.3691333333,37.2986,37.8678666667,8.87593333333,1.63053333334,3.78193333333,-0.945600000002,7.59293333334,34.4138,4.0906
809.27,-1.74393333333,35.1668666667,37.6082666667,38.5151333333,8.85906666667,1.49473333333,3.36826666667,-0.777333333332,7.46393333333,34.9177333333,3.56733333333
809.58,-0.766533333334,37.0448,39.3444,39.9193333333,10.8522,3.0962,5.8396,0.897600000001,9.0772,37.0045333334,4.7908
809.88,1.004,37.53,40.02,40.4516666667,12.8013333333,4.54813333333,7.20873333333,2.6806,10.9940666667,37.7309333334,6.66673333333
810.19,-0.231333333333,37.287,40.3364,41.3564,12.5342,3.40686666666,6.64560000001,2.45,10.2418666667,37.6656,6.33026666666
810.49,0.2966,39.396,42.3722666667,43.1520666667,14.1790666667,4.54693333333,7.666,2.9764,11.0158666667,39.0333333334,7.18279999999
810.80,-2.3696,36.9501333333,40.3854,41.5758666667,11.6101333333,1.84806666666,5.40826666667,-0.2834,9.45573333333,37.0522,5.23813333334
811.10,-0.995533333334,37.83,42.1922,43.8367333333,13.9597333334,4.41840000001,7.6846,2.12526666667,11.7672666667,39.3064666667,7.42720000001
811.41,0.725199999999,38.7446,42.9762,44.2856666667,15.303,6.55840000001,9.79439999999,4.25319999999,13.3657333333,39.7078666667,9.23166666665
811.71,2.8482,39.7600666666,43.4637333334,44.288,16.484,8.89920000001,11.3511333333,6.32253333334,14.9088,40.4069333333,11.4971333334
812.02,4.43746666667,41.4794,44.1771333333,45.8022,18.8540666667,10.7394666667,12.4581333333,8.18753333333,16.2813333333,40.9479333333,13.1876
812.32,5.69633333333,41.325,44.6322,46.0198666666,19.1342,11.2154666667,13.4689333333,8.63853333334,16.8285333333,40.9598,14.1053333333
812.63,6.34066666667,42.6077333333,45.6256666667,46.0252666667,19.001,11.9559333333,13.9221333333,9.4742,17.6972,41.6088666667,15.3312666667
812.93,7.94726666667,42.1850666667,45.4879333333,45.8130666666,19.5833333333,13.2622666667,15.2948,10.4471333333,19.0244,41.1788666667,16.7887333333
813.24,7.45046666666,42.7482,46.2486,46.1442,19.0804,11.9957333333,15.4440666667,9.36266666667,18.0563333333,41.3060666667,15.862
813.54,6.71919999999,42.2223333333,46.0901333333,44.8324,17.8092,11.7086666667,14.35,7.84073333335,17.631,40.6603333333,15.4612
813.85,7.5052,41.4825333333,45.593,44.1818666667,18.1596,12.0040666667,15.6953333333,8.2822,18.3229333333,40.8282,15.6442666667
814.15,8.95226666668,41.9348,47.0176,44.4610666667,19.3283333333,12.9522666667,16.8822666667,9.85466666667,19.0075333333,41.604,17.153
814.46,8.85099999999,42.2256,47.12,43.3592,17.8979333333,11.7774,16.3420666667,8.64513333333,18.1038666667,41.5353333333,16.4450666667
814.76,8.51546666667,42.1342666667,47.2371333333,43.719,17.3059333333,10.544,15.2244666667,8.39946666668,17.6650666667,41.5954,15.3618666667
815.07,7.97366666667,42.7237333333,48.1493333333,45.0960666667,17.1775333333,9.55500000001,14.3987333333,7.38046666667,18.0340666667,42.4601333333,15.1346
