wavelength,Back_SicCitf,Belly_SicCitf,Breast_SicCitf,Crissum_SicCitf,Crown_SicCitf,DorTail_SicCitf,Patch10_SicCitf,Patch11_SicCitf,Rump_SicCitf,Throat_SicCitf,WingTip_SicCitf
184.87,56.9230666666,26.2563333333,58.8718666666,116.7691,45.8460666667,98.3592,36.8204,75.0767333334,63.9829333333,45.9486,17.6152333333
185.25,91.6666666667,48.4724,95.4167333334,176.597233333,70.2778666667,144.930466667,61.3889333333,112.638933333,98.4490666667,84.1666666667,48.5937749999
185.63,119.619066667,65.5239333333,139.238133333,242.190466667,86.4760666666,183.714266667,70.0952,140.1904,127.047555555,112.761866667,73.1905583333
186.01,165.5556,94.8887333333,181.111133333,292.777766667,115.111,220.9999,85.7777333334,173.111133333,164.666744445,150.2222,98.1111833333
186.39,180.430133333,97.4193333334,194.193533333,285.806466667,123.870933333,219.1397,97.4194,165.1612,166.953366667,161.505466667,105.564625
186.77,213.333266667,119.540333333,233.333333333,331.724166667,158.3908,256.3218,127.816066667,202.9886,214.367822222,199.770133333,154.942483333
187.15,250.864333334,147.160533333,287.407533333,372.4692,179.753266667,286.2962,167.4074,245.185266667,252.427977778,251.604933334,212.623383333
187.53,403.75,244.166666667,468.75,596.875,277.5,457.708333333,273.333333333,402.5,404.722222222,415.416666667,366.71875
187.91,250.107466667,164.516333333,274.6236,323.0107,177.204333333,266.021633333,173.118266667,237.2044,231.362011111,238.924666667,225.591391667
188.29,286.666666667,201.794866667,312.564133333,380.640933333,189.4872,297.948633333,187.179466667,265.8974,256.0684,268.205266667,256.057758333
188.67,212.478533333,166.837533333,238.119666666,281.880266667,153.162266667,231.709366667,156.0684,211.282066667,198.461544445,202.393133333,201.474366667
189.05,175.6522,142.174,204.203066667,233.0435,125.942066667,196.3769,137.826066667,182.608666667,171.811611111,169.565133333,167.192008333
189.43,151.794933333,128.461466667,183.718066667,203.076966667,114.359066667,166.4101,130.769333333,161.923133333,153.568433333,148.2052,142.3557
189.81,136.851933333,117.777666667,154.537066667,174.1667,109.351933333,144.9538,125.648,146.6666,134.259244444,130.555466667,129.80325
190.19,125.866666667,109.3332,151.199866667,165.422233333,103.111066667,135.244533333,120.088933333,137.689,129.096388889,121.333333333,125.688825
190.57,130.761866667,117.428333333,157.142933333,173.095333333,112.666666667,139.8096,125.047533333,153.9046,139.968266667,129.333466667,144.309566667
190.95,112.407466667,99.6296,139.7222,149.305433333,99.8148666665,118.8425,113.8888,136.8518,120.7869,111.2962,128.11355
191.33,103.059933333,92.3497333333,132.459,149.071066667,92.2405333333,102.950833333,107.322533333,134.098266667,111.967211111,93.0054666667,114.890675
191.71,104.183,91.5032,139.084866667,163.921666667,97.5162000001,107.973866667,112.2876,143.921533333,114.466255555,92.5490000001,122.254791667
192.09,115.833333334,99.1666666666,172.5,197.916666667,122.333333333,132.583333333,138.666666667,171.166666666,139.666666667,109.833333333,149.520833333
192.47,96.752,82.9059333333,167.6924,181.281966667,112.3076,124.1028,124.6154,158.4614,125.4415,102.5642,132.54275
192.85,63.4922,51.4285333333,133.809466666,143.492066667,84.6032666666,83.0158666667,88.8889333333,122.8572,87.3280555556,68.7302000001,95.85325
193.23,68.227,49.5035333334,134.0426,141.3476,98.4397333334,91.4185333333,84.9645999999,121.4186,82.8132777778,71.4894666667,102.251708333
193.61,50.2777333333,33.1944666667,109.305533333,125.277733333,88.7500000001,78.4721333333,59.8611333333,108.4722,67.7314777779,51.9443333333,97.9167833334
193.99,28.0951999999,10.1588,97.6190666668,117.301566667,78.2540000002,73.7300666667,39.3650666667,97.9365333333,61.7197111112,35.0792666666,84.9800333333
194.37,41.4413333333,26.6668,112.972933333,144.234233333,100.180133333,96.036,52.6126,113.333333333,73.1830888889,49.9099333333,116.621475
194.75,38.8095333333,26.1905333333,145.714133333,173.6907,112.619,131.6667,78.0953333334,119.5238,75.6746777778,57.1428000001,124.494025
195.13,186.666666667,214.666666667,833.333333333,1002.0,625.333333334,686.666666667,449.333333333,692.000000001,412.888888889,310.666666667,718.833333333
195.51,194.166666667,218.333333333,573.333333333,679.583333334,489.166666666,559.583333333,359.166666667,490.833333333,348.055555556,305.0,584.479166668
195.89,244.762,292.380866667,696.190533333,788.095266667,574.285666666,673.809633333,454.285733333,567.6192,424.127111111,353.333333333,745.833325
196.27,-88.3333333335,-170.0,-881.666666667,-909.166666666,-600.0,-662.5,-436.666666667,-666.666666667,-406.666666667,-235.000000001,-1005.625
196.65,-20.5127999999,-44.1025333335,-267.692266667,-253.333366667,-187.6922,-179.743366667,-152.8206,-206.666666667,-118.632533333,-35.3846666667,-335.192183333
197.03,38.0954,12.6189333333,-83.3333333333,-69.9999666666,-51.4284666668,-46.6666999999,-39.0476666666,-64.7619333333,-23.8094444444,17.1428666667,-121.6965
197.40,51.9539333333,28.5058,-6.8966666666,-3.73576666668,6.43693333335,16.0919333333,6.66673333332,-2.64366666668,17.6819666667,38.0460666666,-33.9654833333
197.78,40.5478,17.8081333333,-7.03206666666,4.74883333334,9.22366666666,16.5752666667,1.00446666666,-1.46126666666,15.0532888889,33.9724666666,-23.5272416667
198.16,40.1308,23.987,2.41839999999,15.2613,16.0784,25.098,8.6276,9.47706666668,24.2266111111,35.9477333333,-11.3643416667
198.54,43.3627333333,33.7463333333,7.90566666667,19.1149333333,20.3540666667,26.9910333333,10.5604,12.7433333333,27.0796111111,37.8762666667,-4.39527500001
198.92,42.6031333333,30.7301333333,7.80959999999,17.4286,17.8412666667,31.3649666667,9.01586666667,10.6666666667,24.3597111111,43.4286666667,-12.5713666667
199.30,46.8748666667,37.1526666667,10.0694666667,23.8542333333,22.9166666667,32.0832333333,14.861,15.6249333333,28.7383333333,49.4444,-12.196075
199.68,48.3334,39.8076666667,14.6796,29.6474666667,27.6282,33.3012,20.5128,19.7434,33.2692666667,53.0129333333,-3.67004166666
200.06,56.2424,48.2425333333,24.7879333333,41.6969,37.2728,41.5452333333,31.1514666666,32.1818,44.7474666667,60.4244,9.97734166665
200.44,53.8888666667,39.0742,21.6049333333,34.9691333333,32.0988,36.1111333333,27.9012,32.037,42.8189,58.7654666667,5.81025833332
200.82,56.092,43.3908666667,30.8620666667,40.2874666667,37.1838666667,44.4252333333,35.0001333334,37.0689333333,46.5804777778,61.0344666667,11.515675
201.19,55.9291333333,43.7168666667,34.8083333333,41.3273666667,39.8821333333,46.7847333333,36.9911333334,38.8202,48.3676888889,62.7137333333,10.9363916667
201.57,52.2641333333,42.1383333333,31.1321333334,40.8176333333,37.7358666667,42.1385666667,34.9056666667,36.1006,46.6876222222,62.6416,6.6431
201.95,55.9196,50.3446666667,38.2183333334,45.2011333333,41.5516666666,44.7699666667,42.1839333333,42.8736,51.6091555556,63.4484000001,12.9309916667
202.33,50.1481333333,37.4075333333,29.4815333334,39.963,32.5185333334,33.4443,34.7408,34.5926,44.1481111111,58.4445333334,-3.74999999999
202.71,50.0000000001,33.25,30.8333333333,41.0833333333,32.4166666667,36.6666666667,34.3333333333,34.75,46.7916666667,63.1666666667,-9.45833333334
203.09,48.8333333332,31.5,29.9166666667,36.7500000001,29.6666666667,32.2083333333,33.25,29.5833333333,43.6944444444,59.4166666666,-6.09374999999
203.47,46.9333333333,26.0444666667,28.8888666666,34.4888666666,28.8000666667,33.7332333333,28.9779333333,26.8444666667,43.3334111111,58.0442666667,-9.499925
203.85,37.6471333333,20.2352,20.1566666667,21.6078666667,21.3333333333,30.392,19.6861333333,18.2746,30.6275333333,44.8627333333,-17.4902583333
204.22,22.6496666667,0.85473333334,5.04273333333,-6.66666599997e-05,1.53840000001,21.2821666667,-1.79493333333,-2.39313333334,10.2706666667,29.5727333333,-37.7777583333
204.60,27.7441333333,14.1413333333,14.9494,13.4343,13.2660666667,30.0001333333,7.54220000001,4.04060000002,16.6555666667,31.6499333333,-21.16995
204.98,16.7392666667,1.52186666666,2.82599999999,2.53629999998,-0.144933333322,11.5578333333,-7.97106666667,-11.3767333333,1.11105555557,21.7391333334,-35.4437666667
205.36,17.0874,8.93193333334,6.99033333332,10.7767,5.88993333333,16.4077333333,-4.20699999999,-3.68913333334,6.01956666665,24.2070666667,-26.0921833333
205.74,21.8854666667,13.1989333333,12.6598,18.0135333333,13.1314,25.4208,0.20206666668,7.1054273576e-16,7.86747777778,28.2828666667,-18.770975
206.12,9.83733333334,2.43893333332,-0.894333333334,7.43903333334,0.162733333328,21.8291666667,-16.6666,-15.9348666667,-3.06236666667,19.8375333333,-34.6544416667
206.50,27.7778666667,22.0262,21.6340666667,26.0130666667,17.3203333333,42.5490666667,6.73199999999,6.07853333333,18.8780444444,35.0325333333,-4.60787500001
206.87,38.6419333333,31.6665333333,31.7283333333,41.2344333333,27.3456666667,54.0740666667,20.7408,15.4937333333,27.4279555556,46.9752666667,11.0418166667
207.25,45.0451333333,41.6216666667,41.8017333333,52.2222333333,36.2161333333,65.8558333333,28.4084666667,24.3844666667,34.3043111111,52.6727333333,19.437025
207.63,41.6524666667,43.7607333333,40.3419333333,51.5099333333,33.3902666667,60.1422666667,25.3561333333,21.9940666667,31.5479222222,50.0855333333,17.1295
208.01,50.8742666667,54.8088666667,50.3824666667,66.7486666666,46.5573333333,68.115,38.0327333333,34.0982666667,45.3369333333,64.2622666667,32.5547166667
208.39,60.9444666667,66.6666,61.0,82.7222666667,62.5556,78.8889333333,53.3334666667,43.7778,57.2591777778,76.6666666667,41.791575
208.77,72.5275333333,81.6117333333,77.0696000001,100.8425,74.7252666667,93.9928333333,65.7876,50.2564000001,69.1451444445,98.2416666667,47.6098833333
209.14,80.5063999999,93.0800666666,87.6791999999,113.3755,86.9198,112.953766667,75.7805333333,59.4094000001,82.6862777778,110.379733333,50.896575
209.52,90.4902666667,100.9804,94.7058666667,119.362833333,88.3334666667,123.4804,86.6668,63.9217333334,92.1570444445,128.137266667,57.8920916667
209.90,95.3990666666,107.511666667,99.3428,119.671433333,88.3568666667,124.882733333,96.0563333333,69.9530666667,100.907688889,133.615133333,65.2465083333
210.28,96.0494000001,104.115266667,98.9299999999,115.2264,83.1274666667,117.242766667,98.4362666667,69.8765333334,96.0494222222,130.946333333,65.0103833333
210.66,111.2904,124.408466667,110.860333333,132.204233333,91.2902666667,134.032333333,113.9786,72.9031999999,103.602111111,160.4302,66.5322166666
211.03,93.6191333334,104.190533333,93.5237333333,107.904866667,74.0951999999,111.666933333,93.4285333333,62.3809333334,88.0951888888,130.190466667,49.8571833333
211.41,89.537,101.296133333,84.815,99.6295666667,72.2221333334,101.018566667,88.2407333334,62.4073333333,85.3703444445,120.740666667,44.3748416667
211.79,76.3333333333,83.25,72.0833333335,85.375,61.8333333333,91.5416666667,77.5833333333,51.0833333333,72.6527777778,103.833333333,38.7083333333
212.17,72.1460666666,72.2375333333,65.7534000001,75.9818,48.8583333333,87.0775666667,69.1322666667,40.0912666667,61.4306111111,94.7032000001,25.9815416667
212.55,61.9486666667,63.2821333334,49.9486666667,62.2564333333,25.7435333333,72.7693,56.8206,22.7692666666,43.5897666667,81.4359333333,8.5
212.92,57.3514666667,49.3152,40.5479333333,52.3745666667,18.4476,59.2692666667,44.4748666667,20.6392,37.3516777778,64.6574,7.28312500002
213.30,55.7893333333,43.5966666667,35.6139333333,47.9386,17.807,56.0089333333,38.1578666667,17.6316,31.4181666667,61.4034,6.21705833334
213.68,47.2658666667,36.8539333333,27.7154666667,45.4307333334,19.5506666667,48.1649666667,28.6142,13.4082666667,23.9326555555,47.94,1.17040833334
214.06,39.2000666667,25.9556666667,15.4666,34.9335,6.84433333332,41.1999,8.44440000001,3.911,9.3778,40.1776666667,-15.1332416667
214.44,46.4735333333,32.5604,16.6184666667,42.1255666667,15.8454,45.5071666667,9.85506666668,10.7246666667,16.0227,45.1206,-7.46388333334
214.81,34.1783333334,26.4788666667,6.85460000001,29.9529666666,7.13613333334,37.6055333333,-2.15966666668,2.15973333336,7.18317777778,33.2394666667,-16.6667083333
215.19,27.9796666667,21.1110666667,-4.34346666666,24.6969333333,-5.6566,32.4746333333,-11.7170666667,-8.48506666666,-4.41075555554,28.0807333333,-24.0151166667
215.57,25.5346666667,11.4464666667,-11.6981333334,24.0879666667,-16.2264666667,31.6982666667,-17.8616,-17.9874,-11.9705888889,35.8492,-36.8082750001
215.95,49.7777999999,14.0002,-20.4444666667,31.6668,-36.0,45.3332666667,-31.3333333334,-31.5554666667,-23.1110333333,66.8889333333,-71.0001750001
216.32,91.1111333335,1.1109333332,-106.111133333,15.8333,-113.888933333,125.833466667,-132.222266667,-100.5556,-62.4073333332,124.444533333,-211.527691666
216.70,82.5925333334,20.7408666667,-29.6295333333,31.1111000001,-34.4444,146.666633333,-56.2963333332,-21.851933333,3.6417888889,118.888866667,-95.4629416665
217.08,70.6061333334,36.6667333333,2.1212666666,56.6668333333,10.303,153.6363,-10.6061333333,13.0303333333,28.3333222222,130.303,-52.6136250001
217.46,106.3636,74.8483333333,47.2727333333,110.4546,41.2120666667,195.606,38.1817333334,62.1211333333,74.0907888889,174.545466667,-8.56059999994
217.83,201.904866667,171.4284,20.0001333332,196.6667,-26.6666666667,490.952566667,20.0000666668,65.7141333334,72.6983666668,433.333266666,-100.952391667
218.21,131.515,118.1818,-10.9090666668,115.151566667,-19.9999333333,306.666666667,33.9393333333,27.2728,19.0909555555,260.606066667,-84.4696416667
218.59,128.333333333,119.444466667,32.2223333333,110.555466667,17.7777333334,325.277766667,29.9999999999,48.3334,7.3148333333,238.888933333,-47.7083583332
218.97,136.231933333,115.941933333,90.1448666667,122.028866667,87.5362666666,242.3188,91.8840666667,95.9419999999,76.5700000001,198.260933333,55.9419
219.34,177.894866667,153.333333333,128.771933333,151.7545,146.315866667,303.157833333,131.578933333,125.2632,123.333311111,252.9824,87.6754083333
219.72,146.153733333,137.692333333,114.615466667,123.205033333,121.538466667,233.8461,112.307666667,105.3846,109.359044445,196.153866667,81.1217916665
220.10,106.306133333,92.9729333333,85.5856000001,99.0090333334,91.5315999999,175.945966667,85.0450666667,82.5224666666,82.6726111111,149.909733333,65.3152000001
220.47,79.6363333332,76.6061333333,73.3332666666,81.4544666667,70.3031333334,121.394,73.697,72.7272666667,62.8687222222,118.5454,59.7425583334
220.85,80.2469333334,78.0244666666,73.5801333333,76.1110999999,65.4322,111.9753,67.7778,68.2716666667,61.0288555556,118.765466667,59.8765666667
221.23,94.8147999999,92.2964,78.5184666667,79.9259,70.3704666667,126.5925,75.7037333333,73.4815333334,67.3333444444,135.111133333,65.2593583333
221.61,82.7118000001,82.8249333333,71.2994,68.3051333334,63.0508666666,105.4237,72.0903333333,65.8758,61.9773666667,113.672333334,69.1383916666
221.98,91.3792666666,87.1262666667,82.2987333334,76.0343999999,71.3792666667,112.9311,79.6551333333,77.931,77.2413333333,124.5978,73.6638416666
222.36,94.3168666667,94.6448000001,89.5082666665,81.0381666667,82.7322,123.825066667,89.9452666667,80.3278666667,89.0344111112,130.491866667,83.5247166667
222.74,93.4522666667,92.6190666666,87.6190000001,78.4524,80.7143333334,124.047666667,89.8808666667,76.6667333333,93.0952666666,132.142933333,78.5565416667
223.11,77.7011333333,80.8046,74.9425333334,70.7472000001,71.6091333333,106.5519,76.8964666667,63.7930666667,80.5171999999,114.597733333,66.9829333333
223.49,74.3503333333,82.8248666667,77.0622666667,72.5423333333,76.7232000001,103.7853,75.1412666666,66.8927333333,77.0998444444,115.706133333,66.12995
223.87,73.3333333333,78.0,67.2,73.7999999999,76.0,102.333333333,76.7999999999,61.4666666667,76.0,114.4,63.4166666666
224.24,85.9259333334,97.0372666666,80.5925333334,85.4072333333,94.3704000001,117.852033333,91.4073333334,82.8147999999,92.8641,128.444466667,80.074075
224.62,102.631666667,123.684133333,104.912266667,103.859533333,118.421066667,138.9474,118.596533333,95.9650666667,116.666688889,154.912266667,98.4209000001
225.00,106.274533333,128.6274,105.098133333,111.7648,129.2156,145.490266667,128.0392,98.4314666668,115.196155556,166.6666,94.2157916667
225.38,86.8966666667,119.7702,88.7356000001,100.345,107.586133333,131.838866667,120.229866666,81.3792666668,95.5171777778,153.793266667,84.9711333333
225.75,123.333333333,252.666666667,156.0,149.333333333,214.0,250.333333333,232.666666667,110.0,168.777777778,299.333333333,63.5
226.13,155.1514,278.787733333,207.2728,141.818266667,212.121266667,286.0606,246.666533333,107.2728,186.7678,295.757466666,93.9393416666
226.51,308.0,597.333333333,477.333333333,324.666666666,356.0,530.0,440.0,149.333333333,372.222222222,612.0,142.666666667
226.88,-64.1666666667,-154.166666667,-123.75,-59.7916666668,-87.0833333331,-124.375,-121.666666667,-11.25,-94.3055555556,-197.083333333,-10.0
227.26,-7.70373333335,-37.4814666667,-32.7406666667,-3.25923333332,-22.9629333333,-21.7037666667,-29.4814666667,6.51866666667,-21.2591,-58.3704666667,8.49996666667
227.64,-26.0871333333,-53.3332666667,-54.9274,-19.4202666667,-34.4927333333,-43.5508,-50.1449333334,-8.8406,-43.0193555555,-74.058,-11.594175
228.01,-34.2138666667,-65.0313333333,-66.0377333334,-28.3649333333,-43.6479333333,-55.9749,-53.8365333333,-24.4027333333,-55.0525888889,-81.0064,-31.0219916667
228.39,-31.7949333333,-65.3334,-63.2820666667,-32.8206,-38.2564,-45.0255666667,-51.0769333333,-18.3589333333,-51.4358333333,-73.7437333333,-31.2051333333
228.76,-12.0878666667,-35.2382,-35.5312666667,-12.8572,-18.9743333333,-24.5055666667,-25.4945333333,-1.97793333334,-26.8986666667,-41.0256,-13.0679083333
229.14,-22.9391333333,-45.2328,-50.3226,-26.8460666667,-30.9677333333,-37.6703,-36.2005333333,-17.0608666667,-39.3547777778,-53.9067333333,-25.6182833333
229.52,-35.4074,-63.0370666667,-69.9998666667,-39.9258666666,-51.4814666667,-58.5925,-52.2964,-34.0741333334,-57.4938444444,-72.5926,-40.4351333333
229.89,-39.0696666666,-68.1396,-79.8448666667,-48.5272,-55.814,-66.2404333333,-61.2404,-41.7053333333,-62.7132111111,-82.7907333334,-51.0076166667
230.27,-40.4494,-63.9700666667,-76.2546,-51.573,-57.6779333333,-64.8688666667,-63.2209333333,-43.6704,-62.9463777778,-81.5731333333,-50.9924166667
230.65,-51.0078666667,-68.8372,-85.3489333333,-61.8992,-68.5270666667,-71.1239,-77.5194,-57.5968666667,-73.3591666667,-90.0000666667,-62.0252
231.02,-63.1841333333,-84.4776,-106.9652,-74.8258666666,-81.0946666666,-90.8459,-96.7164000001,-69.1542,-86.4177777778,-106.069666667,-71.4926083333
231.40,-88.0459333334,-114.8276,-133.333333333,-99.1380666667,-96.6666666667,-114.8277,-120.344866667,-88.9654666667,-111.360133333,-125.402133333,-86.26435
231.78,-70.164,-93.0054,-101.857866667,-76.8852666666,-77.2676666668,-88.6338,-97.0492666667,-77.4862666667,-91.2567666667,-105.355133333,-64.6857833334
232.15,-53.1217333333,-68.4656666667,-82.4338666667,-55.6085666667,-55.3439333334,-68.3069,-75.6614666667,-54.6031333333,-67.2309888889,-86.7725333334,-37.1295666667
232.53,-28.8888666667,-36.8116666667,-56.8116,-29.6134333333,-35.6522666667,-47.2465666667,-48.9854,-34.0096666667,-41.8519555556,-57.2944666666,-11.2802833333
232.90,-43.7426,-47.1344666667,-71.9296666666,-38.7134333333,-46.3158,-60.2923666667,-62.9239333333,-47.1344666667,-53.3723333333,-75.9064666667,-19.0058833333
233.28,-29.8305333333,-32.5422666667,-50.8476,-18.9831,-22.5988,-40.9602333333,-45.0847333333,-25.9887333333,-35.1224111111,-48.3615333333,-9.88700833333
233.66,-8.95853333332,-9.5834,-23.7501333333,3.85400000001,5.62493333333,-6.77093333335,-17.1876,1.56240000001,-6.45852222221,-19.1668666667,14.3355333333
234.03,-4.72573333332,-0.1686,-11.8988,5.82273333333,9.70473333333,2.86933333334,-3.62866666666,9.87346666669,-0.351622222228,-5.9072,20.00005
234.41,5.59666666667,14.6503333333,-1.48153333333,15.2264333333,17.1196,17.1191666667,7.7366,17.2841333333,9.7532111111,5.18513333334,28.446375
234.78,16.1171333333,18.1685333333,6.88653333333,27.1064,24.3956,25.2747333333,20.1465333333,26.3004,20.4762111111,14.5786666667,36.5841083333
235.16,22.2404,19.1801333333,12.8416,26.2021333333,26.776,31.9124666667,24.8087333334,26.3387333333,23.1330777778,20.0000666667,31.892075
235.54,31.4924666667,29.5027333333,23.3334,34.9752,33.9800666667,39.7511333333,34.6268666667,36.7662666667,34.0049444444,26.8657333333,35.8147916667
235.91,27.402,26.8136666667,16.5684666667,32.0097,31.1764666667,35.5393,29.3137333333,37.8432,32.6551666667,23.2354666667,30.7721
236.29,20.0455333333,21.0958,8.63013333333,24.4978333333,22.9680666667,30.6620666667,21.5980666667,28.6758,24.8552555556,17.9908666667,21.1987166667
236.66,14.5376666666,15.7418,6.45160000001,19.828,18.4946,26.2150333333,17.1612666667,25.4195333333,21.3692333333,14.7096666667,16.6828916667
237.04,14.9043333333,14.5222,7.09119999999,20.3397666667,16.2208,26.0297666667,18.344,23.7366666667,20.7430222222,15.2016666667,17.786525
237.41,13.0158666667,15.9921333333,5.27773333333,17.0635666667,11.508,21.6071,16.1904666667,20.6349333334,16.4021444444,7.77773333335,16.9593
237.79,10.7994,18.7525333333,4.24940000001,15.6529,9.70760000001,19.0057333333,14.308,20.5458,14.9253888889,4.44433333333,11.5351333333
238.17,10.4761333333,17.0996,2.81386666667,17.1643333333,9.56713333333,16.3637666667,15.0216,22.0778666667,16.2626444444,0.346266666673,9.15048333334
238.54,16.8810666667,17.7778,7.40733333332,21.0526333333,13.6841333333,18.7526,18.0116666667,27.6802666667,21.5204555556,4.67820000001,12.2857333333
238.92,17.9458,21.3954666667,10.6202,19.6317,17.1317333333,20.8915,19.0696666667,29.7674666667,23.6951666667,5.58146666667,14.593
239.29,12.6748666667,17.7365333333,6.29620000001,13.6008333333,11.1521333333,12.2428333333,12.6337333333,27.6130666667,19.9039888889,0.12353333334,10.9772666667
239.67,7.54273333333,13.2951333333,0.342866666662,6.60960000001,5.14286666667,3.08583333333,4.8,21.0284666667,13.6951555555,-5.56193333334,8.66193333334
240.04,12.0064,14.4077333333,4.2654,8.11993333333,7.26699999999,7.51976666667,7.70926666666,22.6224,15.2870777778,-0.473866666666,12.9977083333
240.42,11.4027333333,9.89453333333,4.76619999999,5.807,5.33933333333,6.01799999999,5.1282,24.4646666667,15.4350444445,-3.07686666667,12.590575
240.79,10.1547333333,9.0858,2.67226666666,5.42893333333,5.4008,6.44163333333,3.29106666667,24.6696,14.6318666667,-4.44433333335,11.4098833333
241.17,10.1552666667,9.00833333333,2.05500000001,4.55196666667,7.95699999999,7.5029,2.91513333333,25.1612666667,14.1735333333,-2.8912,11.0543416667
241.54,10.8998,7.30053333333,2.08593333333,5.08166666667,8.42533333333,9.8056,3.45586666666,23.9672666667,14.3013111111,0.245399999994,11.6769
241.92,8.69793333333,4.19193333333,0.9234,2.98236666667,6.42653333333,8.59636666667,2.06833333333,21.4405333333,11.9420444444,-0.0738666666606,11.2649583333
242.29,11.1163333333,7.0942,4.44973333333,6.20753333333,8.94686666667,11.3222,4.76633333333,23.2461333333,13.8057222222,4.27553333333,13.0919333333
242.67,5.97853333334,1.55973333333,-0.489333333334,0.504533333333,4.15899999999,6.0398,0.474066666668,18.7002666667,8.77165555557,-0.473933333328,8.58754166668
243.05,6.06593333333,0.747466666668,-1.0696,0.329666666667,3.06240000001,5.19423333333,0.102466666667,18.3298,7.85098888888,-0.996333333333,7.37739166667
243.42,6.61053333333,1.06653333333,-1.24906666667,1.1229,3.24213333333,4.9331,0.2948,18.3018,7.39431111112,-0.968266666667,6.62981666667
243.80,6.887,0.248066666666,-1.281,1.73563333333,3.42966666666,5.52343333333,0.523466666667,18.4022666667,7.3072888889,-0.922799999999,6.23435
244.17,7.8336,1.1134,-0.362266666666,2.85716666667,4.52053333333,5.4393,1.8914,19.1951333333,8.03934444445,0.335133333333,6.70344166667
244.55,8.71206666665,3.28293333333,0.555533333334,3.90156666667,6.40160000001,6.30693333333,3.76253333333,19.7728,8.81314444445,1.6918,7.60258333334
244.92,9.0224,3.78086666667,1.34286666667,3.6747,6.58433333333,6.02476666667,4.97053333333,19.4229333333,8.74373333333,1.60193333333,7.80189166667
245.30,8.85213333334,3.90986666667,1.48273333333,3.9263,6.30413333334,5.10183333333,4.97526666667,19.1431333333,8.37438888889,2.28453333334,7.54256666667
245.67,10.7852666667,6.94320000001,4.34566666667,6.5481,8.81986666667,7.31856666667,7.27906666667,21.6198,10.7670111111,5.40253333333,9.51848333332
246.05,12.1646666667,8.71853333334,6.24246666667,8.4157,10.5196,8.87433333333,8.87446666666,22.8832,12.4343333333,7.09100000001,11.0498416667
246.42,11.3458,8.34113333334,5.77466666667,7.75413333333,9.81219999999,8.92013333334,7.96553333333,22.1832,11.7867333333,6.58053333333,10.63265
246.79,13.206,10.5448,7.49473333333,10.1522333333,11.7550666667,11.7302333333,9.73106666668,24.0905333333,13.6988888889,8.59166666666,12.4611583333
