wavelength,Back_IdiBram,Belly_IdiBram,Breast_IdiBram,Crissum_IdiBram,Crown_IdiBram,DorTail_IdiBram,Rump_IdiBram,Throat_IdiBram,WingTip_IdiBram
589.76,8.22055555556,19.642,17.0842222222,19.3372222222,7.51366666667,8.53722222223,9.27011111111,19.7581111111,6.56633333333
590.09,8.22755555556,19.6712222222,17.1686666667,19.3913333333,7.536,8.60188888889,9.31122222222,19.8018888889,6.6
590.43,8.18766666667,19.633,17.101,19.3441111111,7.49755555556,8.59244444445,9.26933333333,19.7521111111,6.56888888889
590.77,8.21388888889,19.6293333333,17.135,19.3892222222,7.53088888889,8.62455555556,9.31611111111,19.7805555556,6.60477777778
591.11,8.25844444445,19.6957777778,17.1923333333,19.4473333333,7.58655555555,8.68566666668,9.36477777778,19.8231111111,6.67366666667
591.44,8.28577777778,19.7191111111,17.1906666667,19.4693333333,7.60933333333,8.69522222223,9.36166666666,19.815,6.67033333333
591.78,8.34611111111,19.7511111111,17.2928888889,19.5287777778,7.673,8.78233333335,9.47133333333,19.8873333333,6.73344444444
592.12,8.37833333333,19.7812222222,17.3038888889,19.5666666667,7.68344444445,8.83877777778,9.51311111112,19.9014444444,6.76433333333
592.46,8.34377777778,19.7493333333,17.2787777778,19.516,7.64188888889,8.79822222222,9.46666666667,19.867,6.69666666667
592.79,8.37944444445,19.7644444445,17.298,19.5345555556,7.67455555556,8.82700000001,9.47411111111,19.9108888889,6.73388888889
593.13,8.33466666667,19.7241111111,17.2927777778,19.5138888889,7.65233333333,8.81477777778,9.47600000001,19.8766666667,6.72533333333
593.47,8.29177777778,19.7191111111,17.2493333333,19.4624444445,7.64677777778,8.77833333332,9.43433333333,19.8413333333,6.70411111111
593.80,8.28844444445,19.6892222222,17.2553333333,19.4302222222,7.62988888889,8.74055555557,9.38911111111,19.8182222222,6.69344444444
594.14,8.284,19.6872222222,17.2737777778,19.4118888889,7.62722222222,8.73066666666,9.36511111111,19.8018888889,6.69166666667
594.48,8.29211111111,19.7185555556,17.2995555555,19.4267777778,7.632,8.74355555557,9.37811111111,19.8036666667,6.70733333333
594.81,8.25777777778,19.691,17.2825555555,19.4206666667,7.60622222222,8.71777777779,9.34822222222,19.8174444444,6.68611111111
595.15,8.23688888889,19.6773333333,17.265,19.387,7.55633333333,8.70833333333,9.29611111111,19.8301111111,6.67755555556
595.49,8.22666666667,19.6864444445,17.234,19.3687777778,7.53422222222,8.65844444443,9.25144444444,19.8214444444,6.66644444444
595.82,8.196,19.6607777778,17.2288888889,19.34,7.529,8.64022222222,9.224,19.7864444444,6.65877777778
596.16,8.23688888889,19.6906666667,17.2873333333,19.402,7.57644444444,8.66633333333,9.27711111111,19.8365555556,6.72211111111
596.50,8.236,19.6915555555,17.282,19.4122222222,7.55911111111,8.65200000001,9.27533333333,19.8202222222,6.71655555555
596.83,8.22644444444,19.6598888889,17.2617777778,19.3821111111,7.54655555556,8.63322222221,9.24622222222,19.7864444445,6.69188888889
597.17,8.23155555556,19.6364444444,17.2551111111,19.3894444444,7.52866666667,8.63688888888,9.23355555556,19.7824444444,6.692
597.51,8.241,19.6422222222,17.2532222222,19.4223333333,7.52688888889,8.64944444444,9.25333333333,19.7882222222,6.70633333333
597.84,8.26077777778,19.6998888889,17.288,19.4515555555,7.54866666666,8.69644444443,9.282,19.828,6.71666666666
598.18,8.28166666667,19.7122222222,17.3247777778,19.477,7.57211111111,8.71177777779,9.27833333334,19.899,6.71611111111
598.52,8.24766666667,19.667,17.2815555556,19.4311111111,7.54711111111,8.69500000001,9.247,19.8761111111,6.68088888889
598.85,8.23433333333,19.6408888889,17.275,19.4336666667,7.55322222222,8.67999999999,9.25511111111,19.8834444444,6.66255555556
599.19,8.22477777778,19.6547777778,17.29,19.475,7.58188888889,8.70888888889,9.27877777778,19.8975555556,6.69522222222
599.53,8.24666666667,19.6982222222,17.3227777778,19.5221111111,7.62522222222,8.74355555554,9.33266666667,19.9531111111,6.749
599.86,8.22055555555,19.6652222222,17.2881111111,19.4628888889,7.61722222222,8.71522222221,9.30511111111,19.9111111111,6.73822222222
600.20,8.214,19.6797777778,17.3133333333,19.4803333333,7.64288888889,8.73699999999,9.29611111111,19.933,6.76266666667
600.53,8.227,19.7233333334,17.3324444444,19.5445555556,7.65255555556,8.7621111111,9.31166666667,19.9952222222,6.775
600.87,8.22866666667,19.755,17.3646666667,19.5596666667,7.64911111111,8.76377777777,9.33177777778,20.039,6.78777777778
601.21,8.21166666667,19.7912222222,17.3494444444,19.5651111111,7.65377777778,8.76722222222,9.33277777778,20.0322222222,6.79433333333
601.54,8.23,19.7492222222,17.3351111111,19.5627777778,7.63666666667,8.75211111112,9.33811111111,20.0088888889,6.80333333333
601.88,8.23311111111,19.7654444444,17.3594444445,19.5635555555,7.666,8.77255555557,9.35322222222,19.9901111111,6.82877777778
602.21,8.26611111111,19.8097777778,17.4031111111,19.5916666667,7.69422222222,8.789,9.38122222222,20.023,6.85355555555
602.55,8.26088888889,19.8286666667,17.385,19.5894444444,7.69111111111,8.81022222222,9.38244444444,20.0165555556,6.86955555555
602.88,8.28822222222,19.8103333334,17.416,19.5875555555,7.69422222222,8.83222222221,9.38911111111,20.0283333333,6.85066666667
603.22,8.30655555556,19.7905555556,17.3936666667,19.547,7.66633333333,8.82277777778,9.37666666666,20.0268888889,6.826
603.56,8.30433333333,19.7858888889,17.3736666667,19.5546666667,7.65733333333,8.86311111112,9.37266666667,20.0548888889,6.82288888889
603.89,8.335,19.7965555555,17.3918888889,19.5644444445,7.67011111111,8.88255555556,9.39688888889,20.0632222222,6.83833333333
604.23,8.31622222222,19.7494444444,17.3403333334,19.5104444445,7.64433333333,8.85299999999,9.37811111111,20.0106666667,6.82666666667
