wavelength,Back_TanVirf,Belly_TanVirf,Breast_TanVirf,Crissum_TanVirf,Crown_TanVirf,DorTail_TanVirf,Patch10_TanVirf,Patch11_TanVirf,Patch12_TanVirf,Rump_TanVirf,Throat_TanVirf,WingTip_TanVirf
714.44,21.86,26.236,21.6305833333,21.8777777778,18.1881666667,13.627280303,16.579,16.2178333333,25.346,23.6506018519,25.5245,18.0445833333
714.76,21.811,26.137,21.5363333334,21.7652222222,18.0513333333,13.4942083333,16.4748333333,16.0794166667,25.2205,23.5149351852,25.48925,17.947
715.08,21.9419166666,26.3565833333,21.7685,22.0033333333,18.3835833333,13.6393181818,16.61025,16.2514166667,25.4623333333,23.7289340278,25.616,18.0855
715.40,21.8624166667,26.3045833333,21.6764166666,21.8701111111,18.2963333333,13.6482992424,16.5049166667,16.05325,25.3935833334,23.6059467593,25.4655,18.0568333333
715.72,21.931,26.297,21.7571666667,21.8654444444,18.3173333333,13.6810530303,16.6005,16.1005833333,25.3954166667,23.629931713,25.4185,18.13575
716.04,21.8768333333,26.2400833334,21.69175,21.7975555556,18.3106666667,13.6811401515,16.5190833333,16.10725,25.36675,23.5383287037,25.3433333333,18.0883333333
716.36,21.9881666667,26.4444166667,21.8680833333,22.0223333333,18.4125833333,13.9031287879,16.6825833333,16.3240833333,25.4641666667,23.7204513889,25.5146666667,18.2514166667
716.68,21.964,26.3951666667,21.8851666667,22.0531111111,18.425,13.8714393939,16.6875833333,16.3035,25.5030833333,23.6974155093,25.5834166666,18.2770833333
717.00,21.9338333333,26.43375,21.95675,22.0734444445,18.3155833333,13.8693825758,16.7274166667,16.3020833333,25.5404166666,23.6977164352,25.54525,18.25975
717.32,21.9926666667,26.519,22.0730833333,22.0993333333,18.4789166667,13.9974772727,16.8243333333,16.3816666667,25.6521666667,23.8003599537,25.58,18.4268333334
717.64,22.1725833333,26.7708333333,22.3178333334,22.1736666667,18.6743333333,14.1775757576,16.9884166667,16.492,25.8110833333,23.9481469908,25.79725,18.6310833333
717.96,22.3678333333,27.0425,22.494,22.3264444445,18.9099166667,14.4688295455,17.18175,16.7023333334,25.9075,24.1419513889,26.0283333333,18.7889166666
718.28,22.3665833334,27.1709166667,22.522,22.4147777778,19.0479166666,14.5752575758,17.3045,16.8348333333,25.9284166667,24.2230324074,26.0344166667,18.8851666667
718.60,22.3433333333,27.123,22.4328333333,22.3467777778,18.78575,14.6012651515,17.3644166667,16.7543333333,25.8300833333,24.0765069444,25.9569166667,18.9518333333
718.92,22.45925,27.3243333333,22.6220833333,22.5671111111,18.9488333333,14.749310606,17.6171666667,17.08825,26.0289166667,24.3497395834,26.347,19.1231666667
719.24,22.4209166667,27.2533333333,22.464,22.4706666667,18.9025,14.701469697,17.38225,17.0176666667,26.0335833333,24.2658506944,26.2669166667,18.979
719.56,22.5801666667,27.46,22.6443333333,22.711,19.0645833333,14.8395909091,17.55025,17.0573333334,26.232,24.4692314815,26.44225,19.22275
