wavelength,Back_SalAlbm,Belly_SalAlbm,Breast_SalAlbm,Crissum_SalAlbm,Crown_SalAlbm,DorTail_SalAlbm,Patch10_SalAlbm,Patch11_SalAlbm,Rump_SalAlbm,Throat_SalAlbm,WingTip_SalAlbm
193.61,99.2104666667,104.429833333,117.7192,150.964866667,141.9298,122.017666667,104.649066667,133.245733333,98.4209333333,143.0702,124.736866667
193.99,100.450333333,102.0271,121.1712,147.6576,140.8108,120.450333333,101.8018,135.405333333,98.0181333333,143.603733333,123.513466667
194.37,96.5492,99.4116333333,113.882266667,137.804066667,129.568666667,111.372566667,97.9608000001,127.607866667,96.8627333333,134.9804,115.7648
194.75,99.9175999998,110.535066667,118.024733333,146.584466667,140.4938,118.353866667,100.0822,135.6378,101.399133333,141.893,123.868333333
195.13,121.6,140.266666667,156.4,201.466666667,195.333333333,151.533333333,128.533333333,186.0,128.133333333,197.466666667,164.933333333
195.51,143.908,158.5059,203.9082,278.850533333,269.6552,179.769933333,155.8622,248.505733334,156.321866667,284.367866667,224.597733333
195.89,277.037066667,265.9259,443.7038,700.000066667,682.962933333,398.148066667,336.2962,613.3334,320.000133333,723.703533332,497.777733334
196.27,137.5,120.833333333,238.75,380.833333333,366.666666667,198.125,177.083333333,316.25,156.666666667,376.25,270.833333333
196.65,222.0,186.0,348.666666667,540.666666666,541.333333333,294.666666667,248.0,463.333333333,238.666666667,573.333333334,404.666666667
197.03,262.857133333,229.999833333,346.190466667,449.523866667,464.761866667,279.2857,239.523866667,387.619133333,274.7618,494.285733333,353.8094
197.40,234.0742,199.814733333,301.481466667,372.592333333,405.185266667,246.4816,202.592533333,314.8148,233.333133333,394.444533333,288.518333334
197.78,420.7408,349.629666667,562.962933333,656.296400001,766.666733333,464.814833333,382.222066667,596.296266666,425.1852,715.555466667,525.185133333
198.16,366.666666666,308.6111,450.555533333,554.444466666,630.555666667,369.166766667,323.889,465.5556,336.111066667,542.2222,430.000066667
198.54,207.733333333,167.6,238.4,272.0,335.466666667,197.333333333,176.8,236.533333333,180.533333333,284.8,232.266666667
198.92,199.0196,154.117633333,216.274466667,238.039333333,272.352866667,180.000166667,163.725533333,204.902066667,175.882266667,247.843066667,197.647133333
199.30,157.381,123.690366667,155.595066667,174.7618,185.238,137.7976,125.0,148.333333333,129.404666667,172.976133333,148.571466667
199.68,140.967733333,121.827933333,141.397866667,156.128933333,163.2258,124.2473,114.516133333,133.4408,121.397933333,155.8066,130.967666667
200.06,120.081266667,110.4062,120.731466667,128.048733333,135.447133333,106.382133333,97.561,110.894333333,106.991933333,133.577266667,113.983666667
200.44,130.256333334,122.4359,126.4102,134.786266667,147.521266667,116.880366667,106.068333333,119.487066667,113.076866667,142.820533333,120.256333333
200.82,124.318266666,114.1667,116.818133333,126.8182,140.606133333,110.113633333,101.6666,112.878733333,103.787933334,134.318133333,114.621266667
201.19,115.708733333,105.210666667,107.202933333,122.068866667,129.4254,103.371633333,94.1763333334,102.6054,90.8046,126.436733333,106.82
201.57,132.3148,118.148166667,123.9816,138.8888,148.9814,115.833333333,106.666733333,118.981333333,105.277866667,143.981533333,125.000066667
201.95,130.129866667,117.142833333,121.904733333,136.017333333,143.29,111.0823,105.5412,112.640666667,101.818266667,144.069266667,121.2122
202.33,137.291466667,122.343566667,128.958133333,136.145733333,149.999733333,116.093666667,112.2916,116.770666667,101.979,154.583266667,118.541666667
202.71,160.784333333,134.117633333,146.1438,149.673133333,169.412,131.6995,124.8366,134.902,113.202733333,174.2484,127.058933333
203.09,161.705466667,126.356566667,128.6822,133.798533333,174.728666667,126.821666667,118.4496,123.565933333,94.5736666665,166.5116,115.814066667
203.47,179.819933333,150.900833333,151.891866667,138.738733333,209.7298,138.5585,133.513533333,140.180266667,111.1712,194.594533333,132.252266667
203.85,154.339666667,125.660366667,125.911933333,117.484266667,174.088133333,120.125666667,115.0944,124.4026,94.2137333335,155.094266667,119.8742
204.22,190.634933333,156.508,157.6192,139.365066667,220.000066667,145.476233333,139.8412,156.190533333,112.698466667,181.5872,141.904733333
204.60,333.6508,265.238233333,268.253933333,226.3492,387.936533333,242.8572,214.920666667,250.158733333,175.873066667,304.126866667,233.650733333
204.98,751.666666666,572.916666667,616.666666666,472.5,903.333333334,485.0,454.166666667,515.833333333,340.0,669.166666667,476.666666667
205.36,-627.407399999,-438.888666667,-509.629666667,-354.074066667,-759.259333334,-324.444466667,-325.185066667,-393.333333333,-253.333266667,-516.296333333,-357.037066667
205.74,-564.444399999,-394.444466667,-445.925933333,-286.666533333,-672.592666667,-230.740633333,-253.333266667,-308.888866667,-145.1852,-446.6668,-257.037066667
206.12,-722.499999999,-517.916666667,-569.166666667,-415.0,-818.333333333,-342.5,-345.833333333,-416.666666667,-237.5,-560.0,-378.333333333
206.50,-332.000133333,-257.5557,-253.3334,-188.0,-387.555533333,-145.111,-124.888933333,-169.333333333,-95.1111333334,-248.444466667,-167.999933333
206.87,-120.43,-96.2364333335,-79.57,-75.6989999999,-149.247266667,-30.8603,-29.8924,-43.0108,-12.4729999999,-74.1935333333,-44.7311333333
207.25,-163.6112,-140.972133333,-137.7778,-121.388866667,-200.833266667,-48.3333666667,-61.1111333333,-64.7222666668,-27.5,-127.777733333,-80.0000000001
207.63,-138.4126,-126.349233333,-111.746133333,-96.1904666667,-184.126933333,-23.3332,-13.9682,-39.3651333334,6.6668,-99.3649999998,-47.9364
208.01,-22.0741999999,-24.1481999999,-15.2591333333,-6.22226666666,-33.6296666667,27.1851333333,27.8517333333,21.4816,40.2963333333,-12.4443333333,20.7407333333
208.39,-14.0538666667,-20.9009666666,-11.7117333335,-4.68473333333,-22.5226666667,44.5944666666,36.3963333333,34.955,62.3422666667,-6.48646666674,32.4324000001
208.77,-67.1427333334,-82.8571666669,-63.3334666668,-58.0951333332,-87.1429333333,81.9047666666,57.1429333333,52.8571999999,131.428533333,-73.3333333333,34.2856
209.14,-293.333333333,-343.333333333,-322.666666666,-247.999999999,-332.0,120.666666667,60.0,25.3333333332,262.666666667,-307.999999999,6.6666666666
209.52,115.416666667,168.75,131.666666667,99.1666666667,140.416666667,22.5,48.3333333333,16.25,-41.25,136.666666667,32.083333333
209.90,95.0000666667,126.7857,105.714333333,88.8096000001,110.476266667,44.8809666667,54.7618666667,35.7143333334,8.33346666667,110.238066667,50.7142666666
210.28,56.4103999999,82.8203666666,71.6239333335,49.2307333334,74.0170000001,27.0084666667,34.5298666667,15.0428666667,-6.15386666667,68.7179333333,26.4956666667
210.66,61.5476666667,76.0714333334,71.7857333333,57.0238666667,74.5237333332,37.4404333333,47.1428666667,29.7617333333,16.7856666667,68.4523999999,40.7143333333
211.03,59.8196666667,70.6755999999,72.3423333333,55.4956,72.3423333333,41.3513666667,46.9369333333,35.4054,27.9280666667,64.5044,46.5766
211.41,59.8148000001,75.8333666665,75.1852666667,58.3334666667,72.5926,42.2684333334,46.0185333333,37.5926,34.8147333333,60.9258666667,45.1850666667
211.79,66.1260666667,80.7205666666,86.3062666666,70.0000666667,80.1802666666,51.0359,61.081,45.3153333333,45.8558666667,68.9189333333,54.7746666667
212.17,71.081,82.1621333334,95.3154666665,77.6576,90.0900666666,57.1172,62.5226666667,50.2702666666,55.6756,70.0,55.4954
212.55,68.2051333333,75.9999333334,90.1538666667,67.5898,86.8716666667,52.9231333333,52.4104666667,42.1538666667,52.2052,65.3332,45.9486
212.92,84.1665999999,96.9443333333,112.3612,74.3055333333,106.25,62.9861,67.7777333333,47.5000666667,66.3888666667,74.0276666665,51.9444
213.30,97.607,106.5814,123.4188,81.3675333333,125.47,71.7948666667,65.812,53.1622666667,68.8888666666,79.4872000001,49.5727333333
213.68,82.6666666666,78.7499999999,102.166666667,65.5,102.0,46.6666666667,38.8333333333,43.6666666666,46.3333333333,61.5000000001,28.0
214.06,70.6059999999,70.1515333333,83.7877999999,57.1211333333,91.0606000001,40.9090333333,28.4848,38.0301333334,38.9393333333,47.1212,18.3334
214.44,68.5273333334,72.248,78.4494000001,60.3100666667,86.0464666667,35.9689333335,18.4496,36.8991999999,42.1705333333,44.3410666666,5.58133333334
214.81,61.1999999999,60.4666666667,63.8666666667,49.8666666667,69.7333333333,30.8,13.8666666667,34.2666666667,40.5333333333,34.3999999999,3.20000000002
215.19,53.0802000001,49.9999333333,57.3839999999,41.9408666667,55.1898,36.3291666667,24.3882666666,35.6962666667,43.2068,35.9492666667,15.5273333333
215.57,46.4493333333,41.3404666667,49.1304,36.8839333333,49.3479333333,32.5361333333,21.5941333333,33.3332666667,39.4928,31.6666,17.2462666667
215.95,43.6491333333,36.3508333334,41.6141333333,31.2982666667,41.193,24.2105333333,11.2282,29.3332,31.7192666667,23.579,10.5263333333
216.32,42.4406,36.5178,37.6190666667,32.0834,39.5238666667,24.5239666667,14.1668,28.9881333333,29.0476666667,26.6667333333,13.8689333333
216.70,48.9617333333,42.9781666667,43.6065333333,41.6394,46.011,33.4152666667,23.6066,35.8470666667,34.2623333333,32.1856666667,23.06
217.08,51.6432,43.6149,45.6807333333,46.0563333333,50.4694666667,36.5023333333,27.3239333333,39.8121333333,37.1830666667,33.4272666667,27.7934
217.46,46.0564,38.5679666667,41.4554666667,40.9389333333,44.554,32.9343333333,23.2864,34.6948666667,34.0845333333,29.2018666667,23.4273333333
217.83,46.8530666667,39.6502666667,42.5641333333,43.2168666667,45.9208,35.6644,24.3356666667,35.711,35.3846,29.9766666667,24.2424666667
218.21,46.3808666667,37.619,42.0476,41.6666666667,43.4284666667,35.3332666667,24.3808666667,34.0952,34.8572666667,30.5714,21.6667333333
218.59,43.6495333333,32.5792333334,38.4428,37.6643333333,40.0486666667,32.7249666667,21.8492,31.8247333333,30.8515333333,27.5912,20.3406
218.97,41.1678666667,29.3431,39.2213333333,36.4476666667,39.8541333333,32.0195,21.4111333333,30.657,26.7154,29.343,20.3892666667
219.34,36.1905333333,24.9523666667,33.3335333333,31.2380666667,40.254,26.0317,10.3491333333,23.9364666667,15.5556,24.3808,11.3015333333
219.72,38.0077333333,24.4061,34.0229333333,29.0420666667,44.5210666667,26.4366333333,8.50573333334,23.8314,9.65513333331,26.6667333333,5.13413333332
220.10,35.4385999999,17.6754666667,30.7018,23.5086666667,46.7544,22.6316666667,7.80706666666,18.7718,5.08773333333,30.8772,-1.40346666667
220.47,22.8890666667,-1.33333333332,23.2222666667,12.2220666667,40.7777333333,15.1666333333,-3.44439999999,8.66673333333,-10.1110666667,18.8889333333,-18.111
220.85,-25.4385333334,-59.0349999999,-15.7894666667,-30.5261333333,5.0878,-36.3158666667,-56.6666666667,-39.8246000001,-71.5790666667,-17.1929333333,-80.0
221.23,-195.294133333,-262.156766667,-145.490133333,-190.588333333,-128.2354,-209.6078,-240.392066667,-203.9216,-280.3922,-129.019533333,-300.7844
221.61,-190.526266667,-241.754366667,-134.386,-177.193,-135.789466667,-193.333366667,-207.368466667,-186.666533333,-259.6492,-135.789333333,-270.877133333
221.98,-732.222266667,-868.888833334,-531.111,-757.777733334,-573.333333333,-742.7778,-778.889,-759.999933333,-925.555533333,-562.222266666,-938.888800001
222.36,1586.6666,1851.11103333,1264.44446667,1657.7778,1264.4444,1692.22216666,1668.88906667,1684.44446667,2017.77773333,1359.99993333,1886.66653333
222.74,634.285666667,712.3809,478.095333333,676.190466667,521.904733333,719.0476,677.1428,737.142933334,813.333266667,578.095066667,739.999866667
223.11,613.333266667,693.809366667,469.523866667,686.666733333,499.047666667,688.0953,682.8572,745.714266667,740.952399999,608.5714,720.952333333
223.49,-955.555533333,-1397.77773333,-711.111133334,-1206.6668,-942.2222,-1186.66656667,-1184.4444,-1393.33333333,-1337.77773333,-1095.55553333,-1244.44433333
223.87,-124.0,-206.888966667,-75.5555333333,-143.555533333,-142.666533333,-169.5556,-176.0,-218.2222,-212.444466667,-163.111,-167.555466667
224.24,-25.6250000001,-64.1666666666,-4.58333333334,-29.375,-42.5,-45.625,-49.375,-71.0416666667,-67.9166666667,-53.9583333332,-42.5
224.62,17.1796,-1.66679999999,26.6666,12.436,1.02573333333,-3.65373333334,-6.79486666665,-15.3845333333,-12.4359333333,-3.07679999998,10.1283333333
225.00,42.9412666666,29.9509,48.2352666667,36.4706,28.7254666667,25.0489333333,19.2157333333,16.6666666667,18.6274666667,23.2353333333,39.804
225.38,40.6926,32.3808666667,38.2683333333,34.9782666667,24.0692,26.1471666667,17.9222,17.0563333333,18.0086666666,21.1255333333,39.9134666667
225.75,36.2666666667,30.7554666667,33.0666666667,30.0443333333,18.3999333333,20.5778,11.2889333333,12.6222666667,11.4668,20.4443333333,37.9556
226.13,33.5833333333,31.625,30.1666666667,31.3333333333,19.3333333333,24.375,13.1666666667,15.8333333333,14.25,20.25,38.0833333333
226.51,34.7892,34.1761666667,36.5518666667,34.5592666667,25.7472,27.1264333333,16.4750666667,19.0038,20.9196,26.5134,38.6206
226.88,32.5,29.5832666667,31.7261333333,33.5119333334,27.6785333333,28.3927333333,19.2262666667,21.131,22.3808666667,27.3809333333,36.8452666667
227.26,31.5446,31.2735333333,29.3766,32.8454666667,27.7505333333,27.6964666667,19.4578666667,20.0540666667,21.1923333333,27.7506,35.5012666667
227.64,23.0694666667,27.0744,20.6714,24.5083333333,20.9591333333,20.1440333333,13.7170666667,14.868,17.0264,21.6787333333,27.53
228.01,16.1617333333,21.8787666667,13.4142,15.596,14.4242666667,13.8585333333,7.51506666667,8.84853333335,11.1918666667,14.9898666667,19.4747333333
228.39,16.8771333333,22.3508666667,14.3859333333,16.0,15.1929333333,14.5789333333,8.59633333333,9.85960000001,11.1228,13.4736666667,20.1404666667
228.76,12.6922666667,17.5,10.4166666667,11.7307333333,12.4679333333,11.7786666667,5.32053333334,6.34606666667,8.01273333334,10.1281333333,15.6091333333
229.14,9.76399999999,13.0826,6.57813333333,7.84653333334,9.11506666666,9.9853,2.50733333333,3.21519999999,6.25373333333,6.66673333334,11.1801333333
229.52,11.094,12.973,9.1892,8.64879999999,10.8366666667,10.4246666667,4.1184,3.9124,8.64866666667,7.28433333333,10.6306666667
229.89,12.3188666667,12.6570333333,9.58953333333,9.46846666667,11.6425333333,10.3382333333,4.83093333333,4.25106666667,8.79226666665,6.59413333333,10.0964666667
230.27,12.7072,12.3714666667,10.2910666667,10.7382666667,11.4765333333,11.0514333333,5.52573333333,6.24146666666,8.94853333333,7.31566666666,10.067
230.65,8.69759999999,8.39956666666,5.65126666667,7.8146,5.78373333332,8.1567,2.3398,3.55413333334,4.50333333333,3.37746666667,6.07066666667
231.02,4.40673333333,4.62156666667,1.96613333333,4.06773333333,1.15253333333,4.25969999999,-1.24293333333,1.06213333333,0.452,0.180733333334,1.49153333333
231.40,3.82933333334,3.69096666666,2.2606,4.8674,-0.369066666674,3.63330000001,-1.4764,1.98386666667,-0.807466666667,0.392200000001,2.21453333333
231.78,4.429,3.75290000001,3.17020000001,6.48026666666,0.06993333334,4.65033333333,-1.00246666667,2.0278,-1.8416,1.23533333333,2.72726666667
232.15,3.46473333334,1.97126666667,3.01073333334,5.49593333333,-1.40979999999,4.56389999999,-2.1266,1.05126666667,-2.8912,-0.0237333333394,1.57713333333
232.53,1.18786666666,0.0361000000006,1.26066666667,3.32119999999,-3.22433333335,3.85463333334,-3.92733333333,-0.339266666668,-4.12126666667,-0.533333333332,-0.3636
232.90,1.97073333333,1.81263333333,2.8224,3.09006666667,-2.65199999999,5.57176666667,-1.314,0.8516,-2.48173333333,0.802933333332,0.559533333332
233.28,-0.378800000001,-0.883766666666,0.505133333332,0.303133333332,-3.56059999999,2.437,-3.10606666666,-1.3384,-5.88386666666,-0.833466666668,-2.29806666667
233.66,-3.47226666667,-2.15286666667,-0.916666666668,-2.69426666666,-6.11106666667,1.1112,-4.63886666666,-3.19433333334,-8.27779999999,-2.25000000001,-3.389
234.03,-2.313,0.367333333326,1.9864,0.0544666666732,-2.82993333333,3.64623333333,-0.108800000013,-0.680266666668,-3.51013333333,0.816400000006,-0.217733333333
234.41,3.63166666667,5.42159999999,7.26333333333,4.66933333334,2.95726666667,7.7821,4.85079999999,3.55379999999,2.46433333333,5.21386666667,5.0582
234.78,10.9915333333,12.5208333333,14.7192666667,10.4898666667,10.0120666667,13.6438333333,12.1625333333,11.4454666667,10.442,11.8518666667,13.1899333333
235.16,13.9455333333,15.7935666667,17.0974,13.6734,13.4466666667,16.2131333333,13.8322,13.4014,13.7642666667,14.2630666667,16.3946
235.54,13.6364666667,16.1473333333,14.6535333333,12.4027333333,12.5541333333,15.0108,11.9913333333,12.1860666667,13.3118,12.5973333333,15.1515333333
235.91,15.1209333333,16.6246,14.9737333333,12.7444,14.0063333333,15.9935,12.7024666667,13.8170666667,14.6583333333,13.2702,16.3827333334
236.29,16.2446666667,16.6982333333,14.6623333333,13.6498666667,15.5274666667,15.7278333333,13.6498666666,14.4304666667,15.6962,14.0717333333,17.8059333333
236.66,13.8888666667,14.6794333333,12.4145333333,11.7950666667,13.953,13.9315666667,11.9016666667,13.0128,14.0384,11.7522,15.3204
237.04,13.5866,14.3881333333,11.8142,12.2152666667,13.5020666667,13.8291333333,10.675,12.5738666667,13.2278,11.6244,15.1054666667
237.41,15.1252666667,16.5703666667,14.5470666667,15.1444666666,15.4720666667,16.1464,12.4085333333,14.1618,15.5490666667,13.7764666667,17.4373333333
237.79,16.6756,17.7897,15.7771333333,18.1492666667,17.4844,17.5921333333,13.9800666666,15.5616666667,16.5678,15.1483333333,19.6586
238.17,17.6440666667,18.6300333333,16.1779333333,19.0749333333,17.5915333333,18.2112333333,13.9964,16.3526666667,16.2304,15.6544,20.9248666667
238.54,13.6564,15.9524333333,13.0614,15.8504,14.3877333333,15.5104333333,11.2924666667,13.1632666667,12.6021333333,13.7756,19.0646666666
238.92,10.1176,12.1569,9.47466666667,12.5175333333,11.2784,12.9802666667,8.20393333333,9.03519999999,9.64693333332,10.7136666667,15.8588666667
239.29,8.4594,10.1703333333,8.26653333333,10.7112666667,9.21459999999,11.5851666667,7.21493333333,8.20733333333,7.80733333333,8.91853333333,13.8963333333
239.67,7.52426666666,8.61676666666,8.16053333333,9.76480000001,8.76906666667,11.6112666667,7.5242,8.13279999999,7.04013333334,8.64473333334,13.2503333333
240.04,5.4044,7.3774,6.80146666666,8.35786666666,6.78926666667,9.85299999999,6.42153333333,6.15193333333,5.69853333333,7.12026666667,11.777
240.42,4.06633333333,6.82183333334,5.82146666667,7.43713333333,5.30773333333,9.07436666667,5.7034,5.22206666667,5.24353333333,6.47393333333,10.23
240.79,6.00993333333,8.66846666666,7.67893333334,8.819,6.63026666667,10.4833666667,7.1956,6.48426666668,7.0588,8.01646666666,11.5915333333
241.17,5.1824,7.13303333333,6.02606666667,7.25873333333,5.48253333333,9.18513333334,6.2368,5.442,6.39906666667,6.18813333333,10.6488666667
241.54,4.53306666667,6.64093333333,5.30086666667,6.12033333333,4.3188,8.52343333333,5.5742,5.20493333333,5.68473333333,5.20486666667,9.82646666667
241.92,3.9424,5.57563333333,4.344,5.0602,3.29986666667,7.73073333333,4.7456,4.7656,4.799,4.31713333333,8.42719999999
242.29,3.61993333333,5.04986666667,3.782,4.51726666667,3.2462,7.53276666667,4.26173333333,4.47333333333,4.55446666667,4.08713333333,8.16193333333
242.67,4.38773333333,5.48613333333,3.99413333333,4.981,3.7004,7.75326666667,4.61086666667,4.75766666667,5.069,4.18206666667,8.47
243.05,4.69513333333,6.42446666667,4.76906666667,5.72646666667,4.5812,8.40446666667,4.94573333333,5.2934,5.56126666667,4.76913333334,8.95146666668
243.42,4.43513333333,6.291,4.51366666667,5.65186666667,4.44646666667,8.38506666667,4.72673333333,5.0238,5.51153333333,4.62,8.93746666667
243.80,4.67386666667,6.9288,4.8924,6.0934,4.9196,8.70350000001,5.1816,5.24173333333,6.1098,4.9468,9.29286666668
244.17,4.74093333333,7.03003333333,5.25086666667,6.14053333333,4.86033333333,8.79573333333,5.24533333333,5.37573333333,6.2164,5.0176,9.17826666667
244.55,5.54426666667,7.49003333333,6.26966666667,6.75133333333,5.76113333333,9.47580000001,5.9676,6.04186666666,6.5132,5.67113333333,9.75393333332
244.92,4.78226666667,6.93913333333,5.5512,6.25413333333,5.33733333334,9.11129999999,5.49526666667,5.65826666667,5.88733333333,4.97073333333,9.14186666667
245.30,4.8864,7.32726666667,6.00146666666,6.80266666667,5.54686666667,9.30883333333,5.8656,5.7812,5.8234,5.44393333333,9.04666666667
245.67,5.35726666667,7.5312,6.25606666667,7.35986666667,5.96926666667,9.77949999999,6.37153333333,5.94773333333,6.39713333334,6.03766666667,9.62779999999
246.05,5.24173333333,7.42,6.26293333333,7.152,5.85533333333,9.59816666668,6.11126666667,5.793,6.37166666667,5.96006666667,9.62926666668
246.42,5.21173333333,7.43616666667,6.36926666667,6.99553333333,5.5998,9.49120000001,6.10366666667,5.76773333333,6.25393333333,5.7432,9.41940000001
246.79,5.01766666667,7.16646666666,6.3292,6.75993333333,5.33913333333,9.58049999999,6.00773333333,5.72806666667,6.1812,5.667,9.12253333333
247.17,5.07786666667,6.953,6.11806666667,6.58586666667,5.26373333333,9.41396666666,6.03413333333,5.68653333333,6.17806666667,5.5424,9.0618
247.54,5.3152,7.28013333333,6.3894,6.791,5.6404,9.63530000001,6.415,5.85806666667,6.48566666667,5.7732,9.24226666667
247.92,5.02326666667,6.90416666667,6.14533333333,6.50566666667,5.17613333333,9.2314,6.0004,5.49286666667,6.29266666667,5.36446666666,8.77693333333
248.29,5.1268,7.01136666667,6.10593333333,6.67206666667,5.30906666667,9.27426666666,6.09246666667,5.58553333333,6.3098,5.3468,8.84233333334
248.67,4.84706666667,6.81496666667,5.6126,6.486,4.80933333333,8.99593333333,5.79306666667,5.30246666667,6.0384,4.8874,8.52133333333
