wavelength,Back_ConSitf,Belly_ConSitf,Breast_ConSitf,Crissum_ConSitf,Crown_ConSitf,DorTail_ConSitf,Rump_ConSitf,Throat_ConSitf,WingTip_ConSitf
748.12,8.2364,48.0183,40.6535333333,40.4044,6.55433333333,10.8518888889,10.7440666667,9.40206666665,9.2424
748.44,8.38246666667,48.0555,40.714,40.2366666667,6.61546666667,10.89296,10.8631333333,9.41146666665,9.31513333333
748.75,8.281,48.2408333333,40.7031333333,40.4086,6.61346666667,10.7537777778,10.682,9.29020000001,9.21726666667
749.07,8.37640000001,48.6964333333,40.8434,40.8805333333,6.96459999999,10.9162488889,10.7918,9.35346666666,9.46000000001
749.38,8.58646666667,48.9315,41.0625333334,40.9694,7.31206666666,11.24144,11.0217333333,9.60306666667,9.70979999999
749.70,8.89113333333,49.2237666667,41.2958666667,41.2536666667,7.57526666666,11.5170666667,11.1538,9.85853333333,9.86733333333
750.01,8.98419999999,49.1456333333,41.2023333333,41.3128666667,7.63719999999,11.4849111111,11.2606666667,9.96626666668,9.94859999999
750.33,9.30726666667,49.4103333333,41.4091333333,41.56,7.81933333334,11.7613822222,11.5966,10.1932,10.1892666667
750.64,9.46,49.2833666667,41.2214,41.5395333333,7.77646666667,11.7753511111,11.693,10.2778666667,10.3583333333
750.96,9.19226666667,49.0751666667,40.9420666667,41.3495333333,7.40686666667,11.4985066667,11.3664666667,10.0012666667,9.98820000002
751.27,8.80366666667,49.1193,40.9195333333,41.4046666667,7.02573333333,11.08536,11.1192666667,9.69353333333,9.62273333331
751.59,8.6742,49.0235333333,40.8352,41.3885333333,6.69966666666,10.88144,10.9020666667,9.53086666666,9.60506666667
751.90,8.59973333333,49.0638333333,40.9526666667,41.6372666667,6.60606666667,10.8611688889,10.7378,9.46266666667,9.4354
752.22,8.7194,49.1422,41.0259333333,41.6661333333,6.84646666667,11.0307111111,10.9643333333,9.66853333334,9.6162
752.53,8.91173333334,49.0414,40.9370666667,41.7594,6.98486666667,11.3027066667,11.1663333333,9.91413333333,9.7376
752.85,9.01633333332,49.1971,41.1913333333,42.1299333333,6.91526666667,11.4469511111,11.3188,9.89579999998,9.88666666666
753.16,8.94139999999,49.1930333333,41.1992666667,42.1530666667,6.905,11.4441822222,11.545,9.90326666667,10.0896666666
753.47,9.18253333335,49.4308333333,41.3600666667,42.422,7.0648,11.82996,11.7728666667,10.1074,10.5805333333
753.79,9.13746666667,49.2803333333,41.4539333333,42.5253333333,7.22626666667,11.9422444444,11.8208,10.0648666667,10.675
754.10,8.90706666665,49.1834333333,41.3416666667,42.4185333333,7.07146666667,11.8459911111,11.6620666667,9.82880000001,10.3430666667
754.42,9.11466666667,49.3345,41.5032666667,42.8088666667,7.36826666666,12.0623333333,12.0128,10.0364,10.4596666666
754.73,9.52693333335,49.5753333333,41.7118666667,42.9728666667,7.67166666666,12.5102044445,12.2909333333,10.384,10.7958
755.05,9.62760000001,49.5982,41.7132666667,43.0059333333,7.863,12.5575688889,12.5384666667,10.5315333333,10.8654666667
755.36,9.62013333333,49.3718333333,41.4653333333,42.7298666667,7.8194,12.5069022222,12.5503333333,10.5086666667,11.0104666667
755.67,9.58220000001,49.077,41.3629333333,42.5715333334,7.57026666667,12.3363688889,12.298,10.2637333333,11.0072666667
755.99,9.3138,49.0371666667,41.4389333333,42.4488666667,7.36473333333,12.0430133333,12.0599333333,10.0058,10.8665333333
756.30,9.12473333333,48.9550666667,41.2406,42.2662,7.20466666666,11.83548,11.7548,9.84626666665,10.6180666667
756.62,9.29753333334,49.3154,41.3815333333,42.5382666667,7.2712,12.0150088889,11.7942,10.0476,10.5262
756.93,8.94533333335,49.1600666667,41.1238666667,42.3376666667,7.01253333334,11.7777688889,11.389,9.80826666666,10.1306
757.24,8.92353333333,49.2785333333,40.9697333333,42.0553333333,6.90899999999,11.7030133333,11.2864666667,9.83706666666,10.058
757.56,8.70899999999,49.1975,40.9732,42.1872,6.78206666668,11.6536177778,11.0508666667,9.79013333333,9.93253333334
757.87,8.39453333333,48.9393,40.8129333334,41.8330666667,6.40673333333,11.2698266667,10.5913333333,9.39840000001,9.70580000001
758.18,8.27153333332,48.9035666667,40.8358,41.8788,6.24393333333,11.1705333333,10.4724666667,9.36026666667,9.77766666667
758.50,8.28853333334,48.9873333333,40.9846666667,41.964,6.2682,11.0815288889,10.4330666667,9.35526666667,9.7362
758.81,8.2634,49.0909666667,41.1700666667,42.1315333333,6.2776,10.9010355556,10.3743333333,9.20659999999,9.66706666667
759.13,8.41326666667,49.5723,41.6459333333,42.4288,6.45866666667,11.2489155556,10.8080666667,9.53993333334,9.76413333335
759.44,8.68486666665,49.5744333333,41.757,42.3097333333,6.53613333333,11.4323511111,10.8798,9.74286666667,9.90893333333
759.75,8.8188,49.6337333333,41.8632,42.5147333333,6.7048,11.5668844444,11.1282666667,9.9796,10.1438
760.07,8.49546666666,49.4793,41.6904,42.1606,6.3518,11.2401555555,10.7668666667,9.71133333333,10.0051333333
760.38,8.4016,49.6835,41.8807333333,42.1397333333,6.25653333333,11.0986444444,10.8038666667,9.70226666665,9.85253333333
760.69,8.48666666667,49.8127,42.1594666667,42.5418,6.24726666667,11.1703333333,10.8378666667,9.62153333333,9.83093333334
761.01,8.48533333333,49.6818666667,42.2191333333,42.2757333333,6.40986666667,11.18304,11.0470666667,9.55466666667,9.89159999999
761.32,8.75526666668,50.1089333333,42.3780666667,42.7152,6.91626666667,11.6798488889,11.441,9.94586666667,10.2512
