wavelength,Back_CamPalm,Belly_CamPalm,Breast_CamPalm,Crissum_CamPalm,Crown_CamPalm,DorTail_CamPalm,Rump_CamPalm,Throat_CamPalm,WingTip_CamPalm
214.44,221.418488889,222.765866667,177.872333333,137.588733333,189.6454,148.652533333,170.709133333,188.510666667,187.517666667
214.81,216.7756,227.124166667,183.006466667,149.673133333,195.294133333,150.588066667,174.264691667,188.2351,185.751666667
215.19,200.000066667,201.9298,167.368466667,135.204666667,173.8012,140.350733333,156.1988,168.8889,162.339066667
215.57,223.2,227.6,192.933333333,156.266666667,195.2,161.2,185.15,198.533333333,186.266666667
215.95,204.587888889,203.9786,182.365466667,142.365533333,174.301066667,150.645133333,173.669333333,186.612933333,174.4086
216.32,254.848422222,251.363566667,234.091,160.000066667,207.121133333,173.787866667,218.579508333,220.606066667,217.2726
216.70,201.558911111,196.119266667,184.378,137.612,166.865666667,143.283666667,172.86075,163.731466667,168.059666667
217.08,163.074822222,157.441833333,149.069733333,115.503866667,136.434,116.589133333,140.668691667,135.659,137.442
217.46,142.494333333,141.3265,136.530733333,107.959133333,122.381066667,109.932,131.513666667,125.680266667,124.761866667
217.83,128.2652,128.8303,121.052666666,99.4151999999,111.052666667,100.350933333,117.44885,111.812866667,112.924
218.21,161.073622222,157.228533333,150.262066667,128.2398,139.925066667,126.441933333,148.63305,139.8126,140.524333333
218.59,155.129066667,150.976533333,142.761,125.454466667,139.8654,126.397266667,145.858558333,136.666533333,138.114466667
218.97,164.576688889,156.865066667,145.5554,127.143,141.5874,131.428733333,154.613041667,139.603033333,147.142933333
219.34,157.272822222,147.878866667,135.227333333,124.999933333,135.454666667,126.2878,151.126866667,134.8107,143.030333333
219.72,169.684355556,153.703733333,137.448666666,129.876533333,144.1974,132.098733333,159.259408333,138.765466667,147.1606
220.10,158.569666667,150.574633333,128.352533333,126.207,141.073,128.812133333,155.890783333,133.678133333,142.758666667
220.47,134.873177778,128.333333333,108.830466667,108.3042,119.7076,117.836266667,129.546675,114.5615,122.339133334
220.85,119.999977778,114.684633333,95.2551999999,92.9129333334,105.765733333,106.786666667,119.301925,103.153433333,110.810866667
221.23,121.584488889,117.6811,92.8115999999,93.3332666666,106.956666667,111.014666667,118.239241667,101.478066667,111.4782
221.61,129.418911111,120.8257,91.9264666666,95.8409333333,112.171333333,117.553533333,120.061225,101.895966667,116.024466667
221.98,121.408755555,109.970133333,86.1905333333,88.4524666666,103.154666667,108.571333333,111.302025,97.7976333333,108.4524
222.36,109.461777778,100.729366667,76.5626000001,78.8543333333,92.4999999999,99.2708666666,100.748841667,93.1510333333,99.5834666667
222.74,100.540888889,91.7543333333,72.0174000001,73.9473333334,83.3334,90.7895333333,93.3388333333,88.0482,93.0701999999
223.11,97.8874888889,91.2345666667,73.5802,73.9917333334,84.1975999999,90.2468,92.30965,89.2591666667,91.1110666667
223.49,99.4445777778,94.8682666667,76.1402666667,73.1141333334,84.8244666666,92.3683333333,93.8651,89.1447666667,92.0614
223.87,95.9972444445,96.1076666667,78.3022666667,74.2444,82.9812000001,92.8363999999,90.8591166666,87.5984333333,93.6645999999
224.24,100.236955556,98.2000666665,81.6000666667,75.6889333333,84.0445333334,98.0001333333,91.9444166667,91.0222333333,95.0665999999
224.62,118.128511111,117.8948,94.9708666665,90.4094,100.350866667,116.257333333,106.564466667,107.836133333,111.0528
225.00,127.861577778,127.893033333,102.327,99.0566666667,106.0378,125.408733333,114.575475,118.1131,119.0566
225.38,151.409244444,157.235766667,131.869866667,120.2438,127.479666667,151.463466666,135.27425,146.300933333,142.1138
225.75,160.9402,171.7095,150.0854,134.102533333,139.487133333,163.589733333,147.724341667,161.282033333,154.700866667
226.13,185.000022222,200.625166667,180.4168,158.437466667,170.000133333,199.374933333,177.890633333,189.323033333,184.062466667
