wavelength,Back_ConMarf,Belly_ConMarf,Breast_ConMarf,Crissum_ConMarf,Crown_ConMarf,DorTail_ConMarf,Rump_ConMarf,Throat_ConMarf,WingTip_ConMarf
217.46,358.176166667,133.333166667,287.421333334,298.742166666,316.666666667,319.441352941,338.364666666,325.157166666,305.974833333
217.83,420.154833333,148.061833334,320.930166667,340.697833333,364.341,377.291333334,398.837333333,380.620333333,360.852833334
218.21,613.889,245.0,463.333333333,508.333166667,543.333166667,566.176470588,582.777666666,555.0,555.5555
218.59,478.333333333,211.666666667,365.0,407.5,422.916666666,453.553921568,445.0,428.333333333,443.333333334
218.97,547.619,230.476166667,400.952333334,455.238333333,470.476166667,493.949411765,478.571166666,466.190333334,494.762166667
219.34,1979.62983334,716.666666667,1411.11083333,1546.29633333,1653.70333334,1725.81710784,1685.18533333,1612.963,1787.03683333
219.72,-15983.3333334,-5433.33333334,-12383.3333333,-12383.3333334,-14150.0,-14310.7843137,-14166.6666666,-12916.6666667,-14916.6666666
220.10,-4994.4445,-1883.33333333,-4038.889,-3988.889,-4672.222,-4526.47058823,-4450.0,-3944.44416667,-4711.11116666
220.47,3737.5,1504.16666666,3150.0,3008.33333333,3441.66666666,3518.87254902,3533.33333334,3012.5,3429.16666666
220.85,-1390.0,-496.666666667,-1185.0,-1105.0,-1290.0,-1318.1372549,-1323.33333334,-1128.33333333,-1261.66666667
221.23,-416.111166667,-119.444333333,-367.777833333,-328.889,-391.111166667,-394.738735294,-408.333333333,-317.222166667,-385.555666666
221.61,-357.575833333,-118.181666667,-317.171833333,-277.272666666,-323.232333334,-342.008411765,-346.969666666,-264.6465,-329.798
221.98,-436.206833333,-183.908,-402.298833333,-381.0345,-416.666666667,-429.580843137,-425.862166667,-334.482833334,-390.230166667
222.36,-467.284,-211.7285,-430.864166667,-410.494,-451.8515,-443.355245098,-440.1235,-359.259333333,-401.234333333
222.74,-242.708166667,-96.1806666667,-216.666666667,-203.472166667,-232.986,-225.245156862,-226.041833333,-181.597333334,-200.347
223.11,-166.3935,-64.2078333333,-148.634,-139.6175,-163.388,-157.264617647,-161.202,-120.2185,-132.513666667
223.49,-171.038333333,-77.0491666666,-156.284,-151.9125,-168.579166666,-168.145117647,-168.0325,-127.049166667,-129.781166667
223.87,-168.461666666,-83.3331666667,-150.513,-154.102666666,-162.564166667,-157.601666666,-161.794666667,-126.667,-123.846333333
224.24,-197.8835,-98.1481666667,-162.434,-175.661166666,-176.1905,-173.669480393,-175.661333334,-151.058166667,-138.359833333
224.62,-157.478666667,-81.8373333333,-130.982833333,-144.231,-143.8035,-134.7285,-131.410333334,-123.504166667,-117.5215
225.00,-145.185166666,-85.0,-125.0,-131.111166667,-130.185166666,-128.496617647,-121.111166666,-115.926,-111.666666666
225.38,-136.979,-85.5903333333,-123.263833334,-122.743,-127.604,-119.893794117,-111.458333333,-113.715333333,-104.514
225.75,-115.615666667,-65.9156666666,-104.354333333,-104.504833334,-109.609666667,-101.616254902,-90.9911666667,-95.7958333334,-89.189
226.13,-102.595833333,-58.4698333333,-96.8579999998,-94.9451666666,-103.142166667,-93.0167352942,-83.3335,-88.6611666668,-88.5246666667
226.51,-83.2151666667,-42.1986666666,-78.9596666667,-73.0496666666,-82.3878333334,-77.9446470588,-69.267,-71.513,-74.8226666667
226.88,-68.7896666667,-34.1825,-65.8173333333,-58.2805,-67.8341666666,-64.9743431373,-57.5373333333,-57.0063333333,-60.828
227.26,-58.9408333333,-28.9063333334,-57.1181666666,-46.0066666667,-54.7741666667,-53.9983039216,-48.3506666666,-49.566,-52.0831666667
227.64,-57.4795,-29.5121666667,-55.6098333333,-42.764,-52.683,-53.405127451,-46.4228333333,-47.3985,-52.1951666667
228.01,-43.8096666667,-22.7211666666,-44.4216666666,-32.3126666667,-39.7278333333,-41.8329411764,-34.7618333333,-35.4421666667,-41.4286666667
228.39,-36.4066666666,-18.6171666667,-38.8298333333,-27.3638333334,-33.3333333333,-36.8862941176,-28.8416666667,-30.1418333334,-35.2246666667
228.76,-30.765,-15.1911666667,-32.8415,-23.3335,-29.5081666666,-30.6172352941,-24.5355,-26.0655,-28.7431666666
229.14,-26.7983333334,-12.462,-28.7235,-21.1753333334,-26.1905,-25.4573823529,-20.77,-22.2391666667,-24.1643333333
229.52,-24.8831666666,-12.885,-26.8908333333,-21.3353333334,-25.3968333333,-24.3833823529,-22.3156666666,-22.876,-22.8756666667
229.89,-23.4651666666,-13.1578333334,-26.0965,-20.1753333333,-23.6405,-22.7707352941,-23.0701666666,-23.114,-21.0525
230.27,-22.5666666667,-10.8525,-23.8158333333,-18.217,-19.3365,-18.9364803922,-20.241,-20.4565,-18.045
230.65,-28.0303333333,-16.7115,-28.1641666667,-22.5488333334,-22.237,-22.2789019608,-24.9106666667,-23.1281666667,-20.1425
231.02,-31.918,-20.548,-30.6846666667,-26.6666666667,-25.3423333333,-25.1490392156,-27.8538333334,-26.3015,-22.5115
231.40,-37.9573333334,-25.813,-35.6198333334,-34.3496666666,-30.5895,-30.0035980392,-33.4856666667,-30.6911666666,-28.0995
231.78,-36.9083333333,-26.586,-35.0956666667,-34.3405,-31.269,-29.9360294117,-34.2395,-30.6143333333,-28.6001666666
232.15,-38.6203333334,-27.3415,-34.4411666666,-33.9878333333,-33.8871666667,-31.8433333333,-35.3476666666,-31.5206666667,-28.8015
232.53,-39.4081666667,-27.8295,-33.541,-32.9181666667,-34.9946666667,-30.612,-35.2546666667,-30.5295,-28.6605
232.90,-47.889,-33.8333333333,-40.0,-40.389,-42.3331666667,-37.2940588236,-41.3335,-35.7776666666,-36.111
233.28,-54.3763333333,-40.7075,-46.0431666666,-48.2011666666,-49.2208333334,-42.3753137254,-49.2805,-41.6666666667,-42.2663333333
233.66,-55.091,-39.4543333334,-45.2121666666,-47.0303333334,-48.6666666667,-42.766617647,-45.8788333334,-41.0908333333,-41.6363333333
234.03,-55.3505,-38.0686666667,-44.4033333334,-45.818,-49.262,-41.9974411764,-44.7723333333,-40.7131666666,-40.6518333333
234.41,-57.2805,-40.4331666667,-47.0516666667,-48.9773333334,-51.2635,-45.5262941176,-49.2176666667,-43.6823333334,-42.238
234.78,-53.7745,-38.2116666667,-45.5865,-46.8061666667,-49.5353333333,-44.8280784314,-46.9221666666,-42.1601666666,-41.986
235.16,-44.1558333333,-30.6276666667,-39.7185,-38.2576666667,-42.4241666667,-38.7030686275,-39.3941666667,-34.4153333334,-36.1471666667
235.54,-38.3583333333,-27.1145,-35.7711666666,-32.7861666667,-39.8011666667,-36.4090882353,-34.776,-31.0945,-31.7411666667
235.91,-34.4633333334,-23.1638333333,-33.3333333333,-27.4011666666,-34.9343333333,-31.6605294118,-29.614,-27.7305,-29.614
236.29,-34.6911666666,-22.5186666666,-33.8016666667,-27.9963333334,-33.2395,-30.5628431372,-29.0728333334,-27.9961666667,-29.0263333333
236.66,-29.6195,-19.7011666666,-31.7031666666,-23.9128333334,-28.5325,-25.6896568627,-25.634,-24.9998333333,-26.404
237.04,-21.675,-13.3416666666,-24.4108333333,-15.8248333333,-20.3283333333,-20.1301470588,-19.0236666667,-18.6028333333,-19.3181666667
237.41,-19.39,-11.9513333334,-21.7885,-11.7888333333,-18.4551666667,-19.5002156863,-16.0976666666,-17.0733333333,-18.5365
237.79,-20.0813333334,-13.496,-22.3578333334,-12.1545,-18.2928333333,-19.7298431373,-16.7071666667,-16.057,-18.6586666666
238.17,-20.57,-16.5105,-24.4731666667,-14.7151666666,-19.9451666667,-21.844,-19.0085,-16.1201666667,-20.2578333333
238.54,-17.266,-14.5691666667,-22.0226666667,-11.9103333333,-18.5768333334,-18.7045294118,-16.442,-12.7341666667,-18.7641666667
238.92,-13.889,-10.7906666667,-18.9813333334,-9.00999999999,-16.5955,-13.9622352941,-11.9656666667,-9.82883333333,-14.8858333333
239.29,-16.7703333333,-13.3128333333,-20.6776666667,-11.2378333333,-18.015,-15.7494313726,-13.6236666667,-13.1396666667,-16.9431666667
239.67,-14.2166666666,-11.7988333333,-17.8595,-9.73533333331,-14.9905,-12.5192745098,-10.896,-11.0573333333,-14.3455
240.04,-12.3975,-10.702,-15.146,-9.18116666668,-13.6548333334,-10.6123039216,-9.0935,-9.85366666666,-10.9648333334
240.42,-11.5041666667,-10.5345,-14.177,-8.56933333335,-13.4171666667,-10.3279215686,-8.35966666666,-9.38149999998,-9.98433333335
240.79,-12.1513333333,-11.3238333333,-14.7281666667,-10.142,-14.3973333334,-11.9788333333,-9.26699999998,-10.9218333333,-11.0165
241.17,-13.23,-11.7598333333,-15.3415,-10.6831666666,-14.824,-12.3139607843,-10.0206666667,-11.8838333333,-11.2423333334
241.54,-10.2856666667,-8.55016666666,-11.8943333333,-7.683,-11.7136666666,-8.88315686275,-6.97766666667,-8.73133333333,-7.86300000002
241.92,-8.1205,-6.565,-9.28283333335,-5.51716666667,-9.98683333331,-6.42821568628,-5.10816666667,-6.811,-5.51716666667
242.29,-6.41033333333,-4.45666666667,-6.99016666667,-2.45733333334,-7.75333333334,-3.92326470588,-2.80833333333,-5.0825,-3.57133333333
242.67,-6.6665,-4.99283333333,-6.8705,-2.06716666666,-7.74383333333,-4.41646078431,-2.75083333334,-5.7785,-3.37716666667
243.05,-6.3485,-4.88466666666,-6.7005,-2.22416666667,-7.16516666666,-4.57480392157,-2.88583333334,-5.9825,-3.1675
243.42,-5.35933333333,-4.01583333333,-5.93483333333,-1.76833333333,-6.38716666666,-3.36357843138,-2.27533333333,-4.87933333334,-2.0695
243.80,-5.69166666667,-4.41183333333,-6.6585,-2.12416666666,-6.54966666666,-3.69655882353,-2.90033333333,-5.17416666667,-2.75066666667
244.17,-6.2055,-5.25083333333,-7.50133333334,-2.605,-6.60116666667,-4.3209117647,-3.69616666667,-5.89183333334,-3.21866666666
244.55,-5.42666666666,-4.94666666667,-6.4,-2.04,-5.57333333334,-3.54431372549,-3.13333333333,-5.50666666667,-2.57333333333
244.92,-4.31383333334,-3.93766666667,-4.53966666667,-1.19133333333,-4.1135,-2.29198039215,-1.66816666667,-4.03833333334,-0.464166666665
245.30,-2.90933333333,-3.05066666667,-3.3805,-0.836333333335,-3.086,-1.28950980392,-0.824500000001,-2.62666666667,0.541833333335
245.67,-2.643,-2.9815,-3.39666666666,-1.03766666667,-3.04716666667,-1.24133333333,-0.950166666667,-2.8505,0.742500000002
246.05,-2.23633333333,-2.447,-3.33933333333,-1.03283333333,-3.10866666667,-0.938901960782,-0.401166666669,-2.868,0.481500000002
246.42,-1.69533333334,-2.202,-3.23383333334,-1.31733333333,-3.06783333333,-0.941009803923,-0.184333333333,-2.80066666667,0.52516666667
246.79,-0.791166666665,-1.33,-2.079,-0.488333333332,-2.34866666667,0.192598039216,0.976333333331,-1.80133333333,1.3805
247.17,-0.661833333335,-1.22866666667,-1.74866666666,-0.016,-2.0085,0.359147058824,1.21283333333,-1.61483333334,1.55966666667
247.54,0.015,-0.643999999998,-1.19033333333,0.906000000002,-1.34783333333,0.978970588235,1.83433333333,-1.123,2.1415
247.92,0.381,-0.237,-0.747333333333,1.60266666667,-0.948666666668,1.44503921569,2.27833333333,-0.618000000002,2.75983333334
248.29,0.578166666665,0.302999999998,-0.303166666667,1.69216666667,-0.867166666667,1.82955882353,2.58033333334,-0.225666666668,2.94
248.67,0.693,0.501999999998,-0.424333333333,1.64766666666,-0.940499999998,1.89598039216,2.80016666667,0.0916666666685,2.96283333333
249.04,0.881,0.815,-0.3525,1.87983333334,-0.836833333334,2.16356862745,2.90733333333,0.102666666665,2.92966666666
249.42,0.9475,0.737833333335,-0.170833333333,1.96483333334,-0.660333333332,2.23084313725,3.10683333334,-0.023333333335,3.161
249.79,0.76716666667,0.742000000002,-0.375333333333,1.8595,-0.475333333335,2.40608823529,3.05133333333,0.117,3.15166666667
250.17,-0.027166666665,-0.108333333333,-1.11116666667,1.54466666667,-0.677500000002,1.8141372549,2.41183333334,-0.289333333335,2.52033333333
250.54,-0.84733333333,-0.818166666668,-1.72433333333,1.16883333333,-1.2955,1.3425,2.17216666666,-0.53566666667,1.99683333333
250.92,-1.01483333333,-0.962333333331,-2.42733333334,0.805833333334,-1.34983333333,0.975372549018,1.86233333333,-0.586,1.69483333333
251.29,-1.01033333334,-0.867333333333,-2.3495,0.812666666667,-1.3725,1.13545098039,2.3165,-0.2745,1.78966666667
251.66,-1.91566666667,-1.342,-3.03966666667,0.023,-2.2025,0.487901960786,1.69766666666,-0.69983333333,1.2275
252.04,-2.276,-1.292,-2.999,-0.486000000002,-2.4775,0.451843137255,1.6835,-0.79433333333,1.1855
252.41,-2.31983333333,-1.111,-3.08916666667,-0.0733333333335,-2.47866666667,0.471156862745,1.7825,-0.525166666665,1.18433333334
252.79,-2.61183333333,-0.870666666666,-3.17166666667,0.137,-2.45033333334,0.906637254903,1.75366666667,-0.484833333335,1.36816666667
253.16,-3.495,-1.48883333333,-4.12583333334,-0.756999999998,-3.48216666666,0.0876372549,0.668833333333,-1.186,-0.0505
253.54,-3.56416666666,-1.2685,-4.32533333334,-0.443666666667,-3.488,0.22180392157,0.684833333334,-0.887833333335,-0.038
253.91,-3.36183333333,-1.5515,-4.461,-0.478500000002,-3.68483333333,-0.10405882353,0.556333333333,-0.892,-0.607666666665
254.28,-2.88133333333,-0.793166666666,-3.67433333334,-0.330333333335,-3.27783333333,0.255843137255,0.859,0.0395,0.4625
254.66,-3.42516666667,-1.434,-4.16316666667,-1.1415,-3.95433333334,-0.29324509804,-0.027666666667,-0.2505,0.320333333335
255.03,-4.0325,-1.72616666667,-4.30816666667,-1.82766666667,-4.29366666667,-0.56837254902,-0.710833333335,-0.8705,0.0725
255.41,-4.249,-2.147,-4.925,-2.95783333333,-4.50433333333,-0.998215686275,-1.81683333333,-1.4415,-0.525666666665
255.78,-4.07166666667,-2.46116666667,-5.196,-3.692,-4.74016666667,-1.47471568627,-2.4155,-1.80783333334,-1.0635
256.15,-4.4085,-3.11833333333,-5.868,-4.47016666666,-5.34583333333,-2.12147058823,-3.36416666667,-2.25783333333,-1.7205
256.53,-3.31866666666,-2.5845,-4.68433333333,-3.81783333333,-4.09683333333,-1.4986372549,-2.276,-1.454,-0.80766666667
256.90,-1.6355,-1.41733333333,-2.7935,-2.26216666667,-2.53483333333,-0.556245098041,-0.354333333333,-0.218,0.749666666665
257.28,-0.183333333335,-0.073333333335,-1.56383333333,-0.379,-0.965166666667,1.23555882353,1.50266666667,1.173,2.395
257.65,0.708666666665,0.472666666667,-0.880666666668,0.408,-0.5475,1.98745098039,2.19083333333,1.482,2.674
258.02,0.615,0.661333333334,-0.680166666669,0.903666666665,-0.298166666667,2.22776470588,2.5155,1.59316666667,3.02766666667
258.40,1.383,1.00933333334,0.071666666665,1.7485,0.3735,2.85012745098,3.346,2.04266666667,3.30633333334
258.77,2.29733333333,1.80916666666,1.2795,2.71716666666,1.59566666667,3.90910784314,4.4365,2.62733333333,4.12
259.15,2.69933333333,1.98566666667,1.59483333333,2.997,1.73766666667,4.03296078431,4.83383333333,2.7985,4.33116666667
259.52,2.691,2.12433333333,1.775,3.395,1.66616666667,4.18652941177,4.94683333333,2.81116666667,4.569
259.89,2.76166666667,2.38033333333,2.24583333333,3.643,1.96633333333,4.38189215686,5.20633333333,3.0735,4.81416666667
260.27,2.9495,2.63,2.60933333333,3.9605,2.24316666667,4.6495,5.54866666667,3.15066666667,4.94533333334
260.64,2.6965,2.26983333333,2.3005,3.697,1.89916666667,4.38459803921,5.261,2.7675,4.64133333333
