wavelength,Back_BanAurf,Belly_BanAurf,Breast_BanAurf,Crissum_BanAurf,Crown_BanAurf,DorTail_BanAurf,Patch10_BanAurf,Patch11_BanAurf,Patch12_BanAurf,Rump_BanAurf,Throat_BanAurf,WingTip_BanAurf
189.05,72.222,75.5256666667,84.9853333333,81.6816666667,89.79,83.033,66.066,74.4743333333,92.042,94.2943333333,84.234,57.3576666667
189.43,75.1903333333,76.56,83.4096666667,83.866,90.5633333333,82.9526666667,66.6666666667,74.429,91.9326666667,96.8036666667,85.0836666667,59.9693333333
189.81,75.1153333333,75.576,77.4193333333,79.1093333333,87.7113333333,83.5636666667,64.055,73.272,87.8646666667,94.6236666667,85.0996666667,58.218
190.19,70.7423333333,72.4893333333,70.8876666667,71.6156666667,82.096,78.166,57.642,69.869,82.824,92.5766666667,80.495,53.1293333333
190.57,68.275,70.7603333333,66.5203333333,70.9066666667,80.4096666667,75.731,57.6023333333,70.9063333333,82.0173333333,91.959,77.339,51.023
190.95,59.4916666667,65.3213333333,62.0326666667,66.0686666667,74.5886666667,70.852,51.121,65.1716666667,77.429,85.5006666667,68.4606666667,43.3483333333
191.33,61.4716666667,64.502,63.7806666667,63.925,77.7776666667,67.965,49.2063333333,66.811,78.932,81.818,68.9753333333,41.7026666667
191.71,59.028,59.722,61.111,61.528,77.639,62.9166666667,46.667,64.1666666667,75.9723333333,77.361,64.722,41.3886666667
192.09,54.4,56.6666666667,59.4666666667,61.2,75.6,60.1333333333,45.8666666667,59.3333333333,74.0,73.8666666667,59.4666666667,42.8
192.47,49.8656666667,49.7313333333,54.0323333333,57.93,72.1773333333,55.242,43.5483333333,51.4786666667,70.43,70.0266666667,53.36,40.9943333333
192.85,52.2086666667,48.5943333333,55.288,58.9023333333,73.6276666667,55.6893333333,47.9253333333,50.067,72.2893333333,69.7456666667,54.083,39.3576666667
193.23,51.5646666667,49.1156666667,55.7823333333,60.0,72.381,54.694,47.619,50.068,73.0613333333,69.5236666667,53.7413333333,39.3196666667
193.61,49.8643333333,44.8506666667,58.13,57.1816666667,72.087,54.2006666667,48.374,50.0003333333,74.119,71.0026666667,52.168,39.837
193.99,45.5556666667,40.0,55.1386666667,58.75,74.0276666667,50.8333333333,47.361,48.611,75.8333333333,70.9723333333,50.139,40.0
194.37,45.1063333333,37.4466666667,55.319,59.2906666667,75.0356666667,48.936,49.7873333333,44.9646666667,71.915,67.6596666667,48.3686666667,42.2696666667
194.75,42.6723333333,33.046,52.0116666667,56.8966666667,77.5863333333,47.701,46.2643333333,40.8046666667,67.9596666667,65.8046666667,46.2643333333,41.3793333333
195.13,49.3213333333,36.6516666667,52.7903333333,62.4433333333,81.297,48.2653333333,49.1706666667,43.7406666667,71.1913333333,68.024,50.0753333333,47.8126666667
195.51,50.306,35.627,47.0946666667,59.939,73.8533333333,44.3423333333,46.0246666667,39.144,68.5013333333,66.8196666667,48.624,46.7886666667
195.89,51.852,31.4816666667,39.899,55.8923333333,71.5486666667,43.266,43.7713333333,36.3636666667,67.34,65.9933333333,43.771,46.633
196.27,54.049,30.8853333333,39.3593333333,54.049,75.5176666667,45.1976666667,47.2693333333,45.198,70.0566666667,69.303,44.8213333333,48.2106666667
196.65,55.8823333333,32.1566666667,40.3923333333,50.392,79.412,43.3333333333,46.0783333333,46.6666666667,73.137,68.039,46.0786666667,49.0196666667
197.03,57.4073333333,34.9793333333,38.4773333333,51.029,79.6296666667,46.502,43.827,51.2343333333,71.605,68.1066666667,44.65,54.1153333333
197.40,55.6963333333,33.7553333333,36.92,49.5783333333,75.9493333333,46.8356666667,40.5063333333,52.7426666667,73.4176666667,67.0883333333,40.7173333333,54.2196666667
197.78,50.877,31.1403333333,25.4386666667,43.202,71.4913333333,44.2983333333,34.6493333333,51.5353333333,64.912,60.3073333333,34.2106666667,51.535
198.16,51.082,30.736,24.4586666667,35.7143333333,62.7706666667,41.5583333333,35.9306666667,51.515,57.1426666667,58.225,31.3853333333,54.329
198.54,51.9016666667,29.754,25.2796666667,37.1363333333,65.5483333333,42.2816666667,31.7673333333,52.7966666667,60.1793333333,58.1656666667,33.1096666667,55.4813333333
198.92,59.124,27.7373333333,23.1143333333,33.09,64.72,43.552,32.8466666667,56.691,67.6396666667,60.584,31.387,58.8806666667
199.30,58.6953333333,25.1206666667,21.9806666667,30.9176666667,67.1496666667,46.6183333333,32.8503333333,59.4203333333,65.2173333333,61.5943333333,32.1256666667,57.0046666667
199.68,56.28,21.9806666667,21.9806666667,33.575,73.1883333333,51.9323333333,32.8503333333,61.111,66.6663333333,57.971,33.092,57.0046666667
200.06,51.126,12.838,22.2973333333,29.5043333333,66.2163333333,47.7476666667,24.775,52.7026666667,59.4596666667,50.901,27.7026666667,53.3783333333
200.44,50.2776666667,-3.611,6.389,18.0553333333,61.9446666667,38.889,5.55533333333,37.2223333333,54.7223333333,41.111,11.9443333333,46.1113333333
200.82,51.1696666667,-2.92433333333,-0.292,22.8073333333,59.3563333333,41.5206666667,10.8186666667,39.766,56.1403333333,42.3976666667,11.4036666667,50.8773333333
201.19,44.9683333333,-18.8676666667,-13.522,10.3773333333,54.717,26.415,-2.201,33.9623333333,44.6543333333,33.3336666667,4.40266666667,43.082
201.57,39.394,-37.4996666667,-35.9846666667,-0.757333333333,54.5453333333,7.576,-16.2876666667,27.273,39.7726666667,20.8333333333,4.167,39.7726666667
201.95,45.57,-54.0086666667,-44.3036666667,-5.48533333333,55.2743333333,-7.173,-25.7383333333,18.1433333333,48.9453333333,14.768,-2.95333333333,43.46
202.33,36.9696666667,-91.5153333333,-93.9396666667,-23.6363333333,52.7273333333,-30.9093333333,-57.5756666667,1.21233333333,49.0906666667,-13.333,-23.0303333333,33.3333333333
202.71,31.1826666667,-191.397666667,-181.720333333,-70.968,52.6883333333,-103.225666667,-126.881666667,-15.0536666667,53.7633333333,-62.3656666667,-63.4406666667,30.1076666667
203.09,29.1666666667,-256.944333333,-218.055666667,-76.389,19.4443333333,-179.167,-155.555666667,-31.9443333333,43.0553333333,-129.166666667,-108.333333333,30.5556666667
203.47,-733.333333333,-7333.33333333,-5666.66666667,-2633.33333333,-900.0,-5666.66666667,-3866.66666667,-2033.33333333,-266.666666667,-4000.0,-3933.33333333,-400.0
203.85,119.753,333.333333333,274.074,156.79,111.111,304.938333333,187.654333333,127.160333333,90.1236666667,216.049666667,225.925666667,64.1973333333
204.22,128.889,285.555666667,248.889,144.444666667,115.555333333,297.778,150.0,97.778,96.6666666667,185.555666667,175.555666667,84.4443333333
204.60,185.714333333,392.063666667,355.555666667,214.285666667,131.746333333,425.397,185.714333333,134.920666667,141.269666667,238.095333333,217.46,104.762
204.98,154.762,314.286,292.857333333,180.952333333,128.571666667,357.143,164.285666667,113.095333333,134.523666667,204.762,169.047666667,85.714
205.36,124.731333333,267.742,251.612666667,143.010666667,102.150333333,315.053666667,135.484,94.6236666667,116.129,180.645333333,140.860333333,33.3333333333
205.74,123.931333333,233.333333333,207.692333333,113.675333333,103.418666667,255.555666667,118.803333333,78.6323333333,111.966,162.393,155.555666667,22.222
206.12,108.0,170.0,148.0,90.6666666667,93.3333333333,194.666666667,82.6666666667,54.0,98.6666666667,130.666666667,116.0,22.0
206.50,103.509,163.742666667,119.298333333,80.7016666667,86.5496666667,168.421,80.702,37.427,88.3043333333,121.052666667,114.62,26.3156666667
206.87,123.077,193.589666667,149.359,100.641,109.615333333,196.154,83.9743333333,54.4873333333,108.974333333,136.538666667,133.974333333,36.5386666667
207.25,170.085666667,247.863333333,211.111,137.607,132.478666667,252.991333333,102.564,58.1193333333,165.812333333,170.94,165.812,35.8973333333
207.63,198.095333333,257.143,262.857,165.714,155.238,306.667,122.857333333,70.4763333333,198.095333333,212.381,197.143,46.667
208.01,216.0,316.0,341.333333333,249.333333333,221.333333333,429.333333333,142.666666667,66.6666666667,260.0,269.333333333,269.333333333,58.6666666667
208.39,124.074333333,161.111,182.098666667,143.827,127.777666667,220.370333333,84.5676666667,44.4443333333,137.654333333,158.642,153.086333333,33.9506666667
208.77,122.875666667,162.745333333,180.392,146.405333333,138.562333333,228.104666667,79.7383333333,37.2546666667,145.098,162.745,164.706,35.9476666667
209.14,114.358666667,149.743666667,152.307666667,138.461666667,134.359,195.384666667,87.6923333333,58.9746666667,136.410333333,156.41,160.0,46.6666666667
209.52,106.666666667,138.666666667,125.333333333,120.889,132.444333333,168.0,77.7776666667,56.4443333333,128.000333333,140.444333333,152.444666667,54.2223333333
209.90,102.916666667,138.75,128.333333333,134.583333333,140.0,170.416666667,85.8333333333,75.0,137.083333333,142.916666667,149.583333333,76.25
210.28,90.429,124.422333333,122.772,112.871666667,123.762333333,148.515,87.4586666667,82.1783333333,127.722666667,132.013,128.713,73.5973333333
210.66,85.5346666667,118.239,122.641333333,112.264,116.981333333,151.258,81.7606666667,86.1636666667,124.843,124.842666667,122.641333333,74.2136666667
211.03,89.394,115.454333333,122.424333333,118.485,120.0,143.030333333,81.818,85.4546666667,122.121,124.848333333,131.818,72.7273333333
211.41,85.246,109.016333333,110.655666667,112.841666667,112.568333333,133.606666667,81.9673333333,84.9726666667,113.934666667,118.033,121.858,71.585
211.79,80.6876666667,108.730333333,98.9416666667,111.111,113.492,122.486666667,81.217,77.5133333333,109.523666667,112.169333333,116.137333333,68.5183333333
212.17,82.716,104.938333333,96.543,103.703666667,107.407333333,110.370333333,78.7653333333,76.79,103.209666667,106.419666667,108.395,62.963
212.55,82.8203333333,109.743333333,94.872,100.256666667,104.615666667,113.333,77.1796666667,80.2566666667,102.051333333,105.897333333,105.641,63.846
212.92,86.3746666667,109.246,97.81,97.81,104.866333333,117.518333333,76.6423333333,80.7786666667,101.703333333,108.759333333,102.433,60.3406666667
213.30,87.626,104.040333333,90.6566666667,92.172,98.99,111.111,68.687,73.4846666667,102.272666667,99.2423333333,93.9396666667,53.0303333333
213.68,85.625,92.0833333333,87.7083333333,84.5833333333,93.75,105.416666667,61.4583333333,71.25,93.5416666667,93.125,81.25,48.125
214.06,80.625,87.0833333333,83.5416666667,81.0416666667,86.6666666667,102.291666667,54.375,61.875,87.2916666667,90.2083333333,73.3333333333,41.875
214.44,80.6306666667,83.3333333333,84.91,83.784,84.0093333333,101.351333333,47.0723333333,50.901,87.1623333333,88.964,70.2703333333,40.3153333333
214.81,79.8123333333,80.047,81.4553333333,80.5163333333,88.7323333333,96.244,46.4786666667,48.5913333333,86.1503333333,90.61,68.5446666667,31.925
215.19,67.6056666667,73.2393333333,73.7086666667,71.3616666667,78.6386666667,89.202,43.1926666667,40.3756666667,77.23,86.62,58.9203333333,26.7603333333
215.57,61.1113333333,63.5556666667,64.2223333333,65.111,72.4446666667,85.3336666667,34.4443333333,34.4443333333,72.0,78.889,54.4443333333,24.2223333333
215.95,64.768,66.0336666667,65.401,66.0336666667,68.9873333333,85.0213333333,34.1773333333,40.2953333333,71.3083333333,77.0043333333,56.118,28.903
216.32,64.206,70.4696666667,63.5343333333,71.8123333333,66.2193333333,92.3936666667,31.991,42.0583333333,78.7473333333,81.879,57.2706666667,33.781
216.70,57.6833333333,68.0853333333,64.7756666667,76.123,68.558,92.908,28.605,38.7703333333,78.7233333333,82.2696666667,59.1016666667,40.662
217.08,50.8156666667,63.6363333333,57.1093333333,72.727,62.704,84.149,23.0766666667,31.2356666667,72.261,73.6596666667,55.944,40.5593333333
217.46,47.304,64.7056666667,60.5393333333,82.3526666667,60.784,90.441,22.5493333333,31.373,72.7943333333,77.696,61.5196666667,44.3626666667
217.83,48.2096666667,69.9726666667,66.391,92.011,65.0136666667,101.377333333,29.752,32.2316666667,74.9313333333,85.124,73.0026666667,56.1983333333
218.21,49.4046666667,71.726,60.4166666667,90.774,65.4763333333,95.5356666667,25.595,32.1426666667,75.893,79.1666666667,75.2976666667,58.3333333333
218.59,55.7693333333,84.936,53.205,96.154,73.718,105.128,31.41,44.2306666667,75.9613333333,89.7433333333,90.0643333333,64.1023333333
218.97,55.7573333333,89.697,56.6666666667,95.4543333333,70.303,105.151666667,38.788,56.0606666667,79.394,95.7573333333,91.5153333333,76.3636666667
219.34,62.222,85.833,54.7223333333,92.2223333333,72.7776666667,102.777666667,44.722,63.611,86.389,96.111,93.0553333333,80.5556666667
219.72,66.4,87.4666666667,54.1333333333,89.8666666667,74.6666666667,93.8666666667,45.6,69.0666666667,84.0,94.4,91.2,80.0
220.10,67.7686666667,90.6336666667,58.6776666667,90.9093333333,82.369,96.1433333333,53.4433333333,74.1046666667,81.267,102.754666667,93.9396666667,83.1956666667
220.47,62.7313333333,78.9353333333,54.861,77.7776666667,79.63,83.1016666667,53.4723333333,72.4536666667,68.0553333333,90.7406666667,83.3333333333,76.6203333333
220.85,63.8296666667,80.6146666667,53.6643333333,74.941,80.6146666667,81.7966666667,53.4276666667,77.0686666667,70.213,93.6166666667,82.0333333333,71.3946666667
221.23,64.9383333333,85.1853333333,52.5926666667,67.901,85.679,77.7776666667,54.5676666667,81.7283333333,74.074,97.7776666667,82.963,72.8396666667
221.61,60.5856666667,78.8286666667,45.2703333333,56.7566666667,81.3063333333,66.6666666667,51.8016666667,75.4506666667,70.7206666667,93.018,70.4956666667,69.82
221.98,57.3246666667,78.9806666667,41.4013333333,56.4756666667,76.4333333333,61.7836666667,51.1676666667,77.2823333333,72.6113333333,90.2336666667,65.393,64.5436666667
222.36,57.7083333333,82.0833333333,44.5833333333,59.5833333333,76.875,66.25,56.875,76.4583333333,75.2083333333,96.875,67.0833333333,65.4166666667
222.74,56.3786666667,78.1893333333,47.3253333333,61.9343333333,75.9256666667,64.403,57.819,73.8686666667,74.0743333333,94.0326666667,65.8436666667,61.5226666667
223.11,57.6923333333,78.205,50.8546666667,63.889,79.0596666667,62.393,57.0513333333,70.299,73.2906666667,92.7353333333,68.5896666667,61.1113333333
223.49,50.6406666667,77.3503333333,49.7863333333,64.3163333333,73.9316666667,61.5383333333,54.0596666667,61.5386666667,68.8033333333,90.3846666667,61.966,57.6923333333
223.87,50.783,86.3536666667,54.3626666667,72.9306666667,80.0893333333,70.47,61.745,61.0736666667,70.6936666667,98.8813333333,67.5616666667,63.982
224.24,50.2416666667,88.1643333333,52.8986666667,73.6713333333,76.8116666667,70.5316666667,56.5216666667,56.7633333333,76.8113333333,96.1353333333,65.7003333333,66.908
224.62,53.333,97.3913333333,50.145,79.1306666667,79.71,75.3623333333,55.3623333333,48.116,85.797,99.4203333333,68.4056666667,62.3186666667
225.00,49.3113333333,83.7463333333,40.496,73.2783333333,64.187,62.81,50.1373333333,34.435,78.7876666667,86.7766666667,57.8513333333,51.791
225.38,53.2763333333,83.476,44.1593333333,85.4703333333,60.399,65.527,54.9856666667,37.607,83.7606666667,92.8776666667,60.114,54.131
225.75,57.193,93.3333333333,49.8243333333,91.2283333333,64.9123333333,72.6313333333,52.2806666667,33.684,92.2806666667,97.8946666667,65.965,54.737
226.13,56.338,107.511666667,46.9483333333,96.244,60.5633333333,73.2393333333,47.8873333333,18.7793333333,100.939,107.042333333,70.4226666667,54.9296666667
226.51,51.2076666667,96.1353333333,35.2656666667,81.6426666667,50.7246666667,60.3863333333,38.1643333333,20.773,93.72,89.372,63.285,38.6473333333
226.88,50.617,102.469333333,19.753,74.074,46.9136666667,59.2593333333,29.0123333333,6.79033333333,103.086333333,88.889,70.3703333333,42.5926666667
227.26,59.1396666667,107.527,-21.5053333333,83.871,41.9353333333,72.043,8.60233333333,-40.8603333333,151.613,109.677666667,68.8173333333,18.2796666667
227.64,148.485,154.545333333,-133.333333333,127.272666667,96.9696666667,121.212333333,-24.2423333333,-115.151333333,406.060333333,260.606333333,154.545333333,4.73695157173e-15
228.01,27.451,62.745,235.294,96.0786666667,49.0196666667,62.745,145.098333333,141.176666667,-184.314,-31.3723333333,7.843,133.333333333
228.39,64.0523333333,71.242,129.412,67.9736666667,73.2026666667,54.2483333333,86.2746666667,84.9673333333,-16.3396666667,17.6466666667,45.098,96.0783333333
228.76,60.5556666667,68.8886666667,107.778,54.4446666667,57.2223333333,50.5556666667,81.6666666667,58.3333333333,-7.77766666667,12.7776666667,37.2223333333,70.0
229.14,47.1426666667,54.286,85.238,42.381,33.3333333333,36.6666666667,74.2856666667,40.4763333333,-5.71433333333,16.6666666667,22.381,50.4763333333
229.52,35.648,47.6853333333,82.8703333333,43.9813333333,32.4073333333,24.9996666667,75.4633333333,37.5003333333,0.0,19.4446666667,18.9813333333,39.352
229.89,17.7776666667,38.3336666667,81.111,19.9996666667,13.889,9.44433333333,55.5553333333,-0.555333333333,-24.4443333333,1.111,-8.88866666667,28.3333333333
230.27,15.4926666667,55.8683333333,77.4646666667,23.474,18.31,20.6573333333,55.8683333333,7.51166666667,-2.34733333333,19.249,-10.3283333333,34.742
230.65,27.6193333333,59.0476666667,69.8413333333,32.0633333333,31.4286666667,31.429,60.0003333333,30.7936666667,20.0,33.3336666667,11.7463333333,39.0476666667
231.02,24.359,50.9613333333,63.7823333333,21.154,27.8846666667,25.0003333333,51.282,20.5126666667,9.29466666667,33.9743333333,6.731,30.449
231.40,32.1426666667,45.5353333333,64.881,22.3216666667,34.8213333333,33.0356666667,52.976,17.2616666667,10.4166666667,41.0716666667,12.4996666667,29.762
231.78,36.639,43.8016666667,63.3606666667,25.8953333333,42.424,38.0166666667,60.055,23.6916666667,22.0383333333,54.2696666667,21.4873333333,38.0163333333
232.15,25.49,39.216,49.86,15.686,42.2966666667,32.493,57.703,20.7283333333,22.969,49.86,15.126,31.9326666667
232.53,14.0186666667,32.0873333333,38.9406666667,14.9533333333,35.2023333333,28.972,59.813,12.461,16.8223333333,54.8286666667,8.09966666667,28.0376666667
232.90,20.58,33.6233333333,41.1593333333,29.2753333333,47.2463333333,42.6086666667,62.8986666667,26.377,20.29,66.087,21.7393333333,43.1886666667
233.28,16.931,29.6296666667,35.979,34.3916666667,53.7036666667,42.328,55.026,29.365,15.344,59.7883333333,20.635,44.4443333333
233.66,17.204,34.6776666667,35.484,29.8386666667,52.9566666667,47.043,57.7953333333,34.4086666667,18.8173333333,67.204,21.5056666667,52.688
234.03,26.005,39.2436666667,34.988,35.461,54.61,46.0993333333,58.8653333333,48.6996666667,23.8766666667,64.7753333333,27.187,51.537
234.41,27.252,32.8826666667,30.1803333333,31.982,53.8286666667,43.018,55.8556666667,49.5496666667,20.4956666667,60.5853333333,29.054,48.6486666667
234.78,27.854,27.397,24.6576666667,29.452,52.5113333333,42.2376666667,50.9133333333,46.3466666667,22.3743333333,55.7076666667,27.3973333333,45.4336666667
235.16,21.2963333333,23.148,16.2036666667,26.1573333333,47.4533333333,38.889,50.926,46.0646666667,26.389,51.852,28.0093333333,41.6666666667
235.54,6.06066666667,16.6663333333,7.32333333333,21.7173333333,42.677,23.4846666667,42.4243333333,46.9696666667,22.4746666667,46.2123333333,20.707,39.1413333333
235.91,-14.114,5.40566666667,-9.30933333333,9.30933333333,37.5376666667,7.80766666667,33.3333333333,38.4383333333,11.111,35.4356666667,5.40566666667,31.2313333333
236.29,-14.655,6.03466666667,-1.724,11.7816666667,37.356,11.7816666667,35.9196666667,43.1033333333,14.0803333333,37.6436666667,15.5173333333,30.4593333333
236.66,-26.5373333333,-7.767,-10.356,-6.47266666667,21.3593333333,-0.970666666667,26.2136666667,39.806,5.50166666667,35.275,1.942,25.8903333333
237.04,-33.0,-9.33333333333,-22.3333333333,-13.3333333333,13.3333333333,-20.3333333333,14.3333333333,28.0,-3.0,20.0,-13.3333333333,13.3333333333
237.41,-34.2506666667,-8.56266666667,-24.465,-20.795,1.22333333333,-25.9936666667,7.33966666667,13.7613333333,-0.917666666667,14.9846666667,-15.5963333333,1.529
237.79,-17.6473333333,-1.47033333333,-8.088,-4.902,8.82366666667,-13.2353333333,9.31366666667,13.2356666667,3.43133333333,13.9706666667,-2.20633333333,2.206
238.17,-11.472,1.08233333333,1.94833333333,-1.08233333333,11.039,0.216666666667,12.7703333333,10.606,9.95666666667,15.8006666667,4.97833333333,3.89633333333
238.54,-6.27433333333,6.863,7.647,2.94133333333,11.1766666667,6.47033333333,16.667,10.9806666667,13.9213333333,18.8236666667,11.7646666667,5.88233333333
238.92,-15.5556666667,2.828,1.61633333333,-6.66666666667,4.64633333333,3.63633333333,14.1413333333,3.03033333333,2.626,17.7776666667,8.687,1.81833333333
239.29,-6.13566666667,7.297,9.78433333333,-0.995,10.116,8.955,16.584,6.965,7.131,18.0766666667,12.272,7.131
239.67,2.30366666667,8.26566666667,14.0923333333,-0.135333333333,11.9243333333,15.1763333333,20.3253333333,8.943,13.0083333333,19.3766666667,12.8726666667,6.23333333333
240.04,10.3753333333,15.4526666667,18.9846666667,7.72633333333,14.018,22.5163333333,24.393,15.2316666667,18.764,24.7243333333,15.784,10.927
240.42,12.8053333333,14.9556666667,15.6403333333,8.79733333333,11.2413333333,21.7006666667,23.069,13.392,17.4973333333,24.34,13.6853333333,12.0233333333
240.79,13.6906666667,16.1563333333,14.796,10.459,10.289,20.238,21.3433333333,13.0953333333,17.0066666667,21.8536666667,13.7753333333,12.3296666667
241.17,13.9883333333,15.997,15.402,11.3093333333,9.82133333333,22.3956666667,22.024,14.2113333333,19.1963333333,22.2473333333,15.5506666667,13.6906666667
241.54,17.365,19.694,17.7643333333,15.7016666667,13.0406666667,24.95,25.682,17.5646666667,22.954,24.4843333333,17.6313333333,18.031
241.92,16.8763333333,19.1503333333,18.193,16.3973333333,12.328,23.2196666667,25.9723333333,17.4146666667,22.8606666667,24.476,17.0553333333,17.774
242.29,16.213,17.6306666667,17.1203333333,16.3266666667,12.5283333333,21.9386666667,25.737,18.084,22.789,24.3763333333,16.8366666667,17.1766666667
242.67,16.175,16.776,16.0656666667,16.776,11.967,20.7103333333,25.1363333333,18.7976666667,21.8576666667,24.0436666667,15.41,17.1036666667
243.05,16.6666666667,17.5546666667,16.0396666667,18.391,12.1736666667,19.8536666667,24.4513333333,20.1146666667,22.3093333333,23.302,15.3086666667,17.6073333333
243.42,17.0793333333,17.647,16.46,18.9886666667,11.7646666667,20.0206666667,24.4066666667,20.9493333333,21.517,23.9423333333,15.8926666667,18.6273333333
243.80,16.4353333333,18.3356666667,15.922,20.1846666667,11.8646666667,19.9793333333,24.0366666667,20.904,20.75,23.78,16.6923333333,19.0546666667
244.17,15.0866666667,17.329,16.2586666667,20.0816666667,11.366,18.8586666667,23.2926666667,20.1323333333,19.9286666667,22.579,16.157,17.9916666667
244.55,13.4343333333,17.1716666667,15.5556666667,19.1413333333,11.414,17.929,20.7576666667,19.1416666667,18.5353333333,21.1113333333,15.303,16.2626666667
244.92,13.7963333333,18.4756666667,16.7873333333,19.8746666667,12.446,19.8746666667,20.8876666667,19.971,19.6336666667,21.5146666667,16.2566666667,16.5943333333
245.30,12.415,17.326,16.917,18.2806666667,12.051,17.7353333333,19.4176666667,19.054,18.0083333333,20.0543333333,14.0063333333,15.8706666667
245.67,10.997,14.4203333333,15.5323333333,16.2173333333,10.0556666667,16.1746666667,17.929,17.5436666667,15.6183333333,18.2283333333,13.5216666667,14.3776666667
246.05,10.5593333333,13.6723333333,13.357,14.8933333333,9.57466666667,15.8393333333,17.4153333333,16.982,14.8936666667,17.2576666667,12.8843333333,14.657
246.42,9.63266666667,13.486,12.432,13.4863333333,8.506,14.6856666667,17.1936666667,14.9036666667,13.5583333333,17.1936666667,11.741,13.8493333333
246.79,7.86733333333,11.8683333333,10.546,11.7323333333,7.121,12.9876666667,15.5643333333,12.852,12.1396666667,15.2253333333,10.6816666667,12.3433333333
