wavelength,Back_SicFlaf,Belly_SicFlaf,Breast_SicFlaf,Crissum_SicFlaf,Crown_SicFlaf,DorTail_SicFlaf,Patch10_SicFlaf,Patch11_SicFlaf,Rump_SicFlaf,Throat_SicFlaf,WingTip_SicFlaf
798.85,24.6008666667,54.3109333333,39.4587333333,56.5092666667,24.2972,26.2082666667,20.1766666666,19.5083333333,25.2287111111,41.7068,19.7790666667
799.16,23.9987333333,54.4614,39.3682666667,56.1590666667,24.2415333333,26.1872666667,19.7912666667,18.9058,25.0094222222,41.8781333333,19.6108
799.47,23.5596,54.2105333333,39.1622666667,55.6197333333,24.0633333333,26.0272,19.3944666667,18.6645333333,24.7246444445,41.7374666666,19.7283666667
799.78,23.2370666667,53.8323333333,38.8832666667,55.3458666667,23.6961333333,25.7257333333,19.0476666667,18.3503333333,24.4576888889,41.0828666667,19.2574
800.08,23.6084,54.5074666667,39.6620666666,55.8477333333,24.3815333333,26.5064666667,19.2784,18.8945333333,25.1107111111,41.2714666667,19.6477333333
800.39,23.2354,54.1506666667,39.4932,55.3772,24.0875333333,26.2290666667,19.0731333333,19.0732,24.7975222222,40.8404666667,19.4588333333
800.70,22.3191333333,53.7780666667,38.8255333333,54.7567333333,23.1196666667,25.5456666666,17.9657333333,18.2206666667,23.8533444445,40.2847333333,18.7129666667
801.00,22.1412,53.191,38.1672,54.2289333333,22.6452666667,25.1068,17.7224,17.7283333333,23.5804,39.6796666667,18.5082666667
801.31,22.8160666667,53.2129333333,38.4838666667,54.6872,22.9060666667,25.4512666667,18.2673333333,17.9844666667,23.8116222222,40.3128666667,18.941
801.62,24.0205333334,53.9266666667,39.1766,55.7492666667,23.5907333333,26.5577333333,19.7153333333,19.1704666667,24.5351888889,41.6106666667,20.1726
801.92,23.7703333333,52.9729333333,38.228,55.1726,22.8232,25.6463333333,19.2728666667,18.6799333333,23.5889555556,40.9104666667,19.6121
802.23,23.3053333333,52.5427333333,37.9334,55.1384666667,22.1724666667,25.4590666667,18.8672,18.4065333333,22.7232777778,40.4544,19.3401666667
802.54,23.4887333333,52.1269333333,37.3009333333,54.9190666667,21.6293333333,25.1242666667,18.5386,18.3644666667,22.5560333334,40.0995333333,19.0918666667
802.84,23.8022,52.8866666667,37.4802666666,55.7766666667,21.8692666667,25.3206,18.5008,18.6284666667,22.5346888889,40.5742666667,18.9982666667
803.15,23.9235333333,53.1322666667,37.7432,56.0246,21.8417333333,25.428,18.1908,18.6382,22.2146444444,41.3036,19.1634
803.46,23.8068,52.3994,37.0103333333,55.0906666667,21.2126666667,24.7471333333,17.9117333333,18.4240666666,21.5163666667,40.9014666667,18.8069
803.76,23.7878666667,52.8920666667,36.851,55.3886,20.9486666667,24.5652,17.6614,17.8459333333,21.3515888889,41.0077333333,18.5343666667
804.07,24.6996666667,54.0595333333,37.8284666667,56.6468,21.9208,25.4586666667,18.6931333333,18.957,22.2078888889,42.0131333333,19.5347666667
804.38,25.0149333333,54.4697333334,38.8238,56.8748,22.524,25.8208666666,19.0022666667,19.663,22.7408666667,42.8346,19.7951
804.68,25.2436666667,54.6048,39.1766666667,56.8971333333,22.8194666667,25.8893333333,19.0316,19.9144,23.0511888889,42.6614,19.9407
804.99,24.9866666667,54.6933333333,39.1733333333,56.9466666667,23.1,25.78,18.3733333333,19.6533333333,23.3911111111,42.7533333333,19.6866666667
805.30,25.5889333333,55.3481333333,39.7322,57.9518,23.8286,26.6599333333,18.9759333333,20.6158,24.3250555556,43.6478666667,20.4919666667
805.60,25.9165333333,55.5644,39.763,57.8612,24.6199333333,27.0550666667,19.7829333334,21.2767333333,25.0663111111,43.6854,21.0630333333
805.91,26.6074666667,56.6698666666,40.5395333333,58.8482666667,25.6136666667,28.1803333333,20.8951333333,22.4745333333,25.9889111111,44.2053333334,22.2080666667
806.21,26.6210666667,56.1774,40.1045333333,58.2388666667,25.6947333333,28.0626,21.1024666667,22.1201333333,26.2197777778,43.5552666667,22.3125666667
806.52,27.5650666667,56.8816666667,40.7226666667,58.7174,26.8686,28.9324,22.4088,23.0534666666,27.2971777778,44.1342,23.1152666667
806.83,27.8134666667,56.4949333333,41.0949333333,58.8403333333,26.9906666667,29.1739333333,22.6433333333,23.3107333333,27.6061,44.2888666667,23.3657
807.13,27.8938,56.6011333333,40.9778,58.6482666667,27.1586,29.2651333333,22.4804,23.3989333333,27.9997333333,44.6326666667,23.5104666667
807.44,27.6567333333,56.3497333333,40.6798666667,57.901,26.7193333333,29.208,22.1780666667,22.9040666666,27.9648111111,44.2837333333,22.8118666667
807.74,27.5124666667,56.4737333333,40.6024,58.2335333333,26.6598666667,29.2994666667,22.1996,22.5449333333,27.7438222222,44.6362,22.7378333333
808.05,26.7844666667,55.9804666667,39.7642666667,57.6368666667,25.6478666667,28.6972,21.1782,21.5456666667,26.8735222222,44.5321333333,21.6737333333
808.35,26.1399333333,55.2371333333,39.6136,57.0846666666,24.805,27.8538666667,20.569,20.9693333333,26.0532111111,43.9128666666,21.1697333333
808.66,25.52,54.7221333333,39.5869333333,56.2036,24.1809333333,27.4501333333,19.8576,20.4772666667,25.5058222222,43.3974,20.5806666667
808.97,25.2224,54.4274,39.9052,55.8059333333,23.8365333333,26.9876,18.9132,19.7154666667,25.0582888889,43.2531333333,20.0037333333
809.27,25.2561333333,54.2464666667,40.0222666667,55.5752666667,23.6821333333,26.9266,18.7230666667,19.5173333333,24.9021777778,43.7194666667,19.7773666667
809.58,24.7695333333,53.87,39.7128,55.5630666667,23.0385333333,26.7271333334,18.3142,19.3651333333,24.5867222222,44.2781333333,19.4596333333
809.88,23.1127333333,52.2416,38.2887333333,53.9140666667,20.7742,24.878,16.7944666667,17.5144,23.1566,42.7178,17.952
810.19,22.1955333333,52.5721333333,38.0288666666,54.383,20.1282,24.7195333333,16.3942,16.7307333333,23.1075777778,42.5802666667,17.4319666667
