wavelength,Back_PipMelf,Belly_PipMelf,Breast_PipMelf,Crissum_PipMelf,Crown_PipMelf,DorTail_PipMelf,Patch10_PipMelf,Patch11_PipMelf,Rump_PipMelf,Throat_PipMelf,WingTip_PipMelf
763.82,20.3499333333,47.0187333333,40.4334666667,41.4696666667,24.3608,19.791,19.0033333333,21.0208666667,22.9525333333,40.8294666667,20.3784
764.14,19.8842666667,46.7489333333,40.0132,41.0762666667,23.8359333333,19.2060666667,18.3122666667,20.3847333333,22.4972,40.1734,19.7598666667
764.45,20.1556,46.8472666667,40.0588,41.2187333333,23.8705333333,19.4493333333,18.5511333333,20.6545333333,22.505,40.3679333333,20.0699333333
764.76,20.45,47.1121333333,40.224,41.4128,24.2174,19.7692,18.8527333333,21.0874,22.7608,40.6232,20.2839333333
765.07,20.6822,47.3891333334,40.4382,41.4522666667,24.5652,20.2014,19.0998,21.4878,23.0302666667,40.7106666667,20.4145333333
765.39,20.5740666667,47.2160666667,40.2242666667,41.0495333333,24.3237333333,19.9704666667,18.9233333333,21.4043333333,22.8407333333,40.4336,20.2489333333
765.70,20.4162,47.0570666667,40.0853333333,40.7809333333,24.1478666667,19.9198666667,18.8827333333,21.4275333333,22.7231333333,40.2845333333,19.9870666667
766.01,20.2143333333,46.8946666667,39.8318,40.5752666666,23.9018,19.8183333333,18.6351333333,21.3567333333,22.4963333333,40.114,19.8046666667
766.32,20.4772,46.9934666667,40.1137333333,40.7528,24.2295333333,19.9999333333,18.8182666667,21.8094,22.7326,40.1108,20.1988
766.64,20.4285333333,47.4603333333,40.2745333333,40.9596,24.2132666667,19.9366666667,18.6359333333,22.1004666667,22.7042,40.3138666666,19.8671333334
766.95,20.5877333333,47.9540666666,40.4280666667,41.1084666667,24.4816666667,19.7890666667,18.5976666667,22.1434,22.6226,40.463,19.8467333333
767.26,20.2878,47.9954,40.3815333333,41.0642666667,24.3942666667,19.3341333333,18.4438,21.9477333333,22.3024666667,40.0134666667,19.7121333333
767.57,20.9514,48.9331333333,41.1717333333,41.7874,25.4039333333,20.1155333333,18.9995333333,23.0570666667,22.7912,41.0423333333,20.5700666667
767.88,20.4112,48.9701333333,40.8334666667,41.3828,25.1528,19.5306666667,18.3406,22.6455333333,22.3472,40.666,19.8980666667
768.20,20.1282,48.6992,40.8144,41.0256666667,24.8227333333,19.0573333333,17.6922666667,22.5602,22.0438666667,40.3016,19.6079333333
768.51,19.1516666667,48.172,40.1525333333,40.2384666667,23.9647333333,17.8730666666,16.8329333333,21.9471333333,21.2630666667,39.5464,18.8544
768.82,19.2628,48.5095333333,40.8424,40.6196666667,24.2811333333,18.1529333333,17.1123333333,22.3045333333,21.3892,39.9107333333,18.8740666667
769.13,19.5294666667,48.8835333333,41.1668666667,40.5917333333,24.4086,18.1252666667,16.9126,22.5294666667,21.3167333333,40.1461333333,19.2918
769.44,19.3976,49.2892,41.3913333333,40.5852,24.5341333333,17.9585333333,16.5712666667,22.8001333333,21.3394666667,39.9739333333,19.1633333333
769.76,18.6238666667,48.5236666667,40.6369333333,39.43,23.4112,16.8291333333,15.5420666667,21.759,20.4586,39.0604666667,18.1873333333
770.07,19.116,48.7324666667,41.051,39.3459333333,23.9060666667,17.3748666667,16.0802,22.0162,20.8571333333,39.2151333333,18.6829333333
770.38,19.6254666667,48.6979333333,41.4579333334,39.4854,24.2384,18.0546,16.6327333333,22.5862666667,21.5301333333,39.3049333333,19.4582
770.69,19.5862666667,48.7447333333,41.5034,39.5908666667,24.0506,18.2208,16.6481333333,22.7080666667,21.3977333333,39.6138,19.2966
771.00,19.6073333333,48.8381333333,41.3768666667,39.3302,23.7653333333,18.1612666667,16.6643333333,22.7118666667,21.3260666667,39.3439333334,19.1683333333
771.32,20.5132,49.3491333333,42.1926666667,39.8695333333,24.446,18.8756666667,17.7233333333,23.6761333333,21.9408,40.0608,19.9299333334
771.63,20.4076,48.995,41.6257333333,39.2457333333,24.0524666667,18.7211333333,17.4700666666,23.3732,21.4476,39.5033333333,19.555
771.94,21.4387333333,49.9477333333,42.3647333333,39.9381333333,24.7151333333,19.4681333333,17.9107333333,23.8983333333,21.8281333333,40.2468,20.5175333333
772.25,20.8004,49.6286,41.8116666667,39.2283333333,24.3278666667,18.9119333333,17.2442,23.4556666667,21.0735333333,39.3769333333,20.0096666667
772.56,20.3442,49.769,41.7306,39.0805333333,24.0854666667,18.7512666667,16.5978666667,23.1022666667,20.6490666667,39.0856,19.5084
772.87,20.9164666667,50.0024666667,41.9363333333,39.0835333333,24.2375333333,18.9208666667,17.2160666667,23.5476666667,20.8919333333,39.4925333333,19.9015333333
773.18,20.7039333333,50.2563333333,41.8704,39.2308666667,24.2735333333,18.7279333333,17.3754666667,23.7003333333,20.6889333333,39.7384666667,19.8491333333
773.50,18.9946,49.3683333333,40.5981333333,37.948,22.5728666667,16.8497333333,15.6380666667,22.0779333333,18.9379333333,38.2160666667,18.4996666667
773.81,18.4369333333,49.4576666667,40.7389333333,38.1978666667,22.0892,16.2573333333,14.8804,21.712,18.3678666667,38.3625333333,17.6236666667
774.12,17.8686666667,48.4455333333,39.626,37.1048,21.2338666667,15.3472666667,14.1186,20.951,17.5374,37.0458666667,16.8909333333
774.43,16.6530666667,47.4248,38.7544666667,36.0736666667,20.3953333333,14.2270666667,13.2358,19.9892666667,16.5014666666,36.1224,15.6240666667
774.74,16.2326,46.9670666667,38.291,35.5991333334,20.0602,13.8685333333,12.7273333333,19.6833333334,16.1944666667,35.5282666667,15.1788
775.05,16.7303333333,47.8728666667,39.1093333333,36.31,20.9737333333,14.0802666667,13.5382,20.0386,16.6914666667,36.2046666667,15.7620666667
775.36,16.221,47.5413333333,38.7888666667,36.0190666667,20.7456666667,13.6249333333,13.2884666667,19.8318666667,16.0919333333,35.9966,15.2284666667
775.67,16.692,47.6754,38.8560666667,36.2298666667,21.189,14.0263333333,13.3953333333,20.0057333333,16.3426,36.7315333333,15.6214
775.98,17.0470666667,47.6528,38.7997333333,36.4666666667,21.5328666667,13.9532666667,14.0941333333,19.7801333333,16.5342,36.7766666667,15.8015333333
776.30,16.5093333333,47.4312,37.7515333333,35.8291333333,20.9612666667,13.3501333333,13.5188666667,19.1006666667,16.2337333333,36.1552,15.3119333333
776.61,17.2467333333,48.1968666667,38.43,36.7236,21.5188,14.2494,14.067,19.5107333333,16.7805333333,36.7178666667,15.5972
776.92,17.8684,48.3673333333,38.9116,37.1599333333,21.9898666667,14.8753333333,14.6032666667,20.2946666667,17.3752,37.381,16.0714666667
777.23,17.5142666667,48.5622,38.4880666667,36.5922666667,21.6038,14.2154666667,14.3528,19.9197333333,16.7468,36.8384666667,15.7846
777.54,18.9805333333,50.5784666667,40.4582,38.3392,23.5967333333,15.8248,15.8877333333,21.7868666667,18.7513333333,38.7515333333,17.417
777.85,20.2591333333,51.5774,41.8192,39.4702666667,24.5192666667,16.8911333333,16.966,22.7576666667,19.9943333333,39.6084666667,18.4744666666
778.16,21.5256666667,52.8324666667,43.2354,40.5758,25.7857333333,18.2614,17.7144,23.9435333333,21.1342666667,40.6678666667,19.9194666666
778.47,22.3876,53.3219333333,43.5328,41.5383333333,26.5925333333,19.3904,18.4729333333,24.7976,22.2736,41.282,21.1738
778.78,23.0390666667,53.8762,44.0446666667,42.2336666667,26.9579333333,20.1884666667,19.3488,25.5012666667,23.3076,41.6509333333,22.0051333333
779.09,23.0836,54.4308666667,44.0127333333,42.3402666667,26.8583333333,19.5818,19.4540666667,25.5923333333,23.3856666667,41.4924666667,21.9222
779.40,24.0350666667,55.3625333333,45.2222,42.9881333333,27.5965333333,20.3861333333,20.1520666667,27.0467333333,24.3919333333,42.6258,22.8771333333
779.71,24.2202,55.75,46.3394666667,43.7321333333,28.0774666667,20.9286,20.1964,27.1429333333,24.5298,43.2023333334,23.1606666667
780.02,24.4364,56.1793333333,46.7503333333,44.0477333333,28.1614666667,21.1120666667,20.2271333333,27.5576666667,25.1778666667,43.3602,23.8326666667
780.33,25.2266,56.308,46.9866666667,44.2253333333,28.9778666667,21.8015333333,20.8830666667,27.9171333333,25.4815333333,43.8222666667,24.4739333333
780.64,25.3511333333,55.9351333333,46.6372,44.1416,29.0264666667,21.8642666667,20.9970666667,27.6932,25.705,43.5044,24.5841333333
780.95,24.0618,54.5118666667,45.4336666667,42.9435333333,27.6216,20.2659333333,19.3353333333,26.3705333333,24.1282,42.4781333333,22.998
781.26,24.1615333333,54.6253333333,45.0227333333,43.1422,27.8434666667,20.3942666667,19.266,26.6242,24.3070666667,42.8692666667,22.8875333333
781.57,22.4338,53.5573333333,43.7908666667,42.1226,26.4302,18.4501333333,17.8399333333,24.8178,22.8136666667,41.606,21.4938666666
781.88,21.7392,53.2818666667,43.4911333333,41.5974,25.5330666667,17.3010666667,16.8438666667,24.1933333333,21.8616,41.2818666667,20.174
782.19,20.9829333333,52.3699333333,42.9679333333,40.9312,24.6558,16.4565333333,16.1784,23.7503333333,21.513,40.7178,19.5020666667
782.50,21.6488,52.5704666667,43.3559333333,41.6230666667,25.2894666667,17.3876666667,16.6504666667,24.6621333333,22.1596,41.3772666667,20.3038
782.81,21.0959333333,51.957,42.8115333333,41.1677333333,24.8597333333,17.2733333333,16.1186,24.0313333333,21.9699333333,40.8610666667,19.6868666667
783.12,20.4663333333,51.3432,42.0428,40.44,23.9934,16.3547333333,15.1987333333,23.7044,21.1429333333,39.8094666667,19.2972
783.43,20.5128,50.8612666667,41.6174,40.2366,24.2866666667,16.4168666667,15.3123333333,23.616,20.8547333333,39.9605333333,19.2307333333
783.74,20.7098666667,51.31,42.0364,40.6435333333,24.5506,16.1924,15.5156,23.7016,21.9503333333,40.0928,19.4559333333
784.05,20.1263333333,50.6187333333,41.3773333333,40.5855333333,24.1583333334,15.622,14.9367333333,23.6394,21.5434666667,39.7206,18.9752
784.36,21.7902666667,52.3914,43.1196666667,42.1711333333,25.6179333333,17.4682,16.64,25.2438,23.1796666667,41.0554,20.8884
784.67,21.4673333333,51.7320666667,42.8877333334,41.4874666666,24.9045333334,16.6164666667,16.4756,24.5694666667,22.6533333333,40.4890666666,20.7370666667
784.98,21.8064,52.011,43.3538666667,41.8882666667,25.0511333333,16.8848666666,16.3121333334,24.5466666667,23.1696666667,40.8179333333,20.7566666667
785.29,21.8476666667,51.5668,42.9848666667,42.1320666667,25.1572666667,17.401,16.2912,24.3857333333,23.2892666667,40.5752666667,21.2116
