wavelength,Back_TanGutf,Belly_TanGutf,Breast_TanGutf,Crissum_TanGutf,Crown_TanGutf,DorTail_TanGutf,Patch10_TanGutf,Patch11_TanGutf,Patch12_TanGutf,Patch13_TanGutf,Rump_TanGutf,Throat_TanGutf,WingTip_TanGutf
183.35,82.9824666667,68.9472999999,54.5614666666,83.0702000001,91.1404000002,43.4210666667,69.2104666667,70.0877333334,74.0352,41.4912666667,65.3508,78.7720666666,77.9386
183.73,80.1626,69.3089333333,57.9675999999,78.2926666666,90.6503999999,44.5528666667,70.2439333333,70.1625333333,76.0976666667,43.2520666667,63.4959333334,76.6667333333,76.2601666667
184.11,76.7391333333,66.1593666667,56.3041999999,74.2028666667,84.4204,47.1739333333,67.029,70.4347333333,73.4058666666,43.8407333333,58.3333333333,72.9709333333,70.5798666667
184.49,66.7924,52.0441333333,45.3458,58.9307999999,71.2578666667,37.107,53.8365333333,59.8740666667,62.3898666667,35.7234,50.1888,58.4277333333,58.5849666667
184.87,61.913,51.3043666667,45.4492,59.0145333333,68.6374666667,35.4202666667,50.2608666667,55.768,58.2609333333,37.0435333333,49.5651333333,57.4492666667,57.4203666667
185.25,55.9287333333,42.5954666667,41.4251333333,54.0966,60.916,29.0076,45.4454,50.0763333333,52.7226666667,33.0278666667,43.7658666667,52.57,51.7303
185.63,54.8680666667,44.6043,40.7673333333,54.3406,60.2878,28.1054666667,45.5634666667,48.2493333333,53.1893333333,34.2925333333,46.1392,51.1750666667,53.5011333333
186.01,54.8197333333,45.3378333333,41.3512666667,56.4414,60.5856666667,28.0181333333,45.4053333333,46.937,52.7027333333,36.2162,49.7297333333,54.8649333333,52.7251333333
186.39,53.4641333333,47.2548,41.6123333333,54.8148666667,58.8670666667,30.6754,42.9629333333,47.5815333333,51.7211333333,39.4771333333,48.4532,56.2091333334,51.6992333333
186.77,50.6668,46.5807,42.3655333333,50.7526,56.9891333333,29.2471333333,42.4516,49.9784666667,48.3870666667,38.5375333333,48.8602,54.2795333333,49.8924333333
187.15,48.7445333333,43.0735333333,39.9134666667,48.0085333333,54.6319333333,28.5282,40.2596666667,46.9265333333,46.0606,35.065,45.6276,48.8743333333,45.5627666667
187.53,45.3252,38.7194333333,38.3740666667,45.1218666667,49.6341333333,28.6586,38.374,41.9918666667,45.8943333333,31.9512666667,46.0975333333,45.7317333333,40.5081333333
187.91,46.0501333333,36.0500333333,40.0771333333,45.3563333333,48.6706,29.9421333333,37.4952,42.235,44.0076,32.1387333333,45.395,45.7032,39.6724666667
188.29,48.3950666667,37.3251,44.1563333333,47.2015333333,53.8684,31.111,39.6296666667,43.7859333333,46.8312666667,33.0042666667,48.1071333333,47.2016,42.6751333333
188.67,49.9554666667,37.8666666667,49.4666666667,49.5556666667,56.1332666667,32.9776666667,39.0222666667,45.4665333334,46.7110666667,34.0888666667,50.0,52.8000666666,46.8444
189.05,51.7554,38.2050666667,53.1362,49.3491333333,57.3175333333,39.645,40.1183333333,46.5876666667,47.4951333333,36.134,52.5838666667,55.1874666667,49.9409
189.43,53.7037333333,40.2468,58.642,50.8641333333,60.7407333333,44.9792666667,38.6007333333,48.9711333333,47.8189333333,38.1892,56.0907333333,56.0492666667,53.0864666667
189.81,50.0214666667,33.4624333333,56.43,45.5054,54.7526666667,41.4194666667,32.8172,43.6558666667,41.9786,32.3440666667,50.4947333333,52.43,47.871
190.19,53.8432,37.4706333333,61.1373333333,48.5881333333,57.4117333333,47.3726,39.8430666667,49.5294,45.0981333333,37.098,53.9216,55.0588666667,52.7842
190.57,56.5725333333,40.9604666667,63.8043333333,50.3200666667,59.8116666667,50.6968,46.4406,52.4670666667,47.8342,39.5105333333,57.627,56.7985333333,55.744
190.95,57.8804666667,40.8284,62.4662666666,49.2487333333,57.4952666667,49.3641333333,45.1638,51.8688666667,49.0558666667,38.3428666667,55.9152,56.6859333333,56.2622
191.33,54.0135333333,33.5828333333,64.1269333334,43.7188,58.8661999999,43.7641333333,40.1362,51.4285333333,47.3922666667,33.6054666667,54.2404,55.737,56.7347666667
191.71,52.0804666667,33.9821,64.4296,44.3847333333,60.7158000001,44.2058,39.1945333333,53.6914,47.2036,34.4070666667,53.736,55.4362666667,56.1969333333
192.09,51.8466,30.8392333333,63.3094,40.3357333333,58.3692666667,41.8706666667,38.1294,54.0527333334,45.8035333333,33.3813333333,53.4772,52.2780666667,52.9496666667
192.47,49.3424666666,27.8231666667,60.2720666667,36.5532666667,51.7460666667,36.0544,34.8299333333,49.2516666667,40.0002,30.7029333333,51.5645333333,47.619,47.8458333333
192.85,49.4372,28.8313,59.1343333333,41.5584666667,50.9090666667,38.0518666667,38.5281333333,47.8354666667,41.6017333333,32.4244,52.2511333333,45.1081333333,47.5326
193.23,48.9333333333,28.8666333333,54.8444,39.8666666667,46.489,34.2666666667,38.2668,49.0667333333,40.6222,31.4223333333,50.4,42.6222,45.6446
193.61,43.5730666667,26.3181666667,49.1503333333,35.6863333333,41.22,29.4553333333,36.6013333333,44.6623333333,35.6863333333,26.8409333333,44.5316,39.6515333333,39.9999666667
193.99,44.4749333333,27.2603,50.3652666667,36.895,45.3424,31.3698,39.3150666667,47.2145333333,36.9406,27.5799333333,45.936,39.9086666667,40.0228666667
194.37,35.3623333333,12.6667,44.2318,25.5652,36.9274666667,16.7536666667,26.6667333333,39.3625333333,27.1884,13.2752666667,38.261,29.2174,28.0869666667
194.75,30.4206,4.17473333331,43.301,20.0646666666,37.6698666666,13.4628666667,18.8348666667,34.0453333333,25.5016,9.96759999999,33.4628,23.8186666667,27.6052666666
195.13,22.1276666667,-7.80130000001,36.0284,12.2694666666,31.3474666667,5.31913333334,11.3474,26.5248666667,13.4042,1.91486666667,28.9362,13.9716666667,19.6809333333
195.51,36.3744,14.0058333333,45.0292666667,26.4326666666,38.4211333333,23.0994,26.2572666667,37.544,25.4970666667,20.4678666667,39.4737333333,27.0176666667,30.5555333333
195.89,37.9682666667,12.6985,45.2699333333,25.3969333333,38.7935333333,22.4761333334,26.2857333333,38.5396,20.9524,17.5238,41.3968,27.365,35.2062
196.27,24.8484666667,-0.87116666666,38.3332,13.1062,31.8938666667,13.4849333333,11.8180666667,31.2121333333,10.6817333333,0.605999999994,36.7425333333,11.6667333333,29.3938333333
196.65,11.4416,-12.6124333333,35.1351333333,4.3242,26.1262,6.75673333332,1.982,27.2073333333,-2.07213333335,-10.2702666667,24.7747333333,0.18013333334,21.9821333333
197.03,-9.36166666665,-58.1561333333,23.1205333333,-39.007,10.3545999999,-23.6879333333,-32.9078,18.7234666667,-33.0496666667,-45.8155333333,-4.39719999994,-31.9149333333,0.425566666654
197.40,-111.111133333,-208.055633333,-49.1667333333,-169.444533333,-71.1111999999,-133.0556,-150.277733333,-68.6110666667,-166.6666,-166.388866667,-104.1668,-147.5,-89.3057000001
197.78,-192.000066667,-352.444466667,-91.9999333333,-275.999933333,-144.888866667,-210.6666,-262.2222,-115.555466667,-266.2222,-268.888866667,-152.444333334,-267.999866667,-143.777866667
198.16,-156.491333333,-310.877266667,-93.6841999999,-251.578866667,-153.6842,-191.228066667,-241.754333333,-102.456133333,-224.9122,-233.3334,-152.2806,-226.315733333,-137.368433333
198.54,-82.2916666666,-169.583333333,-42.2916666667,-131.458333334,-81.25,-93.5416666666,-124.583333333,-51.6666666667,-119.375,-126.041666667,-85.4166666665,-128.125,-73.2291666667
198.92,-54.4999999999,-127.583333333,-28.1666666667,-98.8333333333,-63.3333333334,-75.4999999999,-91.8333333334,-25.3333333333,-95.0000000001,-98.6666666665,-59.0000000001,-97.9999999999,-59.4166666667
199.30,-91.2500000001,-185.625,-52.0833333333,-140.833333333,-96.8750000001,-103.958333333,-132.083333333,-48.75,-135.833333333,-140.833333333,-99.7916666666,-133.541666667,-97.0833333333
199.68,-210.476266667,-356.825433333,-137.1428,-266.349133334,-228.253866667,-215.5556,-278.0952,-149.841266667,-298.095066667,-298.412666667,-221.269866667,-271.428466667,-218.8888
200.06,-1366.66666667,-2167.5,-938.333333333,-1710.0,-1555.0,-1458.33333333,-1741.66666667,-1051.66666667,-1848.33333333,-1860.0,-1493.33333333,-1770.0,-1520.83333333
200.44,-214.0,-390.5,-131.333333333,-282.333333333,-264.666666667,-256.0,-297.0,-166.0,-331.0,-296.666666667,-251.333333333,-284.333333333,-265.333333333
200.82,-150.476266666,-280.9523,-90.7141999999,-194.7618,-183.5714,-158.0952,-207.380866667,-113.3334,-216.666666667,-189.7618,-157.142933333,-194.999866667,-177.7383
201.19,-91.6668,-164.015066667,-45.3029333333,-115.454533333,-103.788066667,-91.3636,-115.303,-67.5758666668,-127.575733333,-109.090933333,-79.2424666667,-115.4546,-101.5152
201.57,-93.1577999999,-185.350933333,-38.0701333334,-124.736933333,-107.8948,-100.877066667,-129.1226,-67.0175999999,-137.7194,-121.4036,-80.3508666667,-138.245733333,-113.508766667
201.95,-216.969733333,-378.6365,-122.4242,-270.303066667,-235.151533333,-253.030266667,-258.787866667,-182.4242,-302.4242,-263.333333333,-197.8788,-273.636266667,-257.727266667
202.33,-246.0,-376.833333333,-108.333333333,-263.333333334,-246.0,-242.0,-252.0,-183.0,-327.666666667,-254.666666666,-195.0,-272.666666667,-247.0
202.71,770.833333333,1067.5,402.5,786.666666666,760.000000001,687.5,720.833333333,589.166666667,966.666666666,759.999999999,593.333333333,762.5,700.416666667
203.09,253.3334,328.709633333,155.2688,259.569733333,256.559133333,222.1506,230.3226,205.5914,302.795733333,251.1828,200.8602,249.892466667,235.698766667
203.47,237.222133333,295.648233333,150.185066667,238.8888,241.2962,210.7406,224.2594,187.037066667,275.1852,236.4814,187.5926,231.481466667,218.426033334
203.85,211.6278,255.7364,134.728666667,213.178466667,202.1706,184.341133333,186.976733333,155.193933334,227.286866667,195.6588,159.379933333,200.465,182.7131
204.22,227.544,275.175433333,132.631533333,222.6316,205.614133333,187.719266667,195.614133333,160.8772,239.8246,191.403533333,161.9298,207.543866667,185.613933333
204.60,158.256333333,187.333266667,104.102533333,154.974533333,144.820533333,136.307666667,135.076933333,116.615266667,165.641,139.897533333,126.871666667,147.487266667,133.7949
204.98,137.6068,168.076966667,97.3504666667,137.863266667,134.444533333,132.564066667,124.786333333,109.829,147.5212,132.564066667,121.453,133.1624,123.5471
205.36,123.895133333,152.6217,92.5842000001,125.168533333,124.194866667,122.322,117.8278,100.1498,134.232266667,125.692866667,111.7602,121.498133333,114.756566667
205.74,109.1744,127.431233333,81.1621333333,108.5016,107.828733333,104.097866666,100.183533333,86.7891333334,114.984666667,110.7034,98.5319999999,104.281333333,99.9694000001
206.12,102.452733333,121.981166667,77.9874666667,103.0188,100.0,95.4088000001,93.8363999999,79.1194,107.7358,105.8492,93.3962666666,103.2076,94.9058
206.50,96.3532666666,117.749366667,76.5241333333,97.9487333333,96.4673333333,95.4416666667,93.2193333332,76.1252666667,100.911666667,103.8746,87.7492,101.4246,94.9858
206.87,110.356,135.113366667,91.9740666666,118.7054,115.922333333,116.181133333,113.7864,89.3850666667,120.323666667,119.417533333,106.342933333,123.4952,113.495033333
207.25,111.307266666,137.091566667,98.8234,116.536066667,118.823533333,120.784333333,119.934666667,88.7581999999,121.437933333,121.307266667,109.150266667,126.601333333,118.366033333
207.63,107.333333333,136.074,90.3704666666,109.481466667,116.148133333,116.2962,115.5556,84.8888666666,119.703733333,117.1112,102.148133333,124.0,115.6666
208.01,100.549133333,138.353,92.0784666667,108.941266667,123.1372,122.745133333,122.117666667,85.4117999999,126.195933333,121.254933333,103.058666667,127.215733333,120.6668
208.39,93.7179333335,125.576866667,87.6922666666,98.3332666666,112.948733333,112.051266667,109.935933333,81.1539333333,113.461533333,112.243466667,98.6537333333,114.5512,113.2052
208.77,81.8971333333,102.736966667,77.8319333333,85.0406,98.645,93.3874666667,98.5907333333,73.1166666667,99.2954666665,96.3143333333,84.1192,96.9105999999,96.8562999999
209.14,72.6368,89.1045666667,68.3083333333,72.985,83.8308666667,80.0996000001,86.8656666666,61.9404,87.6119333333,84.4279333333,71.9900666667,82.4378666667,82.8359333333
209.52,77.2931333333,90.5764666667,68.4712,71.7292666667,86.1153333333,81.8546000001,89.7745333332,62.7569333333,91.5288666667,83.8094000001,75.2382666666,82.4058666667,85.5638000001
209.90,89.495,110.909166667,77.7778,81.8855333333,101.279466667,95.2862666668,111.380666667,72.3906,107.0034,100.808133333,88.8889333334,98.2492000001,101.9528
210.28,100.4444,124.777833334,82.9629333335,91.7037333332,114.518533333,105.1852,128.370266667,82.5926,120.074133333,112.962933333,101.555533333,107.925933333,115.222233333
210.66,90.1753333333,118.5263,77.6841333333,84.9121333332,100.350866667,93.2632666665,118.736866667,76.3508666667,113.473666667,101.8948,92.6316666667,96.7719333332,107.578933333
211.03,75.0162666667,103.9482,66.0194666667,68.2848,80.9062666667,79.0290000001,103.365733333,64.9838666667,97.0872666667,89.9030666667,79.1585999999,82.3948000001,93.0744666666
211.41,72.9486666666,101.089566667,60.7051333333,66.4742,76.3461999999,76.6024666667,101.153866667,68.5256666667,96.9230666666,86.6025999999,76.5384,79.2949333333,86.5706333333
211.79,84.0924666667,112.2113,72.1452,76.1056666667,87.1947333333,85.4126666667,111.8812,80.1319999999,108.382866667,95.1815333333,88.1847999999,88.6469333334,97.2937999999
212.17,88.2352666666,114.9021,75.5556,75.2287333333,86.3398666667,84.3137333332,110.1306,84.9673333333,108.300666667,94.3138000002,92.2221333333,89.085,97.3855666667
212.55,82.4638666667,113.768133333,72.8986000001,72.0289333333,85.1448666666,78.6955333333,112.681066667,85.5797333333,107.174,90.1449333333,89.0579333334,87.1738666666,92.5362666666
212.92,93.6150666666,142.817,80.6573333333,81.9718666666,98.9671333334,93.2395333334,130.5164,98.4038666666,127.511733333,105.821533333,103.7558,102.910866667,107.324033333
213.30,116.913666667,175.864166667,93.7036666667,97.2838000001,118.8888,104.814733333,151.604866667,114.321066667,156.4198,124.197533333,127.407466666,127.530933333,130.3703
213.68,118.214266667,174.642866667,104.1666,105.238066667,124.6428,108.928533333,151.190466667,123.690533333,160.357133333,133.690466667,134.2858,140.238,135.6548
214.06,110.666666667,146.196166667,100.705666667,100.6274,116.078466667,103.7646,127.607933333,109.8824,135.1372,115.6862,116.627466667,119.215733333,120.235366667
214.44,96.2092,123.856133333,90.4574666666,88.0391333334,104.902066667,91.3071999999,111.045666667,97.4510666667,115.032533333,101.111133333,98.3660666667,104.5752,103.758166667
214.81,92.6399999999,110.64,87.8933333334,86.4533333334,100.96,90.5599999999,104.266666667,95.2,106.133333333,96.9066666668,95.9466666666,102.133333333,97.6800000001
215.19,99.4872000001,117.834833333,92.9344,90.3703333333,108.546933333,95.3275999999,110.2564,101.880333333,112.478466667,105.014266667,100.341933333,106.7806,104.1025
215.57,108.596533333,125.555733334,99.9999333333,97.4269999999,118.128533333,105.614066667,118.011733333,107.7778,118.5964,113.333133333,109.2982,113.041,111.842166667
215.95,98.9584,111.6406,92.2918000001,91.7708666666,109.0626,101.562466667,106.3542,96.0937333334,106.198,107.3958,99.2710000001,107.9168,100.2865
216.32,97.1428666667,105.619033333,87.3333333333,91.5714666665,101.952333333,98.3809333334,101.5714,92.3809999999,98.3332666667,103.904866667,95.8571999999,103.4762,97.2618666666
216.70,105.621866667,113.482633333,96.3682000001,102.139266667,110.6966,109.402866667,108.656733333,99.2537333335,107.214,114.4278,104.1294,111.0944,108.184133333
217.08,105.876533333,111.432066667,96.2962666666,101.0864,110.4692,109.037066667,107.8518,97.8765999999,105.086533333,114.864266667,104.395133333,109.8766,107.678966667
217.46,103.221466667,108.1433,96.3758666666,101.029133333,110.1118,110.3356,108.187933333,97.9418666667,105.861266667,114.049266667,102.7742,109.798733333,107.270666667
217.83,101.1478,103.465833333,92.6711333333,99.6910666668,107.549666667,104.768266667,104.6358,95.8498000001,101.236133333,109.978133333,99.4702,104.679933333,103.2672
218.21,94.7142,96.9999666667,86.6190666667,91.9047333333,99.0950666666,100.4284,98.6666666666,91.0951999999,97.5236666667,107.428533333,92.0951999999,100.238,94.1192666666
218.59,95.6189999999,97.9048666667,87.2857333334,89.3810666666,96.8570666665,100.380866667,97.8571999999,87.8570666667,100.142866667,106.666666667,93.5713333334,100.238066667,95.5237999999
218.97,114.828666667,119.968633334,102.741466667,104.049733333,116.199466667,121.557733333,113.271066667,103.863,120.0624,128.785,112.585733333,119.376933333,113.3022
219.34,125.7046,129.1064,107.628933333,110.721666667,127.1478,129.1408,122.199333333,111.615133333,126.048,136.8384,120.962133334,131.7526,122.543066667
219.72,123.414666667,128.3335,102.520266667,104.878,124.634266667,123.414733333,117.561066667,106.260266667,125.2846,137.967533333,118.455133333,132.357733333,119.9594
220.10,127.037,140.509233333,106.4814,106.851933333,128.148133333,124.907333333,126.111,113.3334,134.722133333,143.703733333,127.962866667,135.277866667,126.388766667
220.47,127.103866667,143.715866667,103.278733333,95.9560666668,132.568466667,122.841666667,131.4754,110.054733333,140.9836,147.8688,123.6066,136.502666667,126.393533333
220.85,154.583333333,168.680566667,116.388866667,105.972133333,156.111,138.75,154.444466667,124.305533333,171.388933333,175.0,142.361133333,165.138866667,145.2778
221.23,207.2382,222.5714,151.4286,139.047733333,198.8572,180.7618,205.523733334,167.8094,220.761933333,238.0952,190.8572,220.761933333,197.3333
221.61,316.4912,332.631566667,195.4386,178.596533333,290.5262,245.964733333,299.649066667,243.508733333,327.3684,357.543866667,276.842133333,316.491066667,281.227866667
221.98,1653.3334,1658.889,904.444266665,637.777866667,1439.99993334,1244.44433333,1513.3334,1042.22213333,1728.8888,1886.66666667,1473.33333333,1624.44446667,1443.33323333
222.36,-533.333333334,-537.916666667,-249.166666667,-171.666666666,-494.166666667,-360.0,-483.333333333,-280.833333333,-528.333333333,-606.666666667,-473.333333334,-521.666666667,-470.416666667
222.74,-186.6666,-184.386,-65.2631333334,-69.1228666666,-171.228,-114.385933333,-168.070133333,-88.4211333333,-164.561533333,-206.6668,-157.192866667,-174.736866667,-144.561466667
223.11,-914.999999999,-908.333333334,-325.0,-393.333333333,-869.999999999,-546.666666667,-910.0,-440.0,-773.333333334,-1020.0,-720.000000001,-878.333333333,-676.666666667
223.49,383.0302,384.545366667,186.060666667,209.697,334.545533333,283.6364,371.5152,196.363466667,388.484866667,428.484933333,325.454533334,341.8182,282.1213
223.87,177.777733333,178.765466667,120.0,115.555533333,163.4568,142.2222,160.2468,108.642133333,172.592533333,192.345733333,156.296266667,156.296333333,151.4814
224.24,183.571333333,170.357266667,121.904733333,113.0952,161.190533333,150.0,162.142866667,115.476133333,166.666733333,196.904733333,154.285666667,162.857,162.261933333
224.62,247.0,231.666666667,180.666666667,178.0,223.333333333,206.666666667,208.333333333,158.666666666,219.0,279.333333333,223.333333333,240.333333333,231.166666667
225.00,257.7778,254.259233333,193.3334,191.851866667,225.1852,215.185133334,239.2592,182.962866667,221.851866667,301.481533333,245.925933333,254.8148,234.6296
225.38,444.0,516.666666667,369.333333333,398.666666667,423.333333333,384.666666666,427.333333333,372.666666667,417.333333333,520.0,425.333333334,484.0,423.333333333
225.75,480.740733333,581.851866667,465.1852,489.629666667,508.148266667,437.7778,472.5926,443.7036,446.666666667,639.2592,504.4444,572.592533333,511.481566667
226.13,875.999999999,1112.0,836.000000001,1002.66666667,942.666666668,893.333333333,902.666666667,924.0,849.333333333,1176.0,929.333333334,1113.33333333,961.999999999
226.51,1196.66666667,1427.5,1165.0,1368.33333333,1248.33333333,1288.33333333,1231.66666667,1316.66666667,1166.66666667,1480.0,1336.66666667,1481.66666667,1328.33333333
226.88,2130.0,2658.33333333,2180.0,2540.0,2326.66666667,2296.66666666,2216.66666667,2566.66666667,2170.0,2720.0,2393.33333333,2690.0,2328.33333333
227.26,-428.333333333,-503.75,-412.5,-535.833333333,-444.166666667,-472.5,-456.666666667,-534.166666666,-460.833333333,-571.666666667,-455.833333334,-548.333333333,-461.25
227.64,-164.285666667,-192.619133333,-162.381,-243.809466667,-209.0476,-199.523866667,-169.047666667,-245.714266667,-151.428533333,-234.2858,-172.381066666,-260.9524,-195.9523
228.01,-117.222133333,-127.5,-86.1111333333,-163.333466667,-137.5,-134.166666667,-117.777666667,-163.0556,-103.611133333,-148.889,-107.222266667,-173.611066667,-116.111133333
228.39,-25.4320666667,-35.2468333333,-14.3209333333,-50.6172,-40.2468666667,-34.8146,-24.9382,-45.6790666667,-28.0248,-39.2592,-24.1974666667,-50.6172666667,-23.642
228.76,-12.1296,-20.7406333333,-6.20366666666,-31.1112,-19.9074,-20.9258666667,-14.0742,-27.7778,-15.4628666667,-20.1852,-11.3888666667,-32.7777333333,-12.5463333333
229.14,-4.5946,-17.7928666667,-3.96399999999,-24.3244,-18.8288666667,-20.7208,-8.2884,-23.3332666667,-9.45933333333,-13.1530666667,-4.77473333333,-25.4954,-7.52270000002
229.52,-16.3217333333,-22.8161333333,-6.89653333334,-30.5745333333,-33.678,-35.2874,-20.4598,-32.8736,-22.8736666667,-24.0228,-15.2873333333,-33.6782666667,-19.0230666667
229.89,-19.8742666667,-29.3081333333,-1.63519999999,-25.7860666667,-32.2011333333,-41.2577333333,-26.5409333333,-31.9496,-20.5031333333,-14.088,-13.8365333333,-30.9434666667,-17.7358
230.27,-5.77773333334,-20.1667666667,11.3333333333,-7.2222,-19.4444666667,-20.5555333333,-13.0,-16.7778666667,-10.3333333333,-1.88886666667,3.66673333333,-17.5554666667,-4.66666666667
230.65,18.3808666667,-0.285633333354,31.2381333333,12.3809333333,3.90473333335,5.23826666667,9.42866666666,3.23806666667,5.90480000001,15.9046666667,26.2856666667,4.0,13.2856333333
231.02,18.3098,-0.28173333332,29.4834666667,13.1454,1.69013333333,3.66206666666,4.60093333335,0.187666666653,2.44126666666,12.3944,19.8122,1.59633333333,6.33789999998
231.40,19.6747333333,-0.04076666668,24.4715333333,14.6341333333,-0.243999999987,8.13013333335,6.74793333333,0.487799999993,3.90240000002,15.7724666667,14.5528666667,5.36573333333,9.5122
231.78,16.0991333333,-4.00706666667,19.7163333333,9.6454,-0.354599999987,7.30506666667,0.212800000006,-0.922133333332,-3.75886666667,14.1844,10.7801333333,0.992933333326,3.97180000001
232.15,28.479,9.70869999999,28.2200666666,19.2232666667,14.1748,18.9643333334,8.80260000001,12.1036,7.18459999999,22.0712,18.5114,12.5566666667,12.5891
232.53,22.9436666667,-3.16023333334,23.1168666667,10.0433333333,6.32033333334,12.8138,-0.865733333334,3.0304,-3.46326666667,14.4589333333,14.1126666667,5.8874,4.37236666667
232.90,28.7254,0.588233333342,30.0981333333,17.0587333334,7.05886666667,16.9606666667,-1.07833333335,7.35306666666,-4.41179999998,17.353,16.7647333333,16.2745333333,6.81383333332
233.28,29.6397333333,12.3423,31.982,18.5585333333,11.982,21.2613333333,5.76559999999,9.90993333333,-3.06300000001,17.0270666667,18.9188666667,18.6486,11.9820333333
233.66,32.181,20.0411333333,34.4856,20.3292666667,20.0000666667,23.3744,9.87633333333,16.0493333334,3.37453333333,19.8353333333,24.1151333333,22.2222,21.8518
234.03,28.8421333333,21.8595333333,32.0701333333,19.6490666667,20.4912666667,21.8947333333,12.6315333333,18.3858666666,6.38586666665,18.5965333334,25.5438,20.9824,22.1052
234.41,27.3993333333,23.2601333333,28.6448,17.1428,21.6116666667,20.5128666667,9.6704,20.4395333333,5.64093333332,18.5347333333,22.6374666667,20.5128,20.0001666667
234.78,-3.54426666667,-6.4135,-3.54433333333,-8.52313333333,-8.94499999998,-8.86066666667,-24.3038,-6.41360000001,-24.0506,-9.45139999998,-8.01680000001,-7.25719999999,-14.1350333333
235.16,-1.97793333333,-2.01456666667,0.439400000014,-2.19786666666,-2.85720000001,-3.58966666667,-12.8204666667,1.17226666667,-14.5054666667,-6.44693333333,-3.58966666667,-2.63733333333,-8.2052
235.54,-13.0464666667,-13.8351666667,-10.7528,-14.2653333333,-11.828,-16.2723333333,-24.8746,-10.251,-26.9534666667,-19.5698,-16.0574,-16.7024,-21.8638666667
235.91,-11.6127333333,-10.2509,-11.9714,-14.5518666667,-9.46233333332,-13.3334,-24.1575333333,-8.38720000001,-25.2330666667,-21.2903333334,-15.7705333333,-12.688,-17.9927333333
236.29,-12.5926666667,-14.0741333333,-11.7846666667,-12.9966,-11.5152666667,-11.1111333333,-19.3938666667,-7.47466666666,-24.7137333333,-19.9325333333,-14.8148,-11.1784,-15.5556
236.66,-5.53453333333,-4.81133333333,-3.27040000001,-7.10693333332,-4.2138,-6.10039999999,-13.7736,-1.06926666667,-14.2766,-10.8804666667,-9.49686666667,-8.49053333333,-9.27653333334
237.04,-10.7333333333,-8.46666666668,-3.33333333333,-11.1333333333,-8.66666666666,-15.7333333333,-15.4,-8.0,-21.9333333333,-15.4666666667,-12.2666666667,-12.3333333333,-11.6666666667
237.41,-15.6989333333,-15.2328666667,-4.22946666667,-15.8424,-10.9678,-23.6558666667,-21.5769333333,-11.1110666667,-27.3835333333,-19.7133333333,-17.4194,-19.3550666667,-17.0609333333
237.79,0.18346666668,-1.07040000001,8.68513333334,-0.733866666665,3.66973333335,-8.1958,-2.01826666668,4.58713333333,-8.99086666667,0.305866666672,-0.366933333341,-2.32413333333,-2.72180000001
238.17,-8.46446666664,-11.985,-2.02246666667,-11.161,-8.23986666665,-18.8014,-10.1872,-10.4868666667,-27.7902666667,-11.3108666667,-10.6367333333,-13.4082,-15.3557333333
238.54,-6.0132,-13.9215666667,-0.914999999998,-10.0652,-8.16999999998,-14.183,-8.36593333335,-11.438,-22.0261333333,-11.2418,-5.42486666669,-10.915,-11.3401
