wavelength,Back_LopGrif,Belly_LopGrif,Breast_LopGrif,Crissum_LopGrif,Crown_LopGrif,DorTail_LopGrif,Patch10_LopGrif,Rump_LopGrif,Throat_LopGrif,WingTip_LopGrif
186.77,-10.5797333334,10.7246666667,47.971,-35.5072,-37.6811333333,68.9856666666,29.1305333333,-1.59413333327,-63.0434666666,-4.78266666674
187.15,-11.4284666667,15.2381333333,42.0407999999,-31.2925333333,-37.8230666667,67.6189333333,40.3401666667,1.22446666659,-54.9660000001,-2.72113333326
187.53,-12.6666666667,20.0000000001,30.6666666667,-20.8,-35.7333333333,66.6666666666,43.6666666667,5.06666666661,-51.6000000001,-10.5333333334
187.91,9.4048,35.8334000001,39.0475999999,2.8572,-11.9048,71.6665999999,56.3094333333,21.7856666667,-22.5001333333,2.14286666666
188.29,5.47619999999,43.3333333334,45.5951999999,6.4286,-9.16666666667,72.4999333333,60.7142666667,25.4760666667,-14.881,6.54780000007
188.67,-1.49426666667,40.5748000001,42.8736000001,2.64373333334,-12.2988,66.4368000001,52.8736,22.1838666666,-18.6207333333,3.21846666674
189.05,-4.47773333334,38.8059999999,39.7015333333,1.393,-9.7512,55.2238666666,46.3682,20.5970666667,-9.75119999999,0.895399999974
189.43,-1.80180000001,39.9098666665,44.0538666667,5.946,-5.94600000001,53.0630666666,46.5315333333,26.3063333333,0.360400000006,1.71173333334
189.81,-4.89453333334,30.2111333333,34.5148666667,5.40080000002,-11.6455333333,44.6414000001,44.3881,25.9072666666,-2.02533333333,2.3628
190.19,-10.0484,33.4299333333,39.4204,12.0773333333,-22.8986,47.4395999999,52.4638666667,28.3091333333,-2.9952,-0.28973333332
190.57,-2.25640000002,44.7179333332,53.7435333333,25.9486,-15.0769333333,57.0256000001,67.1794666667,39.3846,10.7692666667,10.2564666667
190.95,-27.0512,37.0512,63.9743333333,21.4102,-28.8461333334,54.4871999999,72.5001,36.6666666667,1.66680000001,-2.43586666668
191.33,-20.729,33.5418666667,63.4376,23.5418666667,-18.9580666667,52.7083999999,63.3334666667,36.2502666667,6.87513333334,1.45853333332
191.71,-12.2807333333,30.965,60.6140000001,26.4912666667,-9.64913333333,50.3509999999,59.1227999999,39.9122666667,15.6140666667,10.2632
192.09,-18.1578666667,29.7368,58.3332666667,24.8245333333,-14.7367333333,46.7543333333,55.1753999999,36.0527333333,9.56133333334,5.614
192.47,-7.24293333335,35.3086,62.2222000001,32.0164666667,-6.41973333332,52.5925999999,57.1604333334,40.1646,13.7448,6.41973333333
192.85,-10.9523333334,30.3174666667,55.2382666666,30.2381333333,-9.12700000001,48.3332000001,54.4444,35.0000666667,10.6349333333,-3.25393333333
193.23,-4.99993333333,33.2456666667,63.9474,35.0876666667,-5.17553333333,60.3508666667,65.9211000001,41.4035333333,12.0175333333,-0.526333333347
193.61,3.42593333333,40.0,72.1295999999,42.4074666667,5.55553333333,70.6481333335,78.8888000001,48.1482,19.5370666667,2.12973333332
193.99,16.5811333334,52.1367999999,82.3076666667,51.4531333333,22.9914666667,76.3247999999,85.3845333334,61.0257333333,37.8632,9.91466666666
194.37,17.5556,58.0,97.6666666666,45.1111333333,28.2222666667,90.7777333333,99.9999666667,70.2222666667,48.0000666667,3.4444
194.75,20.0000666667,56.3841333334,92.0902,39.7740666667,25.8757333333,94.9152666667,104.350366667,69.2657333333,46.1016,4.97186666664
195.13,34.1539333333,61.8460666667,84.9230000001,46.2564666667,30.2563333333,102.0514,102.410333333,74.3589333334,52.9230666667,14.359
195.51,25.5556,53.9506000001,80.7407999999,39.0122666666,20.3704,102.4692,100.987566667,72.2221999999,51.2346666667,-0.740800000006
195.89,24.2623333333,46.8851999999,71.3659333333,32.8961333333,17.8142,88.5246666668,91.2568333333,58.5791999999,48.6338,-0.65566666668
196.27,12.7272666667,37.1717999999,58.3838666667,20.9091333333,12.5252666667,76.1616666666,81.6667333334,47.6768,43.8384,-8.08073333332
196.65,5.09786666666,31.6666666667,53.2351333334,17.157,9.01960000001,66.1764666665,81.0784333335,47.7449999999,40.7841333334,-10.2941333333
197.03,2.99993333334,34.8889333334,59.6666666667,20.1110666667,7.44453333334,67.4444000001,92.6667,57.5555333333,46.1112,-14.3333333333
197.40,-10.9942666667,27.1344666667,50.6432000001,16.2573333333,-9.35659999994,55.3215333334,84.4444666666,50.8771333333,40.3509333333,-30.2924666666
197.78,-11.6363333333,35.3937999999,59.1514666666,20.4848666667,-11.7576666667,53.4545333334,90.2424333333,58.1818666667,49.2120666666,-31.0304
198.16,-24.8227333333,42.4112666666,65.1063333334,27.3758666666,-21.9858666667,60.0000666667,104.467966667,58.2978666666,53.4750666667,-41.7022666667
198.54,-17.9486,28.2051333334,38.1197333333,23.2478666667,-13.6750666667,34.3589333333,63.5042333333,37.0084,34.9572666667,-27.6923333333
198.92,-21.7256,25.4119333333,34.9020666667,20.8628,-12.7844,26.9019333333,52.6665666667,34.1175333333,32.4706,-33.7256
199.30,-27.8786666667,18.2575333333,34.3182,19.9243333333,-12.3485333333,18.7122,44.8864,30.606,26.1363333333,-35.1514666667
199.68,-34.1125333333,16.6234,32.2944,23.5496666667,-15.5843333333,17.8355333334,46.3203333333,34.1992666667,26.7532666667,-44.5887333333
200.06,-36.5788666667,17.8947333334,33.2456,23.0701333333,-12.1929333333,18.6842666667,45.5262666667,35.5263333333,24.7369333333,-45.5262666667
200.44,-25.5143333333,18.9300666667,32.8395333333,29.0534,-8.14813333334,17.9423333333,45.6790666667,42.5514666667,26.996,-37.6132
200.82,-27.6444666666,16.7110666667,30.1333333333,31.4666,-8.26666666666,18.9334,41.4666666667,39.2888666667,28.1777333333,-43.6445333333
201.19,-25.5286,13.0080666667,25.6910666667,28.0487333333,-8.29273333332,19.5934666667,33.5772333333,30.569,24.7966,-39.1869333333
201.57,-31.8516666666,8.80646666668,20.9053333333,23.7037333333,-8.39513333332,18.107,27.1603666667,27.2427333334,22.4692,-36.4608666667
201.95,-44.4999999999,-8.91666666666,0.58333333332,11.3333333333,-22.9166666667,5.5,8.25000000002,11.1666666667,3.33333333332,-45.9166666667
202.33,-35.9387333333,-6.36013333332,1.6092,14.253,-16.6284666667,6.97320000002,4.98093333333,15.8620666667,2.91180000001,-36.2453333333
202.71,-37.3505333333,-2.13673333332,2.47853333334,19.2308,-14.4444666667,9.4016,9.74363333332,19.1453333333,3.50426666667,-35.0426666667
203.09,-27.8714,5.78313333334,6.10439999998,23.2128666667,-8.19293333332,14.4578666667,12.4498,20.8032,7.71093333333,-22.8113333333
203.47,-18.9742666667,15.6043333334,7.39926666667,21.6117333334,-4.98173333332,21.099,19.121,23.077,13.6995333333,-12.6738666667
203.85,-19.5333333333,15.6,7.26666666666,15.6666666667,-8.2,16.6,16.4,15.5333333333,11.8,-10.5333333333
204.22,-21.9565333333,14.6376666667,4.4204,14.7826,-12.3912666667,13.7680666667,13.1520666667,14.2752666667,9.78260000001,-13.9130666667
204.60,-28.3525333333,8.58246666669,-2.06886666668,9.65513333334,-18.0842666667,7.89279999997,3.86970000001,4.06126666667,4.21460000001,-21.7624
204.98,-29.8850666667,10.2682,-2.83526666667,10.1149333333,-22.1455333333,5.90033333333,3.60156666669,4.21453333333,4.36780000001,-20.9961333333
205.36,-58.3588666667,-1.94873333334,-22.4614666667,-1.12826666668,-48.4101333334,-9.641,-9.89736666666,-8.71793333332,-9.33319999999,-44.0000666667
205.74,-66.6665999999,-6.77079999998,-27.3957333334,-9.27073333336,-55.2083333334,-20.4166,-15.6769666667,-12.2917333333,-15.4167333334,-59.2708666668
206.12,-49.2592,5.64826666666,-12.6851333333,-2.03713333334,-34.9074666667,-12.037,-0.83333333334,2.49999999999,-3.05553333333,-45.5555333333
206.50,-50.6666,7.55566666667,-14.2222666667,-7.02226666664,-32.9777333334,-11.9999333333,-1.60006666667,-0.266733333348,-2.93333333332,-47.0222666667
206.87,-71.1474000001,-9.72680000002,-28.4153333333,-21.7487333333,-53.0054666667,-24.918,-13.3334,-12.0218666667,-8.5246,-70.1640000001
207.25,-102.133333333,-28.4,-47.2000000001,-39.5999999999,-76.5333333333,-45.8666666666,-31.2,-26.9333333333,-24.6666666667,-107.466666666
207.63,-135.121933333,-48.7804666667,-67.3170666665,-51.5447999999,-97.7234666667,-74.4713999999,-51.5447333333,-40.9754666667,-39.187,-150.894333334
208.01,-74.2308666667,-3.97433333334,-24.7435333333,-10.8974,-43.2051333333,-26.282,-12.0512333333,3.84619999999,-0.512866666666,-89.3589999999
208.39,-77.6542666667,-7.90120000001,-23.3333333333,-13.8273333333,-45.0616000001,-26.7902,-16.2963333333,0.740866666653,2.83946666665,-88.8888
208.77,-88.2666666665,-5.20000000001,-15.0666666667,-10.1333333333,-50.4000000001,-26.0,-10.1333333333,7.86666666667,10.8,-90.1333333333
209.14,-102.666666667,-18.8148666667,-29.4814000001,-21.4814000001,-59.8518666665,-35.1112,-19.5554666667,4.14806666668,7.1112,-106.666666667
209.52,-75.7232666667,-12.0754666667,-23.3962666667,-13.4589333333,-40.8803999999,-23.7735333334,-10.8174666667,7.29560000001,10.5661333333,-85.912
209.90,-46.3637333333,-0.404066666674,-9.99999999998,2.42420000001,-23.5352,-7.97986666667,3.78786666664,15.1514,19.5958666667,-54.9495333333
210.28,-67.4853333332,-14.6200666667,-27.9532666666,-7.9532,-49.5906666667,-21.7544,-15.7894666667,-1.9884,12.7485333333,-74.0349333334
210.66,-115.606,-48.7878666665,-65.303,-30.0,-95.7574666668,-54.2423333333,-46.5909333333,-33.1818666667,-6.06066666669,-116.060733333
211.03,-129.268333333,-54.4714666666,-69.9186666667,-35.6096666667,-107.9674,-64.7154,-55.6910666666,-39.1869333333,-10.5691333333,-121.138266667
211.41,-123.491933333,-53.4919999999,-66.6666,-30.4762,-101.745933333,-67.3015999999,-50.7143333333,-36.3491333333,-3.80953333335,-108.889
211.79,-119.224733334,-53.7986666668,-64.4961333332,-25.1162,-104.496133333,-64.9611999999,-51.3952999999,-30.6977333333,-4.8062,-97.8294666669
212.17,-271.466666667,-163.733333333,-176.8,-105.866666667,-245.866666667,-193.866666667,-153.866666667,-120.266666667,-89.8666666667,-236.8
212.55,-180.625,-101.458333333,-114.791666667,-56.875,-168.541666666,-128.958333333,-81.5624999999,-70.4166666667,-46.6666666667,-154.166666667
212.92,-193.333333333,-106.222266667,-135.333333333,-65.1110666666,-171.555533333,-132.666666667,-88.4444666667,-78.4444666667,-60.8888666667,-161.111066667
213.30,-140.666666667,-74.3333333335,-85.8333333333,-44.8333333333,-122.666666667,-95.9999999999,-62.4166666667,-59.3333333333,-43.0,-114.333333333
213.68,-96.9935333332,-43.7908666667,-45.3595333333,-18.8234666667,-77.9085999999,-61.8300666667,-38.7580666667,-32.0261333333,-14.6405333333,-67.3201333335
214.06,-110.6122,-53.6053999999,-50.2040666666,-27.8911333333,-87.0748000001,-65.9864,-47.8911333333,-44.0817333333,-23.2653333333,-75.2381999999
214.44,-96.1727999999,-50.0000666666,-44.8148,-23.4566,-69.7531333334,-52.3457333333,-37.5926666667,-34.1976,-18.3951333333,-64.0742
214.81,-48.3784666667,-19.4596,-15.4956,-4.32433333332,-33.964,-19.2792666667,-5.09006666668,-7.56760000001,1.17113333334,-29.2791333333
215.19,-35.0000666667,-12.857,-8.80953333333,2.22226666666,-22.1428666667,-9.28586666667,0.238099999993,-1.50793333331,5.0794,-20.7142666667
215.57,-22.1015333333,-4.85519999999,-0.869600000008,7.10139999999,-10.0000666667,0.65220000002,9.56519999999,5.94206666667,12.7536,-12.6812666667
215.95,-24.0144,-9.39080000001,-7.02506666667,-3.44080000001,-12.7598666667,-5.44799999999,5.01796666667,-1.36199999999,9.17573333333,-18.5662666667
216.32,-18.6394,-4.96593333334,-3.80953333332,0.476066666666,-9.72793333334,0.204266666672,8.60543333334,2.99320000001,17.483,-12.8572
216.70,-27.9432666666,-12.8369333333,-14.0424666667,-8.79426666666,-19.4326666667,-8.01413333333,-3.12053333333,-4.32626666667,8.36873333334,-22.1276
217.08,-39.7618,-26.9046666667,-26.5081333333,-24.3651333333,-33.4919333333,-20.7143333333,-13.6110666667,-18.3333333333,-2.46033333334,-34.3651333334
217.46,-36.3984,-28.046,-27.2795333333,-25.2107333333,-30.2682666667,-19.1571333333,-15.0957333333,-19.0038666667,-6.51340000001,-32.1837333333
217.83,-57.5846,-47.5362,-45.7004666667,-45.4106,-50.9179333333,-40.8696666667,-29.4203666667,-36.3284666667,-25.0241333333,-54.4926666667
218.21,-71.0,-57.5554666666,-61.3332,-57.6666,-64.1111333333,-57.5554,-40.8333333333,-45.7777333333,-34.4445333334,-64.8888666667
218.59,-84.1210666665,-62.3030666667,-66.9090666667,-67.6364,-74.5453333332,-65.2121333333,-52.1818666667,-58.4242666667,-45.4544,-77.697
218.97,-125.777666667,-98.5185333333,-95.5555333334,-109.777733333,-110.518466667,-107.4074,-91.0369666667,-89.037,-76.8888000001,-118.074
219.34,-167.3684,-129.122866667,-131.578933333,-151.929866667,-149.4736,-145.789466667,-120.6139,-118.2456,-114.2106,-161.052733333
219.72,-205.098066667,-154.117733333,-165.098066667,-189.4118,-187.647066667,-178.823466667,-150.4902,-146.470533333,-149.6078,-199.411866667
220.10,-228.8172,-168.172066667,-180.860266667,-193.3334,-202.7956,-190.537533333,-161.935333333,-158.279666667,-169.892466667,-228.387066667
220.47,-191.111133333,-139.798066667,-149.292866667,-164.8486,-161.616133333,-161.2122,-135.2525,-125.252533333,-142.8284,-192.727333334
220.85,-341.333333333,-252.666666667,-271.0,-297.0,-276.333333333,-288.0,-246.0,-230.666666667,-270.666666667,-345.333333333
221.23,-151.111066667,-98.7035999999,-112.407333333,-120.185133333,-113.5186,-121.111,-99.1666333333,-83.7036666667,-109.259266667,-160.1852
221.61,-226.933333333,-136.8,-170.933333333,-163.733333333,-177.333333333,-181.333333333,-126.4,-114.666666667,-155.733333333,-232.266666667
221.98,-180.208333334,-103.333333333,-136.458333333,-128.75,-150.208333334,-138.541666667,-96.8750000001,-88.7499999999,-117.083333333,-187.083333333
222.36,-128.7806,-67.9675333333,-86.0161999999,-80.8131333334,-102.764266666,-94.1464666665,-51.2193666667,-57.5609333333,-76.4227333333,-129.918666667
222.74,-80.3635333333,-37.8181333333,-50.9090666667,-44.6061333333,-59.5152666667,-65.2122,-16.8486,-27.6364,-36.8486666667,-76.6060666667
223.11,-72.2876,-28.2352,-47.7123333333,-31.1112666667,-51.6340666666,-56.3399333333,-8.56213333336,-19.6078,-29.8038666667,-67.1894
223.49,-39.8121333333,-6.57266666665,-25.3521333333,-10.3286,-25.1644,-34.0845333333,-0.1408,-6.47886666667,-14.4600666667,-34.5541333333
223.87,-45.4358,-10.4614666667,-31.5898666667,-12.8205333333,-31.8975333333,-38.8718,-4.10243333334,-14.2564666667,-20.6154,-33.2308666667
224.24,-38.426,-5.92579999998,-26.7592666667,-11.1110666667,-26.6666666667,-31.5740666666,-0.41666666666,-15.4630666667,-13.2406,-20.463
224.62,-30.2325333333,-0.387600000006,-16.9768,-5.27133333335,-20.5427333333,-19.2248,6.43406666666,-13.721,-9.84493333333,-10.9302666667
225.00,-23.0555333333,5.76373333334,-11.6666,0.000133333346,-13.889,-11.9444666667,13.9930666667,-9.65286666667,-3.47220000001,-2.22213333333
225.38,-31.2458,-3.16493333335,-19.0573333334,-8.21553333333,-22.7609333333,-19.8653333333,6.835,-18.9225333333,-10.8418666667,-5.92579999999
225.75,-35.4088,-8.55339999999,-23.8365333333,-15.849,-26.1634,-23.8364666667,-0.283066666672,-24.3397333333,-15.0944,-9.49673333334
226.13,-36.6365333333,-9.54940000001,-29.4894666667,-17.5376666667,-27.027,-26.066,-3.24316666667,-29.1892,-18.9188666667,-11.2313333333
226.51,-25.2712666667,-5.8398,-25.9948,-14.522,-20.9819333333,-20.2582666667,-1.91213333334,-24.7028666667,-14.5736666667,-7.49346666668
226.88,-21.2121333333,-5.45466666667,-24.6621333333,-14.1257333333,-19.4872666667,-15.9906666667,-1.21206666667,-23.5898666667,-14.4522,-8.951
227.26,-21.9231333334,-8.24793333333,-26.0684,-16.3675333333,-20.9402,-17.8632,-1.1326,-24.7862666667,-15.3845333333,-11.4103333333
227.64,-20.6027333333,-9.75533333332,-23.8419333333,-14.6516666667,-19.1336666667,-15.5932666667,0.922699999999,-23.4274666667,-13.7476666667,-9.60446666667
228.01,-21.4404666667,-11.1556666667,-24.7907333333,-15.7454,-19.8326,-15.6115333333,-0.820700000001,-23.5846,-14.5729333333,-11.5579333333
228.39,-14.1026666667,-6.49566666666,-16.9514666667,-9.85759999999,-13.8460666667,-9.0598,3.9887,-16.9514666667,-8.94593333334,-7.46440000001
228.76,-12.8906,-7.52613333334,-16.1978666667,-10.1302666667,-12.9688,-8.59366666667,3.90623333333,-15.9633333333,-8.67180000001,-8.09893333333
229.14,-6.55733333333,-2.601,-9.02733333333,-4.54633333333,-7.388,-2.5792,7.66133333333,-8.67753333333,-3.36613333333,-3.49706666667
229.52,-3.5318,0.535599999999,-5.67473333333,-2.67866666667,-3.96826666667,-0.754,9.60309999998,-5.61506666666,-1.15086666667,-1.34933333333
229.89,-1.34093333333,1.7564,-4.11706666667,-1.22753333333,-2.134,0.245466666666,10.2549,-4.30586666667,0.302133333335,-0.7744
230.27,2.90086666667,5.94593333333,1.009,2.64846666667,2.1802,5.22526666667,14.0631,0.954933333334,4.59446666667,3.6756
230.65,1.31213333333,6.24106666667,0.691466666667,2.30493333333,2.2164,5.65606666667,13.9805,0.727,3.70573333333,3.13833333333
231.02,-1.74006666667,4.011,-1.5202,0.403000000002,-1.0258,3.42493333333,12.6007666667,-1.22713333333,0.769133333334,1.53833333333
231.40,-5.6658,1.43533333333,-5.04246666667,-2.5118,-4.85360000001,0.812066666667,9.1407,-4.57033333333,-3.5882,-1.73746666667
231.78,-9.09286666667,-0.734,-7.52293333333,-5.52493333333,-8.33833333335,-1.40666666667,7.76763333332,-7.01326666667,-6.82966666667,-5.66773333333
232.15,-8.99673333333,-1.07873333333,-6.27833333333,-4.7034,-8.37099999999,-0.582466666667,9.9892,-5.93306666667,-6.17033333333,-5.88986666667
232.53,-13.2206,-3.58113333333,-8.98646666667,-6.62173333334,-10.4278,-3.24326666667,7.73656666667,-6.62173333333,-9.16673333333,-7.56753333333
232.90,-12.3648666667,-2.56766666667,-8.37833333334,-4.48213333333,-9.32420000001,-2.1622,9.33556666666,-4.5946,-8.1982,-6.2388
233.28,-13.7716,-3.43713333333,-10.5190666667,-4.19846666667,-10.9110666667,-4.79813333334,7.73933333334,-6.3898,-9.68860000001,-7.40473333334
233.66,-13.3800666666,-3.57893333333,-10.8303333333,-2.5964,-11.3449333333,-3.97653333334,8.0469,-6.54973333333,-10.0819333333,-7.50886666668
234.03,-10.6754,0.108866666666,-6.68860000001,1.0458,-7.62526666666,-0.718866666668,11.8845333333,-3.68186666667,-6.7538,-3.24626666666
234.41,-12.2963333333,-1.26986666667,-7.51320000001,-0.105799999998,-9.10053333334,-3.04753333333,10.6455333333,-6.22233333333,-8.52913333333,-4.127
234.78,-13.4616,-3.2692,-8.0982,-1.28213333333,-11.1538666667,-4.188,9.72230000001,-7.20079999999,-9.18813333334,-4.93606666666
235.16,-11.7729333333,-2.63426666667,-7.17326666666,-1.03353333333,-9.66566666666,-4.05273333333,9.76690000001,-6.34246666666,-7.92293333333,-4.27573333334
235.54,-8.4902,-0.379933333334,-4.6344,1.57653333333,-5.96393333334,-2.24126666667,12.1463,-3.8556,-3.8936,-1.8804
235.91,-5.67766666667,1.17213333333,-2.6924,2.1246,-4.01100000001,-1.09886666667,12.6833333333,-2.17953333333,-1.7766,0.476199999999
236.29,-3.8804,3.1966,-0.974333333333,3.07686666667,-2.47866666667,-0.051266666668,12.5812666667,-0.358866666665,-0.0853333333321,2.87173333333
236.66,-2.3284,4.03673333333,-0.837533333333,2.91446666667,-2.7972,0.335133333334,12.6214333333,-0.703599999998,-0.217666666666,3.43393333333
237.04,-3.00753333333,4.37773333333,-0.868933333333,1.838,-3.14113333333,-0.334066666666,11.9215666667,-1.55386666667,-0.818866666665,3.12446666667
237.41,-4.35893333333,3.33333333333,-1.33333333334,-0.256333333334,-4.47846666667,-0.8376,11.0855666667,-2.547,-1.7264,2.76933333333
237.79,-5.231,2.4588,-2.31013333333,-2.2112,-5.24753333333,-1.66666666667,9.24896666667,-3.59706666667,-2.0956,1.9802
238.17,-5.69113333333,0.813000000001,-3.78853333333,-3.4472,-6.3252,-2.56913333333,8.31719999999,-3.85366666667,-2.5366,1.2034
238.54,-4.94233333333,0.831333333332,-3.78753333333,-3.32566666667,-4.71133333333,-1.9246,7.89063333333,-2.679,-1.58586666667,0.954533333334
238.92,-3.47573333333,1.75213333333,-2.82046666666,-2.16526666667,-3.09113333333,-1.1254,9.23793333334,-1.11113333333,-0.4416,2.3648
239.29,-1.57486666667,3.7664,-0.288733333333,-0.419866666667,-0.892266666666,1.46973333333,11.0760666667,1.52233333333,2.4408,4.38306666667
239.67,0.142666666665,5.003,2.0202,1.2596,0.808133333333,4.04046666667,12.5014333333,3.12546666667,3.8026,5.82300000001
240.04,0.231000000001,5.36486666667,2.2046,2.64566666667,1.30186666667,5.07086666667,12.9028666667,3.29653333333,4.41993333333,5.9212
240.42,0.786866666665,4.94793333333,2.01713333333,2.91266666667,1.6916,5.45453333333,13.0618666667,3.2746,4.10666666667,5.60846666666
240.79,0.907333333333,4.62326666667,2.20906666667,2.9744,2.1932,6.2328,13.357,3.6766,4.61533333333,5.6804
241.17,0.215066666666,3.11493333333,1.13773333333,1.6996,1.16546666667,5.4596,12.3311,2.78886666667,3.5448,4.65493333333
241.54,0.497733333333,2.67906666667,1.01373333333,1.5606,1.18566666667,5.3454,12.0614666667,2.556,3.404,4.19046666667
241.92,1.55426666667,3.88,2.4036,2.95326666667,2.28706666667,6.38373333333,13.6332333333,3.78,4.30193333333,5.1512
242.29,1.70873333333,4.1444,2.6696,3.31553333333,2.26293333333,6.575,13.7375333333,3.8748,4.2816,5.2582
242.67,1.74853333333,4.12333333333,2.68293333334,3.31873333333,2.00386666667,6.71486666667,14.0148,3.89206666667,4.2872,5.42866666667
243.05,2.12013333333,4.5744,3.09446666667,3.78106666667,2.36133333333,7.16773333333,14.3285333333,4.11033333333,4.59293333333,5.68326666667
243.42,2.92613333333,5.33686666667,3.93033333333,4.77613333333,3.11613333333,8.0144,15.2351,4.645,5.10186666667,6.5762
243.80,3.4532,6.04966666667,4.42073333333,5.32166666667,3.4666,8.2556,15.9409666667,5.3884,5.66353333333,7.28806666667
244.17,4.00773333333,6.81906666667,4.87806666667,5.80933333333,3.98166666667,8.73386666667,16.5142333333,5.95286666667,6.1706,8.02433333333
244.55,3.74346666667,6.74006666667,4.84026666667,5.6606,3.92053333333,8.7694,16.7033333333,5.80746666667,6.10533333333,8.0354
244.92,3.48846666667,6.31486666667,4.5106,5.33833333333,3.58786666667,8.09426666667,16.7370333333,5.50793333333,5.68586666667,7.63486666667
245.30,3.79233333333,6.7522,4.81133333333,5.8072,3.83506666667,8.30806666667,17.3239333333,5.79146666667,6.0754,8.0318
245.67,3.74573333333,6.77753333333,4.73493333333,5.83453333333,4.01,8.45213333333,17.5897666667,5.87386666667,6.05613333333,8.05913333333
246.05,3.25346666667,5.92266666667,3.79186666667,5.17853333333,3.49486666667,8.02406666667,16.8674,5.14933333333,5.40046666667,7.502
246.42,3.16713333334,5.6936,3.6204,4.89873333333,3.46626666667,8.01153333333,16.8707333333,4.98026666666,5.2494,7.41306666667
246.79,3.18346666667,5.4594,3.58313333333,4.92933333333,3.47206666667,7.87113333333,16.7929666667,4.9236,5.1486,7.22186666667
247.17,2.9406,5.0206,3.2526,4.5578,3.2188,7.6232,16.5628,4.6748,4.8126,6.8692
247.54,2.36286666667,4.33853333333,2.5366,3.93386666667,2.6706,7.14066666667,15.8699,4.17966666666,4.1226,6.18993333333
247.92,2.32893333334,4.16946666667,2.52373333333,3.8878,2.64626666667,7.15753333333,15.6560666667,3.98886666667,3.99846666667,6.0412
248.29,2.38166666667,3.98673333333,2.5236,3.82106666666,2.65386666667,7.152,15.7470333333,3.911,3.96546666667,5.93746666667
248.67,2.48033333333,4.066,2.56046666667,4.02346666667,2.71626666667,7.11986666667,15.7204,3.94566666667,4.02353333333,5.92573333333
249.04,2.569,4.2906,2.65193333334,4.23686666667,2.801,7.30166666666,15.8473,4.039,4.07806666667,5.92906666667
249.42,2.50553333333,4.16626666667,2.71666666667,4.20493333333,2.79386666667,7.25373333333,15.8270333333,3.96286666667,3.9242,5.68553333333
