wavelength,Back_AniSomm,Belly_AniSomm,Breast_AniSomm,Crissum_AniSomm,Crown_AniSomm,DorTail_AniSomm,Patch10_AniSomm,Patch11_AniSomm,Patch12_AniSomm,Rump_AniSomm,Throat_AniSomm,WingTip_AniSomm
790.54,-5.3062,110.000066667,92.4262666667,236.372266667,22.40276,25.6126,23.3982,64.4226666667,24.0638,0.21193333334,103.863466667,4.43459999998
790.85,-6.56973333336,110.606133333,92.1515666666,239.406133333,21.3830533333,25.2606,22.9817333333,64.9031333333,23.8425333333,-1.00593333334,104.436333333,3.51506666666
791.16,-7.34980000002,113.4502,93.5927333333,246.812133333,21.0525333333,25.0726666666,23.3649333333,67.2106666667,24.3896,-1.9354,106.7742,2.78946666664
791.47,-8.099,116.8219,95.5907999999,254.5478,20.9992133333,25.1287333334,24.0528,69.7162,25.0496,-3.00326666664,109.7162,2.22446666668
791.78,-8.1082,118.737733333,97.1641,259.0254,21.37396,25.7463333334,25.0829333333,71.9660666666,26.1049333334,-3.14046666666,111.682,2.53799999998
792.08,-8.31246666668,121.152733333,98.6457999999,263.937533333,21.6458933333,26.1320666666,26.132,73.9167333334,27.4098,-3.3542,113.499933333,3.05546666666
792.39,-9.25013333332,123.297366667,99.7955666667,270.010733333,20.8725466667,25.8128,26.1428,75.5436000001,27.5278,-4.42046666664,115.593933333,2.43293333332
792.70,-10.0594,125.608833333,101.355,276.948866667,20.3385733333,25.3229333333,25.6718,77.2978,27.9360666667,-5.67933333332,117.594733333,1.53666666666
793.01,-9.53873333332,126.273033333,102.6134,278.290333333,20.7874,25.9394000001,25.9242666667,78.5152000001,28.399,-5.35426666666,118.477666667,1.88213333332
793.32,-9.56846666666,124.040266667,101.246266667,274.0178,20.3778533333,25.0968,25.6548,77.3957333334,27.991,-5.40926666666,116.9196,1.29473333334
793.62,-10.3518666667,124.127333333,101.026033333,273.550533333,19.3977466667,24.5168,25.3182666667,76.9436666667,27.3258666667,-6.2322,116.487,0.86899999998
793.93,-11.8324666667,123.5483,100.6824,273.167266667,18.1176133333,23.0390000001,24.4041333333,76.0707333333,26.2217333333,-7.60173333334,115.5806,-0.27160000002
794.24,-11.7362,122.632133333,100.644833333,271.061133333,18.28432,22.7519999999,24.5743333333,75.6953999999,26.0968,-7.18406666666,114.878133333,-0.0074
794.55,-12.9199333333,122.446466667,100.796533333,269.635466667,17.84292,22.3900666666,24.3367333333,74.8290666667,25.7272666667,-7.61359999998,114.656066667,-0.28553333334
794.86,-12.2981333333,119.9633,99.5227333333,263.032466667,18.08076,23.1277333333,24.0969333333,73.2672666667,25.7636,-6.5492,112.525733333,0.536
795.16,-12.0521333333,118.450966667,98.2555333333,258.212,17.8357066667,22.7940000001,23.5396,71.9578666667,25.6459333333,-6.07313333336,110.9012,0.83246666666
795.47,-11.4325333333,117.063333333,97.5956333333,253.512,17.7735333333,22.8723999999,23.1082,70.8967333334,25.4162,-5.46626666666,109.703533333,1.12900000002
795.78,-10.6931333333,114.7929,96.3220666667,247.1614,18.3893466667,22.9327333333,23.2809333333,69.7248666666,25.4406666667,-4.82066666666,106.840866667,1.85306666668
796.09,-9.47366666667,112.132166667,94.4095,238.9742,19.247,23.3198666667,23.6369333333,68.4142666667,25.6275333333,-3.82593333332,104.183333333,2.61806666668
796.40,-9.61019999999,111.562433333,93.5382666667,236.814533333,19.4273333333,22.7285999999,23.3735333333,67.5471333333,25.4098666667,-4.16666666666,103.3402,2.51339999998
796.70,-10.4184,112.901133333,94.6090666666,239.787266667,19.3950666667,22.3388666667,23.0864666667,67.9628666666,25.2400666667,-5.07546666668,104.1016,2.14673333334
797.01,-10.1170666667,113.1267,94.5177999999,239.841466667,19.8030133333,22.1280666666,23.0646666667,68.4847333333,25.5027333333,-5.18586666668,104.400933333,2.259
797.32,-9.68393333334,112.113433333,93.3609333333,237.573866667,19.9298666667,21.9794,22.859,67.9518666666,25.464,-5.28519999998,103.622,2.55673333332
797.63,-9.284,111.014066667,92.6139,234.1692,19.8534,21.9527333333,22.72,67.5848,25.4332,-5.45386666666,102.6448,2.5282
797.93,-6.84826666666,109.149033333,91.8902999999,229.794933333,20.74796,22.7783333333,23.5924666667,67.5545999999,26.4715333333,-3.73373333334,101.365466667,3.8344
798.24,-5.01513333332,110.3202,92.7366999999,229.262,21.9169866667,23.8828,25.7028,69.2348,28.1564,-2.27846666668,102.116533333,5.62173333332
798.55,-4.94706666666,110.822233333,93.0126666666,230.392266667,22.3309066667,23.7393333333,26.2845333333,69.9761333334,28.3862,-2.44973333336,102.640666667,5.8956
798.85,-5.11760000002,111.065066667,92.9668000001,231.445266667,22.63348,23.7829333334,26.4524,70.6084666667,28.6514,-2.80773333332,103.029066667,5.70539999998
799.16,-5.29126666668,110.656133333,92.7050333333,231.0086,22.28136,23.5253333333,26.1711333333,71.0925999999,28.9075333333,-2.93893333332,103.280933333,5.46586666668
799.47,-5.86286666668,112.3323,94.2662333334,234.797333333,22.29052,23.6239333334,26.6738,72.5438666667,29.5082666667,-3.09293333332,105.116733333,5.5472
799.78,-5.86413333332,112.4621,94.3744666667,234.4108,22.38024,24.0635999999,27.3102,73.2682000001,30.2892666667,-2.53793333332,105.538733333,6.07386666668
800.08,-4.94246666668,111.684566667,93.9404666666,232.033,22.7816666667,24.7053333333,27.9166,73.8577333333,30.6394666667,-1.82473333334,104.849,6.62353333334
800.39,-5.4072,111.179933333,93.5251000001,232.001266667,22.4479866667,24.6253333333,28.1578,73.8328666667,30.5753333333,-1.67233333334,104.133133333,6.42773333332
800.70,-5.02740000002,112.036366667,94.2295999999,232.532,22.8313466667,25.4642666667,29.3188666667,75.1110666667,31.8542666666,-0.56106666668,104.5174,7.35153333334
801.00,-6.39553333332,114.0114,95.6533666666,238.252333333,21.7536,24.987,29.5443333333,76.6779333333,31.8870666667,-1.4236,106.0188,6.65153333334
801.31,-7.98940000002,114.417466667,95.1480000001,240.407533333,20.7196666667,24.2984,29.1350666667,77.6394000001,31.3187333333,-2.6836,106.2438,5.4748
801.62,-10.3537333334,113.765666667,94.5361999999,242.885333333,18.9952133333,22.9403333334,27.728,77.2171333333,30.0944666667,-4.42613333334,105.8176,3.231
801.92,-11.4734,114.218933333,95.145,245.772866667,17.8422533333,22.6408666666,27.4315333333,77.6006,29.7826,-5.53946666668,106.344666667,1.61833333332
802.23,-11.4461333333,115.408466667,96.3479333334,248.0964,17.83648,23.1208666666,28.4967333333,78.8398666666,30.6128666667,-5.13066666666,107.377533333,1.57686666666
802.54,-10.0326,115.6945,97.0753333333,247.826733333,18.6371866667,24.6978000001,29.6731333334,79.8773333334,31.928,-3.62746666668,108.169933333,2.69606666668
802.84,-10.9022,116.800333333,97.7651333333,251.4954,17.81128,24.4277333333,29.3817333333,80.6934,31.838,-4.47773333334,109.315066667,1.78780000002
803.15,-10.7224,117.866466667,98.4114,253.984,17.48704,24.4021999999,29.8268,82.0532666668,32.1504,-4.75699999998,110.1732,1.4532
803.46,-11.4445333333,119.551533333,99.2928333333,257.179933333,17.2160266667,24.7004666667,30.2199333333,82.9494666668,33.2644,-4.78659999998,111.832666667,1.4662
803.76,-10.6238666667,118.6966,99.3844666666,254.222266667,17.5469333333,25.3162666666,30.7263333333,82.8205333333,34.3160666667,-3.8974,111.572533333,2.18813333334
804.07,-10.3309333333,117.7058,99.0074666666,252.018466667,17.94916,25.3435333333,31.0688,82.6633333333,34.6735333333,-3.74893333334,111.077133333,2.29006666666
804.38,-8.24660000002,116.0421,97.7005333334,246.0052,19.6311333333,26.1290666666,31.977,82.1669333333,35.5002666667,-2.20853333334,109.429333333,3.90400000002
804.68,-7.03013333334,116.959866667,98.7112999999,245.848666667,21.0954133333,26.8567333333,33.259,82.594,36.4891333333,-1.09060000002,109.8886,5.15473333332
804.99,-5.53840000002,113.0713,95.4469333333,236.2178,21.6145333333,26.5078,33.4448,80.3178000001,36.1143333333,-0.31786666668,106.6826,6.07073333332
805.30,-5.13246666668,111.390233333,93.6020333333,231.136933333,21.7711733333,26.3628666667,33.598,79.7897333333,36.1059333333,0.405,104.742866667,6.93133333334
805.60,-4.85340000002,110.1081,92.7932000001,228.070866667,21.85504,26.0724666667,33.8272,79.6373999999,36.0338666667,0.26226666666,103.6034,7.37659999998
805.91,-6.00946666668,110.5713,92.4333999999,229.397533333,21.6087466667,25.0626666667,33.7872,80.0000000001,35.6024666667,-0.97020000002,103.4194,6.9172
806.21,-6.02106666666,109.6578,91.0229999999,227.0088,21.6258666667,25.2043999999,33.8389333333,79.6187999999,35.426,-1.07353333332,102.465933333,7.20333333334
806.52,-5.09293333332,108.8722,90.7750333333,224.589066667,22.5984666667,26.0543333334,34.6432666667,79.6898666666,36.3023333333,-0.124,101.744133333,8.10840000002
806.83,-4.2314,107.402633333,90.1771999999,222.481866667,22.9610266667,25.9114000001,35.1906666667,79.5762,36.4931333333,0.16179999998,100.817,8.40846666666
807.13,-4.6698,107.979566667,90.6211333333,224.536066667,23.1950133333,25.3929333334,35.2987333333,81.0298666668,36.5488,-0.29886666664,101.391533333,7.8144
807.44,-4.15686666664,108.473233333,91.5109,225.843466667,23.54284,25.6513999999,35.9871333333,82.4460000001,37.0504,-0.05593333332,102.1982,7.7458
807.74,-3.52146666666,107.995266667,91.3125333334,224.729866667,23.64308,26.1945333333,36.2545333333,82.7291333334,37.3269333333,0.56026666666,102.256933333,8.01113333336
808.05,-4.46353333334,107.6256,90.8119,225.507933333,22.5523866667,25.4833999999,36.0506,83.0436666666,36.7604,-0.51413333334,102.35,6.83820000002
808.35,-5.47986666668,109.856933333,92.5927333334,230.042133333,22.2036533333,25.5639333333,36.2122,85.3702,37.5589333333,-0.79960000002,103.99,6.38039999998
808.66,-5.62046666668,111.1371,93.7526333334,233.471733333,22.1012133333,25.9749999999,36.6537333333,87.1162000002,38.5647333334,-0.72633333332,105.7588,6.27753333332
808.97,-4.92906666666,110.034433333,92.2450333333,230.3828,22.1644,26.2624000001,36.8172666667,86.8129333333,39.0364666666,0.36139999998,104.4816,6.6838
809.27,-3.28139999998,110.9784,93.6535666667,230.320333333,23.0215066667,27.8267333334,38.6405333333,88.1124666667,40.8139333334,1.93926666668,105.6968,7.79226666664
809.58,-1.78753333332,110.6217,94.1538,227.7462,23.83588,28.1519333333,39.836,89.0241333333,42.1674666667,3.12606666668,105.3886,8.78246666668
809.88,-2.11806666668,109.4401,93.6329333333,225.8506,23.0450266667,27.2134666667,39.3923333333,89.0016666668,41.9095999999,2.81266666666,105.1042,8.38540000002
810.19,-3.70866666668,110.402333333,94.3387,227.864066667,22.3289066667,26.6040666666,38.9991333333,90.411,42.1626000001,1.93033333332,105.907133333,7.50673333332
810.49,-3.85253333332,111.215733333,94.6948666665,228.233133333,22.31512,26.9217333334,39.7084666667,91.1931333333,42.7868666667,1.94893333336,105.910866666,7.79586666666
810.80,-5.51093333334,110.235766667,93.5831666668,226.8146,21.19648,26.1950666667,38.6962666667,90.7536666665,42.3023333333,0.64726666666,104.8174,6.99946666664
811.10,-5.28666666666,110.013933333,93.3939999999,224.373133333,21.5067866666,26.1911333334,39.6082666667,91.3379999999,43.7575999999,0.87653333334,104.2518,7.31920000002
811.41,-4.20179999998,109.957966667,93.4265666667,221.2792,22.42764,26.8907333333,40.6722,91.7365999999,45.3314666667,1.74606666668,104.136333333,8.72086666666
811.71,-2.99960000002,109.506433333,93.9022333332,218.852866667,23.0276533333,27.607,41.9746666667,92.2802,46.2718,2.55760000002,104.137266667,9.94813333332
812.02,-3.53506666666,110.014366667,95.0336333333,218.559066667,23.0797466667,27.1854666666,42.7856666667,93.2277333333,46.9452666666,1.97893333332,104.889466667,9.5294
812.32,-4.99753333332,110.596266667,96.4481666667,219.9206,22.0009733333,25.4646,43.378,94.3368,47.2925999999,0.19873333332,105.7328,8.09733333334
812.63,-6.53913333334,106.2206,92.6420333333,210.696,20.3412666667,22.9706,41.6862666667,91.6469999998,45.7156666667,-1.26473333334,101.509866667,6.9412
812.93,-6.78253333332,102.647266667,90.1885000001,203.314066667,19.6078266667,21.4009999999,41.2272,89.5652666667,45.1787333333,-1.04346666668,98.8694666667,6.73433333334
813.24,-7.43026666666,102.0851,89.7796666667,200.9888,19.03868,20.4308000001,41.8208,89.9754666667,45.5310666667,-1.70333333334,98.0225999999,6.38280000002
813.54,-6.49966666668,101.988266667,89.4846000001,198.164066667,19.4679866667,20.4319333333,43.2596,89.8871333332,46.0775999999,-1.29600000002,97.6436000002,6.90253333334
813.85,-6.2658,100.503433333,88.1867666665,193.695,19.33132,19.8825999999,43.4018,89.1007333334,46.3244666666,-1.38799999998,96.5591333333,7.0186
814.15,-5.92166666666,100.049033333,87.6765000001,191.1372,19.5176,19.1665333333,44.2647333333,89.2254666667,46.6960666667,-1.2058,96.0098666667,7.0686
814.46,-7.22780000002,98.1092666666,85.9379333334,187.976266667,18.4382666667,17.5086000001,43.3480666667,87.9960000001,45.4653333333,-2.33366666666,95.0467999999,6.03640000002
814.76,-7.75806666666,95.9111999999,84.5516333333,183.187066667,17.9708666667,16.4717333334,42.6607333333,86.6083333335,45.0585333333,-2.48533333334,92.9630000001,5.26326666668
815.07,-8.0038,94.7329000001,83.0592000001,178.422266667,18.2299333333,15.4401333334,42.1069333333,85.4160666668,45.1563333334,-2.85713333332,90.8416666667,5.06986666666
815.37,-6.676,93.3521666666,81.8873333333,173.2394,19.2732,15.9248666666,42.1034,84.2348000001,45.3990666666,-1.49299999998,88.5726666666,5.9906
815.68,-5.98526666666,92.4447333334,80.4326666667,169.3094,20.0682266667,16.8969333333,41.7311333333,83.315,45.1473999999,-0.5248,87.4308666667,6.99806666668
815.98,-5.56793333334,93.9104333333,81.6571999999,170.81,20.7896133333,17.3091333334,42.5231333333,84.1062666665,45.9591333333,0.13026666668,88.6871333333,7.55133333332
816.29,-5.2274,94.3360666667,82.3585000001,169.768,21.22184,17.8923999999,42.7855333333,83.7326666667,46.0631333333,0.53853333336,88.6443999999,8.013
816.59,-3.90093333332,93.0314999999,81.7792333333,166.0,22.3117333333,18.9638666666,42.6216,81.8738666667,46.1171333333,1.6756,87.6395333334,9.18906666666
816.89,-3.4656,91.9487666666,81.2434,163.544933333,22.9260266667,19.5414,42.231,81.2699333333,45.9524666667,2.381,86.79,9.9472
817.20,-2.77066666664,91.1467,80.5969666667,160.016933333,23.8192933333,19.9914000001,41.9010666666,79.9914000001,45.5500000001,3.56346666666,86.2744666668,10.6052
817.50,-1.40046666664,90.2784666667,80.5733000001,156.904133333,24.8894933333,21.1138000001,41.5234,78.1654666666,45.5364666667,5.01220000002,85.8476666666,11.6051333333
817.81,-1.27066666666,91.0976000001,81.2706666666,157.129,25.55212,21.7208666666,41.3026,77.3782,45.5167333333,5.43626666668,86.5300000001,11.8696666667
818.11,-2.2724,91.4885333333,81.5994,156.729933333,25.3792133333,21.4014000001,40.1662,76.0727333333,44.3309333333,4.95633333332,87.2129333334,11.0134
818.41,-2.212,90.8801999999,81.6226,154.703266667,25.7604533333,21.0869333334,39.1276,73.6011333334,42.8471999999,5.51866666666,87.4397333333,10.8687333333
818.72,-1.55340000002,89.7159999999,80.6975000001,150.312866667,26.41376,20.8054666667,38.1014,70.0396666666,41.4096666667,6.16319999998,86.645,11.4491333333
819.02,-0.74226666668,86.9721999999,78.6568,142.01,27.1343066667,19.6848666667,35.8094666667,64.8341999999,38.9688,6.65359999998,84.4991333335,11.3562666666
819.33,0.55213333332,84.7196,77.4224666667,132.4324,28.66596,19.0469333334,33.5019333333,59.0351333333,36.4428,7.92213333332,82.3656666668,11.6246
819.63,1.51819999998,81.8127333333,75.1458666666,121.340133333,30.03072,18.0564000001,30.3462,51.9288666667,32.9525333333,8.67466666668,79.6142666666,11.6074
