wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
368.93,11.3707777778,31.3634444444,26.46,28.2488888889,11.9998888889,9.6778888889,8.46444444444,10.9329444444,11.8102222222,25.1151111111,7.80683333333
369.29,11.3078888889,31.3344444444,26.3104444444,28.1412222222,11.8795555556,9.67288888888,8.37111111111,10.8466666667,11.7026666667,25.0567777778,7.75311111111
369.65,11.4216666667,31.3968888889,26.377,28.2693333333,11.9905555555,9.78855555554,8.50644444444,10.9457777778,11.8624444444,25.1538888889,7.85283333333
370.01,11.6283333333,31.6046666667,26.528,28.4484444444,12.1313333333,9.95266666667,8.65066666667,11.1252777778,12.0366666667,25.3393333334,8.04816666667
370.38,11.6008888889,31.4867777778,26.4604444444,28.4211111111,12.0951111111,9.93433333333,8.62911111111,11.0841666667,11.9802222222,25.1542222222,8.05738888889
370.74,11.6332222222,31.5764444444,26.4734444444,28.4555555556,12.1357777778,9.94466666666,8.66155555555,11.1447222222,12.0366666667,25.1223333333,8.11833333333
371.10,11.7178888889,31.6102222222,26.5023333333,28.5357777778,12.166,10.0222222222,8.75144444444,11.1877777778,12.0951111111,25.1866666667,8.15494444444
371.46,11.6674444444,31.5417777778,26.3735555556,28.4943333333,12.0831111111,9.93488888889,8.68511111111,11.1093888889,12.0421111111,25.1532222222,8.13505555555
371.83,11.6863333333,31.5563333333,26.3313333333,28.6123333333,12.0418888889,9.97000000001,8.68677777778,11.1226666667,11.9811111111,25.2038888889,8.14555555556
372.19,11.7282222222,31.4582222222,26.2331111111,28.5786666667,11.9744444444,9.93000000001,8.69677777778,11.1079444444,11.9483333333,25.1454444444,8.13166666667
372.55,11.6443333333,31.3546666667,26.0957777778,28.4812222222,11.837,9.87800000001,8.60222222222,11.0237222222,11.8121111111,24.9753333333,7.99133333333
372.92,11.7043333333,31.3775555555,26.0282222222,28.4305555556,11.7664444444,9.93177777778,8.66844444445,11.0583888889,11.8201111111,24.9956666667,8.02244444444
373.28,11.7803333333,31.4102222222,26.0861111111,28.5566666667,11.8226666667,10.0183333333,8.80166666667,11.1365555556,11.9052222222,25.0231111111,8.08572222222
373.64,11.6875555556,31.3344444445,26.0007777778,28.4566666667,11.6718888889,9.96555555556,8.69077777778,11.0428333333,11.7516666666,24.9235555556,7.95366666667
374.00,11.5601111111,31.1918888889,25.8541111111,28.3908888889,11.5723333333,9.90822222221,8.67477777778,10.9821666667,11.6718888889,24.8085555556,7.84694444444
374.37,11.5293333334,31.2146666667,25.7297777778,28.3958888889,11.4943333333,9.88311111112,8.70555555556,11.0353888889,11.6605555555,24.8676666667,7.80583333333
374.73,11.5127777778,31.0583333334,25.6226666667,28.3227777778,11.3911111111,9.82866666668,8.63422222222,11.0172777778,11.595,24.7518888889,7.71716666667
375.09,11.4358888889,30.963,25.4273333333,28.2316666667,11.26,9.78844444443,8.60377777778,11.0031666667,11.5238888889,24.5954444444,7.66961111111
375.45,11.5136666667,31.0086666667,25.4658888889,28.2715555555,11.2651111111,9.92311111112,8.75011111111,11.1577777778,11.5961111111,24.6557777778,7.76394444445
375.81,11.5228888889,30.9295555555,25.384,28.1948888889,11.2407777778,9.97311111112,8.73033333333,11.2187777778,11.6276666667,24.5643333333,7.73966666667
376.18,11.5295555555,30.9581111111,25.3424444444,28.243,11.2462222222,10.0647777778,8.78688888889,11.2767777778,11.6221111111,24.5576666667,7.756
376.54,11.5934444444,30.9385555556,25.28,28.298,11.2501111111,10.0824444445,8.84888888889,11.321,11.6416666667,24.5428888889,7.83244444444
376.90,11.5748888889,30.7966666667,25.1241111111,28.2444444445,11.1766666667,10.0046666667,8.78955555556,11.312,11.5956666667,24.4702222222,7.7825
377.26,11.5322222222,30.6693333333,25.0202222222,28.1406666667,11.1057777778,9.94477777777,8.69244444444,11.3313333333,11.538,24.4433333333,7.77444444444
377.63,11.5662222222,30.6443333333,24.9635555556,28.1387777778,11.135,10.0216666667,8.802,11.4081666667,11.5805555555,24.4207777778,7.88077777778
