wavelength,Back_TanCyaf,Belly_TanCyaf,Breast_TanCyaf,Crissum_TanCyaf,Crown_TanCyaf,DorTail_TanCyaf,Patch10_TanCyaf,Patch11_TanCyaf,Patch12_TanCyaf,Patch13_TanCyaf,Rump_TanCyaf,Throat_TanCyaf,WingTip_TanCyaf
193.23,-222.353,-153.560410526,-152.009833333,-153.3332,-230.294066667,-178.284233333,-82.2550666666,-105.000066667,-73.0391999999,-106.372666667,-132.157066667,-122.6961,-153.235433333
193.61,-199.086733333,-130.439785965,-131.917833333,-134.611866667,-202.9224,-149.999933333,-70.1368000001,-87.5798666667,-57.5343333333,-86.21,-113.059333333,-104.155233333,-133.6529
193.99,-154.7916,-98.1141508771,-104.201466667,-102.152866667,-152.500133333,-114.375066667,-59.4444666666,-63.9582666667,-45.7638666667,-64.5832666667,-86.5277333333,-77.8125666666,-102.013833333
194.37,-125.672533333,-81.1264070175,-89.6783999999,-85.6140666667,-129.356666667,-94.5906666667,-49.1229333333,-52.1052666667,-37.1346,-54.9708,-74.9707333333,-64.3858666666,-82.8069000001
194.75,-132.727266667,-86.5869122806,-98.6665666667,-93.3939333333,-137.091,-96.8787,-51.9393333333,-57.6364,-39.0302666667,-59.2120666666,-82.7878666665,-70.7878999999,-87.5152
195.13,-128.5546,-82.2326912281,-98.5839333333,-90.7376000001,-131.091466667,-91.6519333333,-49.3213999999,-54.1592666667,-38.5842,-58.0529999999,-80.0589333333,-66.7256333333,-83.0678000001
195.51,-101.960866667,-61.6020701755,-77.7450999999,-68.6276,-105.8824,-67.2058666667,-38.0392666667,-40.0980666667,-27.794,-41.4216666667,-59.5590000001,-47.8430666667,-59.9510999999
195.89,-82.6666666665,-43.5156982457,-60.4000666667,-49.1110666666,-86.6221999999,-48.3556666667,-22.8888666667,-24.8000666667,-12.8888666666,-28.0445333333,-43.0222666667,-30.7779,-41.2667666666
196.27,-74.3420666666,-35.3324947368,-54.5394666666,-39.8244666667,-79.5176666665,-39.9562666667,-16.0966,-16.4912666667,-8.81579999999,-21.3157333334,-35.9209333334,-23.5745666667,-33.3333
196.65,-67.8980666666,-27.0712385965,-46.6241666666,-31.8047333333,-70.0212666666,-30.9342,-7.77066666666,-10.3610666667,-4.20393333334,-14.7772,-28.3652,-14.7984,-25.6687666667
197.03,-82.8505333333,-35.7628666667,-56.0229333333,-40.0460666667,-79.8620666667,-38.4827333333,-14.2069333333,-17.0575333333,-10.7586,-22.8963999999,-36.9195333333,-21.6552,-31.2183333333
197.40,-83.9716,-33.5099649123,-56.7612666667,-39.4798666666,-76.9740000001,-37.9906666667,-13.4751333333,-16.2648,-7.51773333336,-24.7282666667,-35.6027999999,-19.7634666667,-29.5746333334
197.78,-86.4775333335,-37.7354421053,-58.9834333333,-39.7636,-77.1157999999,-39.7636666667,-16.5483333333,-17.9195333333,-9.64526666668,-27.7541333333,-36.4537999999,-20.7328333333,-32.7659333333
198.16,-93.0707333333,-42.8539894736,-61.0237000001,-41.4698000001,-82.2047999999,-40.0261,-14.8030666667,-18.6350666667,-9.55373333334,-31.4437333333,-38.4776666668,-23.3072333333,-35.1443666666
198.54,-107.0028,-51.7824210527,-71.0922999999,-50.1401333334,-91.7647333334,-47.8991666667,-23.1932666667,-25.3220666667,-17.311,-40.7844000001,-45.4342,-31.6246666667,-40.7843333333
198.92,-114.017066667,-54.7488280701,-75.7550999999,-52.5355333333,-98.0057333334,-50.3989666667,-25.6979333334,-28.9459333333,-22.0513333333,-45.2422,-48.1482000001,-35.2134666667,-45.3276000001
199.30,-98.9312666667,-44.5401122806,-63.1807,-42.8500000001,-84.3256666666,-40.6107,-21.6794666667,-23.2060666667,-16.4885333333,-34.6564666667,-40.1527333333,-30.4072,-36.6411999999
199.68,-106.559133333,-46.0639964912,-64.7043999999,-41.7203333334,-85.3224666667,-42.0699666667,-21.3440666667,-22.0967333333,-16.7742,-37.6344666667,-42.1505333332,-31.1021,-35.8603333334
200.06,-117.0248,-56.0823228069,-72.3690333333,-49.4214666667,-92.7272666666,-50.0826333333,-29.2564,-28.9256,-25.5646666667,-47.383,-51.2947999999,-38.7603666667,-43.1405333333
200.44,-99.7602000001,-47.8354350878,-61.1749666667,-40.9113333333,-76.8824666667,-42.5898,-24.8441333333,-22.59,-19.7600666667,-38.1774000001,-41.3909333333,-30.9112,-33.6690666667
200.82,-81.9409333333,-39.809154386,-49.7468666667,-32.6159333333,-64.2615333335,-32.1097333333,-17.9325333333,-15.3586666667,-13.0802,-28.8608,-33.1644666667,-22.2995333333,-24.6202
201.19,-75.2556,-35.4041368421,-46.8507333334,-28.2208666667,-58.0367333333,-25.6236666667,-12.3516666667,-11.2882666667,-8.75246666665,-25.0307333333,-29.6932666667,-16.5644,-19.9182333333
201.57,-74.4045999999,-37.4895719298,-46.9443999999,-29.0475999999,-58.8095333333,-27.2221666667,-12.6190666667,-12.5396666667,-12.6587333333,-25.2381333334,-30.4762666667,-19.2459666667,-19.6229666667
201.95,-64.5900666668,-29.5101473684,-39.6355666667,-22.4406666667,-51.4755333333,-21.3114666667,-6.12026666668,-6.8124,-8.16033333334,-19.8542666667,-24.9181333333,-14.2623666667,-11.6211333333
202.33,-68.5393999999,-30.1912210526,-43.8576666667,-25.6554666667,-54.6068000001,-23.0710666667,-8.9138,-9.47573333333,-8.80159999999,-21.6854000001,-28.0523333333,-16.8727,-12.6030666667
202.71,-71.3610666667,-32.5962561403,-45.3451666667,-25.3253333334,-55.9762666667,-21.2230666667,-8.40246666668,-9.90133333333,-9.98026666667,-20.7888,-30.3352,-17.002,-13.8068
203.09,-55.6967333334,-22.0217052632,-31.6755333333,-16.4727333333,-41.7991333333,-9.62966666667,-0.95233333332,-1.69320000001,-0.493866666652,-9.8766,-21.5168,-7.72483333333,-3.36873333334
203.47,-53.1892666666,-20.5766210526,-30.4684333333,-13.5856,-39.3872666667,-6.90096666668,1.982,1.29726666667,2.59459999999,-8.64873333341,-20.4684666667,-5.40543333332,-0.090233333326
203.85,-51.3186666668,-19.3579964912,-30.9156333333,-13.9194666667,-39.0842666666,-5.69593333333,3.37000000002,3.99260000001,3.8828,-7.5092666666,-18.022,-3.93773333334,3.04019999998
204.22,-44.8639333333,-14.2067789474,-25.5272333333,-11.2246,-33.8774666667,-3.33329999999,6.39459999999,7.04073333336,4.79593333333,-5.44226666665,-14.0135333333,-1.02036666666,6.29263333333
204.60,-49.7826000001,-16.9052035087,-28.9491666667,-15.1448666667,-39.2028666666,-5.88759999999,4.6014,3.47826666667,2.13773333333,-10.2174,-18.8767333333,-5.14483333333,2.98906666666
204.98,-57.9487333334,-22.452045614,-35.9961333333,-21.1439333334,-47.6528000001,-11.5581,-0.43380000002,-1.18340000002,-1.97253333332,-18.1065333333,-26.2327333333,-12.2288666667,-1.26223333334
205.36,-62.1545333334,-26.1040491228,-37.6423999999,-24.9594666667,-51.0568666666,-16.7684666667,-4.71540000001,-5.08140000001,-6.99193333332,-22.3984,-29.6748,-17.0324333333,-4.06513333334
205.74,-57.5099999999,-19.9027368421,-33.0120666666,-21.5261333333,-46.9478666667,-11.3252333333,-2.81133333333,-1.16459999999,-2.81133333333,-17.6707333333,-26.5864666667,-13.2128666667,-0.54226666666
206.12,-73.1428666665,-29.2156245614,-42.7380666667,-33.0000666667,-59.1904666667,-17.0476,-10.9046666667,-7.381,-8.76193333333,-28.8094000001,-38.0476666666,-21.9998,-7.16676666667
206.50,-69.0540000001,-26.4698912281,-38.1758,-29.5946,-55.2251333333,-15.2250666667,-8.73873333334,-5.36033333335,-6.03606666667,-25.7208,-33.1081333333,-18.4908666667,-2.99556666665
206.87,-87.5688666667,-36.9054105263,-52.3307666667,-43.3583999999,-73.3835333333,-30.1755333333,-18.5965333333,-14.8370666667,-15.3382666667,-39.8997333334,-45.2130666667,-29.4486333333,-12.6315
207.25,-90.718,-40.5289649123,-55.2051666667,-46.7179333334,-78.4616666668,-33.8204666667,-21.1282,-17.282,-19.4871333333,-44.1539333333,-47.077,-30.1537666667,-15.6409333333
207.63,-96.3253333333,-44.4259999999,-56.3779000001,-53.0183333333,-83.0970666667,-34.2521333333,-23.5171333333,-19.6326,-24.6717333333,-49.6586666667,-50.1312,-31.3910333333,-20.1837
208.01,-99.0400000001,-47.3066666666,-55.2266666667,-55.1999999999,-86.9866666666,-35.2,-23.9466666667,-21.3866666667,-28.5333333333,-52.0533333333,-54.7733333334,-33.7066666667,-24.3466666667
208.39,-104.8332,-53.0350701755,-59.4166666667,-57.0000666667,-89.9999999999,-37.2500666667,-26.5,-25.8889333333,-30.3333333333,-52.889,-58.1111333334,-36.9166,-26.6389666667
208.77,-89.0023333333,-42.550863158,-48.3698333333,-46.6179999999,-74.3553333332,-25.9365666667,-21.7031333333,-18.8807333333,-23.8928666666,-42.9684,-46.5692666666,-28.9537,-18.0779
209.14,-90.8872,-43.7738736842,-51.7984333334,-48.6810666666,-77.1221999999,-29.3764333333,-27.0504666667,-21.9185333333,-28.2973333333,-45.2277333333,-48.8729333333,-34.1486333333,-19.2086333333
209.52,-87.9710000001,-40.5543157895,-53.3092000001,-48.8889333334,-79.6135333333,-26.5218666667,-27.9711333333,-18.8406,-26.5216666667,-42.7052666667,-47.9710000001,-30.8453333333,-19.7825333333
209.90,-95.9174000001,-47.5778701754,-63.0750000001,-54.2635333334,-86.4598666666,-32.9716,-33.6950666667,-22.3256666667,-31.9379333333,-52.0414000001,-55.0903333333,-34.6771000001,-27.5193666667
210.28,-91.9297333333,-44.5138,-61.9801333333,-49.3732666666,-84.0601333334,-30.7517333333,-29.7242666667,-18.2456666667,-31.3784666667,-50.1755333333,-52.2806666667,-33.6841666667,-25.8397666667
210.66,-96.2564666667,-47.6841192982,-65.4616666666,-52.4104000001,-86.2051333334,-32.4360333333,-33.0256,-19.6923333333,-36.0001333333,-54.0513999999,-55.3844666667,-35.5898,-29.2051333333
211.03,-70.2598666665,-30.8065614035,-43.3981666667,-33.0736666667,-60.9524,-16.2987333333,-17.749,-5.28140000001,-19.0908,-36.4934666666,-37.0563333333,-20.2597333333,-14.4802666667
211.41,-78.7196666665,-36.0032877193,-48.7860666666,-37.7924666667,-67.0640000001,-23.2671333333,-24.106,-8.87433333334,-24.4150666667,-43.1345333333,-41.5010000001,-26.2473666666,-19.2495
211.79,-76.7983333333,-33.4349438597,-47.2806666666,-36.0964666666,-66.3596666666,-24.8904333333,-25.0877333333,-8.59646666665,-22.7630666667,-41.9737999999,-40.8771333333,-25.3509666667,-19.5613
212.17,-87.2683333333,-40.2070350877,-56.2036999999,-43.8889333334,-75.0,-31.0416,-33.5647333333,-18.148,-25.9722,-51.6667333333,-50.3242,-33.0322333333,-27.0370666667
212.55,-110.933333333,-54.6105263157,-75.44,-59.0933333333,-97.0133333333,-44.88,-48.8533333333,-28.8533333333,-36.1066666667,-68.48,-68.0000000001,-48.8800000001,-39.4133333333
212.92,-119.658066667,-59.5531017544,-82.0513,-60.9118,-104.330466667,-52.3931,-50.4273333333,-29.6866666666,-38.6324666667,-72.9345999999,-75.4984000001,-52.5640666667,-45.5554666666
213.30,-129.119333333,-61.8735578948,-84.2138999999,-61.258,-108.930666667,-52.7988666667,-47.3584666667,-25.3459333333,-37.4843333333,-75.0942666667,-80.3143333333,-52.673,-49.1824333333
213.68,-142.6402,-69.3661508773,-93.1023333334,-68.0528666666,-120.264,-63.6633666667,-53.1352666667,-30.5608666667,-44.7525333333,-84.8845333334,-90.1648666665,-66.2375666667,-56.8316999999
214.06,-149.571,-73.3333824562,-94.8514999999,-74.4555333333,-127.788733333,-68.0196666667,-56.1715999999,-36.5676666667,-48.3167333333,-87.0625333334,-94.7856,-76.0726666667,-57.8217000001
214.44,-135.0616,-65.9811298246,-83.7962666666,-68.5184666667,-117.160533333,-63.6727333333,-49.7530666667,-32.2221333333,-38.8272,-74.9381999999,-82.0371333334,-66.4196666667,-47.7779333333
214.81,-139.8058,-72.3250210526,-86.6020333333,-70.9385333333,-124.142333333,-71.3592333333,-52.6861333333,-38.4466,-41.2944666667,-79.8705999999,-88.2847333333,-74.6925333333,-51.7152666666
215.19,-185.079333333,-103.057652632,-118.769833333,-102.0634,-165.3968,-101.626833333,-80.0794000001,-65.1586666667,-69.2858,-113.254,-123.809466667,-108.611266667,-76.9446
215.57,-205.585466667,-115.305845614,-134.504333333,-118.558533333,-183.513466667,-115.675666667,-90.2703333334,-76.7568666666,-79.1893333333,-130.090133333,-139.009066667,-122.432333333,-91.0810666666
215.95,-288.771866667,-175.463210526,-196.140566667,-175.672466667,-260.000066666,-172.8655,-135.087733333,-125.614066667,-132.7484,-191.929866667,-203.158,-183.099333333,-140.526366667
216.32,-283.809533333,-168.665473684,-194.4643,-173.690466667,-255.4762,-174.047733333,-131.547666667,-117.261866667,-135.8334,-188.452333333,-194.5238,-182.321433333,-136.250066667
216.70,-220.9802,-123.962866667,-146.568533333,-135.294,-200.686266667,-131.568633333,-97.9411333335,-89.1176666666,-103.529266667,-148.235266667,-146.9608,-139.362766667,-106.176533333
217.08,-289.5598,-168.785287719,-198.364866667,-184.2768,-264.528266667,-175.031566667,-134.591133333,-127.295533333,-141.131933334,-202.6414,-193.459133333,-186.037633333,-139.748533333
217.46,-205.258266666,-118.65574386,-140.939033333,-131.643133333,-189.107933333,-121.220633333,-98.3097999999,-90.3288,-98.8731999998,-146.291066667,-131.831066667,-128.168966667,-93.2394333333
217.83,-183.931666667,-104.687414035,-121.196466667,-112.649466667,-163.247666667,-101.282133333,-86.9230000001,-79.2308,-86.1539333333,-129.059933333,-111.7948,-110.256466667,-75.9829
218.21,-170.8944,-94.4159122806,-108.739933333,-98.2113333333,-147.3984,-91.1787,-78.6991999999,-69.2682000001,-76.6666,-119.674866667,-99.3496,-97.7641,-68.3739333333
218.59,-204.0376,-109.483582456,-133.615,-114.929533333,-172.4882,-106.666566667,-102.723,-87.5118666666,-98.2161999999,-143.004733333,-122.5352,-119.295666667,-90.4694333334
218.97,-187.2,-94.2550877193,-122.311066667,-100.3556,-160.4444,-92.2667333333,-90.5778666667,-71.4666666666,-86.4000666667,-127.6444,-109.066666667,-104.177866667,-78.8445333334
219.34,-159.759066667,-74.7875298246,-100.4819,-80.7228666666,-134.9398,-71.8072666667,-70.8433333333,-51.004,-64.0161333333,-100.241,-86.4257333333,-82.1283999999,-58.5542666666
219.72,-146.014533333,-65.3203473685,-92.3188666666,-69.9276,-121.087,-65.6521,-62.9709333333,-42.826,-56.8841333333,-87.3188666667,-80.4348000001,-80.1811333334,-50.2173666667
220.10,-131.3532,-56.6648561404,-82.4752666667,-58.6138000001,-104.686533333,-60.8579333333,-54.1914,-33.9272666667,-43.8944,-75.3794666667,-70.7589999999,-71.1221333333,-41.3532
220.47,-147.943333333,-69.3057403508,-91.0993333333,-66.0283333334,-117.021266667,-73.4041666667,-64.0425333333,-41.8440666667,-51.0638,-86.8084666667,-81.4892666666,-81.5248666668,-52.1277666667
220.85,-151.014466667,-72.9938385964,-92.6450333334,-66.8116000001,-117.1014,-75.8696333333,-66.3041999999,-40.4347333333,-49.7102,-86.6666666667,-83.9854000001,-81.0507666665,-56.6667000001
221.23,-134.191333333,-64.8185508772,-82.6071333333,-57.8217333334,-104.356333333,-68.0196,-57.6237333334,-32.2772,-41.386,-73.4653333333,-72.1452000001,-69.3071333333,-51.8811666667
221.61,-165.348866667,-86.2872912281,-106.279033333,-71.0077999999,-130.387466667,-89.3023,-73.7209333334,-43.1782666667,-53.0234,-91.9379333334,-91.0077333333,-91.4340333333,-71.8604666666
221.98,-161.6092,-84.4040421053,-108.314066667,-71.4174666667,-128.199266667,-87.4712,-73.6398,-40.1533333333,-49.7318,-91.4941999999,-92.7204666665,-86.8581999999,-72.2989666667
222.36,-141.290266667,-73.0692280702,-95.8065333334,-60.8602,-115.699,-73.9068,-62.7957333333,-30.8242666667,-37.2042666667,-77.4194666666,-80.9319333334,-72.0789666667,-59.1397333333
222.74,-102.397666667,-49.556754386,-64.7661999999,-38.8303999999,-85.848,-52.3685333333,-37.193,-15.9064666667,-18.0117333333,-52.5732666667,-54.7368666666,-50.3802999999,-35.8186666667
223.11,-96.5242000001,-45.6710245614,-61.5669333334,-39.6581333334,-82.2793999999,-51.2821,-37.8918,-18.0627333333,-15.2707333333,-51.7378666667,-50.4844000001,-48.4901666667,-34.3303333333
223.49,-89.4933333333,-40.2666666667,-56.64,-34.4,-74.7733333334,-48.6133333333,-35.04,-13.7066666667,-11.7333333333,-48.8,-43.8933333334,-43.0666666667,-30.6933333333
223.87,-92.2508000001,-44.4234491228,-56.0113666666,-34.2449999999,-79.4872666667,-48.3476666667,-36.4103333333,-14.8148666667,-8.60393333331,-51.2820666667,-44.7862666667,-40.1993666666,-32.4786333333
224.24,-85.0143333333,-36.9680491228,-49.6295666667,-29.5725999999,-75.2705333332,-41.51,-30.7692666667,-8.66086666666,-1.93726666668,-47.2933333333,-39.7720666667,-33.9602000001,-26.7237
224.62,-67.4688000001,-24.8488736842,-38.9474666667,-19.3484000001,-59.6992,-29.4235666667,-20.6517333333,1.25320000001,6.1654,-32.9322666667,-29.3735333333,-23.0827666666,-15.3132666667
225.00,-83.6666,-38.2251298246,-54.2221333334,-31.4444666667,-76.3333333333,-43.4998333333,-29.389,-6.7778,-3.83340000001,-44.3887999999,-41.9443333333,-34.3054999999,-26.2778666666
225.38,-100.526266667,-50.6617929824,-68.4502666667,-44.8537999999,-91.8714000001,-58.9182,-42.0469333333,-19.8830666667,-15.6726,-57.31,-58.8889999999,-50.0000666667,-40.0291333333
225.75,-103.716666667,-49.8585333333,-69.4984666666,-46.1946666667,-91.3865333334,-62.8023333333,-40.8850666667,-21.829,-16.2241333333,-57.7580000001,-63.6578666667,-49.6753000001,-43.4513333333
226.13,-93.0555333333,-41.8011052632,-57.2500000001,-36.6110666667,-79.0556000001,-56.0554666667,-31.8888666667,-16.7779333333,-8.83333333331,-45.3889333334,-52.3889333334,-39.9166666667,-33.6111666667
226.51,-93.8582666665,-43.5142982456,-58.1627999999,-40.2099333333,-74.8031333334,-57.0078333333,-31.7586,-19.0024666667,-12.0736,-44.9344666666,-53.1758666666,-43.2019333333,-36.8240666667
226.88,-102.9032,-53.0474877193,-68.3602333333,-45.8063333333,-79.3011333333,-63.172,-35.8602,-22.3119333334,-17.9032,-48.4408666666,-58.5484000001,-42.0161333334,-43.7634999999
227.26,-88.6854,-46.2491017544,-60.0939000001,-38.2629333333,-65.3521333332,-51.9484333333,-28.0752,-15.1644,-14.1315333333,-39.4836000001,-49.2958,-33.4271,-36.3849333333
227.64,-73.9094000001,-38.4881438597,-51.7489666666,-33.0041999999,-54.9381333335,-40.9670333333,-21.8107333333,-12.3456666667,-11.2346,-32.6337999999,-42.9218000001,-27.6130333333,-31.5432666667
228.01,-53.8382666667,-25.2754947369,-36.9023666667,-21.5151333333,-37.9124666667,-26.3804333333,-10.1346,-2.59253333335,-3.19860000001,-19.293,-27.0708,-16.7843666667,-17.9629
228.39,-47.2755333333,-21.6789508772,-31.2176,-18.0517333333,-32.6028,-21.0045333333,-7.64073333333,-0.121733333334,-1.43073333333,-14.2466,-20.8524666667,-14.5660666667,-14.8401
228.76,-42.616,-18.7415789474,-27.8764,-15.4712666667,-28.8324666667,-16.9058666667,-5.31646666665,-0.50626666666,-0.450066666674,-11.4768,-16.0057333333,-12.6864,-13.3052
229.14,-38.1364666667,-14.7383614035,-24.0813333333,-13.3332666667,-25.0394666667,-13.0577333333,-3.80586666666,1.10233333333,1.49606666667,-9.60633333333,-11.916,-9.44886666666,-9.04200000001
229.52,-32.642,-10.6758105263,-19.0000333333,-9.38273333333,-19.827,-6.90130000001,-0.049399999994,5.1852,4.54313333333,-5.45673333333,-6.93833333333,-5.34573333332,-3.85183333333
229.89,-35.7302666667,-13.7565052632,-21.3983,-13.6330666667,-23.6704,-8.28963333333,-3.64553333333,2.82146666667,1.22359999999,-7.51560000001,-8.3396,-7.90253333333,-5.84266666667
230.27,-35.5050666667,-15.6432280702,-22.2601,-15.4040666667,-25.8838,-8.43436666667,-4.1162,3.98986666667,-0.252466666666,-8.13126666667,-9.09080000001,-8.53543333334,-6.98230000001
230.65,-34.5718,-15.1902912281,-21.7654333333,-14.809,-25.7971333333,-6.17906666665,-3.13573333333,6.50853333333,1.00133333333,-5.84993333331,-6.90393333332,-6.79860000001,-5.99473333333
231.02,-37.355,-16.414354386,-22.8610333333,-18.3806,-27.7462666667,-7.34136666667,-6.66666666666,4.58839999999,-0.539866666666,-8.28606666667,-8.44813333333,-10.2159,-7.5846
231.40,-42.8069333333,-19.959922807,-25.2778333333,-23.1578,-31.6375333333,-10.7017,-10.4385333333,2.07600000001,-2.74860000001,-11.2573333333,-12.1344,-14.2397333333,-11.1111666667
231.78,-48.5668,-23.5900807017,-29.4203,-27.8904666667,-36.2640666667,-14.5411,-14.3960666667,1.09493333334,-4.57326666669,-13.2689333333,-13.5587333333,-16.5379666667,-13.6715
