wavelength,Back_TanCayf,Belly_TanCayf,Breast_TanCayf,Crissum_TanCayf,Crown_TanCayf,DorTail_TanCayf,Patch10_TanCayf,Patch11_TanCayf,Patch12_TanCayf,Rump_TanCayf,Throat_TanCayf,WingTip_TanCayf
753.47,18.7100833333,41.51925,30.5785833334,42.0585,38.8205,12.2821666666,15.2375833333,11.7493333333,34.66225,26.7628958334,27.1685833333,15.8298333333
753.79,19.0809166667,42.0258333333,30.9853333333,42.5775833333,39.2908166667,12.81525,15.6360833333,12.1659166667,35.01325,27.1593333333,27.7484166667,16.35775
754.10,19.48875,42.3809166667,31.2601666667,43.0223333333,39.58165,13.4243333333,15.87675,12.37525,35.36825,27.4922395833,27.9958333333,16.7014166667
754.42,19.6205833334,42.70425,31.4426666667,43.1435833333,39.8058666667,13.6139166666,15.8868333334,12.5413333333,35.5010416667,27.708375,28.30075,16.9755833333
754.73,19.6820833333,42.6708333333,31.4978333333,42.8593333334,39.6852,13.6065,15.65925,12.5350833334,35.5861666667,27.6700729166,28.3510833333,16.9449166667
755.05,19.4175,42.3029166667,31.283,42.5641666667,39.5623833333,13.3765,15.33,12.20775,35.4240416667,27.4950520833,28.316,16.68925
755.36,19.4369166667,42.34025,31.0825833333,42.7740833333,39.7962333334,13.0915,15.1124166667,12.0925,35.311625,27.3691979167,28.16425,16.5845833333
755.67,19.3295,42.3896666667,30.8860833334,42.73775,39.6437666667,13.0090833333,14.9456666667,12.0673333333,35.1289583333,27.5015833333,28.147,16.5439166667
755.99,19.0366666667,41.911,30.3219166667,42.0830833333,39.2018833333,12.7033333333,14.5775833333,11.7314166667,34.50675,27.1734583333,27.8031666667,16.1905833333
756.30,18.8824166666,41.71325,30.1913333333,41.7733333333,39.1624,12.495,14.1044166666,11.4355,34.4444583333,27.0368020833,27.6289166667,16.0236666667
756.62,18.7234166666,41.3349166667,30.08225,41.4941666667,38.9882,12.3673333333,14.0393333333,11.31575,34.162625,26.5883958333,27.3355,15.9203333334
756.93,19.0448333333,41.33875,30.3225833333,41.69325,39.27395,12.6290833333,14.36475,11.4898333333,34.0786666667,26.7844375,27.5735833333,16.2658333333
757.24,18.92525,41.1375833333,30.1885,41.52125,39.0515333334,12.34125,14.246,11.3789166667,33.9683333333,26.7393958333,27.2918333333,16.23675
757.56,18.5478333333,40.8086666667,29.9638333333,40.9835833333,38.7479,11.9604166667,13.9999166667,11.3366666667,33.6238333333,26.6598125,27.0989166667,16.0924166667
757.87,18.50325,40.60025,29.9071666667,40.8703333333,38.421,11.93725,13.9251666667,11.1933333333,33.526,26.4497708333,27.06675,15.8800833333
758.18,18.4026666667,40.3951666666,29.539,40.8563333333,38.2198833333,11.7424166667,13.8075833333,11.08675,33.31025,26.3384479167,26.8874166667,15.6654166667
758.50,18.7499166667,40.5089166666,29.73575,41.2054166667,38.4014333333,12.0159166666,14.0698333333,11.62025,33.5377916667,26.59525,27.0408333333,15.9830833333
758.81,18.94875,40.5645,30.0006666667,41.1333333333,38.3799166667,12.43225,14.3555833334,11.9309166667,33.7892083333,26.8809270834,27.43425,16.2885
759.13,18.9855,40.4830833333,30.0655833333,41.123,38.3937333333,12.4435833333,14.4216666666,11.9611666667,33.8865833334,26.8799166667,27.2899166667,16.419
759.44,19.1551666667,40.8276666667,30.472,41.4705833333,38.6233666667,12.6029166667,14.7504166667,12.2911666667,34.2240833333,27.0693229167,27.6009166667,16.7245
759.75,19.437,41.2823333333,30.7550833334,41.91325,38.7726333333,12.97725,15.3663333333,12.5704166667,34.624125,27.175375,27.8824166667,16.9229166666
760.07,19.4040833333,41.0988333334,30.5290833333,41.76875,38.72575,12.9913333333,15.3743333333,12.4809166667,34.7050833333,27.20459375,27.9255,16.7081666667
760.38,19.3903333334,41.324,30.5651666667,41.9079166667,38.7078833334,13.0318333334,15.3904166667,12.4730833333,34.8857083333,27.3337604167,28.1301666667,16.5523333333
760.69,19.2458333333,41.0649166666,30.32075,41.62925,38.51245,13.07375,15.1571666667,12.2664166667,34.7929166667,27.0919583333,28.0750833334,16.3144166667
761.01,19.5513333333,41.4255833333,30.6746666667,42.1825,38.9615,13.3975,15.4824166666,12.4145,35.1465833333,27.2723229167,28.5440833334,16.5445833333
761.32,19.6703333333,41.6875,30.661,42.2910833334,39.2819166666,13.5269166667,15.5539166667,12.648,35.316125,27.4140208333,28.5985,16.6696666667
761.63,20.0790833333,42.368,31.2264166667,42.94625,40.05545,13.9901666667,16.1199166666,13.094,35.7350416667,27.9216875,29.0593333333,17.2821666667
761.94,19.8234166667,42.3648333333,30.99875,42.7620833333,39.93315,13.7334166667,15.9825833333,12.7125,35.603,27.6979479167,28.924,17.1274166666
762.26,19.919,42.4340833334,31.1976666667,42.9369166667,40.0697333334,13.8985833333,16.0924166667,12.8744166667,35.8315416667,27.7965833333,28.9616666667,17.2754166667
762.57,19.8433333333,42.36825,31.2565,42.86825,40.0651666667,13.7066666667,15.988,12.85475,35.7713333333,27.73265625,28.998,17.1870833333
762.88,19.9688333333,42.4369166666,31.3705833333,42.9810833333,40.1436666666,13.83675,15.99325,12.96225,36.035375,27.83278125,29.1020833334,17.30025
763.20,20.2433333334,42.4679166667,31.5293333333,43.0165833333,40.3031,14.07575,16.0110833333,13.18725,36.009,27.9903854166,29.4144166666,17.6403333334
763.51,20.472,42.7945,31.8336666667,43.29825,40.5821833334,14.3151666667,16.08825,13.4178333333,36.1647083333,28.302375,29.6069166667,17.9505
763.82,20.4115,42.63925,31.8103333333,43.1015833333,40.4299833333,14.2830833333,16.0801666667,13.2961666667,36.0804166667,28.18484375,29.4193333333,17.9825
764.14,20.3305,42.8323333334,31.9911666666,43.3061666667,40.6215333334,14.1130833333,16.07925,13.2256666666,36.2254166666,28.2709895833,29.3723333333,18.07175
764.45,20.0416666667,42.5626666667,31.7428333333,42.9405833333,40.213,13.9690833333,15.8295833333,13.0115833333,35.889875,28.11028125,29.1139166667,17.889
764.76,20.0525833334,42.4435833333,31.848,42.9826666667,40.1737,13.9664166667,15.8845833333,12.924,35.8537916666,28.0835104167,29.1478333333,17.8888333333
765.07,19.6011666667,41.9698333333,31.6243333334,42.4559166667,39.6278666667,13.706,15.543,12.5119166667,35.4331666666,27.6165729167,28.7289166667,17.4950833333
765.39,19.5665833333,41.9238333333,31.7494166666,42.419,39.5103166667,13.72575,15.4218333333,12.4233333333,35.2635,27.5480104167,28.63575,17.4491666667
765.70,19.3944166667,41.86275,31.7645833334,42.3816666666,39.4481333334,13.6043333333,15.3258333333,12.177,35.0189166667,27.4805520833,28.4600833333,17.3240833333
766.01,19.1781666667,41.7696666667,31.6629166667,42.2234166667,39.2398833334,13.8768333333,15.2686666667,12.19425,34.95225,27.3584270833,28.1045833333,17.2960833334
766.32,19.0771666667,41.5810833333,31.4944166667,42.0191666667,38.9995833333,13.8339166667,15.16775,12.01725,34.6146666667,27.3426770834,27.8678333333,17.2066666667
766.64,18.6284166667,41.58275,31.3715,41.8814166667,38.8967666667,13.5346666667,14.9095,11.6499166667,34.5170833334,27.3427916667,27.4111666667,16.8343333333
766.95,18.422,41.695,31.5393333333,42.08525,38.9432833334,13.5395,14.9043333333,11.6504166666,34.6965416667,27.35975,27.5293333333,16.8775833333
767.26,18.304,41.6740833333,31.5931666666,42.2136666667,38.9566833333,13.4065833333,14.8055,11.7769166667,34.8257083333,27.6163125,27.7240833333,16.8501666667
767.57,18.4920833333,41.659,31.6288333333,42.3468333333,39.1111333333,13.6319166666,14.8525,12.0635,34.9358333334,27.7731354166,27.8835833333,16.8215833333
767.88,18.9120833333,42.19,31.7595833333,42.6701666667,39.5345166666,13.6676666667,15.06175,12.5156666667,35.3970833333,27.82625,28.0106666667,17.0299166666
768.20,18.8639166666,42.5536666667,31.6925,42.8439166667,39.8219,13.5705,15.0056666667,12.6473333333,35.6032083333,27.8700208333,28.048,17.2513333333
768.51,19.33925,42.9800833334,31.7415,43.113,40.0724333333,13.87375,15.22425,13.0881666667,36.1240416667,28.2538854167,28.3418333333,17.6141666667
768.82,19.6055833333,43.4120833333,32.0628333333,43.6218333333,40.4380333333,14.1725833333,15.5458333334,13.5694166667,36.7151666667,28.6521354167,28.7645,17.8688333333
769.13,20.06475,43.7949166667,32.1640833333,43.6590833333,40.6927,14.394,15.7383333333,14.0480833334,37.2197916667,28.8333645833,29.20825,18.2781666667
769.44,20.4438333333,44.2435833334,32.2056666667,43.9855,41.0752333333,14.2754166666,16.1140833333,14.067,37.710625,29.18875,29.7055833333,18.48275
769.76,20.1610833333,44.28975,31.94675,44.0133333333,41.3490166667,13.7436666667,15.7485,13.6825833333,37.73675,28.98053125,29.4828333333,18.2124166667
770.07,20.1903333334,44.3104166666,31.9086666666,44.1001666666,41.4037,13.712,15.6053333333,13.7311666667,37.796375,28.7626770833,29.5803333333,18.1965833333
770.38,19.3736666666,43.0538333333,30.6071666667,43.0298333333,40.26195,12.8093333333,14.6991666667,12.7948333333,36.6179166667,27.8089791666,28.4658333333,17.0244166667
770.69,19.4119166667,42.89275,30.60275,42.80975,40.34875,13.0276666667,14.7420833333,12.7248333334,36.4840416667,27.6367083334,28.3118333333,17.0475833334
771.00,19.7106666667,42.8110833333,30.8200833333,42.71375,40.1013333333,13.7833333334,15.4101666666,13.18425,36.41625,27.87965625,28.52125,17.5821666667
771.32,19.1523333334,42.4735833333,30.8625,42.58775,39.96135,13.7551666667,15.14175,12.7451666667,36.126,27.8378125,28.5105833333,17.27575
771.63,19.2753333333,42.4083333333,31.26725,42.5429166667,39.9878666667,14.24225,15.5416666667,13.1123333333,36.2604166667,28.13446875,28.6190833333,17.2191666667
771.94,19.0535,42.0945833333,31.1329166667,42.3565833333,39.9870166666,13.993,15.31725,13.1118333333,36.0321666667,28.1362083333,28.76125,16.9989166667
772.25,19.1818333333,42.007,31.0265,42.0223333333,39.9786333334,13.9125833333,15.4115,13.2366666667,35.98575,28.11871875,28.9633333334,17.1545
772.56,19.1205,41.8045833333,30.9765833333,42.1268333333,39.8018833333,14.1256666667,15.53675,13.32825,35.84625,28.2311770833,28.9518333333,17.0093333333
772.87,19.2154166667,41.8409166667,31.4205,42.2716666667,39.8605,14.5025,15.677,13.6820833333,35.78725,28.2295416667,29.4105,17.318
773.18,19.807,42.4888333334,32.0058333333,42.7390833333,40.2298166667,15.436,16.5748333333,14.50675,36.2898333333,28.8175416667,30.336,17.84625
773.50,19.8875,42.0808333333,31.7433333333,42.53575,40.0388166666,15.455,16.6563333333,14.2893333333,35.8588333333,28.8535520833,30.3373333333,17.7555833333
773.81,20.715,43.1911666667,32.6275833333,43.0470833333,40.70985,16.3009166667,17.4236666667,15.0804166667,36.585875,29.661,31.3245,18.5465
774.12,20.37375,42.783,32.32075,42.4715,40.0848833333,15.6698333333,16.6199166667,14.6003333333,35.771125,28.9018541667,30.83075,17.93875
774.43,20.2668333333,42.50325,31.86675,41.9685,39.8432666667,14.9988333333,15.9095,13.9665833333,35.2604166667,28.3970104166,30.2943333334,17.482
774.74,20.5548333333,42.3828333333,31.8056666667,41.8045833333,39.6371333333,15.23975,16.0990833333,14.1575833333,34.975125,28.6123958333,30.0075,17.61075
775.05,20.6496666667,42.19375,31.5228333333,41.6080833333,39.6102833333,15.1119166667,15.8520833333,13.9351666666,34.6245833333,28.499,29.9254166667,17.8966666666
775.36,21.0340833333,42.4910833333,31.9255833333,41.9611666667,39.9807166666,15.5801666667,16.2384166667,14.1885,35.1665,28.76984375,30.12225,18.4704166667
775.67,20.9351666667,42.5825,31.9195,41.96125,39.82555,15.8955,16.24375,14.01025,34.854375,28.6379270833,29.7235833333,18.434
775.98,20.8440833333,42.7990833333,32.0275,41.95375,40.0151,15.8376666667,16.0489166667,13.757,34.866625,28.6118854167,29.6543333333,18.5305
776.30,20.2396666666,42.4928333333,31.347,41.5955,39.6421666667,15.4410833333,15.39725,13.2031666667,34.1515,28.3015520833,28.9615,17.9361666667
776.61,20.1084166667,42.1155,31.1884166666,41.2069166667,39.24035,15.6545,15.2931666667,13.2195,33.8668333333,28.276125,28.7808333333,17.9798333334
776.92,20.2365833334,42.3573333333,31.4213333333,41.4346666667,39.2782333333,15.672,15.3349166667,13.4283333333,34.0156666667,28.5456875,28.7853333333,18.3520833334
777.23,20.6095833334,42.17475,31.5496666667,41.9261666667,39.5659166666,15.7001666667,15.8605,13.69025,34.338375,28.8208645834,29.0424166667,18.826
777.54,21.4245833333,43.28225,32.2785,43.1600833334,40.6385,16.7334166667,17.0885833333,14.75675,35.42375,30.1375208333,30.041,19.9423333333
777.85,20.87,43.3051666667,31.9921666667,43.3445,40.6734166667,16.24575,16.94725,14.6689166667,35.4714166667,29.9768854167,30.1234166667,19.4949166667
778.16,20.8276666667,43.6406666666,32.1305,43.6408333333,41.0324333333,15.9703333334,17.0521666666,14.4278333333,35.9375,29.8976354167,30.5133333333,19.4578333333
778.47,20.7604166666,43.8709166667,32.4061666667,43.7835,40.8781,15.9259166667,17.15075,14.1880833334,36.2257916666,29.9188645833,30.4758333333,19.1450833333
778.78,20.2305833333,43.6703333333,32.02125,43.6405833334,40.4880833333,15.6915833333,17.0095833333,13.6348333334,35.8539583333,29.7289479167,30.1359166667,18.6584166667
779.09,20.5041666667,43.5285833333,32.25575,44.0554166667,40.84395,15.5591666667,16.9839166666,13.6315,36.28175,30.0699895834,30.3400833333,18.87575
779.40,20.8303333333,43.2838333333,32.6393333334,44.03225,41.08505,15.629,17.2519166667,13.76425,36.5374583333,30.2740729167,30.7325,18.9535833333
779.71,21.5906666666,43.1450833334,33.2188333333,44.1588333334,41.28875,16.22625,17.9279166667,14.38575,37.1740833333,30.5734270834,30.9981666667,19.2553333333
780.02,21.2371666667,42.7925,33.0151666667,43.955,41.0243833334,15.4736666667,17.5905833333,13.82775,36.7077916667,29.9361145833,30.4514166667,18.9181666666
780.33,21.15475,42.8666666666,33.0700833333,43.8770833333,40.9711166667,15.8276666666,17.86675,13.9113333333,36.85725,29.63746875,30.5166666666,19.0974166667
780.64,20.849,42.8608333334,33.0895,43.5170833334,40.9503166667,15.6475833333,17.2605833333,13.5471666666,36.706125,29.0541666667,30.0324166667,18.8420833333
780.95,19.9949166667,41.8048333333,32.2030833334,42.5145,39.7802,14.62575,16.2898333333,12.7544166667,35.506,27.9155416667,29.0630833333,17.9728333333
781.26,21.04425,42.6051666666,33.3586666667,43.0083333333,40.4913833334,15.4006666667,17.29025,13.744,36.0829583333,28.6809375,29.7366666666,18.7704166667
781.57,21.4150833333,42.5628333333,33.5015,43.0295,40.3932,15.7704166667,17.4196666667,14.2893333333,35.8944583334,28.9052916667,29.5681666667,19.0565833333
781.88,21.3068333333,42.1241666666,33.0071666667,42.8956666667,39.77925,15.4814166667,17.0618333333,14.1899166667,35.4151666667,28.3616770833,29.4019166667,18.8550833333
782.19,21.74175,42.08025,33.10775,42.7633333333,39.7331,15.4888333333,17.0740833333,14.3485833333,35.3978333333,28.38521875,29.3923333333,18.847
782.50,21.5294166667,41.4919166666,32.6216666667,42.1909166666,39.1885,15.3370833333,16.8353333333,14.1011666667,34.9064166667,28.0983958333,29.18225,18.3706666666
