wavelength,Back_OryMaxf,Belly_OryMaxf,Breast_OryMaxf,Crissum_OryMaxf,Crown_OryMaxf,DorTail_OryMaxf,Rump_OryMaxf,Throat_OryMaxf,WingTip_OryMaxf
224.24,189.333333333,64.0,366.333333334,359.333333333,97.9999999998,252.666666667,246.666666666,198.666666667,249.0
224.62,164.285833333,70.0000000001,298.095416667,281.9045,94.7618333333,208.5715,196.666833333,154.761833333,198.333333333
225.00,250.7935,101.587166666,450.793583334,442.857,134.920666667,329.365,286.508166666,257.143,283.73025
225.38,133.333333334,71.7053333335,232.752,232.557833333,91.4726666665,175.193833333,149.999833333,148.449333333,149.612083333
225.75,121.2765,76.2411666669,206.20575,215.9575,75.8865,147.163,134.397166667,120.5675,119.326083334
226.13,112.318833333,77.8986666665,213.587,227.536333334,71.0143333333,138.768166667,133.333333333,122.826166667,111.956583333
226.51,109.150333333,90.1961666666,207.026,215.032833333,76.7973333331,139.215666667,150.980333333,125.163333333,112.581666666
226.88,174.193333333,154.300833334,322.043,325.268833333,93.5483333334,210.215166667,238.709666666,174.731166667,165.86025
227.26,266.666666667,256.666666666,520.0,484.166666667,125.0,309.166666667,346.666666667,247.5,244.583333334
227.64,-509.259,-577.778,-1076.85183334,-1003.70366667,-201.851833333,-622.222333334,-738.889,-450.0,-516.6665
228.01,-290.0,-338.888666667,-577.77775,-577.777833333,-116.666833333,-354.4445,-455.555333333,-291.111,-300.000083334
228.39,-75.8333333333,-118.333333333,-188.125,-179.583333333,-17.9166666667,-94.1666666665,-135.833333333,-87.9166666665,-86.4583333333
228.76,-25.0,-57.0311666667,-90.4949166666,-84.3751666667,6.5105,-32.2918333333,-53.1248333333,-31.2498333333,-32.9428333334
229.14,-18.2433333333,-41.6665,-70.7209166666,-66.8918333333,8.33333333335,-25.901,-36.7118333333,-21.847,-14.4145833333
229.52,-15.3558333334,-32.7715,-55.4306666666,-57.1161666667,9.73783333334,-18.7266666666,-27.1536666667,-24.3443333333,-9.92516666665
229.89,-18.1228333333,-33.9808333333,-42.3140833333,-50.6473333333,4.20716666665,-15.2103333334,-20.5503333334,-24.5955,-17.233
230.27,-40.3921666666,-61.1765,-59.1175833333,-79.6078333334,-18.4311666667,-34.5098333334,-40.7841666667,-41.5685,-43.7255
230.65,-42.3866666667,-63.7861666667,-51.5433333334,-79.0125,-16.461,-37.86,-30.8643333333,-39.0946666667,-44.2385833334
231.02,-39.2543333333,-70.833,-51.6448333334,-87.5,-15.7895,-44.5176666667,-25.4388333333,-45.3946666666,-50.2190833333
231.40,-16.8478333333,-47.1013333333,-25.7245,-54.71,-1.087,-23.1883333333,-6.88383333333,-33.152,-24.094
231.78,-4.0351666667,-33.5088333333,-13.8596666666,-40.3508333334,2.10533333333,-9.82450000002,9.29850000002,-24.5616666667,-6.49141666665
232.15,0.97083333335,-28.3173333333,-15.4529166667,-35.9223333333,1.13283333334,-5.016,8.73783333332,-19.9028333334,-1.29441666665
232.53,-0.91583333335,-28.022,-11.9965,-43.4068333334,3.84616666667,-5.3115,9.52383333332,-24.9085,-0.5495
232.90,0.37866666665,-23.4848333333,-8.144,-53.9771666667,10.985,-1.13633333333,4.5455,-23.485,-1.89391666665
233.28,-9.7701666667,-30.2681666666,-11.59,-65.3256666666,8.81250000001,-3.25683333333,-7.66299999999,-25.8621666667,-15.9960833333
233.66,-5.12833333335,-22.4358333334,-8.49375,-56.25,9.77566666666,0.641166666665,-8.81416666666,-23.0768333333,-11.45825
234.03,-8.40583333335,-21.5941666667,-19.855,-57.3913333334,3.47816666667,-8.55066666669,-17.1015,-29.4201666667,-14.5653333334
234.41,0.2331666667,-6.76,-10.6059166666,-35.3148333334,10.0235,3.72966666667,-4.895,-18.065,-2.85541666665
234.78,3.5088333333,-2.0465,-10.9161666666,-29.045,8.67433333333,7.99216666666,-3.80133333334,-12.963,1.46183333335
235.16,-0.48716666665,-0.6825,-12.7680833333,-31.0915,6.04283333334,8.187,-6.04266666668,-9.84433333333,3.11883333335
235.54,-6.5301666667,-3.80133333333,-19.1035,-41.228,-2.14416666666,-3.02133333333,-11.7933333333,-11.2086666667,-5.06825
235.91,-7.84899999998,-2.90683333333,-18.41075,-39.6316666667,1.5505,-3.3915,-11.434,-9.01166666667,-6.20175
236.29,-6.57433333333,-2.222,-13.148,-32.3148333334,6.0185,-1.66666666667,-6.11099999999,-2.49966666667,-2.03716666665
236.66,-0.8855,2.89866666667,-9.29941666665,-24.3156666667,7.48783333331,0.0805,-2.89866666665,-0.4025,1.81166666667
237.04,-2.47533333332,-2.145,-17.368,-25.165,3.21766666667,-5.69316666667,-6.43583333335,-5.85816666667,0.86608333335
237.41,0.495,0.165,-19.6371666666,-23.5973333333,1.15516666667,-6.60066666667,-5.03316666665,-8.66333333334,2.68166666666
237.79,-0.25,0.416666666666,-20.0833333333,-20.6666666667,1.25,-6.66666666667,-0.25,-6.75,2.875
238.17,3.57733333333,6.42266666667,-12.9675,-13.9835,9.10566666666,0.243833333333,5.60966666665,-2.11366666667,7.68308333334
238.54,10.553,11.4991666666,-1.49225,-5.4585,16.8851666667,7.78733333334,12.6635,4.5855,13.719
238.92,13.9601666667,13.5326666667,2.27925,-2.13666666665,19.3733333333,9.25933333334,16.1681666667,5.983,14.99275
239.29,18.3463333333,15.6331666667,5.29691666667,2.713,21.1885,11.3696666667,18.2818333333,7.55816666666,15.73
239.67,19.7916666666,16.8506666666,7.78183333333,6.31116666668,22.733,11.8873333333,18.9338333333,9.37499999999,17.92275
240.04,18.4385,14.7838333333,6.31225,6.53383333335,20.2656666666,10.908,15.061,9.85616666669,16.9989166667
240.42,18.7381666666,15.5365,5.72033333333,7.57999999999,18.0793333333,11.7233333334,14.1713333334,9.60433333333,15.419
240.79,16.5366666666,11.8615,3.00858333333,7.31583333332,15.8011666667,10.8658333333,11.6016666667,9.82699999999,13.6365
241.17,15.815,13.2963333333,7.87033333334,10.2963333333,16.3331666667,12.9628333334,13.4446666667,11.852,14.1666666666
241.54,14.7523333333,10.9571666667,9.07608333333,12.0465,15.6436666666,13.5971666667,13.5316666667,12.4095,13.5479166666
241.92,14.9618333334,10.9935,10.5085,13.2863333333,15.6673333333,14.1976666667,12.9041666667,12.757,14.2709166666
242.29,15.8908333333,12.2793333333,11.43675,14.4195,15.5161666667,14.9278333333,14.259,13.5366666666,15.8506666666
242.67,14.9176666667,11.7543333334,9.85083333334,13.7088333333,13.3228333333,12.7575,13.2715,13.0401666667,15.81775
243.05,14.8585,11.4858333333,10.2885,14.1006666667,12.8788333333,12.4635,12.7566666667,13.1965,16.0191666667
243.42,13.6513333333,10.8226666667,10.1915833333,13.1836666666,11.7108333333,11.7345,11.7578333333,12.2953333334,15.0655833334
243.80,12.3198333334,10.4138333334,9.542,12.8776666667,11.181,12.1106666667,10.9715,11.0878333333,14.7839166667
244.17,11.4926666667,8.97433333332,8.89433333334,12.2255,10.2336666667,11.4698333333,9.79866666665,9.43216666667,14.38875
244.55,12.3941666666,9.23466666668,10.7700833334,13.0616666667,11.3261666666,12.0606666667,10.4361666667,10.258,15.298
244.92,11.9048333334,9.94150000002,10.8394166666,12.3225,10.589,11.4661666667,10.3801666667,9.858,14.6513333334
245.30,10.8491666667,8.39216666665,8.81491666666,10.397,8.43166666665,10.24,8.76566666665,8.37283333333,12.9915833334
245.67,10.2728333334,8.51316666667,8.43216666667,9.24933333332,8.45933333335,10.1293333333,8.35133333332,8.26166666667,12.30225
246.05,9.37600000002,8.487,7.83216666666,8.24433333331,7.8565,9.78000000002,8.1635,8.32516666667,11.6310833333
246.42,8.198,7.29533333333,7.09225,7.56616666666,6.6185,9.1305,7.41583333333,7.79183333333,10.5745833333
246.79,6.85633333333,6.21066666667,6.35458333334,6.51266666666,5.77083333334,8.88983333333,6.62283333333,6.7465,9.67291666666
247.17,5.905,5.496,5.70033333333,5.6875,5.24033333333,8.53783333334,6.02,6.1605,9.13825
247.54,5.6725,5.28533333334,5.59975,5.56366666667,5.24916666667,8.563,5.85383333334,6.12,9.053
247.92,6.00466666667,5.13366666667,5.47033333334,5.4935,5.01733333333,8.19966666666,5.7955,6.36466666667,8.81541666666
