wavelength,Back_ChlPhom,Belly_ChlPhom,Breast_ChlPhom,Crissum_ChlPhom,Crown_ChlPhom,DorTail_ChlPhom,Patch10_ChlPhom,Patch11_ChlPhom,Patch12_ChlPhom,Rump_ChlPhom,Throat_ChlPhom,WingTip_ChlPhom
353.28,2.83466666667,5.67866666667,5.26344444444,5.77822222222,1.777,4.50266666667,53.4592222222,46.584,3.832,7.83339506175,4.71677777778,5.65588888889
353.65,2.88522222222,5.66266666667,5.30311111111,5.78166666667,1.84288888889,4.53266666667,53.8037777778,46.8625555555,3.855,7.85564197532,4.70766666667,5.66422222222
354.01,2.76455555556,5.50677777778,5.13711111111,5.56933333333,1.69211111111,4.418,53.9002222222,46.8997777778,3.68044444445,7.76572839508,4.55955555556,5.50144444444
354.38,2.59066666667,5.33977777778,5.02622222222,5.45255555556,1.67811111111,4.37388888889,54.2347777778,47.1716666667,3.64722222222,7.71546913579,4.41966666667,5.42155555556
354.74,2.60566666667,5.20622222222,5.00244444444,5.35088888889,1.60666666667,4.44666666667,54.2866666667,47.2022222222,3.69588888889,7.74328395063,4.35711111111,5.44944444444
355.11,2.62777777778,5.06133333333,4.85133333333,5.30611111111,1.62522222222,4.39133333333,54.2331111111,47.2278888889,3.69511111111,7.6393580247,4.25477777778,5.36388888889
355.47,2.47766666667,4.80922222222,4.69233333333,5.07411111111,1.47011111111,4.24022222222,54.4844444444,47.3073333334,3.53533333333,7.54581481482,4.09744444444,5.15488888889
355.83,2.65922222222,4.90533333334,4.83333333334,5.11511111111,1.72977777778,4.48266666666,54.725,47.5062222222,3.67933333333,7.72498765432,4.33344444444,5.28811111111
356.20,2.70366666667,4.94888888889,4.86477777778,5.13122222222,1.87,4.56377777778,54.9767777778,47.6974444445,3.76788888889,7.75116049381,4.38788888889,5.37322222222
356.56,2.63788888889,4.83888888889,4.74055555556,5.01955555556,1.82677777778,4.49688888889,54.9541111111,47.6676666667,3.71666666667,7.67171604937,4.33744444444,5.22744444444
356.93,2.67288888889,4.95633333333,4.76444444444,5.086,1.92244444444,4.67433333333,55.1755555556,47.8584444445,3.88111111111,7.77677777778,4.41155555556,5.38522222222
357.29,2.86688888889,5.10288888889,4.84877777778,5.25088888889,2.102,4.81011111111,55.3078888889,47.9986666667,4.10555555555,7.93318518519,4.60277777778,5.50955555556
357.66,3.04055555556,5.208,5.00722222222,5.35522222222,2.26433333333,5.00411111111,55.4248888889,48.0801111111,4.35066666667,8.15520987653,4.78322222222,5.68666666667
358.02,2.972,5.04755555555,4.95677777778,5.22333333333,2.16188888889,4.92166666667,55.4616666667,48.022,4.32233333333,8.05370370369,4.67211111111,5.58366666667
358.38,3.00122222222,4.99044444444,4.904,5.18344444445,2.055,4.856,55.5346666666,48.018,4.24633333333,8.01620987654,4.59,5.575
358.75,2.88844444444,4.848,4.76233333334,5.12044444444,1.99033333334,4.68577777778,55.762,48.0817777778,4.146,7.92553086419,4.47766666667,5.50222222222
359.11,2.88911111111,4.79066666667,4.72833333334,5.084,1.96644444445,4.69955555555,55.8895555555,48.1287777778,4.17755555556,7.96744444443,4.49111111111,5.44277777778
359.48,2.95233333333,4.86388888889,4.70333333334,5.16122222222,1.98466666666,4.74266666667,55.9878888889,48.1728888889,4.22444444444,7.9965802469,4.55688888889,5.51477777778
359.84,3.00433333333,4.86,4.67311111111,5.16133333333,1.94366666667,4.72533333334,56.2586666667,48.4654444444,4.21766666667,8.00492592593,4.51766666667,5.59044444445
360.20,2.83544444444,4.62466666667,4.48277777778,4.93,1.66744444444,4.53911111111,56.3512222222,48.5014444444,4.06077777778,7.84207407407,4.27788888889,5.51022222222
360.57,2.94377777778,4.61644444445,4.47033333334,4.88611111111,1.66988888889,4.59655555555,56.7002222222,48.7424444444,4.057,7.91148148147,4.27466666667,5.61366666667
360.93,3.08233333333,4.67111111111,4.53011111111,4.91977777778,1.67866666667,4.62544444444,56.7774444445,48.7997777778,4.10122222222,7.93856790123,4.288,5.69122222222
361.29,3.01711111111,4.60122222222,4.414,4.80622222222,1.62022222222,4.59766666667,56.9324444444,48.923,4.01533333333,7.91265432099,4.19022222222,5.70144444445
361.66,2.89166666667,4.48322222222,4.26377777778,4.72455555556,1.52322222222,4.54911111111,56.9338888889,48.8533333333,3.88855555556,7.77851851853,4.06755555556,5.63866666667
362.02,2.92144444444,4.519,4.28166666666,4.71766666667,1.54566666667,4.65144444444,57.0855555556,48.9995555556,3.93688888889,7.86466666666,4.161,5.668
362.39,2.93377777778,4.51233333333,4.264,4.72944444444,1.56522222222,4.71855555555,57.1614444445,48.9771111111,3.97177777778,7.93661728397,4.20433333333,5.686
362.75,3.04944444444,4.58022222222,4.353,4.77755555556,1.58533333333,4.79533333333,57.2611111111,49.089,4.01533333333,8.02111111111,4.27333333333,5.727
363.11,3.07611111111,4.60866666667,4.39844444444,4.78688888889,1.627,4.837,57.49,49.2658888889,4.02533333334,8.05744444443,4.27288888889,5.80911111111
363.48,3.12533333333,4.57133333333,4.40422222222,4.738,1.66477777778,4.90644444445,57.5386666667,49.3883333333,4.04966666667,8.10202469137,4.26755555556,5.86455555555
363.84,3.08888888889,4.50977777778,4.37444444444,4.65677777778,1.63655555555,4.91111111111,57.5874444444,49.3467777778,4.02211111111,8.07776543209,4.20011111111,5.79644444444
364.20,3.17844444444,4.65311111111,4.48577777778,4.72955555555,1.771,5.04066666667,57.674,49.34,4.09933333333,8.21292592591,4.35311111111,5.90066666667
364.57,3.13288888889,4.635,4.52033333333,4.73577777778,1.77722222222,4.98911111111,57.7367777778,49.3494444444,4.11133333333,8.22029629629,4.34066666667,5.89633333333
