wavelength,Back_TanPerf,Belly_TanPerf,Breast_TanPerf,Crissum_TanPerf,Crown_TanPerf,DorTail_TanPerf,Patch10_TanPerf,Patch11_TanPerf,Rump_TanPerf,Throat_TanPerf,WingTip_TanPerf
357.29,5.964,18.8173333333,12.3656666667,5.501,3.99,4.009,6.53233333333,4.374,6.18273333333,16.7086666667,5.8525
357.66,6.07466666667,19.0786666667,12.6733333333,5.6905,4.06,4.299,6.565,4.60333333333,6.3482,16.893,6.004
358.02,6.21566666667,19.2356666667,12.731,5.673,4.11133333333,4.561,6.62766666667,4.68033333333,6.4524,16.9813333333,5.9705
358.38,6.17266666667,19.19,12.7146666667,5.6705,4.061,4.663,6.65266666667,4.71066666667,6.47226666667,17.1186666667,5.9085
358.75,6.27066666667,19.4536666667,12.849,5.688,4.05366666667,4.899,6.724,4.801,6.56366666667,17.349,5.9
359.11,6.14266666667,19.5583333333,12.9143333333,5.6415,3.96,4.948,6.78266666667,4.82366666667,6.54446666667,17.458,5.871
359.48,6.05,19.532,12.8623333333,5.6655,3.84966666667,4.99,6.774,4.754,6.45393333333,17.457,5.7795
359.84,6.08566666667,19.5813333333,12.8893333333,5.6865,3.84466666667,5.135,6.71233333333,4.73433333333,6.42113333333,17.371,5.8025
360.20,6.14333333333,19.7186666667,12.949,5.7385,3.86833333333,5.252,6.59233333333,4.763,6.4732,17.4176666667,5.832
360.57,6.13433333333,19.7673333333,12.9156666667,5.753,3.88966666667,5.222,6.555,4.808,6.476,17.5036666667,5.873
360.93,6.191,19.9523333333,13.039,5.797,3.84933333333,5.157,6.56133333333,4.76433333333,6.44986666667,17.4606666667,5.8625
361.29,6.111,19.858,13.0606666667,5.6305,3.75066666667,5.068,6.41,4.678,6.32893333333,17.458,5.6765
361.66,6.097,19.796,12.8896666667,5.596,3.66466666667,4.777,6.37,4.51933333333,6.24433333333,17.3906666667,5.5465
362.02,6.04566666667,19.8256666667,12.884,5.6255,3.63133333333,4.668,6.35733333333,4.47466666667,6.2468,17.4863333333,5.5585
362.39,5.97633333333,19.8626666667,12.9373333333,5.7025,3.61,4.633,6.33566666667,4.44366666667,6.219,17.3606666667,5.6225
