wavelength,Back_XenConm,Belly_XenConm,Breast_XenConm,Crissum_XenConm,Crown_XenConm,DorTail_XenConm,Rump_XenConm,Throat_XenConm,WingTip_XenConm
218.21,9.49816666665,-32.7958333333,-3.3155,-4.12183333335,-32.4373333333,19.1756666667,-9.84539583333,-20.2508333333,-7.16816666666
218.59,8.23966666665,-47.1911666667,-4.86883333335,-10.4868333333,-39.326,11.6105,-14.17375,-30.7118333333,-16.4796666666
218.97,14.1415,-26.5991666666,5.0505,0.50483333335,-28.1143333334,15.6563333333,-0.105375,-16.6666666667,-4.54533333335
219.34,14.9121666667,-20.3218333333,4.89758333335,-1.7543333333,-23.3918333334,15.2046666666,6.92624999999,-9.503,-1.16983333335
219.72,15.9483333333,-17.3848333333,6.10608333335,-2.7298333333,-20.8333333334,19.9713333333,7.48916666667,-10.3446666667,4.16700000001
220.10,16.6668333333,-18.4721666667,6.31916666665,-2.22233333335,-18.3333333333,21.3888333334,4.80057291665,-11.5276666667,4.0276666667
220.47,27.1165,-15.7408333334,10.5158333333,4.10033333335,-11.2433333333,27.3808333333,11.37553125,-9.39166666668,6.08483333335
220.85,23.7375,-21.4646666666,12.4996666667,7.4496666667,-7.70216666667,18.9395,7.92290624999,-9.46983333335,1.6415
221.23,23.4016666667,-11.8721666667,18.03625,7.7625,-5.59366666667,14.1555,8.99695833333,-3.42483333335,0.799166666665
221.61,21.0955,-8.50833333334,20.7460833334,3.14683333335,-2.91383333333,12.8205,10.4604166667,-3.03016666665,3.96283333335
221.98,15.4136666667,-14.4111666667,18.6090833334,-0.37583333335,-6.015,14.1601666667,8.30188541666,-7.01766666669,4.00983333334
222.36,18.5446666666,-12.4415,22.82875,4.10783333335,-6.338,7.512,6.36738541667,-4.10799999999,4.81216666667
222.74,18.5485,-12.6343333333,22.043,0.80666666665,-12.6343333333,8.33333333334,4.89759375,-2.68816666667,6.04850000002
223.11,8.62550000002,-26.0233333333,20.6139166666,-6.579,-22.3685,3.801,-5.96660416667,-11.2573333333,-5.7015
223.49,11.2781666666,-13.2831666667,27.31825,2.25566666665,-10.5263333333,2.50616666665,-2.59240625,-2.1305,2.005
223.87,3.33333333333,-22.9333333333,23.5333333334,-7.33333333335,-21.4666666667,-2.8,-10.35,-10.0,-8.26666666666
224.24,-7.57583333331,-25.8951666666,18.9393333333,-16.3911666667,-28.5121666666,-11.5701666666,-14.9276979167,-18.7326666666,-13.4985
224.62,-29.2453333333,-39.1508333334,5.89633333335,-33.176,-48.5848333333,-29.7171666666,-30.2771145833,-33.9621666667,-24.214
225.00,-24.4928333333,-19.71,6.23191666665,-26.8115,-39.8551666666,-21.7391666667,-22.1648645834,-30.7245,-17.971
225.38,-33.5015,-34.6803333333,0.84183333335,-36.0271666666,-53.367,-27.1045,-29.2298958333,-44.613,-20.539
225.75,-39.5388333333,-41.8441666667,-5.76241666666,-39.539,-63.1206666667,-26.773,-34.10915625,-45.7446666667,-35.461
226.13,-44.6808333334,-47.1631666666,-7.00366666666,-40.4255,-65.4253333333,-28.0145,-31.8704895834,-48.0498333333,-44.3261666666
226.51,-75.463,-74.7685,-25.1156666667,-70.8333333333,-102.083166667,-44.4441666667,-49.91325,-81.4815,-80.3238333333
226.88,-87.2148333332,-83.3333333333,-31.621,-77.6256666667,-102.739666667,-48.8586666666,-52.0688541667,-92.2373333333,-92.6939999999
227.26,-65.278,-66.0711666667,-25.7935833333,-58.9285,-76.5873333333,-32.143,-37.0907604166,-73.8095,-74.603
227.64,-105.808,-113.131166667,-60.3535,-90.9091666666,-122.727333333,-49.7475,-67.9609895833,-123.737333334,-113.383833334
228.01,-95.1691666666,-108.212666666,-53.9855,-73.913,-112.077333333,-48.0673333333,-61.0204895833,-106.521833333,-98.7923333331
228.39,-78.8286666667,-97.2973333331,-57.545,-62.6126666667,-100.225166667,-39.8648333334,-56.3483854166,-95.2704999999,-90.5401666667
