wavelength,Back_IncWatf,Belly_IncWatf,Breast_IncWatf,Crissum_IncWatf,Crown_IncWatf,DorTail_IncWatf,Patch10_IncWatf,Patch11_IncWatf,Patch12_IncWatf,Rump_IncWatf,Throat_IncWatf,WingTip_IncWatf
185.63,-56.1480000001,-48.1480666667,-27.7036666667,-41.1852000001,-7.40740000001,-65.0370666667,-44.5926,-49.3334000001,-67.5555333333,-54.5185999999,-48.7406666667,-28.5926666667
186.01,-96.4706000001,-80.5882,-61.7646,-77.6470000002,-28.6274666667,-106.4706,-83.3334,-85.6863333334,-110.3922,-80.3919999999,-85.6862,-59.4116666667
186.39,-64.0651333333,-57.561,-45.2033333333,-49.7559999999,-4.06499999999,-78.3739333334,-58.8617999999,-56.2602666666,-79.3494666667,-40.8129333333,-61.3008666667,-30.2439333333
186.77,-108.541666667,-100.208333333,-96.4583333334,-84.7916666665,-28.1250000001,-127.708333333,-115.416666667,-98.7499999999,-131.041666667,-76.6666666667,-99.1666666666,-65.0
187.15,-176.507933333,-172.380933333,-183.809466667,-133.968266667,-61.2698000001,-206.666733333,-204.126866667,-166.666666667,-226.666733333,-122.539666667,-175.873,-128.5714
187.53,-174.2858,-173.968333333,-201.9048,-129.8412,-53.016,-216.8254,-217.143,-153.650733333,-229.5238,-100.317533333,-168.888933333,-135.555533333
187.91,-200.3704,-198.888933333,-238.1482,-162.592533333,-55.1852,-250.370466667,-259.2594,-180.000133334,-244.073933334,-103.703666667,-197.777666667,-163.333333333
188.29,-1933.33333333,-2126.66666667,-2480.0,-1793.33333333,-603.333333333,-2423.33333333,-2636.66666667,-1906.66666667,-2403.33333333,-1060.0,-2036.66666667,-1773.33333333
188.67,358.888866667,422.7778,470.000066667,329.999933333,138.888866667,420.5556,465.000066667,332.777666667,417.777866667,216.111,389.4444,351.111133333
189.05,292.083333333,348.333333333,383.75,265.0,144.166666667,310.0,353.333333333,275.416666667,322.083333333,186.25,325.416666667,300.0
189.43,236.0,282.0,310.0,212.333333333,126.333333333,240.666666666,270.0,237.666666667,250.666666667,146.666666667,276.0,243.333333333
189.81,127.948666667,174.871733333,210.0,113.8462,58.4615333334,141.025533333,171.281933333,150.256533333,141.794866667,71.2820666668,177.179533334,144.871933333
190.19,81.6666666667,118.333333333,144.0,77.8333333335,42.0,87.5000000001,114.833333333,103.833333333,93.1666666666,45.3333333334,119.833333333,93.1666666667
190.57,85.9259333334,148.395066666,172.345666667,90.1233999999,30.8643333335,98.7653999999,139.012333333,122.963,106.172933334,40.7408666666,131.8518,111.1112
190.95,59.2983333334,158.947266667,198.947266667,82.4562000001,15.0877333333,98.2456,126.6668,120.350733333,109.8246,17.1929333333,147.368466667,128.771866667
191.33,31.8519333332,133.333466667,178.148066667,54.4443999999,-8.5185333334,74.0740666666,71.1109999999,107.037066667,86.2962666667,-15.9258666668,111.1112,109.6296
191.71,-3.33326666674,115.926066667,147.777733333,28.5186,-23.7036666667,41.8518666668,49.6295333333,94.4444666668,71.8519333332,-31.8517333334,98.5184666665,89.2591999999
192.09,-53.3331999999,166.6666,207.777666667,-2.22219999986,-60.5554666667,44.4443333332,36.1111333332,116.111133333,120.000066667,-78.3331999999,140.555666667,106.666733333
192.47,-64.4444666666,222.2222,274.8148,-24.4444,-26.6666666667,80.0000666668,47.4072666668,148.888866667,155.555533333,-72.5925999998,180.7406,140.0
192.85,-25.0979333333,121.568733333,148.627533333,-18.0390666668,-17.2549333335,41.1765333334,-0.784333333333,91.3725999999,80.0000666667,-34.1176666666,90.1960000001,75.2942
193.23,-95.1110666666,75.9998666668,80.0000666668,-88.8888666667,-109.7776,-17.3333333334,-91.5555333333,11.1109999998,31.1110666666,-119.111133333,43.5555333333,11.5554666668
193.61,-80.9523333333,43.1746666667,59.9999999999,-73.0158666665,-91.1112000002,-1.5872666666,-87.3015333334,-17.4603999999,5.0793999998,-86.3492666665,8.88886666674,-2.2223333332
193.99,-2126.66666667,139.999999998,393.333333335,-2360.0,-2693.33333333,-779.999999998,-2960.0,-1226.66666667,-866.666666666,-2613.33333333,-853.333333334,-820.000000002
194.37,127.719266667,-0.35093333346,-9.12280000001,164.210466667,162.456133333,57.1929333334,187.0174,99.6490666666,65.9649333334,160.7018,59.649,48.4210666665
194.75,175.833333333,13.3333333333,-27.9166666666,206.25,190.833333333,83.75,241.25,115.0,92.0833333332,213.75,50.4166666667,61.6666666666
195.13,203.9214,36.8628,-1.9607333334,218.823466667,220.784333333,99.6080000001,239.999866667,138.0392,119.2156,257.254933333,71.7648666667,92.5489333333
195.51,133.866666667,2.13333333354,-11.2,134.4,154.4,48.8,141.866666667,94.9333333333,74.6666666667,162.133333333,33.8666666665,52.2666666666
195.89,146.9444,15.0000000001,-3.88893333326,160.833333333,175.000133333,55.5555999999,166.1112,115.2778,110.833333333,184.444333333,48.8890666667,73.0556000002
196.27,226.666666667,-7.6922,-54.3588666666,268.205066667,282.051266667,81.0256,270.769133333,180.0,187.692266667,316.923066667,44.6154,108.718
196.65,500.952466667,64.7620666667,-67.6189333334,519.999866667,615.238066667,240.952333333,548.571400001,374.285733334,426.666666667,682.856999999,170.476133333,281.904933333
197.03,-1040.00013333,-88.8888000012,357.7778,-1080.0,-1240.0,-415.5556,-1022.22233333,-715.555599999,-808.888933333,-1504.4444,-262.222133333,-520.000066668
197.40,-432.2224,18.8887999998,369.999933333,-463.333333334,-516.666666667,-112.222333333,-420.000133333,-247.777733333,-294.444466667,-646.666666667,-58.8889333334,-180.0
197.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.16,-118.181933333,126.666666667,361.818,-109.0908,-159.999933333,7.27273333334,-61.2120666666,9.0908,-43.6363333333,-264.848533333,96.3636666667,-1.81820000006
198.54,-81.8519333333,55.5555333333,200.0,-75.1852000001,-104.074,-4.4446,-59.2591999999,-10.0000666668,-42.9630666666,-175.5556,27.0370000001,-22.9629999999
198.92,-54.4928000001,40.8694666666,158.550866667,-69.5652000002,-75.0723999999,-9.85499999986,-50.4346000001,-4.05806666666,-31.8840000001,-135.3622,8.40579999993,-22.0290000001
199.30,-66.6666666666,41.6666666667,171.666666667,-109.333333333,-109.0,-44.0000000001,-77.3333333335,-22.3333333335,-49.3333333335,-171.666666667,-14.6666666666,-44.3333333331
199.68,-44.8649333334,15.8559333333,93.8739333332,-59.4593999999,-50.0900666666,-34.0539999999,-47.7477333333,-8.4684666666,-38.3785333333,-100.900866667,-7.38753333334,-34.5945999999
200.06,-28.4722666667,14.3055999999,86.3888666665,-31.1109999999,-29.0278,-23.0556000001,-37.2222,1.52773333334,-15.6944666667,-75.4166666667,5.97226666668,-16.8056
200.44,-22.6388666667,17.6388666667,92.6388,-17.5,-21.5278,-19.7222666666,-28.4722,11.5276666667,-16.8054666667,-73.7499999999,4.16673333333,-9.16673333326
200.82,-52.7777333333,5.18513333339,95.9258666666,-52.9630666667,-48.1482666666,-50.5555333333,-60.5556666667,-7.40746666659,-41.6666666667,-116.851733333,-22.0369333333,-37.7778000001
201.19,-42.3423333333,28.6487333333,108.828866667,-30.09,-30.8107999999,-26.3062666667,-45.9459999999,10.8108,-25.946,-85.0450666668,-3.2432,-24.3244000001
201.57,-30.9333333333,20.1333333333,72.0,-22.4,-16.2666666667,-19.7333333333,-28.5333333333,11.3333333333,-22.2666666667,-68.5333333333,-3.19999999998,-15.7333333333
201.95,-14.4633333333,16.3841333333,64.6326666667,-16.9492,-6.55373333334,-8.36153333335,-22.3728666667,17.8530666667,-6.5536,-49.6046,3.16393333336,-6.55373333338
202.33,-68.0303333333,-24.6969333333,30.4545333334,-67.1212000001,-45.3030000001,-55.9089999999,-81.2119333334,-22.7272666666,-50.9090666667,-118.181866667,-38.0303333334,-54.3939999999
202.71,-74.188,-26.4957333333,33.8461333333,-69.5726666665,-48.3760666667,-57.0940000001,-83.5898666665,-14.5300000001,-61.8801333333,-135.555533333,-38.8034000001,-56.4101999999
203.09,-82.4444666665,-14.2222,51.1111333333,-71.111,-55.7778666667,-55.1111333334,-83.5553333334,-14.4443999999,-67.7778666667,-158.888866667,-34.8888000001,-60.8889999999
203.47,-38.5366,7.31706666668,55.4472666668,-24.2277333333,-13.3333333333,-19.0243333333,-41.7886666666,10.5691333333,-26.9918666667,-89.2684666667,-3.41466666666,-22.9268666667
203.85,-46.0606,9.697,60.8081333334,-30.5050666667,-18.7878666668,-27.0706,-42.6262666667,5.6564666666,-24.6465333334,-115.3536,-14.3434666666,-30.3030666665
204.22,-41.5384666666,36.4103333333,84.1026666668,-27.6923333333,-5.64093333346,-18.4616666666,-20.2562666667,16.6666000001,-23.0768666667,-130.512666667,-11.7947333333,-34.8717333333
204.60,-79.9999333335,41.2698,93.6507333334,-64.7617999999,-28.2539333333,-27.6190000001,-46.6666666667,1.2698666666,-35.238,-171.428666667,-26.9842000001,-64.1270666665
204.98,-59.7099999999,48.1158666667,98.2609333333,-60.5795999999,-30.7247999999,-11.8839333334,-35.942,-8.69559999988,-31.0144666667,-157.6812,-14.4928666665,-51.8840666668
205.36,-46.9565333334,49.8551999999,107.826066667,-63.4782,-31.0144666665,-20.5797333335,-30.1449333332,-9.8550666668,-27.5361333334,-188.115933333,-18.5507333333,-47.5362000001
205.74,-75.3846,115.8974,238.974333333,-110.7692,-65.1280666667,-11.7948666667,-52.3077333334,-18.9742666667,-46.1539333333,-321.025666667,-8.20500000012,-89.7435999999
206.12,-489.999999999,331.666666667,679.999999999,-486.666666667,-413.333333333,-153.333333333,-306.666666667,-216.666666667,-363.333333334,-1225.0,-183.333333333,-456.666666667
206.50,-7.46666666686,118.666666667,184.0,-19.2,-19.4666666666,38.6666666666,21.5999999999,30.4000000001,4.00000000006,-122.4,29.0666666667,-15.4666666667
206.87,-29.394,119.393866667,193.0302,-55.7575333334,-54.5454666667,15.1513999999,-14.8486,-3.0304,-3.93933333334,-166.060533333,16.9696666668,-41.8182666667
207.25,8.88886666672,102.020133333,163.4344,-13.9393333333,-20.6061333333,32.9292666667,8.88899999994,25.4545333333,21.8180666667,-90.9092666667,31.1110666666,-1.21213333326
207.63,3.46666666666,118.666666667,203.466666667,-34.9333333333,-45.8666666667,36.2666666667,13.0666666666,21.6000000001,9.0666666666,-129.333333333,12.0000000001,-14.1333333335
208.01,13.6111333335,119.722266667,215.555533333,-51.6667333333,-52.7778666665,41.6666,3.88893333332,31.3888000001,5.55559999999,-131.388866667,8.05546666668,-14.4444
208.39,-0.39226666666,137.2548,274.1176,-93.7256666668,-105.490133333,34.5098666667,-23.5294666665,39.6077333332,-12.9411333333,-206.274533333,-16.0784666666,-28.6274666666
208.77,1.7776666668,126.666733333,281.7778,-108.4444,-127.111066667,11.5554666667,-34.2221333333,46.2222666665,-14.6668,-221.777733333,-15.5555333333,-41.3333333333
209.14,47.1796000001,163.077066666,351.794866667,-88.2052000001,-102.051266667,54.359,-8.7180666666,123.589733333,36.9230666665,-225.1282,50.7693333335,-4.1026
209.52,-23.3333333334,331.666666666,823.333333334,-480.0,-550.0,-5.00000000006,-178.333333333,191.666666667,10.0000000001,-843.333333333,43.3333333334,-178.333333334
209.90,-77.3333333332,184.0,535.999999999,-416.0,-468.0,-161.333333333,-210.666666667,62.6666666666,44.0000000001,-690.666666666,-32.0000000001,-180.0
210.28,-2.77780000006,81.1109333334,214.4444,-166.666666667,-188.889,-74.4444000001,-67.7778666665,26.6666666668,22.2222666666,-245.0,4.44446666668,-58.3334000003
210.66,50.0000000002,-265.0,-686.666666667,566.666666667,506.666666667,153.333333333,170.0,-86.6666666668,-59.9999999991,743.333333333,-64.9999999999,93.3333333333
211.03,33.3333333354,-603.333333334,-1533.33333334,916.666666665,783.333333333,223.333333334,80.0000000007,-336.666666667,-130.000000001,1283.33333333,-190.000000001,150.0
211.41,114.5454,6.06046666653,-132.121333333,269.697066667,213.939466667,149.0908,119.393933333,65.4546666666,68.4848666665,327.272666667,66.0604666668,142.4244
211.79,150.0,-20.8333333333,-152.5,366.666666667,289.166666667,209.166666667,215.833333333,129.166666667,72.4999999999,455.0,33.3333333335,150.0
212.17,430.0,-263.333333333,-646.666666665,1180.0,763.333333332,726.666666667,676.666666667,533.333333333,79.9999999987,1520.0,-259.999999999,286.666666667
212.55,-29.2305999999,81.0255333334,112.307666667,-174.359,-82.5640666667,-96.9229333333,-83.0769999999,-53.3334000001,17.4360000001,-199.999933333,75.3847333333,-13.8461999999
212.92,-21.0255999999,70.2563999999,87.1794666668,-216.923133333,-98.4616666666,-105.641,-134.358866667,-86.1538666667,-7.69239999993,-224.6154,60.5129333332,-48.2050666666
213.30,-10.5556666666,58.3333333334,55.8333333333,-105.555533333,-39.7222,-54.1666,-62.2221333333,-49.7223333333,1.11113333346,-106.1112,41.9444666667,-17.4999999999
213.68,11.1712,54.0540666667,62.8828666666,-50.4506,-0.720866666727,-20.1801333333,-22.3423333333,-18.1982,9.7296666666,-51.1710666667,47.5675333333,3.06300000014
214.06,5.5556,56.3888,72.2222,-99.4443333333,-18.6109999999,-41.3889333333,-38.0555999999,-42.7777333333,-18.3333333333,-95.0000000001,52.5001333334,-17.7777999999
214.44,-83.9999999999,55.3333333334,73.3333333333,-332.0,-111.333333333,-187.333333333,-175.333333333,-196.0,-97.3333333333,-318.666666667,32.0,-122.0
214.81,-100.512933333,10.2564666667,-12.8205333332,-272.8204,-139.487066667,-194.358933333,-171.282066667,-182.564066667,-123.589866667,-267.179666667,-6.6665333334,-157.436
215.19,-65.8824,11.3726,-27.0587333331,-203.529333333,-107.843133333,-149.804,-125.882333333,-138.039266667,-85.8823333335,-187.450933333,-8.2352666666,-117.647066666
215.57,-0.833333333334,43.5416666668,26.2500000001,-70.6249999999,-28.75,-43.3333333333,-26.4583333334,-35.2083333334,-11.0416666667,-59.7916666667,33.125,-27.7083333334
215.95,-5.22526666665,39.0991333333,20.3603333334,-57.2973333333,-26.3062666667,-36.7568666666,-14.2342666666,-18.5584666666,-14.2342666667,-49.7296,36.2163333333,-32.0720666667
216.32,-8.14806666667,39.9998666667,23.1481999999,-52.2221999999,-40.5556000001,-36.4814666667,-12.9630666667,-9.25920000007,-21.2964,-50.5555333333,30.5556,-40.7407333334
216.70,-21.6666,38.0951333334,25.7142,-72.8572,-70.7144666667,-67.1428666666,-26.4285333333,-27.3809333333,-33.3332666667,-72.6190666667,23.0952,-59.0475333331
217.08,-30.5376666667,27.7419333333,14.4084666667,-56.3442000001,-69.6773333334,-67.5269999999,-22.1505333334,-33.9784000001,-36.9891999999,-70.7526666667,7.74213333336,-49.6772666667
217.46,-27.0476666667,15.0476,13.3334000001,-36.5714666667,-64.1904666667,-54.6666666667,-12.0,-20.5713333333,-30.2858666667,-60.9523333334,5.52360000002,-42.2856666667
217.83,-74.2858000001,-16.1906,-6.98413333334,-76.1904000001,-143.174666667,-106.666666667,-58.0953333333,-58.7302000001,-80.9523333333,-121.904866667,-23.1745333332,-106.666666667
218.21,-7.31706666666,31.3821999999,32.8455333333,0.48786666666,-33.0081333333,-17.2357333333,2.1138,2.439,-2.92673333333,-27.9674,22.2763333333,-21.3007333334
218.59,12.109,41.2245333333,44.8980666667,16.1904666667,-12.2448,-6.66666593983e-05,17.8229333333,15.7822666667,10.4762,-15.2380666666,35.9184,-7.61906666664
218.97,9.55966666665,31.195,39.7484666666,15.4717333333,-11.4464666667,-1.88686666667,7.54719999999,9.55973333332,11.4464666667,-18.7422,25.0316666667,-9.05653333334
219.34,-3.68793333335,25.9574,43.2624666666,12.1985333333,-19.5744,-4.82266666668,-3.2624,6.09939999999,6.80853333333,-27.8015333333,22.6948666667,-16.1702
219.72,-32.6495333333,3.24786666673,25.4700000001,-17.6068666667,-45.2990666667,-34.8717333334,-35.8975333333,-19.4872,-19.1452666667,-63.0769333333,1.70933333333,-49.0597999999
220.10,-2.72746666667,14.8484,46.5150666667,0.45459999998,-20.0000666667,-7.57573333333,-14.3938666667,0.30313333334,2.27266666667,-40.1515333333,13.6362666667,-23.1817999999
220.47,11.5152,19.0301333333,49.9394000001,9.9392,-6.78793333336,7.51513333334,-6.54539999999,8.72726666666,14.7879333334,-23.7576,18.9090666667,-3.99993333332
220.85,15.8024,25.0618,54.9383333333,20.1234,-2.46906666665,26.7902,1.7284,15.6790666667,18.0246,-21.7282666667,32.3456666667,-3.70373333334
221.23,25.2379333333,31.3094666667,59.8809333333,23.8096,1.42860000001,38.4524,10.5954666667,18.5713333333,29.6428666667,-17.5000666667,41.5476,1.90473333333
221.61,35.8519333333,41.1851333334,75.5554000001,18.2221333333,-6.96293333334,34.9630000001,1.62953333334,14.9629333333,33.037,-28.8889333334,49.6296666667,-2.96293333333
221.98,39.0278,53.3334000001,80.6944000001,22.6389333333,8.47226666667,36.8055333333,12.2222666667,22.3611333333,40.1389333333,-22.6388,50.6944666667,11.9444
222.36,46.6665333333,56.7948666666,83.2050666666,26.0256,11.1537333334,41.2820666667,19.2308666666,31.7949333333,44.6155333333,-9.48719999998,55.5126666667,20.5128666667
222.74,43.4703333333,54.7032666667,66.8492666666,30.411,16.4384,38.8128,19.726,33.8812666667,44.2007333333,5.11420000001,50.0455333333,28.7671333333
223.11,49.6666666667,65.75,68.6666666667,36.0833333333,22.75,47.0,29.4166666667,39.9166666667,47.6666666667,11.0,57.9166666667,36.3333333333
223.49,52.2605333334,61.456,62.7586,34.7127333333,22.8353333333,44.5976666667,31.6476,37.318,49.0422,11.1878,58.3906666667,37.7011333333
223.87,52.5301333333,61.4458666667,57.4297333333,31.8875333333,18.6346,42.9718666667,28.755,35.1004,48.4337333333,7.7912,52.0481333333,40.482
224.24,44.2696,54.3819333333,46.3669333333,26.5168666667,11.4606666667,35.5056666667,21.9476,27.1911333333,44.4196,4.49446666665,45.8427333333,33.7827333333
224.62,39.1156,50.5442,41.6326,22.8570666667,12.381,30.9523333333,22.517,22.6532,42.5169333333,5.23806666667,42.3809333333,28.1632
225.00,35.8,45.8,38.2666666667,19.2666666667,9.33333333334,24.3333333333,16.8666666667,17.2666666667,40.3333333333,3.2,38.2666666667,25.4666666666
225.38,27.3651333333,41.3332666667,34.9840666667,15.4920666667,7.36500000001,18.4761333333,12.8888,13.8413333333,32.127,1.14280000001,34.1588,22.6666666667
225.75,15.5345333333,31.8867333333,23.4590666667,5.9748,3.45906666667,11.4466666667,5.84913333335,5.34586666667,22.3271333333,-7.86166666667,20.8176666667,12.5158
226.13,17.0868,30.7002666667,21.9047333333,8.96353333333,4.25766666667,14.8458,8.79546666667,8.73946666667,22.6329333333,-2.40900000002,21.6246,15.35
226.51,11.0593333333,25.5813333333,16.951,6.61493333333,0.568399999996,11.5762666667,4.90953333334,4.59953333333,18.4496,-6.20146666667,17.416,12.0932
226.88,14.5494666667,25.0450666667,18.9639333333,10.2704,5.18020000001,16.7117333333,9.50453333333,8.91893333333,19.5946,0.3152,18.8738666667,15.5406
227.26,11.3888666667,16.9841333333,14.9603333333,6.66673333333,3.73026666666,11.3491333333,7.02386666667,5.11913333333,15.3969333333,0.198533333338,14.4443333333,12.7777333333
227.64,10.2438,17.1708666667,14.0812666667,5.78846666667,4.06513333332,11.2195333334,7.60986666667,6.3414,12.9756666667,2.4716,13.2683333333,11.1544666667
228.01,5.94426666667,13.1389333333,11.9723333333,2.8334,2.11113333333,8.36099999999,5.77780000001,2.63886666667,8.38893333334,0.305533333334,10.9444666667,6.25013333333
228.39,7.12073333333,14.4324666667,13.6916,4.9702,5.87813333333,10.1074666667,8.69773333333,4.61159999999,9.773,3.17806666667,10.6809333333,8.33926666667
228.76,5.14353333333,12.2516666666,11.9647333333,3.3776,4.43719999999,8.54306666667,6.79913333333,2.27373333333,7.8146,1.32453333333,7.77046666667,7.28466666666
229.14,5.85553333335,13.8674666667,12.1859333333,4.76746666667,5.85553333333,9.83186666665,8.28893333333,3.14533333333,8.70420000001,3.6202,8.11086666666,8.447
229.52,7.25053333332,15.0470666667,12.4670666667,5.631,6.59133333334,10.8850666667,9.17139999999,4.70813333333,10.6592,4.7082,8.58759999999,9.45380000001
229.89,8.09033333333,15.243,12.9514666667,6.89246666667,6.70146666666,11.5278,9.6526,5.36453333333,11.5972,6.04166666666,9.6008,10.9027333333
230.27,7.15680000001,13.7744666667,12.1896,6.71553333333,5.47380000001,10.0653333333,8.61120000001,3.52946666667,11.4542666667,5.5556,8.69286666666,9.73866666666
230.65,6.66666666666,13.2537333333,11.3126666667,6.36433333333,5.23486666666,9.53066666667,7.93960000001,3.1504,11.7742,5.4256,8.56013333333,10.2626
231.02,3.60906666667,10.7602666667,9.57386666667,3.72599999999,2.8906,6.93400000001,5.29653333333,-0.016666666666,9.42353333335,2.42273333333,6.1654,7.81953333334
231.40,4.62913333333,11.9803333333,10.6598666667,5.0856,4.10746666667,8.7366,6.30793333333,1.8744,11.5564666667,3.79766666667,7.79126666667,8.96473333333
231.78,4.24093333333,11.8405333333,11.1280666667,5.46219999999,4.05426666667,8.93973333333,5.69966666667,0.848199999999,12.2306666667,2.88393333333,6.85326666667,9.51653333333
232.15,6.40346666666,12.6666666667,12.2282,7.77193333333,5.42113333334,10.7896666667,5.59653333333,2.5788,15.386,4.98253333333,8.456,11.4736666667
232.53,4.28579999999,10.4952666667,9.69526666667,6.00006666666,2.91413333333,9.08566666667,2.32386666666,-0.323866666666,14.6286,2.819,6.97133333333,9.02853333334
232.90,5.37253333333,11.8823333333,9.88253333333,7.45100000001,3.0196,10.0392666667,3.2746,1.15693333333,16.1567333333,5.15686666667,8.86273333333,9.23519999999
233.28,1.36533333333,6.44566666666,5.82333333333,2.97186666667,-0.682666666665,5.50193333333,-1.34546666667,-2.97186666666,12.1886,1.0844,4.19673333333,5.20073333334
233.66,3.0724,6.24153333333,7.47826666666,4.48313333333,1.21733333333,6.14493333334,-0.328599999999,-1.79706666667,13.9516666667,2.51206666667,5.3526,6.68613333333
234.03,7.51813333334,10.7608666667,11.0327333333,9.0762,6.30426666667,10.5616,3.71373333334,2.6268,18.1522,7.13766666667,10.1448666667,10.9600666667
234.41,6.61199999999,10.8560666667,10.4188,7.30413333333,6.1748,10.0000666667,3.06006666667,2.24053333333,17.4862,6.2114,9.14379999999,9.63573333333
234.78,4.93146666667,8.40173333334,9.11426666666,5.1506,3.653,8.32880000001,0.584533333334,-0.2192,15.306,4.41999999999,6.83106666667,6.44753333335
235.16,4.4912,6.82453333333,7.193,4.78953333333,2.73673333333,7.36846666666,-0.0525999999994,-0.578933333334,14.2806666667,3.84213333333,5.64913333333,5.89479999999
235.54,2.5158,5.08546666667,5.15706666667,3.7018,0.736666666669,5.55266666667,-2.65946666667,-3.23446666667,12.4170666667,1.9766,3.3064,3.73773333333
235.91,1.8586,3.75106666667,3.8022,3.359,0.716,4.85940000001,-3.03493333333,-3.5636,11.2190666667,1.82433333333,3.01773333333,3.06906666666
236.29,1.73986666667,4.94313333333,4.68293333333,4.24406666667,1.6748,5.72359999999,-1.69106666667,-2.87806666667,11.4959333333,2.5204,3.47966666667,4.11386666666
236.66,1.7552,5.04986666667,5.45026666666,4.2956,1.53966666667,5.68126666666,-1.5552,-2.30946666667,10.9776666667,3.03306666667,3.41806666667,5.06553333333
237.04,-1.2684,2.87686666667,3.109,1.6396,0.185733333333,3.69693333333,-3.9906,-4.60946666666,8.75473333333,0.0617999999986,0.618666666667,3.29466666667
237.41,0.869533333333,6.02586666667,5.675,4.57666666667,2.97473333333,6.39200000001,-1.29673333333,-1.84586666667,11.4111333333,2.59346666667,3.52399999999,6.37686666666
237.79,-0.649066666667,5.0886,4.528,3.67253333333,2.21233333333,5.78173333333,-1.94693333333,-2.75806666667,9.92633333333,1.51926666667,2.18286666667,5.35393333334
238.17,-4.09566666667,1.8684,1.59933333333,0.179266666668,-1.3154,2.43653333333,-5.5306,-5.75473333333,7.13,-2.07773333333,-1.62933333333,1.67393333333
238.54,-0.476200000002,4.40833333333,3.9456,3.1292,1.34693333334,5.7006,-2.63946666667,-1.93213333333,9.19733333333,1.02053333333,1.79586666667,4.50333333333
238.92,2.0112,6.25706666666,5.33833333334,5.17693333333,3.48853333333,7.48613333334,-0.1118,0.384866666668,10.6145333333,2.85533333333,3.30233333333,6.57980000001
