wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
788.07,13.2134444444,44.6697777778,15.0151111111,46.263,21.8717777778,13.7843376068,9.80966666667,15.8242222222,13.2633333333,22.3888888889,22.2556666667,12.0122222222,12.3874444444
788.38,13.5433333333,45.2941111111,15.1092222222,46.4848888889,22.0141111111,14.2419401709,10.0533333333,15.9921111111,13.2434444445,22.7885555555,22.2891111111,11.9773333333,12.7935555556
788.69,13.667,45.0503333334,15.0028888889,46.0711111111,21.6996666666,14.0645384615,9.93299999999,15.8078888889,12.9533333333,22.6537777778,22.2057777778,11.7583333333,12.6131111111
789.00,14.2846666667,45.6986666667,15.4462222222,46.5993333334,21.9277777778,14.7551410256,10.1263333333,16.1784444445,13.266,23.0134444445,22.6848888889,11.7425555556,12.8872222222
789.31,14.486,46.6887777778,15.7358888889,46.9607777778,22.1371111111,15.4321709402,10.4056666667,16.8917777778,13.3554444445,22.9958888889,23.1572222222,12.2504444445,13.1854444444
789.62,15.2513333333,47.1396666667,16.916,47.3257777778,22.6953333333,16.369440171,11.1871111111,17.6765555556,14.2118888889,23.5404444444,23.7261111111,12.8685555555,14.0515555556
789.92,15.5088888889,47.4942222222,17.4701111111,48.0907777778,23.5355555555,16.6281923077,11.621,18.0315555556,14.6015555555,24.0798888889,24.1142222222,13.4527777778,14.8956666667
790.23,16.1527777778,47.8964444445,18.5683333333,48.6077777778,24.5762222222,17.2714316239,12.3672222222,19.1918888889,15.7488888889,24.8132222222,25.2173333333,14.8703333334,15.7398888889
790.54,16.3677777778,48.8038888889,18.9052222222,49.2748888889,25.0952222222,17.5479444444,12.9961111111,19.8024444445,15.9596666667,25.186,25.8654444444,15.4792222222,16.2496666666
790.85,17.35,49.9394444444,20.1488888889,49.9955555555,25.7927777778,18.5222136752,13.8912222222,20.6601111111,17.0432222222,26.295,27.3548888889,16.5411111111,17.2477777778
791.16,18.4998888889,50.9257777778,21.0905555555,50.4584444445,26.8797777778,19.5107136752,14.6183333333,21.6985555556,18.1816666667,26.9453333333,28.1984444444,17.5924444444,18.7243333333
791.47,19.8007777778,51.2805555556,21.9893333333,50.7592222222,27.7263333333,20.4698247863,15.8236666666,22.3993333333,19.1207777778,27.8942222222,29.1701111111,18.6552222222,20.0148888889
791.78,20.1995555556,50.9507777778,22.3152222222,50.5035555556,28.0015555555,20.8787735043,16.7877777778,22.5577777778,19.6868888889,27.7963333333,29.8937777778,18.9036666667,20.5163333333
792.08,20.7185555556,50.6174444445,22.7235555556,50.5986666667,28.4972222222,21.6390512821,17.1261111111,23.1596666667,20.4122222222,28.0236666667,30.0473333333,19.4932222222,21.2382222222
792.39,19.7007777778,49.3948888889,21.8803333333,49.7366666667,27.7915555556,20.7249273504,16.6436666667,22.684,20.1902222222,27.2097777778,29.2507777778,19.1002222222,20.9474444444
792.70,19.3774444444,48.0215555555,21.2861111111,48.8834444444,27.1986666666,19.9764273504,15.856,21.8976666667,19.7201111111,26.6611111111,28.1716666667,18.2095555555,20.1835555555
793.01,19.2767777778,48.0505555556,21.0517777778,49.0794444445,27.3575555556,19.864465812,15.8406666667,21.7123333334,19.6262222222,26.6211111111,27.9902222222,18.2857777778,19.9376666667
793.32,18.6758888889,47.6136666667,20.8923333333,48.4437777778,26.6835555555,19.6180341881,15.3745555556,21.2318888889,18.9398888889,25.8535555556,27.1175555555,18.2417777778,19.4396666667
793.62,18.8304444444,47.4005555556,20.5263333333,47.5395555556,26.1885555556,19.2588504274,15.4017777778,20.6746666667,18.5708888889,25.4565555556,26.5498888889,17.8018888889,19.5717777778
793.93,19.4992222222,47.606,20.8333333333,47.5602222222,26.6996666667,19.594940171,15.6888888889,20.9795555556,19.2617777778,25.8405555556,26.8365555555,18.421,20.4038888889
794.24,19.3563333333,47.7262222222,20.7033333334,47.3917777778,26.9413333333,19.3121025641,15.6404444445,21.0107777778,18.9586666667,25.5673333333,26.2094444444,18.3617777778,20.7395555556
794.55,19.6491111111,47.8633333333,20.9896666667,48.2772222222,27.0445555556,19.4590940171,16.0414444444,21.2327777778,19.1993333334,25.821,26.2526666667,18.5155555556,20.9537777778
794.86,19.0386666667,47.6821111111,20.6258888889,48.4757777778,26.5964444445,18.9604316239,15.9902222222,20.7251111111,18.6958888889,25.4868888889,25.938,18.4974444444,20.3732222222
