wavelength,Back_OryFunf,Belly_OryFunf,Breast_OryFunf,Crissum_OryFunf,Crown_OryFunf,DorTail_OryFunf,Patch10_OryFunf,Rump_OryFunf,Throat_OryFunf,WingTip_OryFunf
206.87,-853.809533334,-1098.80958333,-490.9524,-858.571533333,-570.476266667,-829.999999999,-519.047666666,-633.015888888,-523.741428572,-823.809599999
207.25,866.190533333,1086.90483333,423.333333333,823.8096,560.952466667,783.3334,493.333333333,613.015955555,524.421728571,792.857166667
207.63,795.714399999,988.095333332,417.619133333,780.476266667,491.428666667,746.190399999,371.428533335,489.841311111,522.040809524,696.666799999
208.01,515.833233334,625.6945,293.611233333,498.611066667,328.888933333,476.6667,322.777666667,332.222133333,349.047638095,458.888866666
208.39,5970.00000001,7408.33333333,3583.33333333,6036.66666667,3846.66666667,5353.33333333,3420.0,3624.44444445,4082.38095238,5520.00000001
208.77,454.222066667,565.0,302.222466667,453.5556,302.6666,440.000033333,309.333266667,284.740755555,331.777780952,447.777866667
209.14,247.5556,310.000083333,164.666533333,233.666566667,172.444533333,236.889033333,176.888933333,149.703822222,188.587252381,248.888833333
209.52,169.0071,219.148833333,115.177266667,155.248033333,115.460933333,168.368833333,131.3474,110.827377778,132.694942857,164.326233333
209.90,124.166866667,154.42725,86.6666333333,111.875033333,81.9794000001,116.6669,96.2502,82.6737777777,104.620728571,117.239766667
210.28,131.7778,157.361,87.3333333333,107.8335,82.7778666667,116.8888,94.4444000001,90.5925777777,108.325228571,118.4445
210.66,120.051266667,147.692416667,73.6409333333,94.4615666667,75.7949333333,107.1797,84.4103333333,83.5897111111,96.0878571429,100.615333333
211.03,104.026,126.407,67.0994666667,79.9132666667,63.5498,87.3595000001,72.5541999999,72.3809555555,80.8225095238,85.0216333333
211.41,88.7341333333,118.354333333,63.7552666667,71.8143,57.2150666667,75.8227,68.8608000001,68.3545111111,73.9299761905,75.4851333333
211.79,77.2357666668,114.329166667,51.3821,62.4795666667,47.9674666667,61.7885,64.9594000001,64.5257777778,62.6364523809,65.2438666667
212.17,85.9154333333,130.046916667,52.9108333333,70.8921666667,51.4553333333,71.9719,65.6337999999,76.5570888888,75.1240999999,73.3334333333
212.55,77.4074333333,117.129666667,46.7129333333,68.1019666667,37.5000666667,60.5554666668,59.1666666667,69.5987555556,65.3636619047,66.7591666667
212.92,105.476166667,170.03975,41.9840333333,94.8414000001,29.6824666667,70.0000000001,65.2381333334,90.3704666667,75.7824476191,85.5554999999
213.30,158.452266667,246.726333333,75.2382333332,144.5237,40.9523999999,104.2858,91.4284666665,146.746,113.928371429,133.809666667
213.68,237.291666667,380.208333333,91.0416666665,198.75,31.25,121.25,109.583333333,192.777777778,163.511904762,215.0
214.06,-192.777733333,-382.639,-6.9444666666,-185.5557,50.0001333335,-72.2222999999,-53.8888,-160.370311111,-86.9841999998,-196.111
214.44,-19.6551666666,-98.8505833333,42.2991,-45.0576,61.8391333335,11.9540333333,31.4942666668,-7.04991111112,19.3268428573,-33.3332333334
214.81,5.1352,-48.4232500001,47.8378333333,-30.1802,56.5766666667,22.0720333334,45.7657333333,13.8137555556,22.5482285716,-15.7657
215.19,29.3940333333,-9.09075,49.5758,-4.788,54.1819333333,22.7877666667,48.3636666667,28.0808000001,30.3723714285,1.27263333334
215.57,18.2222333333,-10.0000833333,41.2778666667,-13.6666666667,48.8889333333,15.9999666667,38.8889333333,19.8887777778,24.6587809524,-5.3888
215.95,9.1984,-7.48958333332,23.3755666667,-13.6289333333,30.8861333333,8.18583333335,27.7637333333,9.67640000001,14.6051285714,-14.557
216.32,16.4136,0.422083333333,31.0124333333,-10.3795,41.2659333334,21.3080333333,32.5739333333,22.7286,24.472547619,-7.9324
216.70,16.4609666667,1.33741666667,37.8600666667,-6.50206666666,40.0,23.7037333333,31.6049333333,21.7832666667,23.7860285714,-3.49793333332
217.08,7.61193333334,-12.1890833333,23.2339,-15.2737666667,33.5323333333,17.6616333333,25.4727333333,11.0780222222,15.7072809524,-15.3730999999
217.46,25.3808333333,2.5,38.9523,1.14276666666,44.0001333333,31.5236666667,36.0000666667,23.3016222222,26.7958285714,-1.3809
217.83,21.7204333333,-1.88174999998,30.43,-7.0969,39.9998666667,20.3226333333,34.301,15.5196,15.6375333333,-6.29046666668
218.21,2.89306666666,-28.1446666667,12.6414333333,-26.8553,24.9057333333,6.66656666667,14.5914,-2.7672,0.44032380954,-23.0189333333
218.59,-13.9457,-45.5781666667,0.9525,-31.0884333333,18.7755333333,0.476299999994,7.75513333332,-11.9274444445,-9.57236666668,-31.7688
218.97,5.4285,-17.0239166666,13.5238666667,-7.90483333333,27.0476,19.7618666667,22.7618666666,8.66655555555,16.3810857143,-12.4286333333
219.34,12.3292333333,-2.1085,20.2008333333,5.82336666668,32.8514,28.1123666667,25.7028666667,16.8942,24.1766952381,-1.0442
219.72,12.4175333333,1.09883333334,17.6189333333,9.4505,27.2528,26.7031666667,27.3994,20.1466444444,18.2993857143,-1.83133333335
220.10,6.91536666666,-6.59208333335,16.9652666667,7.86066666668,30.2486666667,26.1192333333,29.8506666667,22.6864444445,15.252247619,-9.90046666667
220.47,8.54166666666,-2.18750000002,14.5833333333,11.1666666667,24.1666666667,24.3333333333,27.0833333333,15.6944444445,16.5595238095,-3.41666666667
220.85,13.0081333333,-0.101583333318,18.3739666667,18.3333333333,26.5854,28.7804,32.8455333333,18.6721555556,21.0627238095,-0.56893333332
221.23,18.1883,11.0506666667,30.7608666667,23.7320333333,30.3624,34.8189,36.3044666667,30.1691111111,25.0880428571,13.5868666667
221.61,12.0882333333,7.73091666667,25.9839666667,20.9638666667,30.5221333333,32.2491,36.5462,30.8969777778,23.6832476191,11.0040666667
221.98,6.02153333331,8.06450000002,23.9067333333,15.1612666667,26.38,27.5985,30.3942666667,24.6594222222,23.3844571429,6.20066666667
222.36,-3.25296666669,0.602416666668,20.0402666667,11.4055,19.5984666667,20.2008,26.0240666667,13.9491111111,13.6603238095,-6.86753333332
222.74,-3.45673333333,0.823083333342,21.1109333333,10.6994666667,18.4361333333,13.7861333333,19.8356,11.4951333333,11.2521619048,-14.6914
223.11,-16.1111333333,-9.59591666667,12.8282,13.8888,11.7171333333,9.49473333335,10.707,-0.168333333314,-2.72734761904,-29.9494666667
223.49,-42.0606,-39.8485,-8.1212,-12.1212,-16.7273333333,-16.7273333333,-11.2728,-28.3636,-35.4544619047,-61.0303666666
223.87,-39.3220666666,-42.7965833333,-9.09596666668,-18.3617,-12.7684666667,-18.3051000001,-7.34466666667,-27.4199777778,-34.0757857143,-61.0169333333
224.24,-24.697,-24.7475,2.47496666665,-7.62613333333,0.60613333334,-4.44459999993,-2.6262,-13.2322888889,-21.2265095238,-39.7474
224.62,-46.6013333334,-39.86925,-7.05886666667,-19.5423666667,-10.0652666667,-16.4707333333,-9.54246666669,-24.3573111111,-35.8169666667,-67.5816
225.00,-72.1986999999,-63.1206666667,-39.2198333333,-39.0069666667,-38.0142666667,-53.0495333335,-34.1843333333,-48.8415111111,-70.0100476191,-98.7944000001
225.38,-84.1666666667,-74.7916666667,-52.5833333333,-47.8333333333,-40.0,-74.7500000001,-43.6666666667,-72.3333333334,-80.5357142857,-124.5
225.75,-50.3471666666,-44.96525,-28.3334,-30.8335,-17.7776,-47.7084666667,-19.7222666667,-40.2778444444,-43.5219428571,-82.9165000001
226.13,-23.8181,-29.3938333333,-7.09106666667,-16.0608,-4.60606666666,-18.9696666667,0.6062,-13.4545111111,-18.6320761905,-56.9091333333
226.51,7.88730000001,4.46000000001,17.7934333333,7.1833,24.1315333333,14.7888333333,26.9483333333,19.3426444445,15.5802571429,-17.9809333333
226.88,27.5581,23.4495833333,30.1162,21.8217666667,38.9922,36.8992,44.1084666667,36.4598666667,30.1384904762,7.20933333334
227.26,26.6299,17.857,28.9378333333,19.4504666667,34.2857333333,33.663,39.194,37.1183555556,26.2637047619,10.4028666667
227.64,27.5000333333,20.1121666666,30.4806333333,20.5448333333,32.9486,36.218,40.577,38.4829777778,30.1511857143,12.9487333333
228.01,22.9533666667,19.3713333333,25.9064333333,18.1287,24.5613333333,33.0995333333,30.4679333333,30.8576444445,25.6600761905,11.4034
228.39,17.3055666667,10.3474166667,18.4166666667,10.3889,16.1110666667,25.0277333333,24.4444,22.3703777778,20.0237809524,3.02793333334
228.76,16.0539333333,9.80391666668,17.9657666667,9.2158,13.7746666667,21.1031,21.3235333333,19.9020444445,19.4362238095,1.39706666666
229.14,25.5022333333,20.3195833333,30.3652666667,18.7442333333,25.2510666666,33.1963333333,31.6894666667,30.9132888889,32.7234666667,14.1096333333
229.52,19.3764,16.0671666666,26.043,10.7675666667,18.609,30.2877333333,26.0910666666,28.2812888889,28.9413714286,7.69800000002
229.89,15.4105666667,13.5265833333,24.8310333333,7.24626666667,13.8162666667,26.9323666667,20.918,23.6392888889,24.3616952381,2.05316666666
230.27,9.54206666667,5.40716666666,20.3307333333,-0.915966666674,6.66673333332,19.6183333333,13.4351333333,16.5225777778,16.2378142857,-4.35126666666
230.65,3.04236666665,-2.84383333334,13.7831333333,-7.46026666666,-1.37539999999,12.0634666667,5.71446666667,10.4763555556,6.98040476191,-8.49213333334
231.02,-5.5826,-9.0785,7.75053333334,-13.2248,-9.1056,4.79666666666,-2.3848,1.69826666667,1.0685047619,-12.6828666667
231.40,-3.89333333336,-1.06666666667,9.76,-10.3466666667,-5.97333333333,5.86666666668,-0.586666666668,1.15555555556,4.06857142856,-10.5066666667
231.78,-4.31886666667,0.217333333343,6.95646666667,-4.05793333332,-4.98553333333,6.78263333334,-1.97099999999,1.23662222222,5.53204761905,-8.46376666667
232.15,-5.86799999998,-1.6495,7.63883333334,-4.79166666666,-6.9444,7.84726666666,-3.12493333333,2.06017777779,8.59129999999,-10.6944333333
232.53,2.93733333332,11.9636666667,19.2739333333,6.53473333334,3.03633333333,16.8646666667,4.68646666666,11.2649777778,17.8029333333,4.2904
232.90,-1.92433333335,8.33333333334,10.5155666667,3.60813333334,1.09953333333,13.5738333333,-2.61173333335,8.15575555555,10.2159714286,2.81786666668
233.28,-16.7391666667,-6.70291666668,-2.82616666667,-9.34786666667,-14.855,1.7753,-22.0288,-8.4298888889,-7.43272857143,-12.3552666667
233.66,-8.57666666666,-3.1835,4.04516666665,1.64786666666,-10.1124,9.96273333335,-17.2285333333,-3.72044444446,-1.80846190477,-7.37826666666
234.03,-19.3505333333,-13.6365,-6.36356666667,2.42436666668,-17.8356666667,10.6060666667,-28.0519333333,-13.9971555556,-11.9173190476,-12.2941666667
234.41,-18.9451,-6.75124999998,-5.02103333333,10.5909,-15.6119333333,14.5569666667,-24.8102,-12.3769111111,-8.96916666667,-12.0675666667
234.78,-18.7234333333,-6.47166666667,-5.63836666668,8.12053333332,-16.5248,10.4963333333,-21.773,-13.2151111111,-7.88245238094,-14.5035333333
235.16,-21.5437666666,-11.8420833333,-8.07016666666,6.21063333333,-22.8070666667,3.50883333334,-24.4209333333,-17.0291555555,-7.73436666667,-23.3334666667
235.54,-17.7777666667,-13.8096666667,-5.33323333332,9.58736666667,-15.0476,6.4445,-19.6826,-12.4021333333,-1.71877142857,-17.8094666667
235.91,-18.5798,-15.3624166667,-5.53636666666,1.99996666667,-15.8260666667,3.36230000001,-17.9709333333,-13.1012888889,-2.14889047619,-21.1883
236.29,-17.8512,-12.7411666667,-5.17913333334,5.92293333333,-12.7822666667,1.21213333333,-16.2534666667,-9.62337777779,-0.692638095234,-16.6941333333
236.66,-9.55883333334,-5.51466666666,0.17153333332,13.9460666667,-4.2648,8.52933333333,-4.85286666666,-1.48686666665,7.84304761904,-6.12736666667
237.04,0.265766666682,2.89849999999,11.8841333333,23.2126666667,2.65706666666,16.6426,7.14973333332,7.63284444444,18.0607333333,5.91776666666
237.41,5.26570000001,8.87683333333,14.3961666667,26.4976333333,5.99039999999,20.3380333333,15.2174666667,14.3318888889,22.4776142857,10.2173
237.79,6.29136666665,7.83683333334,10.8830666667,21.6998,3.88539999999,18.9625,12.5828,10.3606222222,17.6064190476,8.89630000001
238.17,11.8254666667,12.3016666667,15.9324333333,23.4521666667,9.04766666666,22.5794666667,18.0952,17.4205777778,22.9478,11.6866333333
238.54,10.1349666667,10.0673333333,12.6397333333,20.8284333333,6.55093333333,20.4817666667,17.8419333333,16.7885555556,19.4109857143,10.8863333333
238.92,17.7966666667,17.7495,19.9624,28.3992333333,15.1036,29.6988,25.3484666667,25.9259333333,27.0783047619,17.5140333333
239.29,16.6667,16.9340833333,15.2763,25.2406333333,14.9732666667,30.4990333333,22.5312666667,24.4327111111,22.0957047619,15.1692
239.67,10.0854666667,11.5811666667,8.0854,16.4103,8.06833333333,23.3163333333,16.6495333333,17.8006,11.9927761905,5.89733333333
240.04,8.61106666666,11.07025,7.2222,15.6372666667,7.90859999999,23.3987,14.6078666667,15.403,9.34866666667,4.57529999999
240.42,10.7860333333,11.8564166667,10.2980333333,14.4985333333,9.86446666667,22.6829333333,15.6638666667,14.5346888889,10.1819523809,7.03256666666
240.79,8.16846666665,9.24916666668,8.16866666666,12.0391666667,7.37493333333,19.2308333333,12.2101333333,11.2493777778,6.26732857143,3.84630000001
241.17,6.54796666666,6.76925000001,5.49083333333,9.92453333333,5.69566666667,17.3247333333,9.47133333334,8.38555555554,3.76485714286,2.5998
241.54,8.00946666667,6.43183333334,7.04230000001,10.4600666667,7.07973333333,17.3898,10.1409333333,9.32082222221,4.71767142857,4.89190000001
241.92,6.5358,6.24491666666,6.92876666667,9.54153333333,7.17453333333,15.5036666667,9.68073333334,9.25468888889,4.34183809524,5.43823333333
242.29,6.33766666666,5.82983333333,5.7165,8.65483333333,6.81293333333,14.1154666667,8.45040000001,7.89964444445,3.20073333333,6.4619
242.67,9.22870000001,8.36683333334,8.22936666667,10.5433,9.3494,15.7008666667,10.2078,9.93504444444,5.45851904762,8.9538
243.05,6.9988,5.64758333332,5.72266666667,7.84506666667,6.90093333333,12.5977666667,7.57813333333,6.39322222221,2.3949047619,6.9466
243.42,7.24643333332,5.48216666666,6.52816666667,8.11586666667,7.637,12.3879666667,7.81333333334,5.90631111111,2.88861428571,8.34906666667
243.80,9.20433333335,7.80583333332,9.01146666667,10.0542,9.52386666667,14.0746,9.42740000001,8.29411111112,5.57560952381,11.1573
244.17,10.5594,9.21274999999,10.8362,11.0786,10.7152,15.3748666667,10.7844,9.94628888887,7.24172380952,13.3623
244.55,10.0449333333,8.74158333332,9.99426666667,10.1184333333,10.428,15.1632,10.8108,9.5532888889,7.3616,12.4382666667
244.92,7.317,5.86075,7.66643333333,6.31696666667,7.3662,12.2569,7.95626666667,7.00908888889,4.88438571429,9.46436666666
245.30,5.287,5.20516666666,6.21176666667,4.9506,6.05333333334,10.7567333333,6.62706666667,6.03691111111,4.10985714286,7.83393333333
245.67,3.5483,4.39075,4.83873333333,3.6918,4.5966,9.3593,5.3494,4.36691111111,3.20641428571,6.42016666667
246.05,5.93643333333,6.35925,7.0197,5.9644,6.49186666667,11.2103,7.85699999999,6.08735555556,5.6236952381,8.4405
246.42,4.9531,5.53141666667,6.42096666667,5.07956666667,5.45906666667,10.2170333333,7.54153333334,5.13622222222,4.79070952381,7.17646666667
246.79,3.96376666667,4.6445,5.00683333333,4.36286666667,4.44666666667,9.3998,6.8946,4.14488888889,4.30724761905,6.5594
247.17,3.27146666667,4.19758333334,4.15903333333,3.72936666667,3.80973333333,8.76310000001,6.51826666667,3.90642222222,3.89000476191,5.8597
247.54,3.88103333333,4.89866666667,4.9506,4.33626666667,4.24926666667,9.12736666666,7.54786666666,4.88508888889,4.82609047619,6.4
247.92,4.66113333333,5.46908333333,5.31093333333,4.9021,4.9132,10.0616333333,8.39773333333,5.65826666667,5.7987952381,7.42013333333
248.29,3.79556666667,4.1875,4.29666666667,3.96166666667,3.86486666666,9.15000000001,7.51386666667,4.84664444445,4.95802380952,6.64163333333
248.67,3.6161,3.84083333333,3.85473333333,3.863,3.62733333334,9.06819999999,7.20453333334,4.77544444444,4.71673809524,6.689
249.04,5.10483333333,4.84775,4.96783333333,5.18573333333,4.91753333333,10.7181333333,8.67279999999,6.09106666667,6.07384761905,8.1365
249.42,6.40833333333,5.26433333333,6.20846666667,5.91783333333,5.69146666667,11.7150333333,9.42166666667,6.75893333333,7.26034285715,9.22473333334
249.79,6.35913333333,5.0925,5.89466666667,5.74726666667,5.53673333333,11.4375,9.28433333333,6.73366666667,7.29872857142,9.09926666667
250.17,4.29993333333,3.20175,3.8318,4.42623333333,4.03013333333,9.85976666667,7.93026666666,5.26408888889,5.40014761905,7.54103333333
250.54,5.82983333333,4.84908333333,5.5174,5.89816666667,5.45986666667,11.1386333333,9.23133333333,6.87984444445,6.93498095237,9.57973333333
250.92,6.22306666667,5.52766666667,6.62576666667,6.24906666667,6.2788,11.719,9.58233333334,7.33784444445,7.40341428571,10.2983666667
251.29,7.13563333334,5.89033333333,7.28523333333,6.46173333333,6.93466666666,12.4821666667,10.1104,7.59664444445,7.82886190476,11.8989666667
251.66,6.46853333333,4.94525,6.17716666667,5.55406666667,5.83333333333,11.6585,8.72159999999,6.21355555556,6.96042857144,10.8983
252.04,5.28263333333,3.96625,4.54003333333,4.05066666667,4.40493333333,10.0717333333,7.27413333333,4.71442222222,5.53871904762,9.7046
252.41,6.86220000001,5.96133333334,5.55136666667,5.7262,6.13406666667,10.8489666667,8.60593333334,5.98144444445,6.79163333333,10.7530666667
252.79,6.16816666667,5.59783333333,5.0485,5.06133333333,5.61053333333,10.1859666667,8.05239999999,5.15146666667,6.0450047619,9.9576
