wavelength,Back_SalRufm,Belly_SalRufm,Breast_SalRufm,Crissum_SalRufm,Crown_SalRufm,DorTail_SalRufm,Patch10_SalRufm,Rump_SalRufm,Throat_SalRufm,WingTip_SalRufm
211.41,138.298,172.695333334,160.99275,49.6453333333,74.8225,156.028333333,173.404166667,167.553138889,143.617083334,99.2908333335
211.79,115.497,146.198666667,137.426833333,54.6781666667,73.6841666667,149.7075,157.894666667,162.816638889,128.508416667,106.4325
212.17,107.575666667,142.727166667,136.666833333,64.8483333333,79.6968333333,158.484833333,164.8485,170.050638888,126.969666666,113.333333333
212.55,114.236,165.625,159.37475,76.389,102.777833334,177.430666667,191.666833333,197.627388889,153.472333333,137.847166667
212.92,103.825,148.360666667,136.0655,77.5956666667,100.8195,157.923666666,173.497333333,177.504472222,135.655916666,123.224166666
213.30,105.357166667,154.762,129.31525,80.3573333333,105.9525,156.250166667,171.4285,178.273777778,124.5535,119.642833333
213.68,106.589166667,164.728666667,121.124166667,68.6046666667,94.9611666667,154.2635,183.333166667,186.175583334,105.814,122.868333334
214.06,83.3333333333,148.8095,97.3214166667,58.631,79.762,126.1905,150.297666666,148.511972222,84.82125,103.571333333
214.44,93.3331666667,159.696833333,95.7573333334,56.3636666667,77.5758333333,127.272666667,153.636166667,151.464583334,94.9998333333,105.1515
214.81,107.246333334,186.594333334,101.630333334,61.9565,84.7825,151.449166666,176.811666667,173.55075,106.3405,119.565166667
215.19,91.2281666666,182.894666667,91.8859166667,49.5615,76.7543333333,151.754166667,181.140666667,169.371611111,75.4384166666,94.2983333333
215.57,75.7141666667,166.666666666,85.23825,39.0476666667,60.0,158.571333333,169.524,153.650861111,49.762,81.4288333333
215.95,64.1666666667,142.083333333,71.875,29.5833333333,49.1666666667,134.166666666,143.75,117.222222222,43.3333333333,51.6666666667
216.32,60.5691666666,128.048833333,59.34975,10.5691666667,36.1788333333,129.268166667,132.113666666,99.9323055553,33.5366666666,42.2765
216.70,47.9165,92.0138333333,45.1388333334,5.55583333333,17.3611666666,105.5555,101.389,72.5116388889,21.5276666666,29.514
217.08,44.4445,79.9999999999,37.037,-6.66666666668,0.370333333335,105.185166667,84.0738333333,51.4196388889,9.25925,25.9261666667
217.46,37.5816666667,65.6863333333,36.2745,-12.745,-6.53616666665,88.2353333333,71.5685,47.4944166667,13.0719166667,28.758
217.83,45.3846666667,60.2563333333,42.8203333333,11.282,13.0768333333,87.4358333335,78.2051666667,58.8035833333,30.2565833334,36.6666666667
218.21,31.694,36.8853333333,29.50825,-1.63933333333,-6.28416666667,77.869,62.0216666667,44.1255833333,13.6609166667,22.6776666667
218.59,20.6058333333,30.9093333333,20.1515,-13.0301666667,-21.5151666666,76.3636666667,51.8183333333,31.9193611111,-9.09091666666,16.9695
218.97,20.052,23.9585,24.3491666666,-11.198,-15.8853333334,73.9583333333,50.7811666666,34.5486666667,-2.47425,10.4166666667
219.34,21.858,17.2128333333,27.32225,-11.7486666667,-19.1256666666,81.9673333333,60.1093333333,43.7159444445,9.56291666667,12.2951666666
219.72,13.5416666666,5.55566666668,24.3056666667,-23.2638333334,-45.139,84.3751666668,65.9721666666,48.14825,2.60416666665,1.38916666667
220.10,-4.878,-17.4795,16.6665,-50.8128333333,-72.764,71.9513333333,58.9431666667,40.7182777778,-17.2764166667,-5.69133333333
220.47,-5.95249999998,-18.254,21.62675,-32.5395,-61.5078333333,62.6983333334,52.3808333333,44.312,-7.3415,-2.77783333333
220.85,-13.248,-20.9403333333,11.3250833334,-38.889,-70.0855000002,58.9745,52.9913333333,42.1650833333,-7.69225,-8.54716666665
221.23,-18.4783333333,-20.2896666667,-3.442,-41.6665,-66.6665,37.3188333333,48.913,34.3599166667,-1.268,-21.0145
221.61,-29.365,-23.4125,-27.3811666667,-47.619,-76.5873333334,27.3808333334,46.4286666667,23.5450833333,-9.12708333335,-38.889
221.98,-31.9445,-24.5371666667,-33.7960833334,-68.5185,-80.0926666667,16.6666666667,43.5183333334,22.6851666667,-9.95383333335,-38.8888333334
222.36,-6.75683333331,6.7568333333,-11.7115,-51.8016666667,-53.1531666667,14.4143333333,70.7208333334,50.2253611111,26.1258333333,-3.1531666667
222.74,-23.2325,-5.55566666665,-9.09091666665,-62.6263333333,-55.0505,4.5456666667,62.6263333334,54.7981111111,21.21225,-5.5555
223.11,-3.33333333334,19.1666666667,17.0833333333,-16.25,-10.0,27.9166666667,73.3333333333,69.5138888889,34.5833333333,30.8333333334
223.49,16.6666666667,48.6395,37.7549166667,12.2446666667,17.347,42.5171666666,82.9931666667,81.406027778,53.0613333333,54.0816666667
223.87,17.5438333334,50.8771666667,31.5788333333,19.2981666666,31.2866666666,31.8713333334,71.9298333333,68.8595833334,48.9765833333,53.2165
224.24,28.142,59.8358333333,40.5735833334,36.3386666666,43.4423333333,35.2461666666,75.4096666667,71.7211944444,50.9561666667,58.7431666666
224.62,30.6763333333,54.8308333334,43.7196666666,30.6761666667,37.1981666667,29.9518333334,71.0146666667,65.6200555555,48.91325,49.034
225.00,30.039,53.876,40.8913333333,27.907,33.1395,30.62,62.0155,56.6861388889,38.8565833334,47.6741666666
225.38,26.804,49.4845,37.9725,20.4466666667,31.4433333333,26.976,55.8421666667,51.117,31.7869166667,47.5945
225.75,24.1986666666,45.8333333333,40.3045833333,15.5451666667,26.4425,26.6025,52.5641666666,47.0086388889,30.84925,47.2755
226.13,8.60783333331,37.1795,31.502,4.39566666666,9.70699999999,17.2161666667,41.9415,34.1881666667,11.7216666667,41.575
226.51,-8.61416666665,20.4121666667,18.7265833333,-4.68133333333,-3.18366666667,13.2958333334,24.1573333333,16.4483333333,-4.21333333335,24.9065
226.88,-6.33333333332,17.3333333333,9.0,-5.66666666668,-2.33333333333,17.0,19.0,11.3333333333,0.08333333335,18.8333333333
227.26,-13.6363333334,6.73416666666,-3.53541666665,-20.3705,-16.3298333333,4.0405,4.5455,-3.25475,-10.9426666667,8.58583333333
227.64,-11.062,-3.98233333334,-8.11216666665,-28.0236666667,-23.1565,-2.94983333335,-8.40716666665,-12.5123055556,-21.3125,-0.7375
228.01,0.83916666665,2.99783333333,2.27816666666,-15.9471666667,-13.0695,8.39333333332,1.67866666667,-2.578,-11.7506666666,9.59216666665
