wavelength,Back_DigBarf,Belly_DigBarf,Breast_DigBarf,Crissum_DigBarf,Crown_DigBarf,DorTail_DigBarf,Rump_DigBarf,Throat_DigBarf,WingTip_DigBarf
727.85,17.9367777778,42.4661111111,33.6654444444,28.6767777778,15.8168888889,18.6255555556,18.9754444444,24.2217777778,17.7988888889
728.17,17.6016666667,42.171,33.614,28.6741111111,15.6018888889,18.405,18.7664444444,23.7166666667,17.4716666667
728.49,17.3662222222,41.8141111111,33.4762222222,28.4038888889,15.3254444444,18.0951111111,18.4788888889,23.4397777778,17.1532222222
728.80,17.4756666666,41.9603333333,33.5828888889,28.5418888889,15.5148888889,18.2587777778,18.418,23.4036666667,17.1534444444
729.12,17.219,41.8408888889,33.5682222222,28.4647777778,15.3651111111,18.0063333333,18.1133333333,23.3097777778,16.991
729.44,17.3206666667,41.9108888889,33.5123333333,28.4283333333,15.3654444445,17.8954444444,18.1951111111,23.2445555556,17.0038888889
729.76,17.1736666667,41.8443333333,33.3401111111,28.2915555556,15.1768888889,17.7598888889,18.0356666667,23.1358888889,16.8837777778
730.08,17.128,42.0466666667,33.3436666667,28.3432222222,15.0633333333,17.6521111111,17.902,23.3428888889,16.8158888889
730.39,17.0032222222,41.9458888889,33.3055555555,28.2322222222,14.5706666667,17.4924444445,17.8152222222,23.1243333333,16.618
730.71,17.2863333333,42.2724444444,33.6258888889,28.6794444445,14.8561111111,17.837,18.398,23.5613333334,16.9557777778
731.03,16.9331111111,41.8817777778,33.1215555555,28.2734444444,14.6474444444,17.4115555556,17.9717777778,23.1275555555,16.5332222222
731.35,17.0077777778,42.102,33.2688888889,28.3023333333,14.7061111111,17.5236666667,18.1755555555,23.1557777778,16.7803333334
731.67,17.1596666667,42.1985555556,33.3265555556,28.3992222222,14.8226666667,17.6797777778,18.4464444445,23.4547777778,16.9368888889
731.98,16.848,42.427,33.3977777778,28.4204444444,14.5764444444,17.7228888889,18.601,23.3276666667,16.8988888889
732.30,16.3483333333,42.3298888889,33.2857777778,28.263,14.2914444445,17.4993333333,18.572,23.036,16.6478888889
732.62,16.1086666666,42.1954444444,32.9783333333,27.8843333333,13.8904444444,17.2074444445,18.3406666667,22.6185555556,16.1052222222
732.94,15.9465555556,42.1067777778,32.9922222222,27.9831111111,13.6541111111,17.185,18.3573333333,22.7057777778,16.1065555556
733.25,15.785,42.0147777778,32.8038888889,27.8181111111,13.632,17.054,18.3233333333,22.664,16.0093333333
733.57,15.6073333334,41.7181111111,32.7432222222,27.5575555556,13.4855555556,16.8693333333,18.1312222222,22.5172222222,15.7603333333
733.89,15.5375555555,41.6314444444,32.7644444444,27.4876666667,13.7186666667,16.8233333334,18.0731111111,22.244,15.7355555556
734.21,15.6211111111,41.8415555555,32.8584444444,27.4943333333,13.6588888889,16.858,17.981,22.1301111111,15.7757777778
734.52,16.1524444444,42.316,33.5812222222,28.1531111111,14.268,17.6537777778,18.4384444444,22.6275555555,16.4151111111
734.84,15.8911111111,42.0524444445,33.3371111111,28.0054444445,13.9931111111,17.3803333333,17.9706666667,22.2645555555,15.9491111111
735.16,15.0983333333,41.5662222222,32.88,27.255,13.381,16.764,17.2848888889,21.6181111111,15.1301111111
735.48,14.9797777778,40.9692222222,32.5425555556,27.0518888889,13.1385555555,16.3951111111,16.7073333333,21.3544444445,14.7404444444
735.79,15.0897777778,41.0793333334,32.7158888889,27.129,13.0962222222,16.4822222222,16.735,21.5466666667,14.8908888889
736.11,15.1727777778,40.8904444445,32.8963333333,27.1035555556,13.3792222222,16.5334444445,16.675,21.7645555556,15.2268888889
736.43,15.1984444445,40.7604444444,32.7072222222,26.9314444445,13.3713333333,16.4796666667,16.4585555555,21.7475555555,14.9967777778
736.74,15.1783333333,40.4448888889,32.7244444444,26.8435555555,13.1615555556,16.3411111111,16.079,21.4821111111,14.7641111111
737.06,15.236,40.5697777778,32.8543333333,26.9702222222,13.286,16.4271111111,16.1431111111,21.7433333333,14.8586666667
737.38,15.4118888889,40.701,33.091,27.28,13.2635555555,16.5687777778,16.1604444445,22.0393333333,15.046
737.69,15.171,40.0613333333,32.8268888889,26.8902222222,13.0047777778,16.1454444444,15.7665555555,21.9285555556,14.7834444445
738.01,14.6305555555,39.6582222222,32.3512222222,26.4088888889,12.4754444445,15.6975555556,15.3234444444,21.8141111111,14.3204444444
738.33,14.5911111111,39.8103333333,32.3843333333,26.459,12.4748888889,15.7753333333,15.4034444444,22.0468888889,14.4372222222
738.64,15.4828888889,40.5545555556,33.2564444444,27.4896666667,13.2223333333,16.6133333333,16.1611111111,22.8195555555,15.5
