wavelength,Back_ConRufm,Belly_ConRufm,Breast_ConRufm,Crissum_ConRufm,Crown_ConRufm,DorTail_ConRufm,Rump_ConRufm,Throat_ConRufm,WingTip_ConRufm
742.44,10.811,34.8294666667,32.6164,31.7907333333,9.29780000001,15.4652666667,16.2225546296,31.8333333333,16.4117333333
742.76,10.775,34.7060333333,32.7172666667,31.8141,9.43306666666,15.5448666667,16.1202972222,31.7327333333,16.4865333333
743.07,10.6564,34.3165,32.5688666667,31.6221,9.27339999999,15.3105333333,15.9737851852,31.5153333333,16.3953666667
743.39,10.6162666667,34.6015666667,32.7690666667,31.6516333333,9.26053333333,15.2286666667,15.9780324074,31.6214666667,16.4679333333
743.70,10.2834666666,34.2230666667,32.2957333333,31.2399666667,9.04933333334,14.8718666667,15.3987259259,31.2549333333,16.3261666667
744.02,9.92740000001,33.6726666667,31.9418666667,30.6748666667,8.70899999999,14.3922666667,14.9194064815,30.7515333333,15.8464333333
744.34,9.91380000001,33.4223666667,31.7394,30.4789333333,8.49793333334,14.2151333333,14.9061407407,30.7135333333,15.8357666667
744.65,10.4854666667,33.8725666667,32.3511333333,31.0177333333,8.94826666667,14.7402,15.4936,31.2131333334,16.2307333333
744.97,10.7722,34.2997666667,32.8538,31.4875,9.24186666667,14.9722666667,15.8101972222,31.5345333334,16.5925
745.28,10.9524666667,34.2958,32.8434,31.6602666667,9.45426666666,15.0866666667,16.0903,31.7032,16.9660666667
745.60,10.6945333333,34.396,32.9218,31.7311333333,9.25320000001,14.8558,15.8855296296,31.8516,16.9550666667
745.91,10.8111333333,34.6542666667,32.8557333333,31.7473,9.317,14.6090666667,15.864962037,32.1218,16.9814
746.23,10.8132666667,34.8437666667,32.8996,31.8153666667,9.18093333334,14.3560666667,15.8285833333,32.3310666667,16.9392
746.55,10.9949333333,35.2008,33.1236666667,32.3073333333,9.58066666667,14.6264,15.936912037,32.8138,17.1021333333
746.86,11.3973333333,35.5231,33.2565333333,32.7150333333,9.98673333332,14.8356,16.223662963,33.2182666667,17.3677
747.18,11.8276,35.8755333333,33.7332666666,33.3995333333,10.4544666667,15.1978666667,16.7603037037,33.7892,17.6782666667
747.49,12.5995333333,36.768,34.6248,34.2169333333,11.1287333333,15.9694666667,17.5434490741,34.5576,18.5338
747.81,12.4604,36.4296,34.3227333333,33.7973666667,10.9908,15.7457333333,17.2408685185,34.1334666667,18.2365333333
748.12,12.5301333333,36.2083333333,34.1656,33.6883666667,10.7898666667,15.5972,17.0440046296,34.0755333333,18.4212
748.44,12.5872666667,36.0847666667,33.9267333333,33.6143,10.9623333333,15.5892,17.0680842593,34.0854,18.5366666667
748.75,12.7543333333,36.4704333333,34.0557333333,33.8234,11.1692666667,15.89,17.2086675926,34.0212,18.4336
749.07,12.9380666667,36.4649,34.0291333333,33.9847666667,11.2485333333,16.1512666667,17.2716759259,34.1151333333,18.4736333333
749.38,12.7911333333,36.2460333333,33.9687333333,33.7158666667,11.2439333333,16.1684,17.1416231481,33.7964,18.3581333333
749.70,13.0397333333,36.3786,34.1748,33.8063333333,11.4866,16.5692666667,17.3662175926,33.9262666667,18.7759333333
750.01,13.1010666667,36.4303,34.3152,33.5417333333,11.4560666667,16.5758666667,17.4457175926,33.8173333333,18.7130666667
750.33,12.7782,36.2702,34.3564666667,33.1103,11.071,16.5517333333,17.1970277778,33.4594,18.5140666667
750.64,12.8014666667,36.0720333333,34.2372666667,32.8561,10.9151333333,16.4652666667,17.1996138889,33.1458666667,18.3977666667
750.96,12.6059333333,35.6527,33.6048666667,32.4170333333,10.7343333333,16.2596,16.9178064815,32.9612666667,18.1786666667
751.27,12.1291333333,35.7388,33.4236666667,32.3504666667,10.3694666667,15.9164666667,16.6281972222,33.0569333333,17.9795333333
751.59,11.6765333333,35.7416666667,33.3788,32.1711,10.0540666667,15.78,16.4042777778,32.9525333334,17.5433
751.90,11.1008,35.1792333333,32.924,31.5159,9.41693333335,15.2873333333,15.8594342593,32.3663333333,16.8430333333
752.22,11.0349333333,34.9893333333,32.9622666667,31.3819666667,9.24779999999,15.2661333334,15.7852157407,32.5369333333,16.8808
752.53,10.7907333333,34.7570333333,32.8441333333,31.1119333333,9.13533333333,15.0454666667,15.7319611111,32.4204,16.86
752.85,10.6777333333,34.8016333333,32.9395333333,31.1019,9.0328,15.0824666667,15.7209916667,32.3428666667,16.8895666667
753.16,10.5166,34.6394,32.8108,30.9091333333,9.00439999999,14.9494,15.644187037,32.1354666667,16.6434666667
753.47,10.4034666667,34.5877,32.8047333333,30.9538333333,9.06219999999,14.8372666667,15.5295175926,31.9338666667,16.6491
753.79,10.6476666666,34.6053666667,32.7506,31.1727666667,9.50800000001,15.0384,15.8455148148,32.0352666667,16.9018
754.10,10.1197333333,34.3617666667,32.4714666667,30.9319333333,9.07973333333,14.8144666667,15.2528703704,31.9924,16.4475
754.42,10.1995333333,34.3384,32.6878,31.0402,9.10213333334,14.9060666667,15.3266185185,31.9366,16.4862666667
754.73,10.1261333333,34.1789,32.9596,31.0383666667,8.85053333333,14.8464,15.2217231481,31.5296,16.4500666667
755.05,10.0719333333,34.0199,32.9826,31.1242666667,8.71993333333,14.7032,15.1851944444,31.4478666667,16.6172
755.36,11.0469333334,34.8455666667,33.8454666667,31.9612333333,9.63386666667,15.677,16.1295009259,32.4236,17.5070333333
755.67,10.9856666667,34.9308666667,33.8558,31.8269,9.57926666667,15.4474,16.1013064815,32.3736666667,17.3485333333
755.99,11.0589333333,35.1028666667,33.7354,31.8830333333,9.4414,15.3836666667,15.9244425926,32.216,17.2161666667
756.30,11.1192,34.8825666667,33.4614,31.8268333333,9.52119999999,15.1968,15.8378296296,32.1044,17.0448
756.62,11.0895333333,34.7530333333,33.4839333333,31.9994333333,9.36833333333,15.1098,15.8517666667,31.9964666667,16.785
756.93,11.7127333333,35.3513,33.7076666667,32.4231333333,9.66846666666,15.4941333333,16.4042740741,32.5842666667,17.3204333333
757.24,11.8413333333,35.2395,33.9325333333,32.4481333333,9.65386666666,15.4310666667,16.4889879629,32.9256,17.2892666667
757.56,12.1516,35.6077,34.0760666667,32.7255,9.95406666667,15.5768666667,16.8544972222,33.0418666667,17.595
757.87,12.1265333333,36.0647333333,34.1871333333,32.8511333333,10.0599333333,15.6147333333,16.9539953704,33.1981333333,17.8059
758.18,12.9009333333,36.7974,34.5357333333,33.4748666667,11.0746,16.5022666667,17.6530009259,33.9726,18.3986666667
758.50,13.2304666667,37.0947666667,34.7791333333,33.7129333333,11.6998666667,16.9994,18.066612963,34.283,18.6175
758.81,12.9487333333,37.0619,34.6387333333,33.6515333333,11.4462666667,16.7468666667,17.7938712963,34.0390666667,18.5627333333
759.13,13.0864,37.2283,34.5776666667,33.8425,11.5620666667,16.9572666667,17.8523805555,33.8786,18.6745
759.44,13.2023333333,37.1014333333,34.6584,33.6817,11.791,16.8824666667,17.8802324074,33.6339333333,18.5870666667
759.75,13.4346666667,37.6927333333,35.1259333333,34.1074,12.0357333333,17.2021333333,18.1925083333,34.1416666667,18.956
760.07,13.4814,37.8651,35.0429333333,33.8192666667,12.0502,17.2859333333,18.2288481482,34.2104666666,19.0577666667
760.38,12.7178,37.3161333333,34.6768,33.4843333333,11.5667333334,16.9404,17.774087963,33.6884,18.3576666667
760.69,12.4294666667,37.0751,34.2546,33.0869333333,11.3515333333,16.8188,17.4632083333,32.9597333333,17.9487333333
761.01,12.5624666667,37.0154333333,34.2961333333,33.0468,11.402,16.7782666667,17.5002416667,32.8278666667,18.0532
761.32,12.461,36.5536333333,34.3798666666,32.8004666667,11.2402,16.4076666667,17.3346898148,32.6683333333,17.7528
761.63,12.3428,36.5572,34.5114666667,32.7285,10.9905333333,16.1199333333,17.2870490741,32.6493333333,17.6412666667
761.94,12.4724666667,36.838,34.7174666667,32.8063,11.1213333333,16.0456666667,17.4024555555,32.6172,17.6305333333
762.26,12.2705333333,36.4263,34.4902666667,32.4143666667,10.9637333333,15.8259333333,17.1858027778,32.2151333333,17.331
762.57,12.4938666667,36.8567,34.9396,32.9559,11.1526,16.0721333333,17.4635092593,32.8526,17.5191333333
762.88,12.4547333333,36.9619,35.0400666667,33.1994,11.0408666667,16.1542,17.5362324074,32.9741333333,17.5897333333
