wavelength,Back_PooWhim,Belly_PooWhim,Breast_PooWhim,Crissum_PooWhim,Crown_PooWhim,DorTail_PooWhim,Patch10_PooWhim,Patch11_PooWhim,Patch12_PooWhim,Rump_PooWhim,Throat_PooWhim,WingTip_PooWhim
344.16,8.38155333333,20.8798333333,4.13493333333,9.82293333333,8.14273333333,7.65713333333,10.8469666667,5.35806666667,23.4740061728,8.60693333334,8.39126666666,7.86493333333
344.52,8.24829999999,20.8034666666,3.80446666667,9.64106666665,7.93686666667,7.43463333333,10.6549,5.25226666667,23.2697814815,8.47473333333,8.10686666669,7.69106666667
344.89,8.29756,20.9038333333,3.84353333333,9.64986666667,7.95933333333,7.30336666667,10.6955333333,5.25586666666,23.3614567901,8.49263333333,8.14193333333,7.66906666667
345.25,8.01386666666,20.8007333333,3.66053333333,9.41926666667,7.706,6.8864,10.5224666667,5.0056,23.2114925926,8.27250000001,7.9028,7.48826666667
345.62,7.61973333334,20.5544666667,3.14773333333,9.01846666667,7.38213333334,6.46996666667,10.1974333333,4.63966666667,22.9738345679,7.87916666667,7.52053333335,7.0378
345.99,7.7767,20.8813,3.24033333333,9.16286666667,7.58946666667,6.6688,10.3370666667,4.77326666667,23.2060765432,8.04943333333,7.77853333334,7.277
346.35,7.83232000001,20.9685666667,3.25006666667,9.24633333333,7.77586666667,6.63993333333,10.5396333333,4.75466666667,23.3179851852,8.19123333335,7.92599999999,7.43533333333
346.72,7.66802000001,20.9652,3.22946666667,9.18406666667,7.65060000001,6.48606666667,10.5136,4.65993333333,23.3173345679,8.19193333333,7.89413333333,7.33706666667
347.08,7.80018666667,21.2633666667,3.2292,9.3058,7.72846666667,6.53186666667,10.6793,4.67166666667,23.4227851852,8.25280000001,7.87086666667,7.42453333333
347.45,8.18641333333,21.6463666667,3.46913333333,9.55880000001,8.0096,6.73443333333,10.9975,4.81333333333,23.675445679,8.58786666666,8.06993333335,7.6332
347.81,8.24118666667,21.9418666667,3.533,9.66113333333,8.19873333333,6.90193333333,11.1494,4.94106666667,23.8531358025,8.75759999999,8.25006666668,7.692
348.18,8.35372000001,22.2207666667,3.75966666666,9.8992,8.41019999999,7.04093333333,11.3587333333,5.0762,23.9519617284,8.96466666667,8.45253333332,7.868
348.54,8.61545333333,22.4815333333,4.12246666667,10.2606,8.70466666667,7.30466666667,11.7283333333,5.30213333333,24.1938765432,9.152,8.77533333333,8.16546666667
348.91,8.48879333334,22.37,3.9388,10.1252666667,8.6068,7.14166666667,11.6782333333,5.23206666667,24.0786827161,9.05166666667,8.59186666667,8.1656
349.27,8.39822666666,22.3019,3.70893333333,9.91373333333,8.53906666666,7.0874,11.5434666667,5.0596,23.9764814815,8.93636666667,8.42206666667,7.9724
349.64,8.62493333333,22.5068,3.98873333333,10.1539333333,8.75546666667,7.31543333333,11.809,5.286,24.2204012346,9.19726666667,8.69606666667,8.2882
350.00,8.77146000001,22.5171333334,4.1952,10.2902,8.93686666667,7.40656666667,11.9983,5.39993333333,24.3313617284,9.41226666668,8.86033333333,8.43733333333
350.37,8.79773333333,22.5265333333,4.14306666667,10.2684666667,8.93433333333,7.4947,12.0131,5.43193333333,24.4997283951,9.37746666667,8.81426666665,8.3638
350.73,8.87310666666,22.6775333333,4.19313333333,10.3836666667,9.05919999999,7.60613333333,12.1449333333,5.51886666667,24.5507345679,9.48613333333,8.84500000001,8.43806666667
351.10,8.70512666667,22.5853333333,4.0892,10.3181333333,8.96466666665,7.4895,12.0115,5.41266666667,24.529745679,9.41183333332,8.76460000002,8.26773333333
351.46,8.52962666666,22.6083,3.9804,10.2628,8.85113333333,7.4261,11.9402,5.36493333333,24.5022296296,9.2742,8.73839999999,8.17546666667
351.83,8.73659333334,22.8853,4.15906666666,10.4372666667,8.9412,7.53433333333,12.0944,5.479,24.6313061728,9.34346666667,8.83433333331,8.3408
