wavelength,Back_ChrChrf,Belly_ChrChrf,Breast_ChrChrf,Crissum_ChrChrf,Crown_ChrChrf,DorTail_ChrChrf,Patch10_ChrChrf,Rump_ChrChrf,Throat_ChrChrf,WingTip_ChrChrf
205.36,161.904833333,297.619,364.880833333,215.476,158.3335,241.071333333,102.381,280.9525,283.333333334,271.428666667
205.74,145.333333333,282.666666666,354.666666666,207.333333333,158.666666667,250.0,48.0,293.333333333,300.0,276.666666666
206.12,347.916666667,672.916666667,966.666666667,568.75,337.5,643.75,-145.833333333,777.083333331,827.083333333,735.416666666
206.50,295.833333333,616.666666667,985.416666667,479.166666667,252.083333333,660.416666665,-254.166666667,802.083333334,737.5,708.333333334
206.87,-69.6969999998,-330.303,-609.090833333,-239.393666666,-59.091,-357.575666667,366.666666667,-422.727333333,-396.9695,-393.939333333
207.25,-28.395,-111.7285,-231.481666666,-85.1853333335,-17.9013333334,-127.1605,160.494,-164.1975,-163.580166667,-134.568
207.63,1.58733333335,-42.4603333334,-94.4443333335,-31.3491666666,14.2858333334,-60.3173333333,124.603333333,-74.6029999998,-72.6193333333,-62.6983333335
208.01,-50.0001666667,-104.938166667,-194.444666667,-121.605,-30.8641666667,-153.0865,145.679,-172.222333334,-176.543,-137.037166667
208.39,-39.394,-155.303,-256.818166667,-186.363666666,-58.3333333334,-191.666666667,130.303,-236.3635,-202.272666667,-158.333333333
208.77,1.44933333333,-108.695833333,-210.144833334,-151.449333333,-36.9565000002,-159.420166667,120.29,-222.463833333,-157.246333333,-144.927666667
209.14,-13.3333333333,-87.2223333334,-181.666666667,-130.0,-27.7778333333,-140.5555,86.6666666667,-174.444333333,-117.222333333,-115.5555
209.52,-76.1903333333,-172.222166667,-302.381,-242.857,-96.0318333332,-217.460333333,65.0793333333,-300.7935,-171.4285,-216.666666666
209.90,-71.0143333334,-163.768166667,-321.739166666,-229.71,-90.5798333331,-194.202833333,26.0866666667,-256.521833334,-144.202833333,-207.971
210.28,-110.256333333,-334.6155,-621.795,-432.051333333,-221.795,-388.4615,-17.9483333333,-453.846166666,-258.974333333,-376.923166666
210.66,-297.619,-676.190166667,-1278.57133333,-921.428333333,-519.0475,-716.666666666,-71.4286666667,-890.476166669,-588.095166667,-788.095166668
211.03,-3266.66666666,-5816.66666666,-9833.33333334,-7849.99999998,-4916.66666667,-5950.0,-1800.0,-7050.00000002,-5433.33333334,-6983.33333335
211.41,656.666666667,1123.33333334,2000.0,1730.0,983.333333333,1290.0,380.0,1396.66666666,1100.0,1490.0
211.79,180.247,246.9135,444.444333334,377.160833334,238.888833333,281.481666667,102.469,312.962833333,266.049333333,340.123333333
212.17,250.0,379.166666666,688.541666667,539.583333333,363.541666667,396.875,129.166666667,475.0,376.041666667,517.708333333
212.55,430.0,528.333333334,1041.66666666,765.0,550.0,625.000000001,80.0,725.0,628.333333333,778.333333331
212.92,1294.44433334,1483.33333333,3255.5555,2383.33333334,1516.66666667,1933.3335,-311.111,2222.222,2066.66666667,2233.33316667
213.30,202.174,222.463666666,432.608666666,318.115666667,222.463666667,275.362333333,-4.34766666667,343.478333334,323.188333333,317.391333334
213.68,122.5225,140.09,262.6125,194.5945,143.243,174.774833333,-5.40566666667,218.4685,212.612666666,182.882833333
214.06,107.083333333,135.416666667,230.416666667,191.666666667,135.833333333,176.666666666,-3.33333333333,203.75,201.25,154.583333333
214.44,123.245666667,137.280666667,234.2105,194.736833333,137.280833333,194.298333333,-6.14033333333,220.614,229.824666666,178.070333333
214.81,98.0391666669,113.398666666,174.8365,167.647166667,115.032666667,164.052333333,3.268,168.3005,193.137333333,136.2745
215.19,96.1988333331,103.216166667,164.035,150.877166667,108.772,162.2805,9.94166666667,164.035166667,186.842166667,126.608
215.57,77.8536666665,91.0958333332,133.561333333,121.917833333,87.8998333333,132.648333333,2.74,134.475,148.858333333,105.936
215.95,69.953,94.6008333332,143.1925,119.014333333,90.6101666669,141.08,15.0236666667,132.863833333,148.122166666,101.173666667
216.32,69.6968333333,101.010166667,152.020333333,128.282833333,99.2424999998,161.111166666,18.6866666667,133.8385,149.242166666,109.3435
216.70,71.515,116.3635,173.636166667,145.757833334,111.818333333,180.606333334,10.303,146.969666667,165.4545,122.7275
217.08,67.2515,119.5905,168.128666667,140.935666667,114.327666667,173.391666666,11.111,139.766166666,151.462,116.959166667
217.46,88.7253333335,174.0195,256.3725,226.960833333,185.294333333,268.627333334,8.82366666667,210.294,229.902,181.863
217.83,116.666833333,278.947333334,416.666666666,350.877166667,296.491166667,454.385833333,-10.5263333333,335.087833333,368.421,310.526333334
218.21,118.421166667,281.578833334,428.07,329.8245,314.912166666,437.719333334,1.75433333333,347.368333333,365.7895,328.947333334
218.59,180.0,746.666666667,1353.33333333,1013.33333333,886.666666669,1286.66666666,-286.666666667,1033.33333333,1026.66666667,920.0
218.97,4.761833333,-158.3335,-423.8095,-264.285833333,-220.238,-363.095,150.000333333,-304.761833333,-263.095333333,-235.714333333
219.34,81.4815000001,-32.716,-170.370333334,-61.7285,-63.5801666669,-122.8395,154.321,-103.704,-63.5801666667,-58.6420000001
219.72,78.0953333332,-13.8095,-111.4285,-21.905,-40.0,-93.8093333333,104.762,-81.4286666667,-39.524,-31.9048333333
220.10,54.0,5.0,-66.3333333333,-13.6666666667,-14.0,-41.6666666667,90.6666666667,-59.0000000002,-28.0,-15.0
220.47,57.8431666668,12.255,-112.254833333,-42.6471666667,-26.4706666667,-60.2941666667,121.568333333,-105.392,-64.2156666668,-28.9215
220.85,68.6666666665,10.6666666666,-184.0,-93.9999999998,-56.6666666667,-108.0,134.666666667,-169.333333333,-91.3333333335,-68.0
221.23,43.9393333332,25.7575,-134.848333333,-53.0305,-24.2425,-70.707,108.081,-115.1515,-70.7070000002,-47.9796666666
221.61,41.4285,25.2381666667,-148.571333333,-58.0953333333,-19.0476666667,-78.5715000001,102.857333333,-103.333166667,-75.2378333331,-52.3808333333
221.98,41.3045000002,40.9418333333,-110.145,-57.6088333333,-1.8118333333,-49.9999999999,76.8113333333,-67.0288333333,-44.203,-29.7101666667
222.36,36.5591666667,49.4625,-66.9355,-36.2905,17.4731666667,-22.3118333333,63.9783333333,-39.7848333333,-21.2363333333,-5.1076666667
222.74,35.4838333333,46.5053333334,-75.2686666667,-37.9031666667,16.3978333333,-27.1508333334,44.6236666667,-46.5055,-19.3548333333,-5.914
223.11,34.6993333333,49.4535,-68.5791666666,-31.6938333333,16.6665,-21.038,38.7976666667,-42.0765,-11.7486666667,-9.28983333335
223.49,7.40733333335,29.9383333334,-96.6048333334,-60.1851666666,3.395,-37.963,5.55533333333,-63.8888333333,-38.5801666667,-24.074
223.87,-8.03583333335,28.5715,-101.785833333,-63.0951666667,-13.095,-31.8451666667,-7.738,-60.7141666667,-38.0951666667,-25.0001666666
224.24,3.07683333335,22.5641666667,-90.2565,-54.359,-7.69199999998,-27.6923333333,-7.692,-34.1026666667,-22.5641666666,-20.0
224.62,6.32200000002,10.9196666667,-59.1955,-38.1225,-2.68183333333,-19.9233333334,0.766333333333,-22.0308333333,-13.9846666666,-12.4521666667
225.00,6.63266666665,11.3946666667,-40.8161666667,-30.7823333333,0.680333333335,-10.034,6.80266666667,-10.374,-9.01349999999,-2.04066666665
225.38,14.4443333333,10.926,-41.4816666667,-38.8888333333,1.85183333333,-8.33333333335,7.40733333333,-12.5926666667,-8.33349999998,-1.66683333335
225.75,13.9271666667,10.5021666667,-41.3241666667,-45.4336666666,0.685,-5.4795,10.5023333333,-7.9906666667,-7.0775,2.968
226.13,5.6411666667,4.35883333335,-47.6921666667,-39.7433333333,-7.436,-5.64083333332,24.6153333333,-10.7693333333,-9.23083333333,-3.58983333335
226.51,14.559,6.8965,-25.862,-17.4331666666,-0.958,-4.59783333335,25.2873333333,-1.34116666665,0.5745,0.000166666649999
226.88,9.6406666667,2.2876666667,-17.9741666666,-17.4835,-5.39216666667,-7.35299999999,23.5293333333,-3.9215,-4.41183333333,-4.73849999999
227.26,17.8743333333,8.45416666665,-3.86483333335,-4.46866666665,6.28016666667,4.831,28.0193333333,9.54116666669,3.01916666668,5.19316666665
227.64,20.9496666667,16.853,7.4485,0.2793333333,11.3593333333,12.3835,32.0296666667,14.7113333333,10.9866666667,8.19366666669
228.01,24.8178333333,20.1601666666,13.3185,8.87916666667,19.3595,15.939,35.9536666667,20.0146666667,13.3188333333,14.1193333333
228.39,21.933,18.8351666667,16.4186666667,11.9581666667,17.8436666667,17.41,31.7223333333,15.1796666667,11.7101666667,15.1795
228.76,20.7493333333,18.6241666667,14.933,12.9196666667,14.877,18.121,27.5166666667,13.9261666667,9.67550000001,14.1498333333
229.14,16.6116666667,12.8035,7.616,8.775,9.4925,13.1898333333,20.9713333333,8.60933333333,3.25616666666,6.73283333333
229.52,12.5993333334,10.2676666667,5.95233333333,8.33349999998,7.88683333333,10.6151666666,16.766,7.34133333332,3.17466666666,5.45633333334
229.89,13.8888333333,10.097,5.73183333333,7.93649999999,7.89233333334,10.9348333333,14.1976666667,6.08466666667,4.76183333333,6.17283333333
230.27,14.4715,10.4878333334,5.65050000002,6.01616666667,9.26833333335,11.8701666667,11.7883333333,6.70733333333,6.0975,7.4795
230.65,13.3253333333,9.98416666667,4.83499999998,5.93533333334,9.316,13.1288333333,11.3993333333,7.62566666667,6.13216666667,7.901
231.02,14.6651666667,10.7005,4.38783333334,6.0045,9.96916666665,13.8953333333,12.548,9.007,6.582,9.31466666666
231.40,10.8491666666,7.11466666667,-0.7075,2.79083333333,5.7785,9.59133333335,8.09766666667,3.813,2.9875,6.21066666667
231.78,8.66350000002,2.55766666667,-5.11533333334,1.48533333334,2.64016666666,6.72433333334,3.878,-0.206333333333,-0.123833333334,4.33166666667
232.15,7.31000000002,1.08583333333,-7.05933333334,-1.0445,0.542833333334,6.97566666667,0.584666666667,-1.7545,-1.21133333333,3.091
232.53,8.05766666666,3.64716666667,-6.955,-0.2545,1.357,6.531,1.10266666667,-0.763500000001,0.211833333333,3.011
232.90,8.82133333335,5.21616666667,-5.8525,0.0846666666665,3.6895,6.65833333333,0.678333333333,-1.22983333334,2.29,4.07133333333
233.28,12.2703333333,10.3516666667,-1.75833333333,5.23583333333,7.11433333333,9.03283333335,4.636,1.67883333334,6.95433333333,9.43233333334
233.66,12.9235,11.5445,-0.709333333335,6.06766666666,6.18583333333,9.88966666667,4.255,2.00933333334,6.97383333333,11.7021666667
234.03,11.1238333333,12.3088333333,0.497,8.21866666667,7.07183333333,10.6268333333,5.35133333333,2.79066666666,7.30116666667,12.8821666667
234.41,9.89333333331,10.8065,-1.21783333334,8.06683333333,5.28916666667,9.24633333333,5.40333333333,1.37016666666,5.02283333333,11.834
234.78,8.98916666666,10.6096666667,-1.81316666667,8.179,3.78083333333,8.642,5.01566666667,-0.2315,3.66516666666,9.79933333333
235.16,6.02583333333,8.009,-2.7075,7.513,1.22033333333,6.82666666667,2.21233333333,-2.40266666667,1.98316666666,7.43683333334
235.54,2.79683333333,5.74716666667,-2.45216666667,5.47883333334,-0.3065,5.747,2.37566666667,-3.52483333333,1.686,5.82383333335
235.91,2.4455,6.69666666666,-1.80583333334,5.79383333333,0.33866666667,5.9445,2.63333333333,-1.881,2.295,6.24516666668
236.29,2.61,7.9045,0.5965,7.79283333334,0.78316666667,6.93516666667,3.57966666667,-0.559166666669,4.437,7.04700000002
236.66,2.328,6.83666666666,0.739166666667,8.6105,0.997666666665,7.64933333334,4.36033333333,0.443333333334,5.2475,8.53666666666
237.04,3.82983333333,8.36883333333,2.90783333333,10.9928333333,3.1915,10.0355,7.02133333333,4.1845,7.837,11.5958333334
237.41,2.65416666667,6.54633333333,2.51233333333,8.59883333333,4.10466666667,10.4388333333,7.077,3.71566666667,6.97083333333,11.1463333333
237.79,2.83383333333,6.44366666667,2.53033333333,8.9405,5.533,10.7288333333,7.89466666667,5.33066666666,8.13100000001,10.3915
238.17,3.69633333333,4.65333333334,1.749,7.69,4.2905,10.3961666667,7.12866666667,5.3465,7.42566666667,10.0331666667
238.54,1.89083333334,3.55783333333,0.480666666665,5.769,2.91666666666,8.26916666667,4.42333333333,4.1025,6.18616666666,8.4615
238.92,4.0105,5.05033333333,1.75266666667,6.20916666667,5.13966666667,9.62550000002,6.00133333333,6.1795,7.39766666668,10.814
239.29,5.47966666667,6.67233333334,3.09483333333,6.58716666667,6.16116666667,10.5621666667,6.58733333333,7.6375,8.85866666667,12.5213333333
239.67,7.79816666666,7.951,4.12833333334,7.84916666667,6.90633333333,10.8815,6.524,9.02166666667,8.97033333334,13.0988333333
240.04,8.65183333334,8.24233333334,5.328,6.99,6.785,10.337,6.55733333333,8.8345,8.87999999998,12.2496666667
240.42,8.11416666667,6.37966666667,4.58533333333,5.622,6.04066666667,8.97133333332,5.62166666667,7.3565,7.97433333334,10.7456666666
240.79,7.94666666667,6.08283333333,5.13366666667,5.204,6.36433333334,8.59716666667,5.30933333333,6.78616666667,7.66533333333,10.3376666666
241.17,6.35666666667,4.53816666667,3.63683333333,4.0165,4.83866666667,7.4795,3.70033333333,5.06016666667,5.91416666667,8.19083333333
241.54,6.32716666667,5.12066666667,3.97033333334,4.95233333333,4.46116666667,7.42133333333,3.05833333333,4.95233333333,6.1165,7.82833333334
241.92,6.345,5.22516666667,3.938,5.148,4.25983333334,7.37466666667,2.93433333333,4.4015,5.99733333333,7.5805
242.29,6.05183333333,5.73966666667,4.1185,5.21133333333,4.551,7.24066666667,3.38633333333,3.9985,6.292,7.42083333334
242.67,7.30783333333,6.81466666666,5.7945,6.97133333334,5.62633333333,8.3725,4.50566666667,5.29016666667,7.2965,8.49566666667
243.05,6.56366666667,6.1035,5.3145,6.3885,4.69016666667,7.75816666666,3.353,4.35,6.564,7.79083333333
243.42,6.03916666667,5.44183333333,4.64166666666,6.00733333333,4.43866666667,7.33033333333,2.98766666667,3.77733333333,5.79383333333,7.053
243.80,5.93116666666,5.73116666667,4.9305,6.07866666667,4.6775,7.73283333333,3.39233333333,3.8665,6.0365,7.34316666667
244.17,5.09783333333,5.55216666667,4.45816666666,6.25366666667,4.80916666666,7.83266666667,3.42633333333,4.23116666666,5.614,7.7605
244.55,3.71616666667,4.84866666667,3.2735,5.09566666667,3.78816666667,6.8045,2.203,3.37666666666,4.159,7.02066666666
244.92,2.9035,4.32583333333,2.75466666667,4.37566666666,2.82433333333,6.22516666667,1.233,2.72483333333,3.47066666667,6.56333333334
245.30,2.93116666666,4.43883333333,2.60566666667,4.4295,2.50333333334,5.88133333334,1.154,2.57766666667,3.36866666667,6.85833333333
245.67,2.65916666667,3.90166666667,2.5285,3.84933333333,2.3635,5.84816666666,0.956,2.64166666666,3.08483333334,6.969
246.05,2.78833333334,3.93683333333,2.70133333334,3.69116666667,2.527,6.036,0.935,2.83583333334,2.96266666667,7.343
246.42,2.68333333333,3.63583333333,2.93066666667,3.86133333334,2.53783333333,6.08633333333,0.916,3.06133333333,2.89433333333,7.70783333333
246.79,2.23616666666,3.317,2.52883333334,3.36483333334,2.34516666667,5.8115,0.652666666667,2.61016666667,2.62383333333,7.41583333333
247.17,2.38716666667,3.40933333333,2.78716666667,3.435,2.51433333333,5.91766666666,0.863666666667,2.80633333334,3.016,7.7015
247.54,2.41033333333,3.4,3.13283333334,3.6005,2.47116666667,6.1385,0.728666666667,2.93266666666,3.35766666667,7.95983333333
247.92,1.93566666666,2.862,2.70766666667,3.20616666667,1.983,5.72983333333,0.0473333333333,2.39883333333,2.98066666666,7.52883333333
248.29,2.11333333333,2.6655,2.771,2.906,1.75516666667,5.59483333333,-0.140666666667,2.01366666667,3.0525,7.43816666667
248.67,2.64716666667,3.125,3.23066666667,3.36033333333,2.2165,5.978,0.294666666667,2.29933333333,3.6315,7.9825
249.04,3.05783333333,3.387,3.18583333334,3.61233333334,2.57683333334,6.23783333333,0.67,2.88716666667,4.063,8.32116666667
249.42,3.3375,3.731,3.49233333333,3.77616666667,2.94333333333,6.6295,0.787333333333,3.208,4.71216666667,8.68833333333
249.79,3.6365,4.21983333333,3.80133333334,4.213,3.2455,6.88216666667,0.919333333333,3.48566666667,5.13233333333,9.15333333335
250.17,3.6615,4.2655,4.0045,4.4295,3.19166666667,6.92033333333,0.805666666667,3.54216666666,5.20533333334,9.46299999998
250.54,3.84733333333,4.3695,3.81533333333,4.35366666667,3.052,6.91566666667,0.433666666667,3.4055,5.30133333333,9.13249999999
250.92,3.6825,4.1645,3.77733333334,4.13866666667,2.88233333333,6.87483333333,-0.327,3.34683333333,5.44633333333,9.155
251.29,3.08983333334,3.68033333333,3.2715,4.15316666667,2.48083333333,6.4795,-0.799666666667,3.04433333333,5.0345,8.6425
251.66,2.61616666667,3.69833333334,2.654,3.8865,2.1735,6.04183333334,-0.866,2.5785,4.63033333334,8.244
252.04,3.09916666666,4.20266666666,2.85933333333,4.577,2.7635,6.5055,-0.134333333333,2.84016666667,4.85516666667,8.78916666667
252.41,3.088,4.602,2.89,5.23566666666,2.87,6.433,-0.119,2.85033333334,5.02766666667,8.69950000002
252.79,3.4825,5.00483333334,3.45266666666,5.92033333333,3.5225,7.09466666667,0.438,3.14433333334,5.62183333333,8.92533333335
253.16,3.30133333333,4.82216666666,3.6615,6.31233333333,3.5215,7.27266666666,0.300333333333,2.481,5.47216666667,8.8835
253.54,3.00283333334,4.605,3.809,6.5195,3.40583333333,7.00316666666,0.362666666667,2.53933333334,4.89716666667,8.696
253.91,2.6895,4.27816666666,3.48916666667,6.802,3.06333333334,6.55216666667,0.145333333333,2.15983333333,4.3925,8.328
