wavelength,Back_SpoTorf,Belly_SpoTorf,Breast_SpoTorf,Crissum_SpoTorf,Crown_SpoTorf,DorTail_SpoTorf,Patch10_SpoTorf,Patch11_SpoTorf,Rump_SpoTorf,Throat_SpoTorf,WingTip_SpoTorf
225.38,-200.000083333,-43.1818333333,-46.2120833332,-278.788,-183.33325,-124.242333333,-141.666666667,-177.272666667,-68.1817499998,-113.636333333,-156.0605
225.75,-102.451083333,0.490250000025,-50.49,-169.607916667,-117.647083333,-89.2156666664,-95.5883333333,-119.117583333,-32.843,-44.1176666667,-98.0392500002
226.13,-157.8125,-15.625,-121.354166667,-204.6875,-180.208333333,-158.854166667,-169.791666667,-181.770833333,-95.3124999999,-99.4791666667,-172.916666667
226.51,-96.2642500001,-6.03441666666,-72.7011666667,-123.56325,-98.8505833334,-89.0804166666,-92.52875,-95.6894999999,-53.4482499999,-62.6436666667,-88.2184999997
226.88,-106.111,-14.7221666667,-86.1111666666,-128.611166666,-104.722166667,-103.0555,-88.6110833333,-103.611,-62.7778333334,-80.8334166667,-90.5555833334
227.26,-43.1666666667,6.5,-41.6666666667,-57.6666666667,-45.5,-38.3333333333,-27.0,-43.3333333333,-17.5,-34.5,-28.6666666667
227.64,-33.2124166667,6.88416666666,-37.92275,-40.0965833333,-28.6231666667,-24.8793333333,-18.8405833333,-28.5023333333,-7.85041666665,-28.6231666667,-14.8550833333
228.01,-20.1179166667,11.9528333333,-22.9799166667,-21.1279166667,-11.86875,-10.1011666667,-9.42766666666,-14.3098333333,0.589250000007,-13.0470833333,-1.43091666668
228.39,-15.86025,9.81175,-16.0618333333,-15.05375,-7.25808333334,-5.30933333333,-4.70441666667,-11.6263333333,1.008,-11.1558333333,-0.0671666666675
228.76,-16.8875833333,5.68424999999,-12.7483333333,-12.307,-8.11266666666,-6.01533333333,-4.63575000001,-13.85225,-3.36633333333,-11.148,0.220749999999
229.14,-9.11158333333,9.52374999999,-4.16674999999,-3.20516666667,-0.68675,-0.503666666667,2.793,-9.98166666667,1.37358333333,-4.48708333333,6.59341666667
229.52,-2.11266666667,12.9890833333,0.860666666666,1.83883333333,3.521,2.54308333333,6.10325,-2.58216666667,4.46,-0.234666666669,11.03275
229.89,-2.60625,11.1111666667,0.720083333333,1.16583333333,2.84641666667,2.43466666667,5.79566666666,-0.857333333333,3.12066666666,-0.3085,10.6310833334
230.27,2.26449999999,11.14125,4.01575,3.98533333333,6.4915,6.28016666667,8.18216666667,3.71391666666,7.18608333333,4.16675,14.43225
