wavelength,Back_CoeFlaf,Belly_CoeFlaf,Breast_CoeFlaf,Crissum_CoeFlaf,Crown_CoeFlaf,DorTail_CoeFlaf,Patch10_CoeFlaf,Patch11_CoeFlaf,Rump_CoeFlaf,Throat_CoeFlaf,WingTip_CoeFlaf
313.33,5.28906666667,8.47513333333,6.52853333333,7.53566666667,4.97586666667,7.61476666667,7.13673333333,8.56473333334,7.1368,10.8342666667,8.61306666667
313.70,5.12925,8.50046666667,6.4996,7.43426666667,4.94506666667,7.55406666667,7.02466666667,8.543,7.08846666667,10.8546666667,8.57486666667
314.07,5.16166666667,8.73999999999,6.5558,7.49406666667,5.05286666667,7.63466666667,7.00566666667,8.64300000001,7.15767777778,10.9196,8.58993333334
314.43,5.381,9.04233333334,6.78986666667,7.70573333333,5.3646,7.82573333333,7.22586666667,8.96073333333,7.44603333333,11.1686,8.86813333333
314.80,5.6301,9.41826666667,7.06826666667,7.96853333333,5.6326,7.95873333333,7.47293333333,9.28873333333,7.68508888889,11.5240666667,8.98893333334
315.17,5.98976666666,9.90233333333,7.49046666667,8.50016666667,5.98313333333,8.3455,7.80153333334,9.74506666665,7.9909,11.9880666667,9.43253333333
315.54,5.8509,9.76179999999,7.38433333333,8.34616666667,5.78913333334,8.3078,7.72113333333,9.67526666667,7.84732222222,11.9899333333,9.27893333333
315.91,5.62806666667,9.67033333332,7.2878,8.21356666667,5.64626666667,8.00533333333,7.58113333333,9.58866666666,7.77047777778,11.8306,9.09253333334
316.28,5.76811666667,9.73346666667,7.35066666667,8.29223333333,5.61466666667,8.07033333333,7.77306666667,9.61253333333,7.92573333333,11.9393333333,9.16886666667
316.64,6.07788333333,10.145,7.71073333333,8.7267,5.8528,8.38466666667,8.02533333333,9.96226666667,8.21921111111,12.2698666667,9.52453333333
317.01,6.23725,10.379,7.86806666667,8.82616666667,5.9214,8.33016666667,8.15006666667,10.0966666667,8.22227777778,12.4816,9.54646666667
317.38,6.49538333333,10.7334666666,8.1106,9.07696666667,6.12806666667,8.48636666667,8.37186666667,10.3954,8.46214444445,12.7840666667,9.72979999999
317.75,7.02105,11.1979333333,8.6056,9.58410000001,6.5078,8.78956666667,8.87686666667,10.8374,8.89891111111,13.2422,10.0052666667
318.12,7.11883333333,11.1966666667,8.65273333333,9.7165,6.50693333333,8.89313333334,9.00613333333,10.9579333333,9.00827777778,13.3618666667,10.0090666667
318.49,7.22168333333,11.2693333333,8.831,9.81919999999,6.5844,9.03060000001,9.18373333333,11.1600666667,9.20902222222,13.4980666667,10.0161333333
318.85,7.36985,11.3407333333,9.05213333333,10.0044333333,6.7312,9.20726666667,9.38033333333,11.3998666667,9.40453333333,13.7333333333,10.2198666667
319.22,7.24553333333,11.1900666667,9.0358,9.86003333333,6.64146666667,9.0266,9.31553333333,11.2226,9.37511111111,13.5192,9.97113333333
319.59,7.39386666667,11.4453333333,9.24993333334,9.93053333333,6.89426666667,9.04966666666,9.55033333334,11.4419333333,9.55730000001,13.7229333334,10.1784
319.96,7.76655,11.8576666667,9.64333333332,10.384,7.30133333333,9.338,9.93886666667,11.8395333333,9.93097777779,14.1304,10.5279333333
320.32,7.72190000001,11.9579333333,9.79106666666,10.4459666667,7.29226666667,9.2258,9.93146666667,11.9416,9.98077777777,14.1212666667,10.4989333333
320.69,7.79646666667,12.0493333333,9.94033333333,10.4721666667,7.28206666667,9.32933333333,10.1478666667,12.0511333333,10.1427333333,14.1967333333,10.5226666667
321.06,7.68075,12.0695333333,9.97440000001,10.4931333333,7.28106666667,9.32213333333,10.1103333333,12.0107333333,10.3201111111,14.2606,10.4158
321.43,7.58486666666,12.0366666667,10.0392666667,10.5615666667,7.27933333333,9.3103,10.2002666667,12.0494666667,10.4142444444,14.2241333333,10.3722
321.80,7.18098333333,11.7816666667,9.70266666667,10.2374666667,6.9286,9.04236666667,9.92633333333,11.7981333333,10.1249222222,13.959,10.0282666667
322.16,7.14904999999,11.8748,9.81986666667,10.3205666667,6.94986666667,8.99933333334,10.0296,11.789,10.1552333333,13.9997333333,10.0546
322.53,6.85588333333,11.7175333333,9.52499999999,9.97146666667,6.65946666667,8.64396666667,9.78393333334,11.5176,9.81308888887,13.8010666667,9.74460000001
322.90,6.66276666667,11.7242,9.42713333333,9.75526666667,6.4368,8.49163333333,9.65533333333,11.417,9.72043333333,13.5420666666,9.48506666666
323.27,6.6744,11.7742666667,9.42226666667,9.82403333333,6.3336,8.43506666667,9.73813333333,11.5255333333,9.67937777779,13.6354666667,9.54246666666
323.63,6.75999999999,11.9465333333,9.50373333333,10.1131333333,6.4786,8.6281,9.75853333332,11.7016666666,9.80235555555,13.7228666667,9.56706666667
324.00,6.61358333333,11.8158,9.32173333334,9.95140000001,6.29993333333,8.52316666667,9.63,11.5837333333,9.63621111111,13.6709333334,9.41746666667
324.37,6.29951666667,11.5464,8.96806666667,9.65133333333,6.051,8.27,9.31633333333,11.3249333333,9.28488888889,13.4424666667,9.10413333332
324.74,6.13308333333,11.5177333333,8.84846666666,9.552,5.98033333333,8.06103333333,9.1688,11.2556,9.14942222222,13.3424666667,9.05080000001
325.10,6.18591666667,11.5674,8.79166666667,9.64923333333,6.04753333333,8.09553333333,9.24766666667,11.2802,9.09265555555,13.3781333333,9.12973333332
325.47,6.24821666667,11.6887333333,8.85566666667,9.64016666667,6.00086666667,8.06843333333,9.25233333333,11.2365333333,9.05468888889,13.4855333333,9.1748
325.84,6.37285000001,11.9022666667,9.045,9.78056666667,6.17446666667,8.10696666667,9.44540000001,11.4,9.24556666667,13.6734,9.36626666668
326.21,6.31761666667,11.9516,9.00846666666,9.7599,6.12386666667,8.05833333334,9.39173333334,11.4658666667,9.22699999999,13.7236,9.24919999999
326.57,6.40971666667,12.0538,9.19920000001,10.0140666667,6.2486,8.21613333333,9.52106666667,11.6652666667,9.44742222221,13.8643333333,9.40533333333
326.94,6.30728333333,11.9606,9.0862,10.0345666667,6.22313333333,8.08413333333,9.43079999999,11.5960666666,9.33261111111,13.8404666667,9.281
327.31,6.51766666667,12.2469333333,9.32946666667,10.2062,6.49326666667,8.25496666667,9.57033333333,11.7653333333,9.61088888889,14.018,9.48293333334
327.67,6.30376666667,12.0608666667,9.10026666665,9.91833333333,6.16513333333,7.954,9.41939999999,11.5268,9.39091111111,13.8134,9.25833333333
328.04,6.27666666667,12.0146,9.12986666667,9.8521,6.11646666667,7.94203333333,9.45706666667,11.4930666667,9.39583333334,13.7105333333,9.20260000001
328.41,6.3643,12.0963333333,9.17106666667,9.84213333333,6.162,7.94116666667,9.54146666667,11.4994,9.45412222223,13.7154666667,9.21286666667
328.78,6.61736666667,12.2906666666,9.38166666667,10.0363333333,6.3502,8.11673333333,9.69973333333,11.6973333333,9.68756666667,13.9764,9.36713333333
329.14,6.69096666667,12.4452666667,9.52279999999,10.0937666667,6.34746666667,8.1331,9.81086666667,11.8720666667,9.80521111112,14.0484,9.42079999999
329.51,6.4779,12.2208,9.24520000001,9.91056666667,6.1148,7.856,9.55633333333,11.738,9.66721111112,13.8655333333,9.21360000001
329.88,6.39643333333,12.2590666667,9.19126666666,9.86423333333,5.9734,7.80553333334,9.44480000001,11.6887333333,9.53341111112,13.7278666667,9.00766666666
330.24,6.55516666667,12.4842,9.38286666667,10.0668333333,6.05793333333,7.8993,9.59300000001,11.8267333333,9.70748888889,13.8384666667,9.19573333334
330.61,6.60863333333,12.589,9.42973333334,9.97053333333,5.98453333333,7.8781,9.57846666667,11.8128,9.67616666667,13.8574,9.13333333333
330.98,6.74843333333,12.8371333333,9.59046666667,9.98503333333,6.0798,7.95436666667,9.71420000001,11.8925333333,9.85267777779,14.0438666667,9.27499999999
331.34,6.3577,12.6038666667,9.23293333333,9.63816666667,5.72633333333,7.65663333333,9.44700000001,11.6591333333,9.48907777778,13.7794666667,8.90433333334
331.71,6.49845,12.7751333333,9.43966666668,9.91823333333,5.8436,7.8023,9.59446666667,11.8582666667,9.69003333334,14.0315333333,9.075
332.08,6.45711666667,12.9018,9.42053333333,9.92783333333,5.80953333333,7.82206666667,9.53533333334,11.8857333333,9.67208888888,14.0652666667,9.03473333333
332.44,6.55446666667,13.0726,9.61553333333,10.1311,5.85813333333,7.8985,9.64000000001,11.961,9.78637777777,14.2468666667,9.17686666667
332.81,6.48731666668,13.0646666667,9.5998,10.1473333333,5.7742,7.80413333333,9.79233333333,11.8991333333,9.72712222223,14.2156,9.01353333333
