wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
623.95,5.8808,5.66003333333,6.3149,6.827,6.59902222222,8.04563333333,5.8422,6.29246666667,9.2354
624.28,5.85506666667,5.6197,6.27106666667,6.77773333333,6.57924444444,8.0089,5.8153,6.27366666667,9.24206666667
624.62,5.8142,5.55506666667,6.23536666667,6.7014,6.54506666667,7.94106666667,5.7628,6.21326666667,9.18926666667
624.95,5.733,5.5094,6.13483333333,6.6296,6.48408888889,7.86376666667,5.7171,6.11513333333,9.14926666667
625.28,5.67286666667,5.39703333333,6.02626666667,6.53506666667,6.40633333333,7.77396666667,5.61453333333,6.0098,9.06793333333
625.61,5.74853333333,5.41446666667,6.10903333333,6.5736,6.48535555555,7.84416666667,5.6724,6.0814,9.1396
625.95,5.75806666666,5.3978,6.09913333333,6.59446666667,6.5,7.89,5.68283333333,6.10293333333,9.18726666667
626.28,5.7538,5.36736666667,6.1219,6.57513333333,6.49753333333,7.8885,5.72253333333,6.09893333333,9.20093333333
626.61,5.668,5.31016666667,6.0672,6.53813333333,6.42888888889,7.83756666667,5.68653333333,6.072,9.14253333333
626.94,5.60646666667,5.2823,6.0256,6.50226666667,6.38404444444,7.78863333333,5.6463,6.03146666667,9.09126666667
627.28,5.61906666667,5.3084,6.00796666667,6.50753333333,6.37942222222,7.79373333333,5.659,6.02333333333,9.0886
627.61,5.67246666667,5.35736666667,6.0506,6.56546666667,6.43346666667,7.86613333333,5.71206666667,6.0712,9.15013333333
627.94,5.57373333333,5.25223333333,5.97913333333,6.48513333333,6.33993333333,7.77233333333,5.61416666667,5.9716,9.06906666667
628.27,5.6608,5.3522,6.1145,6.63533333333,6.45335555556,7.90463333333,5.75753333333,6.09373333334,9.21826666666
628.61,5.65013333333,5.32853333333,6.14176666667,6.63533333333,6.42717777778,7.9419,5.76203333333,6.1146,9.17826666667
628.94,5.6476,5.36833333333,6.16093333333,6.66813333333,6.44348888889,7.95966666667,5.80573333333,6.147,9.20933333334
629.27,5.57953333333,5.34663333333,6.08956666667,6.62053333333,6.37226666667,7.91963333333,5.76216666667,6.11226666667,9.1384
629.60,5.6756,5.4438,6.1912,6.68393333333,6.47535555556,7.94293333333,5.81896666667,6.17373333333,9.22459999999
629.94,5.71366666667,5.5203,6.22726666667,6.75926666667,6.52197777778,8.00016666667,5.85103333333,6.1984,9.29533333334
630.27,5.82273333333,5.63373333333,6.3023,6.8168,6.62371111111,8.0717,5.91393333333,6.256,9.42386666667
630.60,5.87246666667,5.70456666667,6.34846666667,6.8718,6.67784444445,8.13466666667,5.97,6.29826666667,9.45919999999
630.93,5.91793333333,5.77323333333,6.40553333333,6.92546666667,6.75268888889,8.20273333333,5.99913333333,6.35493333333,9.5346
631.26,6.00893333333,5.83583333333,6.54403333333,7.04653333333,6.82575555556,8.25166666667,6.10446666667,6.48273333333,9.62746666667
631.60,6.09193333333,5.9455,6.64033333333,7.14506666667,6.93217777778,8.38176666667,6.20623333333,6.55753333333,9.73333333333
631.93,6.09113333333,5.92216666667,6.58913333333,7.10593333333,6.91375555555,8.3624,6.16253333333,6.5728,9.68060000001
632.26,6.1196,5.9672,6.57333333333,7.12026666667,6.96193333334,8.34466666667,6.1807,6.60886666667,9.71459999999
632.59,6.2332,6.0279,6.70543333333,7.18346666667,7.05366666667,8.4341,6.24063333333,6.7028,9.79033333335
632.92,6.2254,6.00506666667,6.7126,7.14646666667,7.02664444445,8.42326666667,6.20776666667,6.65786666667,9.78840000001
633.26,6.1372,5.8862,6.62196666667,7.0608,6.90895555556,8.40223333333,6.1374,6.57313333333,9.69886666665
633.59,6.0746,5.83706666667,6.5741,6.9982,6.86506666667,8.35103333334,6.06433333333,6.49713333333,9.66786666667
633.92,6.02213333333,5.7666,6.53143333333,6.9804,6.82684444444,8.31466666667,6.02996666667,6.42826666667,9.62426666666
634.25,6.00033333333,5.72126666667,6.48106666667,6.9372,6.79957777778,8.26366666667,5.95066666667,6.36746666667,9.58413333333
634.58,5.98193333333,5.64996666667,6.4629,6.9204,6.78886666667,8.24303333333,5.91986666667,6.36433333333,9.57286666667
