wavelength,Back_ParCapf,Belly_ParCapf,Breast_ParCapf,Crissum_ParCapf,Crown_ParCapf,DorTail_ParCapf,Rump_ParCapf,Throat_ParCapf,WingTip_ParCapf
194.75,135.827777778,139.153555555,149.659888889,126.681666667,144.520111111,142.101333333,151.851888889,128.798111111,134.467222222
195.13,133.918111111,134.795222222,145.687,124.049666667,141.812777778,138.085,149.780777778,129.093666667,132.894777778
195.51,128.476888889,128.256111111,135.614444444,117.071333333,129.948555555,126.637333333,140.102888889,121.559777778,124.061777778
195.89,132.229333333,130.389777778,139.661666667,117.880888889,131.42,127.667222222,139.367111111,123.031555555,123.252333333
196.27,134.050333333,134.552,139.211555556,123.512666667,133.476777778,127.526888889,140.215111111,130.107555556,125.878111111
196.65,130.663888889,130.375,140.692666667,121.717222222,130.519333333,125.829555556,136.724222222,130.231,124.025888889
197.03,119.663777778,123.611,134.649111111,114.400666667,121.710555555,117.470555556,125.073222222,122.660777778,116.666777778
197.40,114.930555555,119.513888889,126.736111111,107.083333333,117.986111111,115.555555555,119.583333333,118.125,111.25
197.78,120.710666667,123.204777778,132.502,108.843333334,122.222111111,122.373444444,123.885111111,122.978,115.495222222
198.16,121.180555556,118.819444444,129.513888889,104.652777778,121.458333334,117.708333333,121.041666667,120.555555556,116.388888889
198.54,122.073888889,119.333222222,134.222111111,101.259333333,124.444333333,114.740666667,119.777888889,124.740666666,117.111
198.92,116.920777778,115.904222222,131.082111111,97.7485555555,118.736222222,109.295444444,111.038444444,120.624777778,112.854
199.30,125.079222222,127.222333333,138.730222222,105.396888889,129.127,118.174777778,118.174666667,126.507888889,119.523777778
199.68,139.605777778,143.906777778,153.494666666,116.845888889,149.372777778,131.899777778,132.257888889,144.086111111,134.318888889
200.06,153.271111111,157.944111111,163.759111111,125.752888889,169.781777778,144.029222222,143.717444444,159.813222222,150.882555556
200.44,160.211666667,160.634888889,166.243444445,127.513222222,175.661333333,151.428444444,149.523777778,161.058333333,154.179888889
200.82,144.044,148.248222222,145.745666667,113.613555556,160.860888889,138.038,138.338333334,148.848777778,140.440333333
201.19,139.181222222,141.910555555,134.990333333,108.284555556,156.822444444,130.799111111,133.430666667,137.719333333,134.308
201.57,135.728,135.632111111,130.364111111,105.172555556,151.82,126.915777778,128.544111111,130.076555556,131.321777778
201.95,136.328555555,139.420222222,128.888666667,111.304333333,150.145,122.898333334,125.410777778,126.376888889,131.111111111
202.33,131.463333333,139.053888889,120.021888889,106.490666667,148.294777778,116.941777778,118.261777778,117.381666667,127.502888889
202.71,128.802777778,141.100111111,115.210444444,110.140333333,144.012888889,115.102555556,111.758333333,115.641777778,124.271888889
203.09,142.222222222,159.753222222,126.296333333,119.506222222,161.111,128.148111111,121.604777778,122.716111111,136.666555556
203.47,127.837444444,147.072888889,115.890111111,105.376333333,147.670333333,114.456333333,105.854222222,110.274888889,121.027555556
203.85,120.685444444,140.661888889,112.647666667,99.8817777777,139.007111111,105.082777778,94.4443333333,102.245777778,111.820333333
204.22,125.059111111,148.699777778,117.376111111,106.619444444,141.725888889,107.683111111,98.4633333332,102.363888889,114.184222222
204.60,137.481444444,173.333333333,132.296444444,113.333333333,159.703777778,113.481555556,100.296222222,108.444444445,124.889
204.98,168.361444444,203.578111111,154.990555556,134.463222222,191.713555555,122.786888889,105.273111111,116.949333333,142.937777778
205.36,170.856111111,195.992888889,151.366111111,128.051111111,182.513888889,119.672222222,101.275222222,123.314888889,133.879888889
205.74,185.656666667,211.717,155.959444444,134.545444445,198.585777778,122.02,104.444444444,137.171777778,139.596222222
206.12,223.209888889,250.864222222,185.185111111,162.716111111,244.938444444,153.086333333,128.888777778,171.605,174.074
206.50,305.050444445,332.996777778,244.444444444,230.976444444,321.885555555,207.743777778,173.400666667,260.269333333,237.373777778
206.87,348.717888889,380.342,267.094,251.709333333,379.059888889,232.478666667,197.863333333,315.384444445,278.205
207.25,418.888888889,425.0,291.111111111,272.777777778,445.555555556,244.444444444,215.0,383.888888889,307.222222222
207.63,3516.66666667,3672.22222222,2238.88888889,2172.22222222,3766.66666667,1755.55555555,1616.66666667,3555.55555555,2327.77777778
208.01,-1253.33333333,-1371.11111111,-795.555555556,-779.999999999,-1468.88888889,-646.666666668,-608.888888888,-1393.33333333,-802.222222222
208.39,-2600.0,-2866.66666666,-1733.33333333,-1494.44444445,-3105.55555556,-1288.88888889,-905.555555557,-3277.77777778,-1483.33333333
208.77,2411.11111111,2722.22222222,1655.55555556,1583.33333333,3044.44444444,1333.33333333,811.11111111,3322.22222222,1427.77777778
209.14,2.29586912822e+15,2.77920999732e+15,1.6490453181e+15,1.39315897564e+15,3.25544291246e+15,9.5957378424e+14,3.76721559737e+14,3.80275536718e+15,1.13727263317e+15
209.52,-481.481444444,-627.777777779,-396.296222222,-344.444333333,-811.111000001,-151.851777778,3.70366666667,-914.814777778,-261.11111111
209.90,1.49267033104e+15,2.10395437137e+15,1.43580669939e+15,1.03776127777e+15,2.58018728651e+15,3.41181789952e+14,1.06619309358e+14,3.38338608369e+15,6.82363579907e+14
210.28,204.761777778,342.857111111,212.698555556,25.3968888887,482.539777778,-4.76166666677,-95.2382222223,701.587333333,-9.52366666667
210.66,73.2027777777,163.398555555,93.464111111,11.1112222221,211.764666667,3.92155555543,-51.633888889,241.176444445,-12.4182222223
211.03,96.969777778,198.99,128.283,-51.515111111,292.929222222,-25.2525555553,-149.495,326.262777778,-63.6364444443
211.41,20.5127777777,125.641,68.376111111,-66.666666667,193.162444445,-70.0853333333,-169.230777778,239.316222222,-109.401777778
211.79,45.299,146.153888889,104.273444444,-29.9145555557,227.350444444,-38.4615555556,-161.538444444,243.589777778,-56.410333333
212.17,18.3005555557,110.457444445,61.437888889,-41.829888889,147.712333333,-52.941111111,-142.483555556,147.058888889,-41.1765555557
212.55,51.5555555553,125.777777778,77.3333333332,11.9999999999,146.222222222,3.55555555567,-36.4444444446,136.888888889,20.888888889
212.92,43.1746666668,103.174444444,57.1427777778,29.2064444446,109.841444444,6.34933333333,-12.381,105.079333333,28.254
213.30,58.3333333333,119.722222222,61.6666666667,46.111111111,108.888888889,34.4444444445,15.0,111.111111111,48.8888888889
213.68,42.9118888888,90.0382222222,43.4865555556,32.7587777777,70.498111111,27.3947777778,20.3064444444,66.6665555555,34.2910000001
214.06,47.343,107.729555556,46.8601111111,43.7197777778,84.541111111,27.2945555555,13.2852222222,66.4251111111,32.6086666668
214.44,41.1305555554,95.7115555557,50.8771111111,51.072111111,77.1928888888,28.4598888889,23.5867777778,58.0895555556,36.2573333334
214.81,48.0903333333,97.2222222223,59.2014444444,59.0277777777,83.8542222222,37.6736666667,44.271,67.7084444444,43.2293333332
215.19,42.7351111111,83.4755555557,54.4158888889,57.4074444445,75.925888889,35.47,47.1508888889,59.829,40.7407777778
215.57,50.5166666667,83.0751111111,59.5606666667,63.5657777779,78.682,39.0181111111,54.6509999999,60.9816666667,45.8654444443
215.95,49.9998888889,79.0509999999,60.9954444445,63.3103333332,73.0323333333,39.6991111111,58.7963333335,56.4813333334,44.4445555555
216.32,60.1374444444,87.7433333332,69.7595555556,69.644888889,84.307,54.2953333333,71.1340000001,66.6665555556,55.8991111111
216.70,51.186,79.9001111111,60.6741111111,58.9264444445,79.9001111111,48.065,65.5431111112,56.3046666667,48.1896666667
217.08,53.7777777778,88.4444444443,72.2964444444,57.7776666667,91.2593333332,47.5553333333,78.3703333335,64.7406666668,51.999888889
217.46,46.6301111111,84.3351111111,80.8744444443,53.369888889,105.464444444,40.8012222222,83.4243333332,65.2095555556,42.9874444443
217.83,49.3826666666,89.8765555556,89.3825555556,50.1234444445,137.284,39.7529999999,92.3456666668,81.4816666667,40.4938888889
218.21,28.8064444444,71.1935555556,80.2468888889,36.2140000001,112.345555556,30.8643333333,68.7243333334,66.2549999998,37.4484444445
218.59,30.0926666667,77.0833333334,86.574,29.3982222222,112.5,16.8981111111,68.75,60.8796666664,36.1112222223
218.97,15.4471111111,78.3197777777,87.8047777778,21.4092222221,113.821,10.569,58.5366666668,61.7886666668,30.8942222221
219.34,22.7272222222,86.8685555557,85.8585555556,32.0707777778,106.818,6.313,60.1010000001,63.1312222221,29.5453333333
219.72,16.0205555556,86.0465555556,80.8785555557,20.6718888888,109.302333333,1.80855555553,54.522,60.7236666666,32.558111111
220.10,3.283,67.4243333332,54.798,5.303,96.9696666668,-22.4746666667,32.0705555556,36.3636666667,22.2222222222
220.47,-17.4941111111,41.1347777778,36.6431111111,3.5461111111,71.1584444446,-42.3167777778,7.32877777777,13.7115555556,-2.12766666667
220.85,-3.92177777777,50.1088888889,45.9695555555,26.1438888888,74.0741111113,-35.0763333333,9.36811111112,27.4511111111,7.84322222223
221.23,3.89855555553,44.4444444445,40.3507777778,29.4345555555,69.0056666669,-29.4346666666,11.3061111111,22.8072222222,10.7211111111
221.61,24.7261111111,54.4602222222,47.4178888889,40.5321111111,64.1627777778,-3.59933333333,24.5696666667,33.0202222222,27.0736666667
221.98,21.8107777778,54.3211111111,47.8738888889,43.347,51.4403333333,-0.137222222233,24.0055555556,32.2358888889,28.3951111111
222.36,36.2194444444,63.3477777778,51.948,53.1026666667,59.8843333333,5.77188888887,37.6624444444,43.5784444445,41.1254444444
222.74,44.6361111111,78.9272222223,64.1762222222,64.7507777777,81.8006666665,10.345,48.4674444444,59.0037777779,56.704888889
223.11,45.1111111111,78.0000000001,75.3333333333,60.4444444443,79.9999999999,4.44444444444,46.6666666667,59.1111111111,65.7777777777
223.49,43.3604444445,101.084111111,94.3088888889,80.7587777779,97.2898888888,23.5773333333,61.7886666667,65.3114444444,87.263
223.87,46.5276666667,98.1482222223,98.1480000001,90.0461111112,91.6666666667,41.6667777778,68.9815555556,72.6852222221,85.6479999999
224.24,62.0595555556,118.428111111,121.138222222,105.962111111,114.091888889,69.3767777778,87.5337777778,100.542111111,109.756111111
224.62,74.1497777777,120.861666667,123.583,95.9183333332,116.780222222,80.2723333333,92.7435555558,108.163111111,112.471555555
225.00,66.3024444445,101.821555556,108.378888889,79.0527777779,99.0893333336,75.9563333333,80.6923333333,91.9855555554,93.4427777778
225.38,55.1852222222,97.4074444445,102.037222222,67.9629999999,95.1853333332,63.8888888889,67.2222222222,78.148111111,75.1852222223
225.75,53.8718888889,96.633,106.060555556,69.8654444445,96.4646666667,63.9731111111,70.5386666667,75.9258888889,75.9257777777
226.13,58.1596666667,104.340444445,114.236222222,71.3541111111,104.514,71.3542222222,79.514111111,85.5902222222,85.0694444446
226.51,40.7861111111,79.1327777777,88.7534444443,53.1166666666,76.9647777778,54.6072222222,58.401,59.2141111111,57.0458888889
226.88,30.1887777778,57.7568888889,65.7231111111,42.872,54.2975555556,36.8973333333,40.4612222222,38.4695555556,39.4131111111
227.26,24.9777777778,49.4222222222,51.2,35.8222222222,47.7333333333,29.5111111111,35.2888888889,29.5111111111,33.4222222222
227.64,24.431,38.2196666667,40.8298888889,27.8446666667,40.4952222222,23.2261111111,30.0536666667,27.4432222222,30.388
228.01,19.5981111111,33.3332222222,33.445,22.4455555556,34.1706666667,17.9228888889,25.1815555556,20.8822222222,27.6381111111
228.39,17.493,28.834,30.3947777778,20.9367777778,28.6042222222,14.3708888889,23.4618888889,19.8345555556,26.4464444445
228.76,16.4307777778,25.826,27.3702222222,19.9055555555,24.5388888889,12.1406666666,21.7502222222,17.8893333334,25.1821111111
229.14,18.7114444445,27.1992222222,26.8518888889,21.7592222222,25.5786666667,16.3195555555,24.3054444445,19.6374444444,27.7778888889
229.52,22.0841111111,27.8812222222,28.5371111111,23.4643333333,25.2587777778,20.5316666667,27.0876666667,22.3256666667,30.6762222222
229.89,24.3132222222,29.7752222222,28.8702222222,26.1548888889,27.1535555556,22.9712222222,28.3708888889,25.4371111111,32.834
230.27,25.226,30.1836666667,30.2713333333,28.4632222222,27.8506666667,23.9428888889,29.5421111111,25.401,33.275
230.65,25.0514444445,29.7375555556,29.5018888889,27.8514444445,27.5862222222,23.7841111111,28.1463333333,25.0808888889,33.4513333333
231.02,26.0316666666,30.7071111111,30.1298888889,28.7157777778,28.1385555555,25.5122222222,29.0618888889,27.0707777778,34.8052222222
231.40,27.7215555556,31.9866666667,31.5095555556,30.0225555556,28.2827777778,26.431,30.1908888889,28.5353333333,34.2592222222
231.78,28.1148888889,33.6557777778,33.5384444445,32.2777777778,27.9096666667,28.4375555556,31.662,29.2876666667,34.9457777778
232.15,29.7328888889,34.73,34.854,33.0538888889,28.1813333333,30.6331111111,33.2712222222,30.8504444444,35.6298888889
232.53,33.3956666667,38.3582222222,38.5768888889,36.2982222222,31.9286666667,35.6741111111,36.7665555556,33.3646666667,37.6092222222
232.90,32.8435555556,38.0777777778,39.0265555555,36.8533333333,32.4151111111,36.4554444444,38.3532222222,32.1394444444,37.5267777778
233.28,31.2848888889,35.2885555555,38.0201111111,34.2956666667,28.9882222222,32.6194444445,35.6922222222,29.64,35.537
233.66,29.5875555555,34.7813333334,37.0157777778,33.1443333333,28.2026666667,31.4133333333,34.75,28.8633333334,35.2217777778
234.03,26.756,32.6946666667,34.8021111111,29.3742222222,25.8941111111,29.6934444445,32.5351111111,26.4368888889,33.6525555556
234.41,29.2712222222,33.9307777778,34.5282222222,30.0181111111,28.4945555555,31.5411111111,33.3334444444,28.4646666667,35.245
234.78,29.3186666666,33.9552222222,35.4255555555,30.2517777778,29.036,31.552,33.6442222222,30.0255555556,35.6797777778
235.16,28.4467777778,32.7054444445,34.753,28.938,27.9007777778,30.849,31.5315555556,28.2555555556,34.0978888889
235.54,29.223,32.4052222222,35.5345555555,29.0108888889,28.7458888889,31.7422222222,30.7875555556,27.4462222222,34.9246666666
235.91,29.0403333333,31.3384444444,34.8484444445,27.5504444445,28.4093333334,31.1616666667,28.5606666666,26.8433333333,34.0908888889
236.29,30.243,33.0267777778,35.4564444444,28.7567777778,29.1105555555,32.2483333333,29.3701111111,27.9785555556,34.7251111111
236.66,27.7541111111,30.9115555556,32.5973333333,26.5433333333,26.852,29.6058888889,26.6621111111,25.9495555556,32.0987777778
237.04,27.309,30.028,31.9973333333,25.6445555556,25.5274444445,28.6216666667,24.707,26.6291111111,30.0985555556
237.41,27.7176666667,30.9095555555,31.8215555556,25.7497777778,26.3737777778,29.4935555556,25.0778888889,26.8058888889,29.5656666667
237.79,28.5023333333,31.677,32.4362222222,27.145,27.3983333333,29.9056666667,25.0286666667,27.8122222222,30.3197777778
238.17,27.0324444444,29.6522222222,29.7198888889,24.2095555556,24.6161111111,26.9873333333,23.3063333333,25.2257777778,27.6647777778
238.54,25.3254444444,28.8627777778,28.5374444444,23.047,23.5893333333,26.8228888889,22.5476666667,24.4141111111,25.5642222222
238.92,24.7641111111,28.3313333333,27.8802222222,22.3657777778,22.7552222222,26.3837777778,21.976,23.3496666667,24.8051111111
239.29,24.2598888889,27.797,27.0282222222,21.5685555556,22.5297777778,26.6243333333,21.7223333333,23.76,24.9712222222
239.67,20.2946666667,24.55,22.8224444445,18.6943333333,19.3125555556,23.077,18.5125555556,21.0401111111,21.5675555556
240.04,17.737,21.9843333333,19.1301111111,15.7153333333,16.7685555556,20.2175555556,16.31,17.6858888889,19.674
240.42,15.979,19.3347777778,16.8858888889,14.316,14.9055555555,17.8535555556,14.301,15.9032222222,18.4731111111
240.79,17.0274444445,20.0825555556,17.8526666667,15.2357777778,15.5582222222,18.845,15.1585555556,17.0274444445,20.4563333333
241.17,15.9087777778,19.0767777778,16.4857777778,14.415,14.6978888889,18.3527777778,14.5621111111,15.7162222222,20.491
241.54,14.8834444444,18.0774444444,15.5203333333,14.1778888889,13.9918888889,17.4013333333,13.9231111111,15.0008888889,20.0373333333
241.92,13.8285555555,16.9025555556,14.2206666667,13.1872222222,12.5545555556,16.3415555555,12.8306666666,14.0424444444,18.7471111111
242.29,12.949,15.702,13.523,12.4751111111,11.6017777778,15.7101111111,11.6848888889,12.891,17.8892222222
242.67,12.0377777778,14.4848888889,12.2355555556,11.1506666667,10.2716666667,14.2314444445,10.2082222222,11.3408888889,16.9241111111
243.05,12.2131111111,14.5622222222,12.1748888889,11.4096666667,10.4912222222,14.4245555555,10.2845555555,11.4324444444,16.8043333333
243.42,12.3926666667,14.7037777778,12.6074444444,11.8666666667,10.7704444445,14.8146666666,10.6518888889,11.6074444444,17.0001111111
243.80,13.3361111111,15.3874444445,13.2492222222,12.4808888889,11.2995555555,15.4453333333,11.3722222222,12.2925555556,17.8083333333
244.17,13.3306666667,15.3182222222,13.4358888889,12.7685555555,11.2516666667,15.2901111111,11.4551111111,12.3472222222,17.4533333333
244.55,12.7281111111,15.0567777778,13.2393333333,12.4724444444,10.8692222222,15.1118888889,11.1386666667,12.0024444444,16.7634444444
244.92,11.6206666667,13.9765555555,12.0045555555,11.7728888889,9.76122222221,14.0426666667,9.95300000001,10.5748888889,15.0618888889
245.30,10.7778888889,13.2704444445,11.1851111111,11.0555555556,8.72966666667,12.7091111111,8.93322222223,9.55022222222,13.8193333333
245.67,9.89688888888,12.3938888889,10.4612222222,10.3871111111,7.60488888889,11.7723333334,8.00977777778,8.78522222223,12.7815555555
246.05,9.40700000001,11.8877777778,10.199,10.1417777778,6.93133333333,11.4081111111,7.67666666667,8.13533333334,12.263
246.42,9.10733333332,11.995,10.1282222222,10.6572222222,6.84833333333,11.3473333333,7.87377777778,8.4078888889,12.2737777778
246.79,8.65166666668,11.6387777778,9.81166666666,10.6271111111,6.42788888889,11.2376666667,7.69244444444,8.233,12.0137777778
247.17,8.197,11.2412222222,9.43677777779,10.2821111111,5.92133333333,10.8591111111,7.36,7.75022222223,11.7451111111
247.54,7.617,10.8612222222,8.78044444444,9.83844444443,5.247,10.1117777778,6.77366666667,7.0781111111,11.2635555556
247.92,6.97344444444,10.4867777778,8.32488888889,9.45533333333,4.564,9.57322222221,6.32622222222,6.56622222223,10.7037777778
248.29,7.007,10.6704444445,8.35488888889,9.64644444445,4.22833333333,9.62022222223,6.29544444444,6.5928888889,10.7383333333
248.67,6.63733333333,10.4833333333,7.96455555556,9.48855555557,3.86133333334,9.205,6.00544444444,6.17955555556,10.4756666667
249.04,6.086,10.2907777778,7.60855555556,9.068,3.36433333333,8.93777777776,5.84933333333,5.68366666667,10.3223333333
249.42,6.21211111111,10.8243333333,8.06933333334,9.69,3.66066666667,9.46988888889,6.36177777778,6.07911111111,10.7496666667
249.79,6.75911111111,11.6762222222,8.78844444444,10.5061111111,4.14744444444,10.1675555556,7.15977777778,6.68788888888,11.4716666666
250.17,6.89877777778,12.1991111111,9.02188888889,10.9857777778,4.42911111111,10.3361111111,7.43311111111,6.9711111111,11.6262222222
250.54,7.48155555556,12.8637777778,9.591,11.473,4.81888888889,10.6871111111,7.81766666666,7.43500000001,12.0778888889
250.92,7.75233333333,13.4022222222,10.1713333333,11.9898888889,4.91055555555,10.8718888889,8.24155555556,7.79666666668,12.4291111111
251.29,7.43311111111,13.3521111111,9.85155555557,11.9153333333,4.54122222222,10.3068888889,7.87066666667,7.68144444443,12.0336666667
251.66,7.64,13.5202222222,10.1522222222,12.2702222222,4.76355555556,10.2738888889,8.13155555555,8.00422222222,12.0698888889
252.04,7.51855555556,13.5616666667,10.1853333333,12.1913333333,4.97522222222,10.4323333334,8.179,7.83944444443,11.9936666667
252.41,7.50788888889,13.7348888889,10.4896666667,12.1216666667,5.69988888889,10.6842222222,8.33655555556,8.04144444443,12.2723333333
252.79,8.00744444445,14.0431111111,11.1111111111,12.2875555556,6.28388888889,11.1747777778,8.54166666667,8.35722222222,12.5421111111
253.16,8.46333333333,14.2024444444,11.5736666667,12.7834444444,6.76544444445,11.3771111111,8.43144444443,8.78611111112,12.6252222222
253.54,7.85422222222,13.655,10.9803333333,12.1116666667,6.07544444444,10.7578888889,7.645,7.80222222222,12.0004444444
253.91,6.92766666667,13.0548888889,10.304,11.0236666667,5.61633333334,9.92077777777,6.56444444445,6.67211111112,10.9902222222
254.28,6.38166666667,12.4316666667,9.83866666666,10.4681111111,5.35166666667,9.43788888889,6.25044444444,5.94633333332,10.5716666667
254.66,5.70055555556,11.7058888889,9.03700000001,9.6751111111,4.57655555555,8.85533333332,5.454,4.78666666667,9.58799999999
255.03,5.25022222222,11.5184444444,8.735,9.0971111111,4.54855555556,8.74255555554,4.85044444444,4.33733333333,9.36866666665
255.41,5.21344444444,12.2356666667,9.31822222222,9.24755555555,4.85177777778,9.07444444444,5.14288888889,4.57644444444,9.7901111111
255.78,5.65655555555,13.2172222222,9.65888888889,9.54577777778,5.39822222222,9.92488888889,5.43866666666,5.019,9.87655555555
256.15,6.51811111111,14.0905555556,10.6877777778,10.3123333333,6.32644444444,10.6,6.17466666667,6.01488888889,10.7435555556
256.53,6.30922222222,13.4965555556,10.1553333333,10.109,5.81966666667,9.88344444444,5.74211111111,5.54,10.272
256.90,5.86877777778,13.1135555556,9.52377777779,9.78588888888,5.16255555555,9.43633333333,5.54111111111,5.075,9.88055555554
257.28,5.21266666667,12.3756666667,8.83111111111,9.13366666665,4.15644444445,8.515,4.98388888889,4.48611111111,9.14722222222
257.65,6.12444444444,12.3242222222,9.22122222222,9.59444444443,4.80611111111,8.82466666668,5.506,5.67522222222,9.64133333333
258.02,6.22522222222,11.8881111111,9.06422222222,9.79633333333,4.75122222222,8.94466666666,5.60777777778,6.00111111111,9.60211111111
258.40,6.31455555556,11.8703333333,8.93977777778,9.80488888888,4.77944444445,8.77022222221,5.62344444445,6.29355555556,9.59311111111
258.77,5.91422222222,11.4994444444,8.59222222222,9.52066666666,4.44211111111,8.37755555554,5.35944444444,6.15111111111,9.50211111111
259.15,6.09677777778,11.3965555555,8.56266666667,9.70422222221,4.434,8.31022222222,5.62777777778,6.21777777778,9.60255555556
259.52,6.38888888889,11.3595555556,8.68133333333,9.971,4.57255555555,8.53444444444,5.87133333333,6.39188888889,9.88122222223
259.89,6.25322222222,11.041,8.51388888889,9.842,4.37211111111,8.30888888889,5.83766666667,6.20277777778,9.92322222221
260.27,6.01244444444,10.68,8.25,9.59777777777,3.95677777778,7.97588888889,5.60833333333,5.87688888889,9.69799999999
260.64,5.88911111111,10.5854444444,8.20811111111,9.43277777779,3.89322222222,7.92755555556,5.56888888889,5.80644444444,9.63544444443
261.01,6.07155555555,10.5978888889,8.35466666666,9.63266666667,4.03955555555,7.97244444445,5.65966666667,5.99677777778,9.82244444445
261.39,6.44633333333,10.8228888889,8.59133333333,9.91188888889,4.41155555556,8.32166666666,5.99077777778,6.341,10.1705555556
261.76,6.27666666667,10.7596666667,8.37188888889,9.71355555557,4.15922222222,8.09566666667,5.822,5.95855555556,10.1125555556
262.13,6.273,10.7314444445,8.39866666667,9.75333333335,4.09388888889,8.06666666666,5.861,5.94677777778,10.3552222222
