wavelength,Back_CamParm,Belly_CamParm,Breast_CamParm,Crissum_CamParm,Crown_CamParm,DorTail_CamParm,Rump_CamParm,Throat_CamParm,WingTip_CamParm
757.87,18.6825333333,51.2777,9.88239999999,40.0498333333,10.6789733333,16.7918666667,18.9235422222,9.99486666667,19.9026666667
758.18,18.6299666667,51.0473,9.84819999999,40.0102,10.91268,16.7368666667,18.8544792593,9.98593333333,19.9874
758.50,18.3852666667,51.0193666667,9.49686666667,40.005,10.6062533333,16.504,18.5729622222,9.72206666667,19.8079333333
758.81,18.6070666667,50.7130666667,9.55953333332,40.1744666667,10.6207466667,16.8041333333,18.4686555556,9.67146666667,19.8140666667
759.13,18.7754333333,50.7457333333,9.83486666668,40.4534,10.7723466667,17.0351333333,18.5669266667,9.96693333333,19.9263333333
759.44,18.6896,50.821,9.80239999999,40.3645666667,10.7134666667,17.0554,18.4753844444,9.89946666667,19.8418
759.75,19.3405333333,51.0027,10.2976,40.7494333333,11.28948,17.5438666667,18.9093866667,10.381,20.2482
760.07,19.7046,51.1741666667,10.8149333333,41.0414,11.8192,18.0198,19.5895777778,11.0301333333,20.8062
760.38,20.1396666667,51.4252,11.186,41.4528333333,12.12712,18.5933333333,19.8566362963,11.3578666667,21.2494666667
760.69,20.4404333333,51.3678333333,11.4710666666,41.7483333333,12.4067866667,18.8124,20.1748088889,11.6182,21.6170666667
761.01,20.6830666667,51.5428,11.6666666667,41.8747333333,12.6008666667,18.966,20.4192777778,11.8928,21.8375333333
761.32,20.7586333334,51.7271,11.7645333333,42.0822666667,12.7331066666,19.2356,20.5145555555,12.0012666667,21.9346
761.63,21.2046666667,52.0791333333,12.3101333333,42.4147,13.0730666667,19.6574666667,20.9151222222,12.5130666667,22.2401333333
761.94,21.5889,52.2929333333,12.6194,42.6185,13.40084,19.9525333333,21.2876866667,12.7839333333,22.4573333333
762.26,21.2992,52.4630666667,12.3402666667,42.4319666667,13.2813333333,19.6586,21.1038044444,12.6379333333,22.3132
762.57,21.2728,52.3736333333,12.3436,42.3065,13.32376,19.748,21.1213162963,12.5694666667,22.3396
762.88,21.3981666667,52.8051333333,12.3022666667,42.6683333333,13.3599333333,19.6368,21.2174414815,12.6344666667,22.4976
763.20,20.9007,52.3342,11.7339333333,42.2539,12.7981333333,19.1279333333,20.6935392593,12.1310666667,21.9544
763.51,20.9516666667,52.3279333333,11.6258,42.2404666667,12.6879066667,19.068,20.6468029629,11.9196,21.8882666667
