wavelength,Back_HemCalm,Belly_HemCalm,Breast_HemCalm,Crissum_HemCalm,Crown_HemCalm,DorTail_HemCalm,Patch10_HemCalm,Rump_HemCalm,Throat_HemCalm,WingTip_HemCalm
191.71,6900.00000001,2646.66666666,5993.33333333,4839.99999999,6560.0,4394.66666666,2560.00000001,5553.33333333,2633.33333334,1600.0
192.09,-2188.889,-633.3332,-1853.3334,-1493.3334,-2057.7778,-1283.77780667,-684.444466666,-1678.88893333,-613.333333334,-246.666666667
192.47,-3083.33333333,-796.666666667,-2440.0,-1933.33333333,-2870.0,-1691.55555555,-749.999999999,-2361.66666667,-499.999999998,-3.333333332
192.85,-5600.0,-1166.66666667,-4233.33333334,-2980.0,-5160.00000001,-2479.33333333,-940.000000005,-4276.66666667,-253.333333333,813.333333334
193.23,334.5098,107.8432,274.901933333,194.1176,342.745133333,171.777782222,73.3332666668,271.568666667,42.353,-23.5294
193.61,235.733333333,86.6666666667,191.466666667,125.866666667,245.333333333,127.626666667,45.3333333333,188.266666667,31.9999999999,-13.8666666667
193.99,149.9048,45.5238666665,112.381066667,68.0000666666,164.952533333,75.4920577778,4.38099999999,116.6666,7.04773333348,-19.8094333333
194.37,145.438533333,33.6843333334,116.315666667,67.0175333333,163.158,69.9707555556,5.2631333334,115.087666667,17.5438666667,-15.7894999999
194.75,134.5,29.1666666667,102.166666667,64.3333333333,155.166666667,55.9388888889,4.66666666666,113.583333333,9.50000000008,-28.1666666667
195.13,199.2308,27.9486666667,143.846266667,103.333333333,225.128266667,67.6325711111,-10.0000666667,158.8461,13.0769333332,-52.0513666668
195.51,758.888933333,63.333333332,516.666733333,352.222200001,898.888799999,134.518475556,-193.333199999,563.888899999,-43.333266666,-312.777666667
195.89,-256.111066667,56.111,-142.222133333,-37.2222000001,-334.444466667,42.3888088888,210.0,-154.166666667,122.222266667,276.6668
196.27,1490.0,-243.333333332,873.333333332,159.999999998,2213.33333333,-101.000000001,-1006.66666667,1166.66666667,-643.333333332,-1315.0
196.65,337.142733333,-136.190533333,126.666666667,-11.4284666668,571.428599999,-90.6032577784,-323.809533334,234.761966666,-252.381,-405.238133333
197.03,225.714266666,-268.571466666,34.2857333332,-82.8570666666,494.285733333,-158.285777778,-374.285666666,135.238033333,-366.666733333,-433.809566667
197.40,17.7777333333,343.888933333,159.444533333,220.555666667,-128.333266667,268.518637778,347.222133333,71.3888999999,381.666733333,389.7223
197.78,36.8421333332,251.227866666,117.193066667,133.684266667,-39.9999999999,204.573151111,230.526333333,53.1578999999,271.9298,247.017733333
198.16,47.1794666665,188.9742,84.8717333335,97.4357333334,-11.7948666667,170.777757778,152.8206,41.2820333333,215.128133333,186.025733333
198.54,48.5470666666,128.5472,79.3162000001,73.3333333334,6.83759999994,122.797742222,103.247733333,38.2906333333,160.342,127.350533333
198.92,43.7208666668,114.883666667,65.2713333334,62.9456666667,9.76746666666,101.478086666,101.2404,30.9302666665,147.597066667,106.589
199.30,59.2857333333,110.952333333,71.5476666667,84.5237999999,29.0476666667,93.1468755555,96.6665333335,39.7023333333,142.262,108.7499
199.68,92.6797999999,155.163266667,109.0196,121.176466667,58.6928666666,121.956522222,126.4052,63.9869666668,183.268,147.777833333
200.06,111.9728,178.911466667,128.9796,136.870733333,77.2788666665,143.369535555,146.938866667,78.2993666667,207.3468,170.4761
200.44,115.185266667,167.037,131.111,130.493933333,83.7037333333,144.818817778,153.086333333,84.9382666666,198.888933333,165.5555
200.82,115.220066667,157.106933333,121.6352,129.685466667,81.1321333333,141.823766667,145.408866667,80.3144999999,195.4718,166.5409
201.19,148.172,201.935533333,158.0644,165.806466667,84.0860666667,191.369182222,200.215133333,86.4515666667,284.086,253.870933333
201.57,165.0,241.0,162.666666667,182.333333333,48.0000000001,219.0,258.333333333,63.8333333335,385.666666667,328.0
201.95,420.833333333,575.833333333,406.666666667,504.999999999,56.6666666667,535.222222223,613.333333332,165.0,982.499999999,812.500000001
202.33,-2706.66666667,-3786.66666667,-2540.0,-3099.99999999,686.666666667,-3126.88888889,-4306.66666666,-246.666666668,-7066.66666667,-5843.33333333
202.71,-296.969666667,-374.545666667,-259.9998,-325.454666667,24.8486000001,-349.353468889,-461.212133334,-47.8787666666,-674.545466667,-598.181766667
203.09,-580.000133333,-685.555466667,-517.777799999,-633.333466667,2.22239999986,-729.296368888,-883.333333333,-151.111066667,-1230.00006667,-1121.6667
203.47,-246.153866667,-288.205133333,-223.076866667,-251.282066667,14.359,-334.29066,-406.666666667,-66.9231333332,-553.333333333,-491.7949
203.85,-131.515133333,-149.090866667,-118.787933333,-141.818133333,19.0908666664,-193.191944444,-223.0304,-26.0606999999,-315.7576,-271.212166666
204.22,-56.7677333333,-55.1514666669,-48.2829333332,-60.4040000001,50.1009333335,-96.3165333334,-115.9596,14.6465333334,-176.363466667,-142.323266667
204.60,-42.2858666667,-47.8094666668,-28.1904666666,-52.1905333333,64.1905333333,-77.4412422223,-88.3809333333,24.3809,-153.714266667,-125.714366667
204.98,-33.6433333335,-48.2171333334,-30.6976,-45.1162666667,57.6742666667,-64.6718466665,-71.0076666666,23.0233666667,-126.511533333,-100.7751
205.36,-123.0,-178.333333333,-113.666666667,-158.0,62.0000000001,-194.455555556,-217.0,-11.5,-321.333333333,-248.0
205.74,-1753.33333334,-2290.0,-1780.0,-2230.0,-93.3333333334,-2644.66666667,-2780.0,-876.666666666,-3743.33333333,-3161.66666667
206.12,215.666666667,281.333333333,216.333333333,247.666666667,38.9999999999,304.077777778,327.666666667,124.5,402.0,369.166666667
206.50,160.185066667,209.074133333,162.037133333,189.259266667,67.9630666667,217.413566667,231.296266667,120.370333333,267.7778,242.036966666
206.87,133.008066667,174.7968,130.569,150.731666667,52.6829333332,168.839948889,195.284666667,103.252066667,224.2276,192.4389
207.25,187.356266667,242.9884,178.3908,200.4598,58.1607999999,221.624484445,251.953933333,126.4368,300.689533333,254.8276
207.63,214.202866667,283.768266666,202.608733333,207.826066667,45.2174,250.879206667,286.3768,126.5217,343.768133333,277.536233333
208.01,122.882933333,160.360266667,106.306333333,105.4054,4.86486666666,132.630682222,165.585733333,67.7476666668,195.135133333,154.4144
208.39,102.318866667,139.7102,95.2173333334,88.9854666669,7.53613333336,111.473622222,141.159533333,57.3188666667,165.0724,121.666733333
208.77,111.2,141.733333333,104.266666667,93.6,18.0,113.471111111,149.6,69.7333333333,164.8,125.866666667
209.14,89.7585333333,106.57,81.0627999999,74.2027999999,23.7680666667,89.83576,118.1642,59.1788,125.024066667,100.772966667
209.52,90.3920666665,106.8628,86.7648666667,77.1568666665,29.2158000001,91.6078311111,120.294066667,57.2548000001,131.666666667,103.186333333
209.90,92.5489999999,112.287533333,87.7123333336,71.5032666668,12.5491333333,93.9737977777,125.751533333,38.9542333334,143.6602,106.4052
210.28,111.666666667,128.333333333,115.333333333,85.1666666666,19.5,116.994444444,151.666666667,40.4166666667,180.333333333,123.916666667
210.66,125.641,139.230733333,145.897466667,81.7950666667,-12.5641333333,140.427395556,172.564133333,12.0512666666,229.743666667,145.000133333
211.03,88.5714,111.746133333,140.0,59.3650666668,-80.3174000001,123.460255556,150.4762,-55.8731000001,238.095333333,130.000066667
211.41,71.4583333334,90.4166666665,123.125,59.3750000001,-36.2500000001,105.201388889,118.541666667,-6.77083333334,181.875,113.229166667
211.79,62.7273333335,66.0606000001,104.5454,51.8181333333,-21.5152666667,77.2222888889,95.606,8.78790000013,149.545466667,100.303033333
212.17,77.1717333333,81.2119999999,145.454666667,72.9292666666,-27.8787999999,96.5186377779,122.222133333,5.45456666666,205.8586,138.484933333
212.55,82.5225333333,80.5406,137.6576,74.7747999999,-17.1169333333,86.9550311111,117.837866667,17.7476666666,190.090133333,144.774833333
212.92,43.6508000001,40.1587333333,104.126933333,46.8253333333,-32.0634,55.6032200001,72.8571333333,-12.4604333333,143.3334,100.555433333
213.30,29.9999333333,30.7936,103.650733333,38.4127333335,-37.7778,45.6561777778,60.6349333333,-23.5714333334,137.3016,89.4443333332
213.68,24.9274666667,16.5218,92.7536,30.4348000001,-36.2318666667,37.4831488889,50.8694666667,-19.2028333333,116.9566,81.0146333333
214.06,42.7322666666,31.2568000001,93.2239999999,46.0108000001,-5.13666666666,49.6210822223,63.6065333333,12.3498333333,106.994533333,84.5902666668
214.44,43.9344666666,28.6338000001,99.3442000001,48.4154000001,-1.74860000001,49.1183222222,64.2623333333,15.5191666667,102.841533333,86.1747666665
214.81,48.5715333334,28.4524666667,107.262,50.8333333333,-3.45233333341,55.5913066665,69.5237333334,13.5119333333,109.166666667,93.5120000001
215.19,69.2930000001,52.6264000001,115.555533333,68.7878666667,25.0504666667,77.5353355555,84.2424000001,40.6565000001,113.1314,108.383933333
215.57,60.7273333333,36.7273333332,110.424133333,58.9089999999,10.9090666667,71.7091711113,85.6969333333,24.4241,109.939333333,112.787933333
215.95,70.6383333334,45.8156000001,118.439733333,68.7943333333,20.4254666666,87.9763777777,101.560333333,22.1985666667,121.418533333,130.993033333
216.32,47.8516666667,27.7037333333,92.7407333332,49.3333333334,-1.92593333328,75.5901355555,87.7038000001,-0.5185666666,100.4444,113.036933333
216.70,34.4445333333,16.3492666666,92.6983333332,40.9522000001,-13.0158666667,78.4550155553,83.4921333331,-12.9365,98.2539333332,111.111
217.08,43.0555999999,26.8056,90.5555333334,41.8054666667,0.27786666664,82.8148911111,86.5277999999,5.76386666666,101.111133333,107.222233333
217.46,47.7777999999,32.8573333335,92.2221333334,44.4443333333,-7.4602666666,87.7726488888,97.4602666668,8.33336666672,117.142933333,116.27
217.83,39.7701999999,25.5173333334,97.0114666666,26.2069333335,-54.0231333333,88.7816022221,107.356266667,-22.7585666669,140.9196,141.034433333
218.21,-75.3333333334,-85.3333333333,90.0000000008,-150.666666667,-365.333333333,19.3777777778,92.6666666665,-261.666666667,242.0,202.0
218.59,2400.0,2326.66666667,1219.99999999,3286.66666667,5540.0,1641.55555556,766.666666668,4253.33333333,-733.333333332,-633.333333333
218.97,-81.1112666665,-73.7778000001,-40.0001333333,-110.4444,-173.555466667,-63.5852155555,-18.8888,-129.111033333,33.5554666667,36.9999666666
219.34,-153.866666667,-138.133333333,-96.5333333333,-188.0,-257.6,-141.502222222,-68.8,-205.733333333,-2.40000000001,-12.5333333333
219.72,-118.958333333,-87.9166666667,-61.8750000001,-137.708333333,-188.125,-95.8125,-37.0833333333,-144.583333333,19.7916666667,-0.416666666606
220.10,-165.416666667,-121.666666666,-82.2916666666,-167.916666667,-232.291666667,-128.270833333,-69.5833333333,-174.583333333,-13.125,-42.3958333333
220.47,-95.9999333335,-68.0000666667,-36.7407333333,-99.5556000001,-147.7038,-71.2444400001,-24.7407333333,-98.8147666665,8.88880000007,-13.8518999999
220.85,-91.1112000001,-63.3334666667,-47.7778,-96.3890000001,-139.444533333,-72.9814222221,-31.6665999999,-98.8194000001,0.555533333274,-20.9722333333
221.23,-129.2682,-78.6990666667,-83.4145999999,-128.617933333,-182.926933333,-111.100288889,-50.2438666667,-139.105566667,-21.1381999999,-36.5852666666
221.61,-104.2308,-66.6666666667,-68.9743333333,-102.1794,-145.640866667,-85.2349511111,-27.9488,-114.743633333,-19.8719333334,-29.1025666667
221.98,-88.6549333334,-52.5145999999,-61.1695333333,-85.1463333333,-127.3684,-68.9435311113,-20.2338666667,-97.7777666667,-15.5555333333,-21.8128666667
222.36,-52.973,-25.1351333334,-36.2162666667,-47.3873333333,-80.5405333333,-36.2190622221,2.16199999999,-58.3332999999,2.34240000001,0.99096666668
222.74,-33.1818,-7.0456,-19.2424,-28.4090666667,-54.0908666667,-16.2348488889,12.5,-33.7878333334,16.5909333333,13.3712333333
223.11,-52.2580666666,-19.3548,-34.8388,-41.2903999999,-80.6449333333,-33.3477377777,11.7204,-55.4839333333,14.9462000001,11.1290666667
223.49,-21.3158,-0.7018666666,-12.2806666666,-16.579,-46.6667333333,-7.86552,27.1051333333,-25.8333333334,29.6490666668,25.1316
223.87,-24.0691999999,-9.00433333333,-19.8270000001,-23.0302666667,-46.4934666667,-15.2872088889,16.71,-30.1731333334,21.4718666667,15.4978666667
224.24,-15.4471333333,-3.08933333326,-14.5528666666,-16.3414000001,-34.8780666667,-5.37140444452,19.9999333333,-17.6016666667,23.0080666666,24.1463333333
224.62,1.05600000002,14.0594666667,4.09246666664,2.17833333333,-11.0232,10.8580711111,29.8348666667,2.17806666664,34.9834666667,37.8547
225.00,0.11686666668,13.5670666667,6.95906666666,0.9356,-10.0584666667,12.5477288889,30.5262,2.57310000001,33.2164666667,35.7602
225.38,1.69299999999,8.783,9.73540000002,1.5344,-7.72493333333,16.3508733333,29.0476666667,4.04763333334,32.1693333333,34.2857333333
225.75,-5.32220000001,2.68893333332,2.80126666666,-4.25779999999,-12.9972666667,9.24729333333,21.6806,-3.44539999999,25.154,29.3277
226.13,-4.51446666666,3.04473333334,7.24400000002,-1.57473333333,-8.34653333333,10.4742311111,23.9894,-1.36480000001,25.9843333333,27.5852666667
226.51,-12.1354666667,-6.45819999999,3.64599999998,-7.81226666667,-14.5311333333,6.16678000001,17.3958666667,-8.69786666667,17.8127333333,19.8179666667
226.88,-16.0282666667,-11.4420666667,-0.803799999994,-10.3546,-17.3994666667,2.52635555556,13.3805333333,-13.6170333333,10.5910666667,13.0259
227.26,-10.79,-5.81893333334,2.15793333333,-6.6666,-14.3738,5.33446444445,14.4508666667,-10.0769666667,10.4046666667,12.948
227.64,-13.5034666667,-7.48293333334,-1.02046666666,-8.50339999999,-17.6531333333,2.01354000001,9.82973333335,-12.5170333333,5.10200000001,10.4421333333
228.01,-8.63246666667,-2.50713333333,2.67799999999,-3.61826666667,-13.8176666667,4.66008222222,10.7124,-8.58976666667,6.72366666667,12.2793666667
228.39,-9.2506,-3.87606666667,1.08526666667,-4.96126666667,-15.7622666667,2.91303555556,8.29453333333,-10.3229333333,4.70280000001,8.20413333333
228.76,-15.6456,-11.439,-6.59286666666,-12.5460666667,-22.6321333333,-4.51341333334,1.23,-18.4377666667,-3.936,-0.4428
229.14,-15.2312,-11.9098,-6.16853333333,-11.9572666667,-22.3960666667,-4.62878444444,0.166133333327,-18.2562,-4.53119999999,-0.225400000006
229.52,-10.7017333333,-7.74119999999,-2.49999999999,-7.98253333334,-18.4428666667,-1.94815555555,2.69733333333,-13.9034666667,-0.92093333334,2.97153333334
229.89,-9.57426666667,-6.68733333333,-0.913733333334,-7.16506666666,-16.6147333333,-0.461024444452,2.67906666667,-11.6303333333,0.851533333328,4.54813333333
230.27,-8.62633333333,-5.55246666667,-1.05673333332,-6.45553333333,-14.6012666667,0.632002222228,2.95873333334,-10.0287333333,0.941466666652,5.31226666667
230.65,-8.15026666666,-3.79333333334,-0.938933333332,-5.12666666667,-14.2536,1.58440666665,3.9248,-8.71366666667,2.64793333332,5.78393333332
231.02,-6.38793333333,-1.78253333332,0.297133333326,-3.26839999999,-12.8319333333,2.41967333334,5.01393333333,-7.01023333334,4.53106666667,6.78716666667
231.40,-6.8186,-2.65913333334,-0.36086666666,-4.52039999999,-13.1812666667,1.46758222221,4.0646,-7.45496666667,4.10253333335,6.38183333333
231.78,-7.22226666667,-3.90879999999,-0.694333333334,-4.82140000001,-12.5794,1.89751777779,4.36506666667,-8.34323333332,4.94039999999,5.7541
232.15,-9.87099999999,-7.33333333333,-3.26873333335,-6.60213333334,-14.9462666667,0.424335555556,3.0322,-10.4838333333,3.29046666667,3.97849999999
232.53,-11.2611333333,-8.55866666667,-5.36039999999,-7.31979999999,-16.3512,-1.68920222223,2.27486666666,-11.7007333333,2.45499999999,5.25896666667
232.90,-10.1852,-7.54633333333,-4.65279999999,-5.92606666668,-15.6713333333,-0.597335555548,2.8704,-9.66443333333,4.44446666668,7.61576666668
233.28,-8.93513333332,-5.78700000001,-3.49540000001,-3.889,-12.5695333333,0.997008888876,4.83799999999,-7.96300000001,6.38900000001,8.63439999999
233.66,-16.1723333333,-11.8124666667,-9.04933333333,-9.5564,-17.313,-3.65339333333,1.49566666667,-12.6362666667,1.03926666665,4.16976666667
234.03,-16.4328666667,-11.8819333333,-10.5043333333,-10.6764,-17.5398,-4.41242,1.8942,-13.3209,-0.0738,3.0012
234.41,-14.9442666667,-11.6480666667,-8.52546666667,-9.34326666666,-16.1834,-3.34342000001,4.06439999999,-12.0818666667,2.18093333333,4.64673333335
234.78,-15.1560666667,-12.6840666667,-8.66413333333,-9.88773333333,-16.2048,-4.74493555555,2.09740000001,-12.4967666667,0.499333333346,5.13106666665
235.16,-14.4894666667,-12.8167333333,-8.31486666666,-10.947,-15.5472,-3.53502,2.1648,-12.7428,0.246,6.4698
235.54,-14.5389333333,-12.1276,-8.29786666667,-9.95266666667,-15.1772666667,-1.94392444446,1.67853333334,-11.5010666667,0.0472,7.32856666667
235.91,-15.9814,-11.7538666667,-7.75833333333,-10.4994666667,-16.4926,-2.12071333333,1.46340000001,-11.4286333333,-1.06853333334,7.68880000001
236.29,-13.6364,-8.20333333334,-4.45886666667,-8.70113333333,-13.6148,-0.406164444431,3.50659999999,-8.80943333333,0.584533333334,9.44799999999
236.66,-14.1456666667,-8.29133333334,-4.24993333334,-9.7082,-12.854,-0.680313333341,2.91666666667,-8.78106666667,0.687666666668,6.43746666667
237.04,-14.5415333333,-9.56233333333,-4.35406666667,-10.3330666667,-12.4581333333,-1.05246222223,3.00006666667,-9.74973333333,0.29193333332,4.86466666666
237.41,-16.3897333334,-12.6770666667,-6.29759999999,-12.9846,-14.9332666667,-3.29702000001,0.492266666674,-11.2717,-2.05106666666,2.10269999999
237.79,-14.7214,-11.1436,-6.97940000001,-12.4536,-14.565,-2.84440888889,-0.156399999999,-11.2120666667,-2.1896,2.24836666667
238.17,-11.89,-8.851,-4.06446666666,-10.0284666667,-12.8775333333,-0.402631111112,1.65233333334,-8.17666666667,-0.493733333327,4.23543333333
238.54,-15.1872666667,-11.0112,-7.41566666666,-12.7902,-16.3483333333,-2.87880000001,-1.76026666667,-11.4232,-4.40080000001,1.1049
238.92,-14.9360666667,-10.469,-7.57033333333,-13.4867333333,-15.5156666667,-2.92630444444,-1.39813333333,-11.509,-4.09193333333,-0.162133333334
239.29,-14.3458,-9.68859999999,-6.80699999999,-12.5546,-14.3613333333,-3.25698666667,-1.3708,-10.4440666667,-4.14326666667,-0.599766666667
239.67,-10.6666666667,-5.88900000001,-3.61113333334,-9.27779999999,-10.4445333333,-1.05652444444,0.999933333328,-7.30563333333,-1.63886666667,1.88893333333
240.04,-8.2746,-4.2302,-2.3378,-7.68086666666,-7.99013333333,-0.095664444452,1.43466666667,-5.51636666666,-0.593733333339,2.56643333333
240.42,-6.52466666667,-3.1316,-1.77846666667,-6.47026666666,-6.39386666667,0.898380000008,1.30926666667,-4.45170000001,0.08733333334,3.137
240.79,-4.68199999999,-1.3776,-0.452666666666,-4.63400000001,-4.34493333333,2.23034222222,2.08106666667,-2.69259999999,1.11746666667,5.20226666667
241.17,-4.39673333333,-0.773466666659,-1.04253333333,-4.63213333333,-4.04373333333,2.1624,1.32,-2.59763333333,0.655733333334,5.5234
241.54,-3.69273333333,-0.393333333333,-1.18793333334,-4.18453333333,-3.43553333333,2.24246222222,1.1124,-2.34196666666,0.658333333334,5.94016666667
241.92,-3.04026666667,-0.0276000000006,-0.599866666658,-3.2748,-2.3372,2.12825333333,1.46153333333,-1.85806666666,1.0754,6.43226666667
242.29,-2.8262,0.0192000000006,-0.765600000007,-2.96000000001,-1.8246,1.95234666667,1.38433333333,-1.70333333333,0.956933333334,6.68893333333
242.67,-0.901466666667,1.121,0.776933333332,-1.60746666667,-0.284733333332,2.93650888889,2.414,-0.0682666666666,2.4258,7.87656666667
243.05,0.803266666666,1.8876,2.17433333333,-0.068866666668,0.866266666666,3.90848,3.30466666667,1.15313333333,3.48826666667,9.26843333334
243.42,1.1244,2.11866666667,2.46326666667,0.299533333335,1.05653333333,4.19532222222,3.50286666666,1.57626666667,3.9774,9.43213333335
243.80,0.914799999999,1.7398,2.2392,0.151466666666,0.729533333334,4.11213777778,3.45113333334,1.30746666667,3.72046666667,9.06573333332
244.17,0.831266666666,1.39666666667,1.98393333333,0.199666666667,0.465599999999,4.00119111111,3.1588,1.27183333333,3.69646666667,9.00256666666
244.55,-0.199200000001,0.088533333334,0.9736,-0.686066666667,-0.835333333334,2.82217555556,2.19646666667,0.376200000001,2.7166,8.11336666665
244.92,1.16933333333,1.1376,2.06353333333,0.688000000001,0.148266666668,4.04213777778,3.39693333333,1.37303333334,3.68253333333,9.17990000001
245.30,2.03433333333,1.66046666667,3.256,1.55066666667,0.802799999999,4.49094666667,4.05386666667,2.2762,4.06386666667,9.82790000001
245.67,1.97093333333,1.9384,3.51613333333,1.7764,0.767999999998,4.48791777778,3.80753333333,2.2183,3.914,9.76636666668
246.05,2.371,2.17726666667,3.7102,1.86986666667,0.998133333334,4.99624,3.92506666667,2.49313333333,3.99666666667,9.64836666668
246.42,2.8974,2.649,4.17806666667,2.21333333333,1.4488,5.62302666667,4.10546666667,2.75036666667,4.21253333333,9.80866666667
246.79,2.07266666667,2.21146666667,3.62533333333,1.59893333333,0.893933333335,5.11141111111,3.4296,2.17413333333,3.4438,9.10953333333
247.17,1.51426666667,2.07026666667,3.15193333333,1.10173333333,0.675666666669,4.76598444444,2.9588,1.8073,2.82253333333,8.55713333335
247.54,1.38006666667,1.8664,2.97173333334,1.05173333333,0.625266666667,4.72608444444,2.69693333333,1.71643333333,2.52953333333,8.52993333333
247.92,1.13106666667,1.57413333333,2.56446666667,0.709199999999,0.461466666667,4.42990888889,2.2772,1.47336666667,2.262,8.20409999999
248.29,1.17646666667,1.629,2.534,0.618399999998,0.485533333333,4.51257777778,2.25626666667,1.34683333333,2.15386666667,8.1705
248.67,1.11746666667,1.55573333333,2.34393333333,0.528599999999,0.359533333335,4.45714666667,2.12666666667,1.12376666667,1.99973333333,8.01383333333
249.04,0.574333333331,0.833333333334,1.90386666667,-0.131066666666,-0.0967333333326,3.99064666667,1.5356,0.488500000001,1.52306666667,7.35336666667
249.42,0.295333333335,0.650066666668,1.68713333333,-0.357866666668,-0.154199999999,4.01242888889,1.4476,0.200366666665,1.4706,7.00626666667
249.79,0.331733333333,0.6322,1.8858,-0.335266666666,-0.122199999999,4.10318444444,1.70073333333,0.293333333335,1.55066666667,7.10133333333
250.17,-0.022533333334,0.5796,2.12313333333,-0.229666666666,-0.259866666665,4.16827111111,1.90473333333,0.4178,1.71293333333,7.14086666667
250.54,-0.845066666667,-0.118533333335,1.71873333333,-0.816466666669,-0.996133333335,3.61440666667,1.36346666667,-0.018366666668,1.23293333333,6.60733333333
250.92,-0.707,-0.156066666667,1.722,-0.594333333332,-0.932533333333,3.92839333333,1.5224,-0.030433333334,1.31846666667,6.73593333333
251.29,-0.428266666668,-0.0091333333326,1.95486666667,0.0228,-0.674466666667,4.57537333333,2.0642,0.494366666666,1.73613333333,7.05176666667
251.66,-0.0564666666673,0.465733333334,2.277,0.423533333332,-0.296466666666,4.75114,2.74293333333,0.865833333336,2.0278,7.36296666667
