wavelength,Back_CamPsif,Belly_CamPsif,Breast_CamPsif,Crissum_CamPsif,Crown_CamPsif,DorTail_CamPsif,Rump_CamPsif,Throat_CamPsif,WingTip_CamPsif
799.78,20.1506333333,42.7822,29.4911666667,39.2670733333,19.2412,17.7296666667,20.0663333333,29.1117333333,20.4909333333
800.08,19.1466,42.0409333333,28.8777,38.00124,17.9776666667,16.5399,18.9054666667,28.4414,19.0382333333
800.39,19.0049666667,42.2850666667,29.0426333333,38.0722466667,17.8907333333,16.2712,18.6880666667,28.1856,18.7131
800.70,18.9069,42.3514666667,29.018,38.04316,17.8518666667,16.047,18.6177333333,28.338,18.9513
801.00,19.2222333333,42.6414,29.5398333333,38.4686133333,18.07,16.1934666667,18.8920666667,28.2918666667,19.1904333333
801.31,18.5502666667,41.7229333333,29.0357666667,37.42782,17.5055333333,15.548,18.2257333333,27.5538666667,18.0585333333
801.62,18.5676333333,41.9010666666,29.1829,37.1425133333,17.6041333333,15.7031333333,18.1673,27.806,18.0143666667
801.92,18.3185,41.9359333333,29.2898,37.46016,17.4429333333,16.3594666667,18.3284,28.0675333333,17.8526
802.23,19.0723333333,42.7160666667,30.0000666667,38.2684266667,18.2115333333,17.7144333333,19.3093666667,28.5953333333,18.8188333333
802.54,18.8328666667,43.4740666667,29.9932333333,39.0551266667,18.0294666667,17.4529,19.1589333333,28.4174666667,18.5753333333
802.84,19.6062666667,43.7814,29.8404333333,39.36932,18.8595333333,17.9361333333,19.5758,28.2621333333,18.7374
803.15,19.6373333333,43.7996666667,29.5095666667,39.6738733334,19.3644666667,18.3177666667,19.8999666667,28.1036666667,18.7703
803.46,19.9542,44.4843333333,29.1799,40.1282666667,19.4438666667,18.5989333333,19.8345333333,27.6732666667,18.9862666667
803.76,20.3037333333,44.7373333333,29.5678666667,41.1303666667,20.0786666667,19.2140333333,20.4252666667,28.2814666667,19.8679666667
804.07,19.8837666667,44.1758666667,29.9128666667,41.47418,19.9709333334,19.1720333333,20.3051,27.8648666667,19.6767
804.38,19.8676,44.1896666667,30.2388666667,41.7434733333,19.8164666667,19.4855666667,20.7314333333,27.8941333333,19.7868
804.68,21.3111333333,46.3556,31.9925333333,43.4384866667,20.8666666667,20.8887,22.1814333333,29.4000666667,21.3443333333
804.99,21.7487333333,47.0617333333,33.1131333333,44.32882,21.7375333333,21.8792,22.9493,30.0447333333,21.8269
805.30,20.8538666667,46.9053333333,32.5912666667,43.9441133333,21.3498,21.2268,22.4945666667,29.5452666667,21.2753333333
805.60,20.4463333333,47.34,33.1140333333,43.9682866667,21.3393333334,20.8890333333,22.1566,29.8976666667,21.0744333333
805.91,19.5931333333,45.4679333333,31.8682333333,41.82922,20.4143333333,20.1553,21.2172666667,28.7828666666,19.9518
806.21,19.8042666667,45.4914666667,32.9342666667,42.04662,20.8352666667,20.2476,21.7221666667,29.2017333333,20.4398
806.52,20.5100666667,46.0692666667,33.5374666667,42.2571666667,21.4570666667,20.6922,22.0547,29.9162666667,21.1730333333
806.83,20.2391,45.1522666667,33.8154,41.9912333333,21.2174,20.4457666667,21.7826,29.6376666667,20.9925666667
807.13,19.5777333333,44.9481333333,33.3,41.4363666667,19.9850666667,19.7370666667,20.1407333333,28.8816666667,20.0223333333
807.44,19.5898333333,45.4287333333,32.8599666667,41.0288666667,20.2386,19.6009666667,19.7614,28.6651333333,19.821
807.74,20.1534666667,45.7464,33.1612333333,41.0198066667,20.883,20.1421666667,19.7754666667,28.4548,19.9176333333
808.05,19.1845666667,45.2636666667,32.1350333333,40.3610533333,20.5156666667,19.3855666667,19.2073,28.1759333333,19.2642666667
808.35,19.0503666667,44.6146,31.3005,39.6125066667,20.1144,19.0540333333,18.8099666667,27.3913333334,19.0541
808.66,19.7655666667,45.0614666667,32.1892,40.2090533333,20.3973333333,19.1576666667,19.0822333333,28.0413333333,19.5591
808.97,19.7133,44.4842666666,31.9833333333,40.39668,20.5893333333,19.4264666667,19.4783333333,28.1321333333,19.9641
809.27,19.8294666667,45.0269333333,33.1460666667,41.86682,20.6158666667,19.4798666667,19.5170666667,28.6391333333,20.3704333333
809.58,18.8946333333,44.4819333333,31.7382,41.62636,19.3150666667,18.4958666667,18.0841666667,28.2099333333,19.5319
809.88,18.6992333333,44.6702,32.4119666667,42.2718066667,18.9882666667,18.6810666667,17.6332666667,28.0938666667,19.4625666667
810.19,18.3911,44.9282666666,32.0019333333,42.1637466667,18.465,18.5389,17.7346333333,27.767,19.2186333333
810.49,19.3602666666,45.452,33.5418666667,42.9123066667,19.3508,19.5642333333,19.5410666667,28.5119333333,20.2039666667
810.80,19.9237666667,45.8476,35.3713666667,43.69622,19.5524,20.6382333333,20.6809,29.5333333333,20.8428666667
811.10,20.2793,47.3452666667,36.013,45.1136866667,19.8204,21.2575,21.2426666667,30.8284,21.7016
811.41,20.2446666667,46.6870666667,37.1713,45.6126333333,19.0724,21.0091333333,21.1315333333,30.4078,22.0999666667
811.71,18.2079666667,45.4648666667,35.8255666667,44.56842,16.7502,19.0751666667,19.4774333333,29.2477333333,19.8484333333
812.02,18.761,45.8062,36.086,45.1290933333,17.5428,19.9067666667,19.6734,29.8496,20.7415333333
812.32,18.4183666667,45.9236,36.1304,45.3789266667,16.8047333333,19.8726333333,19.2516666667,29.6708666666,20.0955
812.63,20.3253,48.9432,38.7426,48.0466066667,20.0325333333,22.7425666667,21.6368666667,32.7480666667,22.7914333333
812.93,21.0875333333,50.1576666667,40.7559,48.75046,21.4790666667,24.3392666667,23.2516333334,33.5292,24.3773333333
813.24,21.8794666667,51.1362666667,42.1432333333,49.7038333333,23.4034,25.8696333333,25.062,34.5396,26.1497666667
813.54,21.6746,50.3156,42.6484666667,49.5751866667,23.8416666667,25.8426666667,24.1787,34.2962666667,26.0245333333
813.85,20.7999666667,50.6222666667,42.3722333333,49.6010266667,23.7667333333,25.1001333333,23.4943333333,35.0000666667,25.7500333333
814.15,20.3162333333,50.649,41.2423333333,49.1680733333,23.2612666667,24.6589,23.2169,34.5423333333,25.6351666667
814.46,20.5861666667,50.5698,41.6506,49.4560733333,24.7634,25.5751,24.7420333333,34.7312666667,26.6881666667
814.76,20.5957,51.6283333333,42.1584666667,50.5408933333,25.4315333333,26.5409666667,25.53,35.6829333333,27.3879
815.07,22.9153,53.2892666667,44.2797,52.4565666667,27.7776666667,28.7018,28.0804333333,37.2716,29.8790333333
815.37,23.1108333333,53.9678,44.7023666667,52.8436466667,28.2582,29.3044666667,28.8091666667,38.0966666667,30.4118333333
815.68,24.2187333333,55.4879333333,46.3280666667,54.92392,29.6109333333,30.0847666667,29.9153,39.6165333333,31.7428
815.98,23.6794,53.0245333333,43.6581333333,52.0478333333,27.4334666667,28.163,29.3877,37.5186,30.7507333333
816.29,23.4010666667,52.7813333333,43.724,51.89066,27.3228666667,27.7810666667,28.9895,37.5,30.3490333333
816.59,24.1259333333,52.7812,43.2769,51.8845466667,27.6994,27.9293333333,29.4581333333,37.8221333333,31.14
816.89,23.8271666666,52.9836,42.963,52.3538666666,28.0144666667,27.8087333333,30.2211666667,38.9712666667,31.8158
817.20,24.1137666667,52.7492,42.7692333333,52.4863133333,28.2578,27.6737,30.6647333333,39.0834666667,32.3162333333
817.50,24.4526333333,52.6812666667,43.0999,53.07144,29.3041333334,28.6229666667,31.4453,39.3772,32.6180333333
817.81,24.8259,52.4845333333,43.3048,53.27714,28.6409333333,28.8555333333,30.9299333333,39.8664,32.1936333333
818.11,23.9566666667,51.0658666667,41.6259666667,51.7174133333,27.6603333333,28.3152,30.0677666667,38.8436666667,31.1562333333
818.41,23.4808,50.6286,41.3609666667,51.4849666667,27.2908666667,27.6247666667,29.4277666667,39.1764666667,31.1140333333
818.72,24.3493666667,51.8711333333,42.4370666667,52.8044866667,28.1372,28.3146333333,30.8013,40.1238,32.0734333333
819.02,24.4985,51.1312,41.3611666667,51.7759533333,28.024,28.1673,31.1649666667,39.1703333333,31.8362
819.33,24.1189666667,51.0616,40.8282,52.2817533333,27.6574666667,28.2165333333,30.3503,38.7828,31.0155666667
819.63,24.4898,50.9442,40.5323,52.0734666667,27.2624,28.3239,30.3994,38.6122,30.7983666667
819.93,24.7711666667,50.6731333333,40.5841333333,52.0839733333,26.7528666667,28.3226333333,30.3447,38.3576,30.4685666667
820.24,25.7574666667,51.3298666667,40.6626333333,52.1232866666,27.239,28.9145,30.8761666667,38.6528,31.1162333333
820.54,25.237,50.8022666667,39.744,51.0600866667,26.5873333333,28.4623333333,30.137,37.7646,30.5119
820.85,25.0038666667,50.3760666667,39.1122,50.55762,25.9205333333,28.0218,29.4897666667,37.2742666667,30.0395666667
821.15,24.5043,50.0917333333,38.3922333333,50.1242266666,25.5548,27.4009333333,29.0517666667,36.9866666667,29.6341
821.45,25.1192333333,50.3521333333,38.3968333333,50.2272466667,25.9328666667,27.5175333333,29.2298,37.2734,29.8693
821.76,25.0568,49.8224,37.9280333333,49.7463066667,25.7544,27.2465666667,29.0788333333,36.8264666667,29.7294666667
822.06,24.5708,49.1214,37.2865,48.9674466667,25.1421333333,26.6839333333,28.3610666667,36.1134,29.0515333333
822.36,24.5421333333,49.0809333333,37.0049666667,48.8559133333,25.0464666667,26.5355333333,28.2027,36.1069333333,28.9658666667
822.67,24.5459,48.905,36.8386,48.62582,25.0526,26.3593666667,28.2036333333,36.1201333333,28.9148666667
822.97,24.5122666666,48.8059333333,36.5843,48.5719933333,25.0546666667,26.2651666667,28.1322333333,36.0540666667,28.9818
823.27,24.4375,48.9244666667,36.5089333333,48.5126466667,25.1216666667,26.1875666667,28.0962333334,36.1460666667,28.9819666667
823.58,24.2472,48.7493333334,36.1777333333,48.27176,24.9164,26.0501,27.9015666667,36.0467333334,28.7322
823.88,24.1743666667,48.5697333333,36.0337666667,48.2588066667,24.9152,25.9274666667,27.7749,36.0842,28.6462666666
824.18,24.3998333333,48.8335333333,36.0572333333,48.4365733333,25.1772,25.9892333333,28.1028333333,36.4036,28.8970333333
824.49,24.5787666667,48.6686666667,36.1193,48.35546,25.1798666667,25.9323666667,28.1971666667,36.5312666667,29.1252
824.79,24.302,48.5037333333,36.0499666667,48.3329733333,24.8764,25.8050333333,28.0851333333,36.3549333333,29.0759666667
825.09,24.6728333333,49.2568666666,36.5285666667,49.0299266667,25.3628666667,26.4189666667,28.5916333333,37.1730666667,29.6032
825.39,24.9718666667,49.6206666667,36.7948,49.4984666667,25.7131333333,26.8176,29.0757666667,37.8552666667,30.1843
825.70,25.0504666667,49.6716666667,36.8457,49.4054333333,25.8025333333,26.8628666667,29.1144,37.9703333333,30.2957
826.00,25.5372333333,50.2226666667,37.3272,49.85514,26.1438,27.3255,29.6295,38.4971333333,31.01
