wavelength,Back_SpoBoof,Belly_SpoBoof,Breast_SpoBoof,Crissum_SpoBoof,Crown_SpoBoof,DorTail_SpoBoof,Patch10_SpoBoof,Patch11_SpoBoof,Rump_SpoBoof,Throat_SpoBoof,WingTip_SpoBoof
187.53,69.1315,68.3098333333,58.6856666667,54.2253333334,56.925,65.1408333334,55.10575,52.3475,44.2488333333,74.061,32.8636666666
187.91,69.904,66.187,59.2326666666,52.9976666667,55.156,63.1895,54.8560833333,53.3573333333,41.367,74.5803333333,36.0911666667
188.29,67.2413333333,66.2068333334,56.6665,51.1493333334,55.5173333333,62.5288333334,49.3678333333,50.0,40.8046666667,71.6093333333,35.4023333333
188.67,62.745,63.7255,58.061,45.0981666667,51.4161666666,58.061,45.7515833333,48.257,37.5816666667,69.6078333333,35.0763333334
189.05,60.6061666667,61.3636666666,57.9005,42.641,50.7575,51.082,45.4545833334,45.3465,32.4675,68.9391666666,35.9308333334
189.43,56.2756666666,58.0248333334,55.7613333333,38.889,47.2223333334,47.325,45.9361666666,42.1811666667,30.4528333333,65.7406666667,34.6708333334
189.81,51.0161666666,57.6218333333,57.0121666667,36.0773333333,46.1381666667,45.9346666667,47.4081666667,40.9553333333,27.7436666667,64.939,36.0773333333
190.19,48.2141666667,61.2105,57.3415,37.2021666667,46.3293333334,45.5358333333,47.5199166666,39.9803333334,29.0675,58.6308333333,38.8888333334
190.57,43.9483333333,59.5238333333,54.5636666667,35.0198333334,43.3531666667,41.1706666666,47.2220833333,37.6983333333,26.5875,55.9525,36.8058333333
190.95,40.9938333333,58.4886666667,55.383,28.882,42.9606666666,40.7866666667,45.5488333334,39.6483333333,23.292,54.6585,35.0933333333
191.33,38.2751666667,55.8138333333,53.3915,20.7365,40.8913333333,39.5348333333,43.1685,36.531,22.1898333334,51.3566666667,33.0426666667
191.71,40.4901666666,58.0393333333,57.1566666666,19.608,42.8433333334,39.8038333333,42.1078333334,37.353,23.2351666667,51.6665,34.3138333334
192.09,42.745,59.3136666667,55.9805,21.9608333333,40.9805,40.6861666667,40.6371666666,35.3921666666,25.4903333334,51.6668333333,30.196
192.47,42.8158333333,58.2375,51.437,17.8163333333,38.8888333334,35.6321666667,41.1876666667,34.9616666667,24.2338333333,48.1801666667,28.6396666667
192.85,40.7738333333,56.2501666667,49.4048333333,11.3096666667,38.3928333333,34.524,41.6171666667,30.2578333333,20.8333333333,45.139,27.5791666667
193.23,37.1173333333,50.901,45.2251666667,9.91,35.7656666667,32.2521666666,37.5675833334,28.3785,18.5585,39.099,23.1531666667
193.61,36.5561666667,51.1051666667,47.5136666667,5.89316666665,34.7146666667,32.5045,34.5766666666,29.3738333333,16.5745,34.8066666667,20.9025
193.99,35.0636666667,46.357,44.4445,5.6465,32.969,28.3243333333,31.92175,25.1365,13.297,30.8743333334,18.6703333334
194.37,36.6458333333,44.9275,46.4803333334,-0.20683333335,35.9213333333,29.3996666667,30.3831666666,26.3976666667,12.6293333334,33.644,16.4596666667
194.75,37.0128333333,44.805,47.2943333333,-4.86983333335,37.1211666667,30.5196666666,31.9805833333,26.5151666666,11.5798333333,30.7361666666,15.1515
195.13,33.5378333334,44.7851666666,46.6258333333,-0.7155,36.912,31.5951666666,29.7034166666,25.6646666666,12.9856666667,28.1185,17.0758333333
195.51,31.1595,42.9608333333,44.0995,0.93183333335,37.06,28.882,27.9503333334,23.7061666666,11.1801666667,25.4658333333,11.8011666667
195.89,23.7011666667,38.2035,38.3116666666,-4.6535,30.6278333333,22.8355,23.8094166667,18.1816666666,3.78783333333,14.9348333333,4.87000000001
196.27,14.8525,34.2405,34.2403333334,-16.0996666667,26.1903333334,16.5533333333,18.9908333334,12.245,-7.70966666667,3.855,1.13383333333
196.65,4.258,26.3991666667,30.4138333333,-20.1945,21.7763333333,11.922,14.1730833333,8.27266666666,-18.0046666667,-6.326,-5.35283333332
197.03,2.0325,28.9973333333,27.2358333333,-17.209,19.783,8.94316666665,10.1625,10.7045,-22.3575,-11.7888333333,-10.0271666667
197.40,-9.6013333333,30.4348333333,17.7535,-35.1451666666,13.587,0.0,2.26458333333,3.26099999999,-36.0505,-31.703,-20.1086666667
197.78,-7.89483333335,31.579,15.263,-27.1928333333,15.4386666667,0.8771666667,9.29841666667,1.0526666667,-37.0176666667,-28.9471666667,-14.5616666667
198.16,-23.9726666667,24.4291666667,9.36066666667,-55.4796666667,-1.8263333333,-6.39283333335,-1.71233333335,-17.3513333333,-64.1553333334,-60.7306666666,-37.6713333333
198.54,-25.8546666667,22.0086666666,7.47866666669,-52.3503333333,-5.55566666665,-6.8376666667,-0.96183333335,-17.735,-70.2991666667,-62.1796666667,-39.3163333333
198.92,-21.627,20.0396666666,10.1188333334,-39.2858333333,-0.79366666665,-8.33316666665,-2.08333333333,-9.32533333333,-62.3016666667,-53.77,-28.9683333333
199.30,-33.0726666667,11.7188333333,-1.04183333335,-56.5103333333,-16.6665,-28.1248333333,-11.7185833334,-22.9165,-95.8330000002,-73.4373333333,-45.8331666667
199.68,-55.5555000002,-0.98033333335,-10.7841666667,-88.235,-44.771,-36.6013333333,-22.2221666666,-43.7908333334,-131.3725,-108.169833333,-58.4966666667
200.06,-67.4604999999,-3.96833333335,-10.7143333333,-109.9205,-55.1588333333,-53.1744999998,-37.4999166666,-67.4603333332,-164.285666666,-137.3015,-72.6188333333
200.44,-59.3748333334,12.153,-0.6945,-84.7223333334,-37.5,-34.7223333333,-21.5278333334,-50.3471666667,-127.083333333,-114.236166666,-54.861
200.82,-42.5533333331,32.6241666667,10.9928333334,-83.3336666667,-16.6666666667,-19.858,1.41858333333,-32.6238333333,-110.2835,-102.482333333,-50.7091666666
201.19,-44.2306666665,20.5128333333,12.1796666667,-93.91,-12.5001666667,-17.9488333333,0.80141666665,-32.3718333333,-101.282166667,-97.7563333333,-51.282
201.57,-17.3708333333,31.9246666666,35.2111666667,-48.1218333333,15.0236666666,8.4508333333,17.9576666666,-2.58216666667,-56.8076666666,-50.939,-22.0658333333
201.95,-26.961,36.2745,36.5198333333,-59.0685,18.3823333333,3.6765,20.0980833334,6.3725,-55.3921666666,-53.4315,-24.5098333334
202.33,-12.7191666667,55.9211666667,49.123,-40.351,36.6225,12.9388333334,32.2370833334,32.4561666667,-25.0,-30.921,-1.7541666667
202.71,-25.9801666666,54.902,43.3823333333,-59.0686666667,32.598,4.657,20.9559166666,26.2255,-36.7646666667,-45.3431666666,-10.7843333334
203.09,-45.238,59.524,33.9283333333,-91.369,31.8451666667,-10.119,10.4166666666,15.4763333333,-57.738,-73.5118333333,-32.143
203.47,-63.8365,56.6036666666,31.4465,-112.893,34.591,-24.5283333333,4.24525,5.03133333334,-77.0440000002,-96.8551666667,-39.3083333333
203.85,-137.619166667,55.7141666665,11.9046666667,-205.238333333,26.6668333333,-85.7143333332,-25.9524166666,-18.0951666667,-166.190333334,-174.762,-84.2858333335
204.22,-168.229166667,48.4375000002,7.8125,-244.270833333,26.0416666667,-104.166666667,-30.46875,-16.6666666667,-186.458333334,-176.041666667,-94.2708333333
204.60,-336.842,18.421,-31.5788333333,-470.175666666,-2.6315,-214.9125,-74.1228333333,-85.965,-364.035,-327.193,-205.263166667
204.98,-538.095166667,-35.714333333,-73.8095,-620.238,-84.5240000002,-365.476333334,-185.119,-186.904833333,-528.5715,-497.619166667,-321.428333334
205.36,-557.142666667,-44.0476666665,-103.571333333,-584.523833334,-113.095333333,-386.904666667,-234.523666667,-195.238166667,-553.5715,-502.381,-333.333333334
205.74,-1280.9525,-226.1905,-369.047666667,-1347.61883333,-416.666666666,-942.857166667,-651.190333334,-569.047833333,-1285.71433333,-1150.00016667,-795.238000001
206.12,2050.0,636.666666667,716.666666665,2123.33333334,786.666666667,1490.0,1326.66666666,1090.0,2036.66666667,1923.33333334,1326.66666667
206.50,-5325.0,-2050.0,-2225.0,-5475.0,-2150.0,-3925.0,-3920.83333334,-3200.0,-5475.0,-4991.66666667,-3541.66666666
206.87,-894.444499999,-384.722333333,-394.4445,-877.777833333,-376.388666667,-700.0,-704.861166667,-568.0555,-897.222166665,-827.777833333,-606.944333334
207.25,-1726.1905,-826.190666665,-816.666500002,-1623.80983333,-852.380833334,-1295.23816667,-1344.04766667,-1097.61883333,-1702.381,-1564.28566667,-1133.33333333
207.63,-12383.3333333,-6283.33333334,-6516.66666667,-12033.3333333,-6633.33333334,-9216.66666665,-10450.0,-8300.0,-12133.3333334,-11483.3333334,-8433.33333335
208.01,-1188.88883333,-550.000333333,-609.259333333,-1122.22233333,-599.999833333,-868.518833335,-1051.85183333,-818.5185,-1175.926,-1135.18516667,-801.851833335
208.39,-3583.33316667,-1794.4445,-2105.5555,-3388.88866666,-2016.66666667,-2661.11116667,-3275.00016667,-2716.66683333,-3711.11116666,-3622.22216667,-2600.00016667
208.77,2604.16666667,1520.83333333,1645.83333333,2529.16666666,1637.5,2070.83333333,2662.5,2045.83333334,2725.0,2791.66666667,1950.0
209.14,-9666.66666666,-5766.66666667,-6266.66666666,-10250.0,-5950.0,-7366.66666666,-10275.0,-7633.33333334,-10666.6666666,-10616.6666667,-7183.33333334
209.52,-1558.33333333,-944.444333332,-972.222333333,-1675.00016667,-958.333333335,-1086.11116666,-1558.33333333,-1225.0,-1641.66666666,-1683.33333333,-1113.88883333
209.90,-1212.5,-797.916666667,-806.25,-1339.58333333,-772.916666667,-881.250000001,-1242.70833333,-954.166666667,-1275.0,-1352.08333334,-887.5
210.28,-343.333333333,-221.333333333,-230.0,-379.333333334,-242.666666667,-246.0,-348.666666667,-274.0,-378.0,-396.0,-251.333333333
210.66,-266.666666667,-166.666666666,-175.520833333,-296.875,-188.541666667,-173.958333334,-259.895833333,-206.25,-293.75,-313.541666666,-187.5
211.03,-306.790333334,-198.765333333,-209.8765,-353.0865,-220.370166667,-198.7655,-296.913416666,-234.568,-362.345666667,-391.975166667,-211.111166667
211.41,-219.697,-142.424333333,-141.414166666,-275.7575,-151.010166666,-140.909,-218.18175,-180.303,-276.2625,-285.3535,-150.505166667
211.79,-126.086833333,-77.8985,-72.4638333333,-163.0435,-82.9709999998,-73.5508333333,-112.681,-97.4638333334,-164.492833334,-177.173833333,-82.9708333334
212.17,-147.1545,-90.2438333332,-86.1788333334,-199.186833334,-92.6828333334,-91.057,-128.658583333,-108.13,-187.804833333,-209.756166667,-103.252166667
212.55,-164.864833333,-96.3964999998,-88.7386666667,-218.018,-96.3965000001,-100.0,-150.45025,-108.108166667,-201.801666666,-230.180333333,-110.360166667
212.92,-122.3485,-62.8786666666,-65.909,-164.015,-63.6365,-78.4091666667,-112.879,-75.3788333333,-159.848333333,-181.0605,-87.5
213.30,-229.762,-122.023833333,-128.5715,-288.6905,-137.500166666,-176.785666666,-211.904583333,-175.0,-270.238166666,-323.809333334,-179.762
213.68,-319.841166667,-163.492,-197.619,-394.444166666,-184.9205,-286.507833333,-292.857166667,-283.333333333,-377.777833333,-461.111166667,-275.396666666
214.06,-186.781666667,-79.8849999999,-100.574666666,-204.023166667,-89.6551666665,-178.160833334,-161.49425,-170.114833333,-216.6665,-287.356333333,-164.942666667
214.44,-152.150666667,-65.0538333332,-84.4084999998,-156.4515,-52.1505,-167.204166666,-129.569916667,-141.935333334,-182.258166667,-244.623666666,-144.623666667
214.81,-199.333333333,-78.6666666668,-111.333333333,-170.0,-87.3333333331,-240.666666667,-155.0,-193.333333333,-246.0,-297.333333334,-203.333333334
215.19,-727.083333333,-327.083333333,-404.166666667,-522.916666666,-393.75,-822.916666669,-533.333333333,-687.5,-804.166666667,-914.583333333,-685.416666667
215.57,-668.518333333,-325.925833334,-355.555666667,-362.963,-344.4445,-724.074166667,-496.296333334,-633.333333333,-694.4445,-822.222333334,-614.814833334
215.95,-7133.33333333,-3516.66666667,-3750.0,-3683.33333334,-4066.66666667,-7216.66666666,-5458.33333334,-6783.33333334,-7133.33333334,-8033.33333333,-6133.33333334
216.32,-323.913,-163.0435,-168.116166666,-125.362333334,-176.086833334,-289.130333333,-218.115916667,-298.550666666,-306.521833334,-339.855166667,-255.797166667
216.70,-300.641166666,-162.1795,-164.7435,-105.128333333,-169.230666667,-271.153833333,-183.97425,-271.795,-274.359,-318.589833333,-223.076833333
217.08,-191.25,-92.0833333335,-86.2500000001,-59.1666666667,-87.0833333333,-159.583333333,-112.708333333,-157.083333333,-171.666666667,-186.25,-124.583333333
217.46,-134.694,-61.2246666668,-55.4421666667,-22.789,-50.3401666666,-109.864,-80.4420833333,-101.360666667,-128.231333334,-126.190666666,-87.4148333331
217.83,-184.1085,-94.9613333333,-81.0076666668,-48.0618333333,-80.6201666666,-142.635833333,-118.604916667,-123.643333333,-166.666666667,-169.767333334,-122.093166667
218.21,-218.468333333,-99.9999999998,-97.2973333333,-86.4866666666,-111.711666667,-149.099,-148.6485,-146.3965,-206.306333333,-202.2525,-150.450333333
218.59,-251.515166667,-111.111166667,-110.100833333,-119.697166667,-132.323166667,-158.586,-176.76775,-176.262666667,-243.434333334,-240.404166667,-170.202
218.97,-323.333333334,-162.0,-161.333333334,-182.0,-188.0,-212.0,-248.666666667,-238.666666667,-314.666666667,-330.0,-227.333333333
219.34,-245.555666667,-112.222166667,-107.777666666,-147.222166667,-144.444333333,-152.222,-170.555333334,-179.444333333,-237.777666667,-259.4445,-171.666666667
219.72,-180.092666667,-62.0369999998,-77.3148333333,-125.463,-113.426,-118.055833334,-106.25,-125.000333334,-186.574166666,-207.4075,-142.1295
220.10,-74.8718333335,-15.8975,-28.7178333333,-61.0256666666,-45.641,-48.4616666667,-38.9741666666,-47.1793333333,-91.2818333331,-97.9486666669,-65.1285
220.47,-60.5554999998,-7.22216666669,-14.7221666667,-60.8335,-39.7223333334,-45.5555,-32.3609166666,-38.6111666666,-89.7221666669,-92.7776666665,-56.3888333333
220.85,-51.9898333335,3.73133333335,-6.21900000001,-58.2088333334,-32.587,-31.592,-27.4875833334,-34.8258333333,-76.6168333334,-70.8955,-49.005
221.23,-56.4101666665,-2.3075,-15.3848333333,-65.6411666666,-39.7438333333,-38.4615,-29.74375,-47.1796666667,-80.7693333335,-77.9488333333,-54.8716666667
221.61,-59.5238333332,-2.38116666667,-22.3811666667,-68.5715,-43.3331666667,-35.2381666667,-28.4521666667,-51.6665,-79.0476666667,-83.5715,-46.4288333333
221.98,-33.1325,11.044,-1.6063333333,-38.9556666667,-20.8833333333,-12.0481666667,-9.23708333333,-27.7108333334,-52.2088333334,-54.016,-17.8715
222.36,-23.2931666666,12.6506666667,7.42966666665,-20.2811666667,-11.4456666667,-8.63450000002,4.11666666665,-18.4738333334,-44.1766666666,-44.3776666667,4.41766666665
222.74,-27.2726666667,8.00866666665,2.59749999999,-20.7793333333,-15.1516666666,-13.2035,8.00875,-19.4806666667,-43.7228333333,-46.1036666666,9.09083333335
223.11,-20.0373333333,8.98883333334,9.73783333334,-11.9851666667,-3.3708333333,-5.43083333335,15.1684166666,-14.045,-31.0861666667,-30.1496666666,13.8576666666
223.49,-20.5388333333,8.08083333334,9.9325,-9.93266666665,-0.3366666667,-8.58566666667,12.3738333333,-11.9528333333,-29.1245,-27.9461666667,8.9228333333
223.87,-17.1618333333,6.93066666667,12.5413333333,-3.79533333335,5.4455,-4.4555,12.87125,-11.3861666666,-19.3068333333,-26.4026666667,12.7061666667
224.24,-25.7778333333,4.88883333333,16.8888333333,-1.3335,4.4445,-5.77766666667,14.3333333333,-21.111,-18.8888333333,-41.9998333333,15.1108333333
224.62,-44.3546666667,-4.57,6.7205,-13.7098333334,-9.6775,-17.2041666666,3.89783333335,-39.5161666667,-25.5375,-70.1613333334,0.26866666665
225.00,-28.1096666667,-0.746166666665,9.95033333335,-1.24366666665,1.74116666665,-10.4476666666,12.6865833333,-20.6468333334,-12.6866666667,-56.4678333333,15.423
225.38,-37.7778333334,-17.5,-4.4445,-18.6113333334,-15.0,-25.5555,0.0,-30.8331666667,-31.1111666667,-74.7223333334,-0.0001666667
225.75,-62.585,-40.136,-11.5646666667,-36.0546666667,-34.0136666667,-58.8435,-12.2450833333,-41.1566666667,-45.5783333334,-101.3605,-17.6871666667
226.13,-51.2576666667,-31.132,-13.8365,-32.3896666667,-29.5596666667,-63.522,-15.5661666667,-35.849,-40.8803333333,-93.3961666669,-22.0126666667
226.51,-80.7971666665,-58.3331666667,-38.0435,-56.1593333334,-49.6375000001,-98.9133333332,-57.24625,-71.0146666667,-74.6378333334,-133.695833333,-68.8406666667
226.88,-51.9126666666,-40.7101666667,-23.7705,-42.623,-38.2513333333,-72.951,-53.1418333334,-50.8198333334,-55.1913333334,-98.3608333335,-53.5518333333
227.26,-35.498,-29.221,-18.3981666667,-37.6623333333,-27.9221666666,-59.7403333333,-43.07375,-33.117,-41.1255,-83.5496666667,-38.0951666667
227.64,-21.2965,-15.9258333333,-17.0371666667,-31.4816666667,-15.3705,-43.5185,-39.1665,-24.4445,-26.1113333334,-68.3333333333,-21.6668333333
228.01,-25.7406666667,-20.7408333333,-24.0741666666,-41.6666666667,-27.4071666667,-50.0,-49.25925,-33.7036666667,-37.9628333333,-70.0001666667,-20.1851666666
228.39,-22.1213333333,-19.091,-20.303,-44.0908333334,-25.7576666667,-47.7273333333,-52.1210833334,-35.0001666667,-35.1516666667,-55.7575,-17.5755
228.76,-26.9721666667,-16.9211666667,-16.9211666667,-39.8218333333,-24.5548333333,-46.9465,-50.25425,-34.0966666667,-35.496,-47.5826666666,-17.939
229.14,-24.6186666667,-12.4181666667,-11.0023333333,-33.5513333334,-21.7865,-41.2853333333,-42.4290833334,-32.8976666667,-32.0261666667,-42.7015,-19.8258333333
229.52,-15.2095,-1.457,1.8215,-15.3913333333,-12.204,-25.2278333333,-27.2313333334,-21.1295,-16.94,-29.7813333333,-9.19866666668
229.89,-5.11633333333,5.03883333333,6.97666666667,-3.411,-1.473,-10.6975,-13.8371666667,-10.4651666667,-6.66683333333,-19.4573333333,-1.8605
230.27,-4.63366666667,3.36316666667,7.10016666667,-4.03583333333,-1.121,-7.32433333335,-11.3978333333,-10.837,-7.92216666669,-16.8908333334,-1.0465
230.65,3.8515,9.429,12.2841666667,0.465,6.17516666666,2.92166666665,-0.2325,-0.59766666667,0.863166666667,-7.17133333335,6.44116666665
231.02,6.17033333333,11.7686666666,13.1043333333,1.65416666666,8.90583333333,6.99733333331,4.77125,2.73533333333,2.60816666667,-3.49866666665,7.95166666666
231.40,1.36066666667,7.34699999998,9.38766666668,-1.70083333333,4.08166666667,4.28566666666,1.05441666666,-1.97266666666,-4.42183333333,-5.7825,3.33333333333
231.78,-0.77033333333,6.6525,10.2941666667,-1.12033333333,2.10083333333,2.451,1.61075,-2.451,-7.633,-5.67216666668,0.70033333333
232.15,-0.2095,4.95116666666,9.76299999998,-1.81333333333,2.99866666666,2.7895,1.01125,-1.046,-7.67083333334,-6.13683333333,-0.557666666665
232.53,-4.6175,2.453,4.54533333333,-2.09233333333,1.443,3.24683333333,2.30866666667,-1.2265,-9.66816666668,-9.23533333331,-2.81383333334
232.90,-1.51533333333,1.94816666667,3.67966666667,0.216333333335,1.87583333334,5.77216666668,3.60741666666,1.01,-7.28716666666,-8.4415,-1.94816666666
233.28,1.63833333333,1.4245,3.6325,1.92316666667,0.569833333335,8.83183333332,4.05991666666,3.0625,-6.1255,-8.19099999998,0.925833333335
233.66,2.242,-0.4485,1.34533333333,-0.1495,-1.121,7.92250000001,3.32591666666,2.09266666667,-7.92233333332,-8.14633333335,1.8685
234.03,8.04350000002,5.43466666665,7.39133333333,1.3045,2.10133333333,11.0868333333,7.39141666665,6.30433333334,-3.33333333334,-0.362333333335,8.62316666668
234.41,11.2501666666,9.09699999998,9.51400000001,5.0,3.95816666667,14.0973333333,9.86091666665,9.51383333335,2.70833333334,1.597,13.125
234.78,7.47883333333,7.83466666667,6.054,1.99433333333,-0.569833333335,11.9658333333,5.41291666666,7.906,0.1425,-1.567,11.752
235.16,3.07583333331,4.36333333333,3.505,3.648,-4.22033333334,7.36783333335,2.03875,6.36616666667,-0.357666666669,-5.50783333333,8.36916666667
235.54,5.66933333331,7.2405,5.53283333333,5.6695,-1.0245,9.22133333333,4.16675,9.08466666669,4.64483333333,-3.552,11.2706666667
235.91,7.86516666668,7.80266666668,6.3045,6.55416666665,1.436,12.2346666666,4.15125,10.924,8.42683333331,0.437166666667,13.7953333333
236.29,8.2125,10.2053333333,7.66899999999,11.4133333333,3.07966666667,14.0096666667,5.37416666667,12.1378333333,11.413,2.71733333333,14.9756666666
236.66,12.2033333333,15.0281666666,12.7685,15.6495,7.34466666667,16.7231666667,8.27666666665,16.3841666666,14.6893333333,7.68349999998,19.209
237.04,12.1005,16.5526666666,14.7261666667,12.6141666667,7.59133333334,17.0091666666,8.27633333335,17.2945,14.4405,8.73283333333,20.3766666667
237.41,10.7185,16.2543333333,14.0753333333,11.4841666667,8.06799999999,15.0176666667,7.95033333335,17.3733333334,14.0751666667,8.95183333333,19.9056666666
237.79,11.718,17.8043333333,13.9363333333,10.8646666667,10.239,16.0976666667,7.67916666667,18.1458333333,15.5858333334,9.10116666666,20.1365
238.17,5.11916666665,11.7858333333,8.15483333333,5.05983333335,5.0,11.0715,1.131,12.619,11.1308333333,3.4525,13.631
238.54,0.942333333335,7.65600000002,5.006,0.471166666665,1.9435,6.77266666665,-2.47333333333,7.71483333333,5.83033333335,1.001,8.59833333333
238.92,-1.80933333333,3.2895,3.56349999998,-3.2895,-1.15133333333,2.41216666667,-3.61833333334,2.741,4.44066666666,-0.658,4.2215
239.29,-0.6175,3.13783333333,3.96116666665,-6.06983333333,-1.49166666667,2.7265,-3.21516666666,-0.257333333335,3.08633333334,0.0,4.9385
239.67,-0.761833333335,3.80966666667,4.09533333333,-5.42866666666,-1.80966666667,3.47616666667,-2.54758333333,-0.619166666665,2.90466666666,1.762,4.5715
240.04,0.510166666665,4.54933333333,5.27216666666,-2.59333333333,-0.38266666667,5.3995,-1.25441666667,0.765166666665,3.52883333334,2.6785,6.2925
240.42,2.19583333333,5.32766666666,6.19166666667,-0.576166666665,1.332,6.55133333334,0.99,2.556,4.42766666666,2.55583333333,7.77533333333
240.79,0.99316666667,2.8555,4.93466666667,-0.993,0.3105,5.36933333333,0.4965,0.217333333335,2.669,-0.744833333333,5.64866666667
241.17,1.15033333333,1.76583333334,3.15666666667,0.080166666665,-0.107,4.54783333334,0.428,-0.29416666667,2.03333333333,-1.177,5.21683333333
241.54,1.69966666667,2.14833333334,3.30516666667,0.613666666665,0.5665,5.38233333333,0.920583333335,-0.84983333333,2.66766666667,-0.212499999998,5.477
241.92,0.740333333331,0.909499999998,2.39,0.105666666665,-0.359666666667,4.06116666666,0.666166666665,-1.88216666666,1.64983333333,-1.121,4.80116666666
242.29,1.62966666666,1.66883333333,2.59983333333,0.873166666665,0.1165,4.63733333334,1.20291666667,-1.9015,1.7655,-0.52383333333,5.76233333333
242.67,2.189,2.5755,3.44,1.8395,0.515166666667,5.50033333333,1.9225,-1.08516666666,2.41,-0.4415,6.7515
243.05,3.04,4.01816666667,4.4375,4.17533333333,1.93916666667,6.42883333333,2.7605,0.436666666667,2.74283333334,0.36683333333,7.73933333333
243.42,3.88833333333,5.5665,5.98216666667,6.2315,3.257,7.31133333333,3.697,1.79466666666,3.70566666667,1.81116666667,8.89
243.80,5.08083333333,6.885,7.32816666667,8.16733333333,4.90666666667,8.7685,5.22341666666,3.57716666666,5.34983333333,2.76983333333,10.0823333333
244.17,5.51933333333,7.30233333333,7.68983333333,7.9535,4.77516666667,8.40316666666,6.39541666666,3.628,5.56583333333,2.89933333333,9.9845
244.55,5.4995,7.134,7.684,7.21066666667,4.36916666667,7.94383333333,6.29408333334,3.33016666667,5.39266666667,3.26916666667,9.53249999998
244.92,6.1465,7.09083333334,7.774,7.07666666666,4.73716666667,8.05016666666,6.44425,4.43183333333,6.059,4.17033333333,9.80833333333
245.30,6.301,7.1195,7.965,6.942,5.11466666667,8.08783333334,6.274,4.45983333333,6.0555,4.228,9.57449999999
245.67,6.6015,7.668,8.484,7.5175,5.54716666666,8.57183333332,6.53858333333,5.59733333333,6.16216666667,4.68116666667,9.93966666665
