wavelength,Back_LanFulm,Belly_LanFulm,Breast_LanFulm,Crissum_LanFulm,Crown_LanFulm,DorTail_LanFulm,Patch10_LanFulm,Rump_LanFulm,Throat_LanFulm,WingTip_LanFulm
198.92,-236.851866667,-248.888866667,-214.074133333,-204.074066667,-254.259266667,-155.185066667,-204.629666667,-157.963,-150.740666667,-181.111066667
199.30,-252.1568,-259.803933333,-208.8234,-213.1372,-264.902133333,-161.176466667,-214.509866666,-165.6864,-158.0392,-195.294133333
199.68,-320.689733333,-331.494266667,-275.862133333,-271.7242,-354.2528,-207.8162,-279.999866667,-234.482666667,-214.2528,-255.402333333
200.06,-301.458333333,-307.083333333,-245.833333333,-258.75,-330.416666667,-190.208333333,-248.958333333,-217.083333333,-206.875,-238.125
200.44,-325.977066667,-343.448333333,-275.632133333,-282.068933333,-379.770066667,-217.2414,-275.632133333,-242.528733334,-241.6092,-281.609133333
200.82,-241.4816,-254.814866667,-201.296266667,-200.3704,-288.518533333,-153.888933333,-210.9258,-179.999933333,-168.333333333,-212.962933333
201.19,-443.0304,-481.212066667,-385.151466667,-390.605933333,-515.4546,-306.363666667,-389.696866667,-363.3334,-327.5758,-408.181866667
201.57,-541.851866667,-590.3704,-454.444466667,-477.037,-622.222333333,-382.963,-439.999933333,-460.740733333,-399.999933333,-501.852
201.95,-460.606,-501.515133333,-385.4546,-396.363666667,-528.7878,-317.878866666,-371.818133333,-398.787666666,-339.999933334,-427.575666667
202.33,-250.555666667,-273.3334,-193.888866667,-209.8148,-297.037133333,-160.555533333,-192.963066667,-210.925933333,-177.962933333,-221.481466667
202.71,-154.0,-167.2,-110.133333333,-126.4,-185.6,-88.8,-107.466666667,-126.133333334,-100.0,-133.066666666
203.09,-155.000133333,-160.833266667,-115.000066667,-122.083333333,-176.666666667,-89.1665333335,-104.305666667,-124.1666,-91.389,-126.805466667
203.47,-149.487133333,-148.717933333,-123.3334,-116.025533334,-165.0,-87.5641333334,-105.128066667,-124.743533334,-86.0257333335,-118.974466667
203.85,-162.820666667,-157.8206,-137.179533333,-127.051333333,-166.794866667,-100.384733333,-118.0768,-131.666666667,-95.3845333333,-139.615333333
204.22,-176.0784,-169.542466667,-151.5034,-138.169866667,-178.562,-115.947666667,-129.542466667,-147.189533333,-107.712466667,-165.8824
204.60,-199.574533333,-181.844066667,-168.3688,-155.0354,-191.205666667,-134.893733333,-140.000066667,-166.241133333,-120.851066667,-187.801533333
204.98,-265.641133333,-230.769266667,-224.102466667,-204.444466667,-251.111,-189.401733333,-177.7778,-216.068333333,-161.1966,-237.6068
205.36,-174.0606,-151.2728,-143.515133333,-134.181733333,-164.727333333,-125.3334,-109.212133333,-139.6364,-101.939333333,-147.757533333
205.74,-147.1874,-132.291466667,-124.166466667,-110.833266667,-140.208,-109.8956,-96.0414000001,-115.520733333,-87.4998000001,-123.229066667
206.12,-167.7988,-159.874266667,-151.320733333,-138.238933334,-168.6792,-135.094266667,-118.364733333,-144.779866667,-109.434066667,-148.427733333
206.50,-220.833333333,-223.166666667,-209.166666667,-199.5,-222.166666667,-191.166666667,-157.333333333,-209.0,-155.833333333,-212.666666667
206.87,-1080.0,-1102.66666667,-1042.66666667,-1011.33333333,-1092.0,-1014.66666667,-841.999999999,-1070.0,-852.666666667,-1098.0
207.25,-3751.11113333,-3962.2222,-3715.55553333,-3580.0,-4022.2222,-3657.77766667,-3153.33326667,-3884.44446667,-3197.77773333,-4097.77786667
207.63,1226.6666,1341.4816,1222.96313334,1186.6666,1329.6296,1241.48153333,1075.55553333,1286.6666,1102.22213333,1392.59253333
208.01,1010.66666667,1093.33333333,991.333333332,946.666666667,1115.33333333,1010.66666667,876.0,1095.33333333,915.333333333,1096.0
208.39,452.4242,492.727333333,454.2424,420.9092,518.787933333,449.090933333,402.121333333,480.6062,418.787866667,457.2728
208.77,369.6,421.866666667,383.2,353.066666667,446.133333333,373.866666667,329.333333333,405.066666667,362.4,366.4
209.14,779.393933333,937.5758,859.999999999,778.181933333,988.4848,797.575799999,712.727266667,885.454533333,812.727266667,836.969733333
209.52,813.333333332,974.666666667,919.333333333,812.666666667,1067.33333333,835.333333333,750.666666667,939.333333333,854.666666666,932.666666665
209.90,305.476066667,346.904733333,349.5238,307.142866667,392.380866667,297.380866667,270.952266667,338.095333333,325.9524,355.952333333
210.28,240.0,253.166666667,261.0,235.666666667,296.166666667,225.666666667,200.0,241.833333333,247.166666667,266.0
210.66,215.7446,226.383,233.758733333,211.773066667,268.2268,202.694933333,180.2838,215.461066667,223.687933333,229.361733333
211.03,390.333333333,415.333333333,437.333333333,383.0,519.333333333,344.666666667,298.333333333,390.666666667,407.333333333,408.666666667
211.41,913.333133333,940.9524,1047.61906667,946.666733333,1284.762,785.714199999,628.571333334,934.285733332,938.095333333,951.428466667
211.79,-492.777666667,-488.333333333,-557.7776,-522.222133333,-713.888933334,-384.4444,-307.777933334,-506.6666,-491.111,-520.0
212.17,-481.5386,-499.4872,-555.384666667,-545.128133333,-703.0768,-384.102466667,-313.846066667,-501.0256,-494.359,-565.640933333
212.55,-525.4546,-569.091,-635.151533333,-641.818200001,-796.3636,-452.7274,-333.939466667,-596.969533333,-524.848333334,-667.272666666
212.92,-593.333333333,-664.000000001,-720.0,-741.333333334,-871.333333334,-500.0,-410.666666667,-692.0,-545.333333333,-772.666666667
213.30,6240.0,6573.33333333,6840.0,7333.33333334,8446.66666666,4953.33333333,4040.0,6980.0,5346.66666667,7480.00000001
213.68,734.074133333,768.888866666,797.036933333,838.518600001,956.296333335,590.3704,514.814733333,804.444466667,656.296266667,822.222199999
214.06,641.212266667,695.757533333,700.0,746.666533332,830.909066667,561.212133333,497.575666667,752.121199999,593.939466667,712.121266667
214.44,942.857133333,1069.5238,1058.0952,1105.71426667,1207.619,834.2856,736.190533334,1182.85706667,878.095200001,1079.04766667
214.81,-879.047666667,-949.523933332,-960.952466667,-1008.5714,-1046.6668,-713.3334,-640.952333334,-1067.61913333,-741.904866666,-1022.8572
215.19,1001.9048,1064.76193333,1060.00006667,1099.99993333,1080.95246667,796.1904,749.523866667,1164.762,846.6668,1141.90473333
215.57,285.0,299.375,294.583333333,300.416666667,288.125,232.291666667,218.75,319.375,253.333333333,309.791666667
215.95,173.6904,184.761866667,185.595333333,182.0238,174.999933333,147.976133333,139.523733333,196.7858,155.595133334,187.857133334
216.32,182.533333333,191.466666667,198.666666667,190.666666667,181.6,160.0,146.4,204.933333333,164.533333334,193.6
216.70,308.444466667,316.000066667,325.7778,313.3332,289.7778,257.777866667,246.2222,334.444533333,278.0,317.111133333
217.08,393.888933333,386.944466667,399.999933333,378.611066667,363.055533333,325.277733333,304.1666,411.6668,368.611133333,398.0556
217.46,650.476,633.333333333,666.1906,621.428666667,604.762,554.285666667,501.904733333,680.952266667,607.142866667,646.666866667
217.83,1020.7408,980.000000001,1031.85186667,1002.96306667,948.888866666,885.185266667,801.481599999,1059.2592,959.259333333,1046.66666667
218.21,-498.75,-504.166666667,-510.833333333,-511.25,-465.833333333,-435.833333333,-392.5,-514.583333333,-460.833333333,-538.75
218.59,-247.816133333,-248.735666667,-260.4598,-264.137866667,-236.092066667,-217.241266667,-199.5402,-256.091866667,-235.862066667,-271.4942
218.97,-465.0,-476.25,-502.083333334,-487.083333333,-472.083333333,-419.583333333,-401.25,-492.916666667,-477.916666667,-506.25
219.34,-553.333466667,-573.333333333,-616.666666667,-560.476266667,-592.857133333,-523.333466667,-512.381,-603.809466667,-590.952333333,-599.523800001
219.72,-215.9138,-221.0752,-241.0754,-202.3656,-243.010733333,-197.849466667,-195.913866667,-226.451533333,-223.440733333,-234.838733333
220.10,-146.356533333,-146.976666667,-160.31,-128.837133333,-163.2558,-138.294533333,-120.31,-143.720933333,-157.364333333,-155.193666667
220.47,-160.171066667,-164.444333333,-174.017133333,-138.461533333,-179.658133333,-149.5726,-130.0856,-162.564133333,-173.162266667,-169.059866667
220.85,-191.111133333,-199.7778,-214.444533333,-169.7778,-230.4444,-183.555466667,-152.2222,-206.000066667,-220.666733333,-215.333466667
221.23,-182.9886,-203.907933333,-227.816,-178.161,-224.597666667,-185.287333333,-140.459733333,-209.885,-213.7932,-219.9998
221.61,-186.904666667,-222.857133333,-246.904733333,-189.5238,-237.142733333,-204.047666667,-153.333466667,-224.523866667,-236.428466667,-241.904866667
221.98,-142.280733333,-172.105266667,-191.227933333,-135.087733333,-180.175466667,-149.9998,-113.157866667,-178.245533333,-174.912333333,-181.052666667
222.36,-156.875,-188.958333333,-215.416666667,-142.708333333,-203.125,-169.375,-120.208333333,-210.416666667,-199.583333333,-202.5
222.74,-163.777733333,-194.222266667,-220.000066667,-143.555533333,-208.4444,-178.0,-109.111133333,-218.2222,-196.0,-219.111133333
223.11,-74.1666666667,-96.389,-108.472266667,-68.1944,-95.9722666666,-90.1387999999,-40.9721333334,-107.360933333,-94.4444666667,-114.166733333
223.49,-33.8624666667,-51.9577333333,-58.4128,-32.5925333334,-45.7142,-44.2328666666,-3.59786666665,-58.0953333333,-49.1006,-62.7512666667
223.87,-37.3333333334,-59.889,-65.8888,-44.8889333334,-47.8889333333,-50.2221333333,-9.88899999998,-64.5554666667,-56.5556,-66.1111333333
224.24,-26.2038666667,-46.2963333333,-51.7593333333,-38.7962,-33.1482666667,-33.3333333333,-7.12966666665,-51.9444666667,-37.6852666667,-51.5740000001
224.62,-35.8334666667,-58.6112,-63.1482,-48.148,-37.2222666667,-41.0185333333,-13.5186,-63.2406666667,-43.7962666667,-60.5555333333
225.00,-36.8832,-56.0174,-61.3853333333,-45.1948,-35.8441333334,-41.3850666667,-14.6320666667,-61.2121333333,-43.1169333333,-59.9998000001
225.38,-30.6504,-44.1464666667,-48.3739333333,-36.1788,-31.2196,-33.0082,-10.8942,-50.244,-33.8212,-50.0
225.75,-37.1832,-50.3286666667,-54.9294666666,-44.6008666667,-38.9671333333,-34.1784,-12.5822666667,-56.2441333333,-37.0892666667,-55.0234666667
226.13,-39.4871333333,-53.8462,-57.7436666667,-47.1796666667,-44.5127333333,-38.7692,-9.74346666668,-57.7436666667,-39.1794666667,-59.4871333334
226.51,-32.9004666667,-40.3462666667,-46.4934666667,-35.5843333333,-33.5065333334,-25.8007333333,-7.09966666666,-42.8570666667,-28.9177333333,-45.8009333333
226.88,-21.9137333333,-28.3951333333,-32.9012,-23.2098666667,-23.2715333333,-15.7407333333,-7.46913333333,-29.3826666667,-20.9876,-28.7655333333
227.26,-23.6692666667,-28.4754666667,-36.6926,-24.1861333333,-29.5606666667,-17.7776666667,-12.5582666667,-30.3877333333,-22.6873333333,-29.199
227.64,-24.8078666667,-26.3434,-34.7879333333,-25.212,-31.3533333333,-19.8383333333,-16.4444666667,-26.9495333334,-22.7474,-29.2122666667
228.01,-18.5982,-20.1558,-27.5388666667,-20.3114,-25.7320666666,-15.109,-13.6138,-20.9968666667,-19.3457333333,-22.3052
228.39,-17.1733333333,-19.36,-25.0133333333,-18.9866666667,-25.0133333333,-13.8666666667,-13.44,-19.8133333333,-19.76,-19.28
228.76,-17.5693333334,-19.3502666667,-24.1877333333,-18.0264,-25.6558666667,-13.7906,-14.4162666667,-19.5668666667,-20.2647333333,-17.9784
229.14,-16.0535333333,-19.1303333334,-22.9655333333,-17.4358666667,-23.679,-12.709,-13.7570666667,-18.6176666667,-18.4391333334,-16.1427333333
229.52,-16.0616,-18.5641333333,-22.5641333333,-16.5948666667,-22.4204666667,-12.6974666667,-13.6820666667,-18.4411333333,-17.7641333333,-15.0563333333
229.89,-18.4154666667,-20.5989333333,-24.8114666667,-18.7632666667,-24.3286,-15.3624,-16.0578666667,-20.2124666667,-20.0578666667,-17.4878
230.27,-17.5160666667,-19.0319333333,-22.9222666667,-17.4246,-22.21,-13.8812666667,-14.8674666667,-18.8676,-18.9770666667,-15.4154666667
230.65,-19.7664666667,-20.9524,-25.0314,-20.2156,-24.5643333334,-16.3702,-17.1787333333,-21.3656,-22.0485333333,-17.6998666667
231.02,-17.7248,-19.5414666667,-23.4744,-18.9064666667,-22.4162,-14.9736,-15.1852666667,-19.3827333333,-20.5996,-16.3844666667
231.40,-16.2673333333,-18.6806666667,-20.9374,-18.1422666667,-20.3472,-14.1493333333,-13.2986,-18.4374666667,-19.3575333333,-14.2361333333
231.78,-17.5591333333,-20.9835333333,-22.5684666667,-20.6558666667,-21.5663333334,-15.5190666666,-14.8633333333,-21.3479333333,-21.6392666667,-15.6648
232.15,-20.7407333333,-23.3137333333,-24.7368666667,-22.2611333333,-22.9238666667,-18.0312666667,-16.3158666667,-24.1520666667,-23.6063333333,-17.4464
232.53,-22.2082666667,-23.8487333333,-26.0148,-22.7549333333,-23.4069333333,-18.9275333333,-16.4036666667,-25.6360666667,-24.1640666667,-18.8222666667
232.90,-19.5329333333,-21.1677333333,-23.6305333333,-21.104,-20.7855333333,-17.0275333333,-13.1634666667,-22.5053333333,-21.8258666667,-16.7728666666
233.28,-19.3996,-19.4616666667,-22.6086,-19.9378666667,-20.4760666666,-16.6666666667,-11.8426,-20.4762,-23.0226666667,-16.4181333333
233.66,-19.5132,-20.1059333333,-22.8995333333,-20.5079333333,-21.4181333333,-16.9947333333,-12.1057333333,-20.0212,-24.148,-16.9524
234.03,-19.7064666667,-20.1258,-22.2431333333,-20.1048666667,-21.0902,-17.4423333333,-12.39,-20.7128,-25.0105333333,-16.9392666667
234.41,-19.8746,-20.4806666667,-23.5109333333,-21.0031333334,-22.0480666667,-17.3249333333,-13.2498,-22.0690666666,-26.8129333333,-18.14
234.78,-18.8687333333,-19.4544666667,-22.0807333333,-19.4343333333,-20.4242666667,-15.414,-10.5658,-20.3232,-24.2426,-16.5858
235.16,-23.2334666667,-23.3133333333,-26.487,-22.9142,-24.97,-18.3033333333,-13.4330666667,-24.2514,-28.1238,-20.1397333333
235.54,-22.1892,-21.4793333333,-25.365,-19.9802666667,-23.5305333333,-16.5680666667,-11.5582,-21.8145333333,-26.213,-19.2505333333
235.91,-19.0883333333,-18.3288,-22.6211333333,-16.1064,-20.3608666667,-14.283,-7.63533333333,-18.5944,-22.6402,-16.5622
236.29,-11.7503333333,-11.7853333333,-15.7256666667,-9.42826666667,-13.3158,-8.09153333333,-1.30166666667,-11.7503333333,-15.5320666666,-10.8707333333
236.66,-9.58333333333,-10.3666666667,-14.0333333333,-7.73333333333,-11.15,-7.29999999999,0.383333333333,-9.55,-13.7166666667,-9.61666666666
237.04,-9.26466666666,-10.0163333333,-13.0882666667,-7.23846666666,-10.4247333333,-6.84639999999,-0.343066666669,-10.0654,-13.4641333333,-9.59146666667
237.41,-9.51466666667,-10.178,-13.0098,-7.16826666666,-10.6634666667,-6.50486666666,-1.11646666666,-10.8254,-12.1682,-9.36886666666
237.79,-7.14593333333,-7.34086666667,-10.4418666667,-4.89893333333,-7.7304,-3.58066666667,1.19853333333,-8.80893333333,-9.51306666667,-6.42693333334
238.17,-2.6174,-3.16286666667,-6.65286666666,-0.858933333333,-2.99926666667,1.30886666667,5.27586666667,-4.18539999999,-4.53980000001,-2.07213333334
238.54,-0.470799999999,-1.13233333333,-4.4784,1.06866666667,-0.343533333333,4.1222,7.32833333333,-1.10693333333,-1.2086,0.330866666667
238.92,0.545599999999,-0.193866666666,-3.73326666667,2.16966666667,1.07893333333,4.8,7.73333333333,0.0727333333354,-0.375799999999,1.75773333333
239.29,1.99773333333,1.79226666667,-1.5982,3.6644,3.10513333333,5.95893333333,9.24666666667,1.8494,1.41553333333,3.82413333333
239.67,0.949533333333,1.30413333333,-2.05513333333,2.21173333333,2.17,5.34166666667,8.25260000001,0.6782,0.281599999999,3.182
240.04,0.8938,1.6016,-1.499,2.02973333333,2.095,5.45626666667,8.0634,0.744866666668,0.344466666665,3.72433333333
240.42,0.581133333333,1.3478,-1.12986666667,1.719,1.42053333333,5.3592,8.03873333333,0.371333333333,0.363266666667,3.41413333333
240.79,0.564266666668,1.19213333333,-0.832399999999,1.52386666667,1.10053333333,5.6578,8.29626666667,0.303400000001,0.430333333333,3.78126666667
241.17,1.24266666667,1.75693333333,-0.140800000001,1.8794,1.55493333333,6.08506666666,9.31133333334,1.46913333333,1.3346,4.41986666667
241.54,2.0258,2.27146666667,0.606133333334,2.28226666667,2.22226666666,6.51386666667,10.2046666667,2.08033333333,1.8728,5.3562
241.92,1.5852,1.6904,0.250866666666,1.6002,1.876,6.14473333333,10.0024,1.85106666667,1.61013333334,5.09653333333
242.29,1.29033333333,1.5988,0.303800000001,1.281,1.47746666667,6.04946666667,10.0327333333,1.66913333333,1.44926666667,4.97893333333
242.67,0.999066666667,1.3396,0.380800000001,0.985599999999,1.10653333333,5.5286,9.98660000001,1.31273333333,0.985866666668,4.84333333333
243.05,1.3884,1.71506666667,1.01013333333,1.1906,1.42273333333,5.78113333333,10.4793333333,1.6892,1.26366666667,5.0978
243.42,1.6256,1.9744,1.4534,1.50806666667,1.72233333333,6.1794,10.8758,1.97846666667,1.52913333333,5.34333333333
243.80,2.0924,2.26466666667,1.879,1.8832,2.10873333333,6.60093333333,11.2821333333,2.27686666667,1.94453333333,5.6492
244.17,1.8586,1.94346666667,1.74126666667,1.63226666667,1.88286666667,6.46873333333,11.1717333333,2.1656,1.60413333333,5.29313333334
244.55,1.34466666667,1.3606,1.03153333333,1.0194,1.40486666667,6.03646666667,10.6844,1.70186666667,0.943266666664,4.90473333333
244.92,1.49873333333,1.5952,1.1936,1.2476,1.61453333333,6.265,10.8497333333,1.94666666667,1.11633333333,5.1564
245.30,1.33986666667,1.46693333333,1.04566666667,1.24546666667,1.47773333333,6.20553333333,10.9405333333,1.73566666667,0.962266666666,5.12713333333
245.67,0.788000000001,0.798066666667,0.3332,0.6836,0.882266666666,5.83506666667,10.8553333334,1.07066666666,0.377200000002,4.46453333333
246.05,0.782466666667,0.645000000001,0.363599999999,0.7948,0.837533333333,5.80453333333,11.0194,0.917000000001,0.299533333335,4.40166666667
246.42,0.778466666666,0.577599999999,0.446466666667,0.904066666667,0.912533333333,5.71793333333,11.2543333333,0.865133333335,0.273333333333,4.40073333333
246.79,1.1814,1.0614,0.882266666667,1.48833333333,1.4396,6.2142,11.9345333334,1.37073333333,0.751866666666,4.851
247.17,1.21926666667,1.07373333333,0.832733333333,1.4936,1.3434,6.15133333334,12.1616666667,1.2742,0.811333333333,4.83413333333
247.54,1.08386666667,0.947466666667,0.674866666667,1.30433333333,1.0566,6.02353333333,12.095,1.02253333333,0.668066666667,4.7124
247.92,0.874200000001,0.747733333333,0.483666666666,1.10486666667,0.860800000001,5.9146,12.2063333333,0.898400000001,0.499333333333,4.53686666667
248.29,0.825066666667,0.802933333333,0.363200000001,1.03486666667,0.844666666668,5.90746666667,12.3312666667,0.831466666665,0.522933333334,4.54453333333
248.67,0.8304,0.869733333332,0.423933333333,1.15373333333,0.957000000001,5.93686666667,12.5532,0.891533333334,0.592199999999,4.67173333333
249.04,0.957599999999,1.05646666667,0.6654,1.25426666667,1.03846666667,6.0868,12.8591333333,0.968666666667,0.678866666666,4.691
249.42,0.723333333333,0.981866666667,0.557266666666,1.01486666667,0.825333333333,6.0002,12.8494666667,0.785000000001,0.495733333334,4.46806666667
249.79,1.00586666667,1.38733333333,1.031,1.4278,1.1852,6.3684,13.1967333333,1.1322,0.9122,4.698
250.17,0.847,1.35133333333,0.874466666666,1.3596,0.951133333335,6.17593333333,13.273,0.964933333334,0.819666666668,4.375
250.54,0.798200000001,1.2016,0.679533333333,1.1334,0.673399999999,6.08513333333,13.2651333333,0.795333333334,0.821866666668,4.21893333334
250.92,0.283866666666,0.628266666667,0.0989999999998,0.360466666667,0.063733333332,5.4928,12.8262,0.0765333333333,0.369933333335,3.61086666667
251.29,0.234466666667,0.646533333334,0.0603333333333,0.361733333333,0.123933333333,5.5142,12.7972666667,0.140733333333,0.432133333334,3.63806666667
251.66,0.1354,0.531200000001,0.0382666666653,0.371466666666,0.288066666667,5.47933333333,12.8124666667,0.2848,0.600666666666,3.55553333333
